ID,Age,Name,OVR,POT,Prone,STU P,CON P,HRR P,FBP,CHP,CBP,SLP,SIP,SPP,CTP,FOP,CCP,SCP,KCP,KNP,STM
17001,15,Riyadh bin Houd,1.5 Stars,3.5 Stars,Normal,80,50,50,80,-,80,-,-,-,-,-,-,-,-,-,40
16230,22,Ishaq bin Jamal,2.0 Stars,3.5 Stars,Normal,80,55,55,-,-,80,-,-,-,80,-,-,-,-,-,30
16269,17,Lucas Cadaloba,1.5 Stars,3.5 Stars,Normal,65,50,80,-,-,-,80,80,-,-,-,-,-,-,-,20
17756,15,Quentin de Boer,1.0 Stars,3.5 Stars,Normal,50,60,65,50,65,-,-,75,-,-,-,-,-,-,-,70
16988,16,Chris Edwards,1.0 Stars,3.5 Stars,Durable,50,75,55,80,50,65,-,45,-,-,-,-,-,-,-,55
15655,22,Abdul-Karim Fadil,2.0 Stars,3.5 Stars,Normal,65,50,75,80,70,80,-,80,-,-,-,-,-,80,-,40
11579,24,Kedar Fawzi,3.0 Stars,3.5 Stars,Fragile,50,65,70,50,65,55,55,-,65,-,-,-,-,-,-,60
16323,18,Tim Foley,1.5 Stars,3.5 Stars,Normal,80,45,65,80,-,-,80,-,-,-,-,-,-,-,-,35
16008,19,Giustiniano Gerratana,1.5 Stars,3.5 Stars,Normal,60,60,60,70,-,-,-,75,-,70,-,-,40,-,-,65
11575,24,Mike Golunski,2.5 Stars,3.5 Stars,Normal,60,55,60,80,60,-,-,65,-,-,-,-,-,50,-,60
11489,25,EDWIN GOMEZ,3.0 Stars,3.5 Stars,Normal,80,55,45,80,-,-,-,80,-,80,-,-,-,-,-,30
14379,21,Canice Gordon,1.5 Stars,3.5 Stars,Normal,55,75,55,60,60,70,-,-,70,-,-,-,-,-,-,60
9700,30,David Harby,3.5 Stars,3.5 Stars,Wrecked,65,45,65,80,60,80,-,65,70,65,-,-,-,-,-,45
9147,30,Mike Hawes,3.5 Stars,3.5 Stars,Normal,50,80,50,60,50,35,-,-,-,65,-,-,-,-,-,65
15114,19,Michael Hopkins,1.5 Stars,3.5 Stars,Normal,50,55,55,65,65,-,-,70,-,-,-,-,-,-,-,40
16407,22,Lee Jordan,2.0 Stars,3.5 Stars,Durable,80,35,60,80,80,-,55,80,-,-,-,-,-,80,-,65
17115,16,Chae-hyeong Kim,1.0 Stars,3.5 Stars,Normal,80,50,60,-,-,80,-,-,-,80,-,-,-,-,-,25
15021,20,Mike Knight,1.5 Stars,3.5 Stars,Normal,80,55,50,80,-,80,-,-,-,-,-,-,-,-,-,25
16320,17,Hiroomi Kotani,1.0 Stars,3.5 Stars,Normal,50,50,75,65,70,-,-,65,-,-,-,-,-,-,-,55
17595,16,Alan Lancaster,1.5 Stars,3.5 Stars,Normal,50,75,60,50,-,-,-,55,-,70,-,-,-,-,-,65
12887,22,Chan-woo Lee,2.0 Stars,3.5 Stars,Normal,65,65,65,80,65,-,-,-,-,-,-,-,-,-,-,25
15854,18,Jong-hun Lee,1.0 Stars,3.5 Stars,Normal,45,80,75,-,-,-,35,55,75,50,-,-,-,-,-,40
17155,16,Elton Macdonald,1.0 Stars,3.5 Stars,Fragile,55,65,55,55,75,65,-,-,-,60,-,-,-,-,-,65
6702,37,DAVE MARTINEZ,3.5 Stars,3.5 Stars,Iron Man,50,80,55,60,25,-,65,50,-,-,-,-,-,-,-,45
16270,17,Ernesto Martinez,1.5 Stars,3.5 Stars,Normal,80,55,55,80,-,-,-,-,-,-,-,-,-,80,-,35
11956,25,Elijah McCants,3.5 Stars,3.5 Stars,Normal,50,70,65,55,60,55,-,-,-,65,-,-,-,-,-,60
11782,24,NICK MCGUIGAN,2.5 Stars,3.5 Stars,Fragile,80,45,55,80,-,-,80,-,-,-,-,-,-,-,-,30
17640,15,Andy McLeod,1.0 Stars,3.5 Stars,Durable,70,45,55,80,60,-,80,-,-,-,-,-,-,-,-,65
17662,15,Earl Meagher,1.5 Stars,3.5 Stars,Normal,80,50,55,80,-,-,-,-,-,-,80,-,-,-,-,35
17537,27,Israel Mendoza,3.5 Stars,3.5 Stars,Normal,65,45,75,80,-,-,80,-,-,-,-,-,-,-,-,35
16477,18,Masami Miura,1.5 Stars,3.5 Stars,Normal,80,55,55,80,60,-,-,-,-,80,-,-,-,-,-,30
14512,20,David More,1.5 Stars,3.5 Stars,Normal,60,65,55,80,-,-,80,75,-,-,-,-,-,-,-,65
17410,16,Neil Nichols,1.0 Stars,3.5 Stars,Normal,45,65,80,60,55,-,-,-,50,-,-,-,-,-,-,55
15592,18,James Phipps,1.5 Stars,3.5 Stars,Normal,60,55,60,75,45,80,-,75,-,-,-,-,-,-,-,75
17099,16,Rich Prouse,1.5 Stars,3.5 Stars,Normal,50,60,75,50,70,-,-,55,30,55,-,-,-,-,-,50
12581,23,Brassal Rampling,2.0 Stars,3.5 Stars,Normal,50,60,80,50,50,-,50,65,-,-,-,-,50,-,-,55
16336,17,Adam Raue,1.5 Stars,3.5 Stars,Normal,55,55,60,70,80,-,-,-,45,-,-,-,-,-,-,50
15604,23,Bob Rolston,2.0 Stars,3.5 Stars,Normal,75,50,60,80,-,-,80,-,-,-,-,-,-,-,-,30
17597,15,Alanzo Romano,1.5 Stars,3.5 Stars,Normal,45,80,65,45,50,-,-,40,50,-,-,-,-,-,-,65
14428,20,Jim Shewman,1.5 Stars,3.5 Stars,Normal,50,70,65,-,65,-,70,-,-,65,-,-,-,-,-,65
15868,19,Andy Singman  Jr,1.0 Stars,3.5 Stars,Normal,55,60,70,80,70,-,80,-,-,-,-,-,-,-,-,45
10099,27,Dave Spuller,3.5 Stars,3.5 Stars,Durable,65,50,60,80,65,65,-,75,60,-,-,-,-,-,-,30
14839,21,Luther Street,1.5 Stars,3.5 Stars,Normal,80,55,55,-,-,80,-,80,-,-,-,-,-,-,-,30
17681,15,Noud van Bemmel,1.0 Stars,3.5 Stars,Durable,55,65,55,80,70,-,-,75,-,-,-,-,-,-,-,65
15697,17,Chris Whiteway,1.0 Stars,3.5 Stars,Normal,60,60,65,-,75,80,80,-,-,80,-,-,-,-,-,40
16888,33,Ryan Yohemas,3.5 Stars,3.5 Stars,Normal,70,50,60,75,80,-,-,-,-,-,-,-,-,-,-,25
16246,22,Declan Young,3.0 Stars,3.5 Stars,Normal,50,80,80,-,-,-,55,65,-,-,-,-,-,-,-,30
16841,19,Arturo Alvarado,1.5 Stars,3.0 Stars,Normal,50,50,65,80,70,-,-,50,-,-,-,-,-,-,-,60
16889,27,Shohei Aoki,3.0 Stars,3.0 Stars,Normal,70,50,50,80,-,-,80,-,-,-,-,-,-,-,-,30
16985,16,Francisco Avalos,1.0 Stars,3.0 Stars,Normal,50,60,55,60,60,-,-,-,40,-,-,-,-,-,-,60
17566,20,Radi Badr,2.0 Stars,3.0 Stars,Fragile,40,50,80,40,65,-,-,55,-,-,-,-,-,-,-,60
16235,19,Vince Baldwin,1.5 Stars,3.0 Stars,Normal,80,45,50,80,-,-,-,80,-,80,-,-,-,-,-,60
17118,15,Stewart Ball,1.0 Stars,3.0 Stars,Normal,55,45,75,60,65,-,60,70,-,-,-,-,-,-,-,65
17691,16,Hector Barajas,1.0 Stars,3.0 Stars,Durable,35,80,80,40,50,-,-,-,-,45,-,-,-,-,-,65
15847,18,Marius Bettini,1.5 Stars,3.0 Stars,Normal,50,55,80,-,-,-,60,65,-,-,-,-,-,-,-,30
11484,25,Zayd bin Talal,3.0 Stars,3.0 Stars,Fragile,55,50,70,55,70,-,-,-,-,70,-,-,-,-,-,45
10627,25,JOHN BOBROWICZ,3.0 Stars,3.0 Stars,Normal,80,40,60,80,65,-,-,-,-,-,-,-,-,80,-,25
16268,17,Kyle Burns,1.5 Stars,3.0 Stars,Normal,80,45,65,80,-,-,80,-,-,-,-,-,-,-,-,25
8482,32,TOM BUTLER,3.0 Stars,3.0 Stars,Durable,45,65,55,-,35,65,-,-,-,55,-,-,60,-,-,70
13593,23,David Campos,1.5 Stars,3.0 Stars,Fragile,65,45,50,80,75,-,-,80,-,-,-,-,-,-,-,80
12419,23,GIAN-ANDREA CARANDINI,2.0 Stars,3.0 Stars,Normal,60,55,50,-,-,50,80,-,65,75,-,-,70,75,-,65
12955,26,HELIODORO CARRAPA,3.0 Stars,3.0 Stars,Normal,40,60,60,40,45,-,40,40,45,40,-,-,-,-,-,55
15650,22,Migdônio Carrasqueiro,2.0 Stars,3.0 Stars,Normal,60,55,65,80,-,-,75,-,-,-,-,-,-,-,-,35
15766,21,Don Cassidy,1.5 Stars,3.0 Stars,Normal,75,50,50,60,-,-,-,80,-,80,-,-,-,-,-,30
17148,16,Jin-hoe Cho,1.5 Stars,3.0 Stars,Normal,75,60,50,80,65,-,-,-,-,-,-,-,-,-,-,35
11015,25,JIMMY CHRISTIANO,2.5 Stars,3.0 Stars,Durable,65,60,50,80,65,-,80,-,-,-,-,-,-,-,-,45
8449,36,JOE CLARK,3.0 Stars,3.0 Stars,Normal,40,70,55,55,-,-,25,-,-,-,-,-,-,-,-,55
14458,19,Tim Cody,1.5 Stars,3.0 Stars,Normal,40,75,75,-,-,45,-,45,-,-,-,50,-,-,-,65
15644,22,Trevor Cornelissen,2.0 Stars,3.0 Stars,Normal,60,50,65,80,-,80,-,-,-,-,-,-,-,-,-,30
10152,28,ANDRES CORTEZ,3.0 Stars,3.0 Stars,Normal,50,45,60,65,60,-,-,-,55,-,-,-,-,-,-,55
15085,19,Richard Cross,1.5 Stars,3.0 Stars,Normal,55,50,55,75,60,-,-,-,-,75,-,-,-,-,-,60
12319,24,Clive Cunningham,2.5 Stars,3.0 Stars,Normal,50,55,65,75,60,75,-,-,-,-,-,-,70,-,-,55
15969,20,Peter Dalton,1.5 Stars,3.0 Stars,Normal,45,75,65,45,65,-,50,-,-,-,-,-,-,-,-,75
15330,19,Suljo Danicic,1.5 Stars,3.0 Stars,Normal,45,70,70,-,50,40,-,55,50,-,-,-,-,-,-,75
16287,17,Paul Delahaye,1.5 Stars,3.0 Stars,Normal,50,60,75,65,-,-,65,-,-,-,-,-,-,-,-,25
9544,29,JUSTIN DELELLIS,3.0 Stars,3.0 Stars,Durable,40,55,70,40,-,-,45,45,-,-,-,-,-,-,-,55
17439,17,Jesus Delgado,1.5 Stars,3.0 Stars,Normal,50,50,65,50,70,65,-,65,-,-,-,-,-,-,-,60
12949,23,PETE DRAPCHO,2.0 Stars,3.0 Stars,Fragile,55,55,60,75,65,-,50,-,-,-,-,-,-,-,-,70
15093,19,Alex Garcia,1.5 Stars,3.0 Stars,Normal,80,55,50,80,-,80,-,80,-,-,-,-,-,-,70,35
10726,26,Luis Garcia,3.0 Stars,3.0 Stars,Normal,50,50,50,70,-,45,-,50,50,-,-,-,-,-,-,55
16547,17,Douglas George,1.0 Stars,3.0 Stars,Normal,65,45,55,60,75,45,-,75,-,-,-,-,-,-,-,55
15714,18,Frank Geurtsen,1.0 Stars,3.0 Stars,Normal,55,55,55,55,75,-,-,45,-,-,-,-,-,-,-,45
16548,17,Larry Gilberds,1.5 Stars,3.0 Stars,Normal,60,50,55,80,60,80,-,-,-,70,-,40,-,-,-,80
16263,17,Cameron Graham,1.0 Stars,3.0 Stars,Normal,80,40,50,80,80,-,80,-,-,-,-,-,-,-,-,45
15712,18,Rex Grenfell,0.5 Stars,3.0 Stars,Normal,55,50,55,80,-,-,80,65,-,-,-,-,-,-,-,50
15461,19,Victor Groeneveld,1.5 Stars,3.0 Stars,Normal,80,30,75,80,-,-,-,80,-,80,-,-,-,-,-,35
16467,17,Rajko Gvero,1.5 Stars,3.0 Stars,Normal,75,40,60,75,80,-,80,-,-,-,-,-,-,-,-,45
15401,19,Tonny Hage,1.0 Stars,3.0 Stars,Normal,50,55,55,55,60,-,60,-,-,-,-,-,-,-,-,55
15638,19,Brad Hall,1.5 Stars,3.0 Stars,Normal,80,50,50,80,-,-,80,-,-,-,-,-,-,-,-,40
17643,15,Pat Hamilton,1.0 Stars,3.0 Stars,Normal,45,50,80,40,75,60,-,-,55,-,-,-,-,-,-,55
11517,26,Ralph Hamilton,3.0 Stars,3.0 Stars,Normal,45,65,60,45,40,50,50,45,45,-,-,-,-,-,-,45
7348,35,JALEN HAMMOND,3.0 Stars,3.0 Stars,Iron Man,55,50,45,-,50,-,-,-,70,80,-,-,-,-,-,55
17161,16,Dave Hardwick,1.0 Stars,3.0 Stars,Durable,50,65,65,50,65,-,-,-,-,60,-,-,-,-,-,65
17273,17,Bill Hernandez,1.5 Stars,3.0 Stars,Normal,50,50,55,70,55,-,-,-,-,65,-,-,-,-,-,70
13715,22,Jorge Hernandez,2.0 Stars,3.0 Stars,Fragile,60,50,55,70,55,-,70,-,-,80,-,-,40,-,-,45
17021,16,Mario Hernandez,1.0 Stars,3.0 Stars,Normal,55,55,55,50,70,-,-,-,70,-,-,-,-,-,-,65
14849,20,Pascal Hiemstra,1.5 Stars,3.0 Stars,Normal,60,55,65,70,-,35,-,65,-,70,-,-,-,-,-,35
12253,23,LOUIS HODGSON,2.5 Stars,3.0 Stars,Normal,70,55,50,80,-,-,-,-,75,-,-,-,-,-,-,25
16433,17,Dave Hubert,1.5 Stars,3.0 Stars,Normal,45,70,80,-,-,-,50,55,-,-,-,-,-,-,-,30
12129,25,Young-jae Im,3.0 Stars,3.0 Stars,Normal,75,50,55,-,75,-,-,-,-,80,-,-,-,-,-,25
17037,17,Jawwad Jabbar,1.5 Stars,3.0 Stars,Normal,40,55,75,40,50,45,-,-,50,-,-,-,-,-,-,70
16970,16,Javier Jaramillo,1.0 Stars,3.0 Stars,Normal,70,70,45,70,70,-,-,-,80,-,-,-,-,-,-,70
17224,17,Sun-min Jung,1.0 Stars,3.0 Stars,Normal,55,50,55,80,60,-,-,75,-,-,-,-,-,-,-,80
17735,15,Ivico Kadijevic,1.0 Stars,3.0 Stars,Normal,50,55,55,55,65,-,-,-,-,70,-,-,-,-,-,70
16541,17,Ichiji Kanda,1.0 Stars,3.0 Stars,Normal,50,50,60,50,80,-,-,-,75,-,-,-,-,-,-,55
16252,17,Soong-yong Kang,1.5 Stars,3.0 Stars,Durable,60,60,65,65,-,-,75,-,-,-,-,-,-,-,-,40
16842,17,Sung-jin Kang,1.5 Stars,3.0 Stars,Fragile,65,55,65,80,-,-,50,-,-,80,-,-,-,-,-,30
17527,16,Tom Keys,1.0 Stars,3.0 Stars,Normal,45,60,65,50,65,50,-,50,-,-,-,-,-,-,-,70
17713,19,Jang-hyun Kim,2.0 Stars,3.0 Stars,Normal,50,50,65,80,-,65,-,55,-,-,-,-,-,-,-,70
16927,20,Man-ho Kim,1.5 Stars,3.0 Stars,Normal,65,50,55,50,75,35,65,60,-,-,-,-,-,-,-,45
15651,19,Seung-kab Kim,1.5 Stars,3.0 Stars,Fragile,45,80,60,40,40,45,40,-,45,-,-,-,-,50,-,70
14465,20,Masaaki Koga,1.5 Stars,3.0 Stars,Normal,50,50,60,-,60,55,55,-,60,60,-,-,-,-,-,70
7933,33,Dave Landin,3.0 Stars,3.0 Stars,Fragile,50,60,55,-,60,60,40,-,-,60,-,-,-,-,-,50
17766,16,Adrian Lanning,1.5 Stars,3.0 Stars,Normal,40,55,80,40,50,-,45,-,-,-,-,-,-,-,-,60
16302,18,Vaughan Lapthorne,1.5 Stars,3.0 Stars,Normal,60,55,50,80,60,-,80,-,-,-,-,-,-,-,-,60
16260,16,Mike Lauer,1.0 Stars,3.0 Stars,Normal,50,55,60,55,60,60,55,55,-,-,-,-,-,-,-,65
8994,32,Tom Lawrence,3.0 Stars,3.0 Stars,Normal,55,50,70,65,55,65,-,45,70,-,-,-,-,-,-,30
14825,21,Min-jun Lee,2.0 Stars,3.0 Stars,Durable,50,60,55,75,-,-,-,65,-,60,-,-,-,-,-,60
17582,16,Sang-Seung Lee,1.5 Stars,3.0 Stars,Normal,55,50,70,75,-,-,-,60,-,55,-,-,-,-,-,30
17163,16,Suk-min Lee,1.5 Stars,3.0 Stars,Normal,60,45,80,-,-,-,-,80,70,80,-,-,-,-,-,40
10485,27,Micah Lincoln,3.0 Stars,3.0 Stars,Normal,55,50,55,55,40,50,70,-,55,-,-,-,-,40,-,55
15684,18,Cullen Lindelof,1.0 Stars,3.0 Stars,Normal,65,60,50,80,60,-,-,-,-,80,-,-,-,-,-,35
16224,18,Valerio Lopez,1.5 Stars,3.0 Stars,Normal,40,65,70,40,-,-,-,-,55,55,-,-,-,-,-,60
13044,22,John Luckett,2.0 Stars,3.0 Stars,Normal,60,65,45,80,65,-,-,50,-,-,65,-,-,-,-,50
13076,22,John Lupkoski,2.0 Stars,3.0 Stars,Normal,70,50,55,-,-,-,80,80,-,-,-,-,-,-,-,25
16225,22,Odwin MacDonald,2.0 Stars,3.0 Stars,Normal,55,60,70,75,-,-,-,65,-,75,-,-,-,-,-,40
13027,22,Sadaqat Mahdi,2.0 Stars,3.0 Stars,Normal,70,45,65,80,-,-,75,-,-,-,-,-,-,-,-,30
15745,18,Asher Mahony,1.0 Stars,3.0 Stars,Normal,55,55,55,70,-,-,-,55,-,80,-,-,-,-,-,45
17027,16,Esteban Martinez,0.5 Stars,3.0 Stars,Normal,55,50,60,45,80,-,-,-,-,-,-,-,-,65,-,60
7342,35,JUAN MARTINEZ,3.0 Stars,3.0 Stars,Wrecked,50,65,50,50,25,-,-,50,-,55,-,-,-,-,-,65
10997,25,JUSTIN MCGILL,2.5 Stars,3.0 Stars,Fragile,80,50,45,80,65,50,80,80,-,-,-,-,-,-,-,50
17725,15,Yale McKee,0.5 Stars,3.0 Stars,Fragile,50,65,55,65,65,-,55,-,55,-,-,-,-,-,-,50
13338,22,Mark McKenzie,1.5 Stars,3.0 Stars,Normal,45,65,65,50,50,-,50,40,-,-,-,-,-,-,-,65
15612,23,Vladislav Milutinovic,2.0 Stars,3.0 Stars,Normal,55,65,50,50,40,-,-,65,-,60,-,-,-,-,-,45
12248,23,B.J. MONTALBETTI,2.0 Stars,3.0 Stars,Normal,80,45,50,80,-,-,-,-,-,-,-,-,80,-,-,35
17150,16,Jordan Mora,1.5 Stars,3.0 Stars,Normal,55,65,55,65,-,-,-,50,-,60,-,-,-,-,-,55
14072,22,Armando Moreno,2.0 Stars,3.0 Stars,Normal,50,55,65,55,60,-,-,-,55,-,45,-,-,-,-,50
13343,22,Jamie Munson,1.5 Stars,3.0 Stars,Fragile,50,50,65,65,50,-,-,40,65,-,-,-,-,-,-,55
13920,26,Koichi Nakano,2.5 Stars,3.0 Stars,Fragile,50,55,65,50,55,-,55,45,-,-,-,-,-,-,-,65
6718,37,Dusty Nelson,3.0 Stars,3.0 Stars,Iron Man,45,55,65,50,45,-,-,40,-,45,-,-,-,-,-,65
16449,17,Markus Offringa,1.5 Stars,3.0 Stars,Normal,55,55,60,50,70,-,35,60,-,-,-,-,-,-,-,55
12893,22,Hiromichi Ono,1.5 Stars,3.0 Stars,Normal,55,50,55,80,60,-,-,70,-,-,-,-,-,-,-,65
8768,31,John Parks,3.0 Stars,3.0 Stars,Iron Man,50,60,55,65,-,-,70,65,-,-,-,-,-,-,-,50
15843,18,Nenad Pasic,1.0 Stars,3.0 Stars,Normal,70,50,55,80,-,80,-,-,-,-,-,-,-,-,-,30
12774,24,Ruben Pastran,2.5 Stars,3.0 Stars,Normal,70,55,55,80,-,-,80,-,-,-,-,-,-,-,-,35
15628,23,Vladimir Plavsic,2.0 Stars,3.0 Stars,Normal,80,35,70,80,-,-,-,-,80,-,-,-,-,-,-,25
17740,15,Hector Ramirez,0.5 Stars,3.0 Stars,Fragile,60,35,80,55,80,-,-,80,-,-,-,-,-,-,-,45
15815,23,Armando Rendon,2.0 Stars,3.0 Stars,Normal,70,45,70,-,-,-,80,-,-,80,-,-,-,-,-,40
16979,16,Salvatore Rivera,1.0 Stars,3.0 Stars,Durable,45,60,75,55,55,-,45,-,-,-,-,-,-,-,-,55
9705,33,JOE ROSS,3.0 Stars,3.0 Stars,Normal,55,60,50,50,55,80,45,-,55,-,-,-,-,-,-,55
14258,22,Nicholas Sanders,1.5 Stars,3.0 Stars,Durable,60,50,55,80,60,-,-,-,-,80,-,-,55,-,-,55
