ID,POS,Name,Age,T,OVR,POT,LEA,LOY,AD,FIN,WE,INT,Type,STU P,CON P,HRR P,FBP,CHP,CBP,SLP,SIP,SPP,CTP,FOP,CCP,SCP,KCP,KNP,STM,Draft,Round,Pick
6668,SP,Dave Albiter,28,R,4.0 Stars,4.0 Stars,H,H,H,L,N,N,Captain,65,60,70,-,70,-,65,65,65,-,-,-,-,50,-,75,2001,1,1
10048,SP,David Aldridge,21,R,2.0 Stars,4.5 Stars,N,N,H,N,H,H,Unknown,65,55,70,70,70,-,-,70,-,-,-,-,-,-,-,65,2010,1,6
9471,SP,EVAN ALEXANDER,23,R,0.5 Stars,1.5 Stars,N,N,H,N,N,H,Unknown,45,30,45,55,-,55,-,50,-,-,-,-,-,-,-,55,0,0,0
10155,SP,Jeff Allen,18,L,0.5 Stars,3.0 Stars,N,H,L,N,L,N,Unknown,40,65,65,45,-,-,45,50,-,-,-,-,-,-,-,55,0,0,0
8504,SP,Scott Allen,22,L,1.5 Stars,3.0 Stars,N,N,N,L,N,H,Normal,45,55,65,50,45,-,-,-,60,-,-,-,-,-,-,60,2007,3,15
8968,SP,MIKE ALLISON,26,R,1.5 Stars,2.0 Stars,N,N,N,N,N,N,Normal,50,40,50,55,50,50,55,50,-,-,-,-,-,-,-,55,2006,3,9
8954,SP,Carlos Almazan,23,R,1.0 Stars,1.0 Stars,N,N,N,H,N,N,Normal,50,45,30,60,50,60,-,50,-,-,-,-,-,-,-,65,0,0,0
4858,SP,Tony Alonzo,32,R,2.0 Stars,2.0 Stars,N,N,N,H,N,L,Outspoken,40,55,45,-,-,50,45,-,-,45,-,-,-,-,-,60,0,38,12
7216,SP,Hugo Alvarez,27,R,2.0 Stars,1.5 Stars,N,N,N,N,N,N,Prankster,50,40,40,60,-,60,60,-,-,-,-,-,-,-,-,50,0,0,0
10416,SP,Jose Alvarran,18,R,0.5 Stars,1.5 Stars,L,L,N,H,N,N,Unknown,55,45,45,60,-,70,-,-,-,60,-,-,-,-,-,35,0,0,0
6746,SP,Alfredo Amado,30,R,1.5 Stars,1.5 Stars,N,H,N,N,N,N,Normal,45,35,35,45,55,55,45,-,-,-,-,-,-,-,-,60,2002,7,7
8827,SP,Danny Amador,22,R,2.0 Stars,2.0 Stars,N,N,L,L,H,L,Normal,55,55,40,70,45,65,70,-,-,-,-,-,-,-,-,55,0,0,0
5435,SP,Gene Amato,29,R,2.0 Stars,2.0 Stars,N,N,H,N,N,L,Normal,40,55,45,-,40,45,40,-,-,45,-,-,-,-,-,75,2002,6,11
5768,SP,Jeff Anderson,29,R,2.0 Stars,2.0 Stars,N,N,L,N,N,N,Normal,50,45,40,50,-,65,-,55,-,-,-,50,-,-,-,60,2000,9,16
8196,SP,Jon Anderson,27,R,1.5 Stars,1.5 Stars,L,N,H,N,N,L,Normal,45,45,40,50,50,-,50,45,-,-,-,-,-,-,-,55,2005,12,12
9444,SP,Ed Anduray,19,R,0.5 Stars,2.0 Stars,H,H,N,N,H,N,Unknown,50,60,45,55,60,-,60,45,-,-,-,-,-,-,-,60,2009,2,12
9258,SP,Frank Anzore,21,R,0.5 Stars,0.5 Stars,N,H,H,L,N,H,Normal,35,30,40,-,40,40,45,-,-,35,-,-,-,-,-,55,0,0,0
7001,SP,DYLAN APPELBAUM,25,R,1.5 Stars,1.5 Stars,L,H,N,N,H,N,Normal,50,25,60,60,60,-,-,-,-,60,-,-,-,-,-,55,2003,4,3
10336,SP,Tsugiharu Arakaki,17,R,0.5 Stars,0.5 Stars,N,N,N,L,L,N,Unknown,35,20,35,35,40,30,40,35,-,-,-,-,-,40,-,55,0,0,0
10243,SP,Mink Ardon,18,R,0.5 Stars,1.5 Stars,N,N,L,N,L,L,Unknown,45,40,40,45,50,-,45,45,-,45,-,-,-,-,-,50,0,0,0
4421,SP,Jose Arellano,33,R,2.5 Stars,2.5 Stars,N,H,N,L,H,N,Fan Fav,55,55,45,-,55,65,60,60,-,-,60,-,-,-,-,60,0,1,8
10095,SP,Frank Armstrong,18,R,0.5 Stars,2.5 Stars,L,L,H,H,L,N,Unknown,50,60,50,55,-,65,55,-,-,-,-,-,-,-,-,55,0,0,0
8772,SP,GLEN ARNDT,20,R,1.5 Stars,2.0 Stars,N,L,H,N,N,N,Unknown,45,50,45,50,-,55,-,55,-,-,-,-,-,-,-,55,2008,10,16
9717,SP,TODD ARNTSEN,18,R,0.5 Stars,2.0 Stars,N,N,N,N,L,N,Unknown,65,65,35,55,-,75,-,55,-,-,-,-,-,-,-,45,2010,6,7
8126,SP,Tony Arreguin,23,R,2.0 Stars,2.0 Stars,N,N,N,N,N,N,Normal,45,45,55,45,55,60,-,-,50,-,-,-,-,45,-,60,0,0,0
10667,SP,Gervasio Atares,16,R,0.5 Stars,2.5 Stars,N,N,N,N,N,L,Unknown,60,50,55,60,45,-,-,65,-,-,-,-,-,-,-,45,0,0,0
10597,SP,Jim Atchison,16,R,0.5 Stars,2.0 Stars,N,L,N,N,N,L,Unknown,55,55,45,50,60,-,45,60,-,-,-,-,-,-,-,45,0,0,0
7643,SP,Dave Ates,24,L,2.0 Stars,2.0 Stars,N,H,N,N,N,N,Normal,45,45,55,50,-,-,55,-,-,60,-,-,-,-,-,50,2005,3,3
10558,SP,Lloyd Aubin,17,R,0.5 Stars,1.0 Stars,N,N,N,N,N,L,Unknown,45,45,30,45,50,-,50,-,-,-,-,-,-,-,-,50,0,0,0
8399,SP,J.D. Autry,21,R,1.5 Stars,2.0 Stars,N,N,N,L,H,N,Outspoken,45,50,50,50,-,-,45,-,-,45,-,-,-,-,-,60,2007,3,16
6357,SP,Victor Ayul,30,R,2.0 Stars,2.0 Stars,N,H,N,N,N,N,Normal,45,45,40,55,-,-,-,-,50,45,-,-,-,-,-,70,0,0,0
8471,SP,KEN BABINEAUX,26,L,1.5 Stars,1.5 Stars,N,N,H,N,H,N,Sparkplug,45,45,45,45,50,-,-,55,-,-,-,-,-,-,-,80,0,0,0
2895,SP,Jason Backes,41,L,2.0 Stars,2.0 Stars,N,H,N,N,N,N,Normal,45,50,40,45,55,-,50,-,-,-,-,-,-,-,-,60,0,16,13
6599,SP,Costantino Baffi,27,R,1.5 Stars,1.5 Stars,L,N,H,N,N,N,Normal,45,45,35,55,-,-,45,-,-,-,50,-,-,-,-,60,0,26,7
8837,SP,Prince Baker,21,R,1.5 Stars,1.5 Stars,L,L,H,H,H,N,Sparkplug,45,40,45,45,-,55,50,-,-,-,-,-,-,-,-,55,0,0,0
8216,SP,ANDREW BALDWIN,27,R,2.0 Stars,2.0 Stars,L,L,L,N,L,L,Unmotivated,45,30,40,50,60,-,-,-,-,55,-,-,-,-,-,50,2006,13,13
10312,SP,John Ball,18,R,0.5 Stars,1.5 Stars,N,N,N,N,N,N,Unknown,50,35,40,50,50,-,55,50,-,-,-,-,-,-,-,50,0,0,0
9419,SP,KYLE BALOG,23,R,0.5 Stars,1.5 Stars,N,N,H,N,N,N,Unknown,45,30,30,45,-,60,50,-,-,-,-,-,-,-,-,55,0,0,0
8066,SP,Martin Barclay,24,R,1.5 Stars,1.5 Stars,N,N,L,H,N,N,Normal,45,35,40,45,45,-,-,50,-,-,-,-,-,-,-,70,0,0,0
9741,SP,JORGE BARRERA,19,R,0.5 Stars,1.5 Stars,N,N,N,L,H,N,Unknown,50,40,45,50,50,-,-,55,-,-,-,-,-,-,-,50,0,0,0
4389,SP,Eddie Barrios,33,L,1.5 Stars,1.5 Stars,H,H,H,L,H,N,Captain,40,45,45,50,45,-,35,-,-,-,45,-,-,-,-,55,0,118,15
8801,SP,ALEX BATRES,21,R,1.5 Stars,2.0 Stars,N,N,N,N,N,L,Unknown,55,45,50,65,60,-,-,45,-,65,-,-,50,-,-,70,2008,4,4
9259,SP,Nathaniel Beamish,20,L,0.5 Stars,0.5 Stars,N,H,H,H,H,N,Sparkplug,40,30,30,45,35,-,-,45,-,-,-,-,-,-,-,35,0,0,0
7898,SP,RANDY BEAUPRE,27,R,2.0 Stars,2.0 Stars,H,N,L,N,N,N,Captain,45,50,40,50,35,-,50,-,55,-,-,-,-,-,-,60,2006,15,1
8188,SP,JOHN BECKHAM,24,R,2.0 Stars,2.0 Stars,N,N,N,N,N,N,Normal,45,50,50,50,55,-,55,-,-,-,-,-,-,-,-,70,2006,10,11
10114,SP,Ryan Beebe,17,R,0.5 Stars,2.5 Stars,H,N,H,N,N,N,Unknown,65,55,50,60,-,75,-,-,70,-,-,-,-,-,-,45,0,0,0
3488,SP,Jordi Beeks,36,R,2.5 Stars,2.5 Stars,N,H,N,N,N,N,Normal,55,50,45,50,60,60,-,-,-,-,-,-,-,-,-,35,0,13,1
8798,SP,ADAM BELL,20,L,0.5 Stars,2.0 Stars,N,N,N,N,N,N,Unknown,50,50,50,-,60,55,35,-,-,60,-,-,-,-,-,55,2008,9S,2
7395,SP,JAMES BELL,24,R,1.5 Stars,1.5 Stars,N,L,L,N,N,N,Normal,50,40,35,60,50,-,-,-,65,-,-,-,-,-,-,55,2006,6,6
7297,SP,Matt Benner,29,L,1.5 Stars,1.5 Stars,N,N,N,N,N,N,Normal,45,20,60,55,-,45,-,50,-,-,-,-,-,-,-,60,2003,1,13
9368,SP,KYLE BERNHARDT,24,R,1.5 Stars,1.5 Stars,L,H,N,L,L,N,Normal,50,45,35,50,-,60,-,-,-,-,55,-,-,-,-,40,2008,15,1
10045,SP,MIKE BERRY,19,R,1.0 Stars,1.5 Stars,N,N,N,L,N,N,Unknown,45,50,45,45,-,-,50,-,-,50,-,-,-,-,-,55,2010,9,10
9683,SP,JEFF BERRYMAN,23,R,2.0 Stars,2.5 Stars,N,N,N,N,N,N,Unknown,40,50,70,45,-,45,45,-,-,-,-,-,-,-,-,50,2009,8,12
9534,SP,JASON BETTGER,19,R,0.5 Stars,0.5 Stars,N,N,N,N,N,N,Unknown,40,40,25,45,40,-,45,-,-,-,-,-,-,-,-,50,0,0,0
4811,SP,Gerardo Bianco,32,R,2.0 Stars,2.0 Stars,N,N,L,L,H,N,Normal,50,35,40,50,55,-,55,-,-,-,-,-,-,-,-,70,0,0,0
9898,SP,CHARLIE BIRCKHEAD,21,L,0.5 Stars,0.5 Stars,N,N,L,N,L,N,Unknown,30,30,25,35,40,-,40,35,-,-,-,-,-,-,-,50,0,0,0
3432,SP,Mike Blasier,37,L,1.5 Stars,1.5 Stars,N,N,N,N,N,N,Normal,40,45,45,-,-,50,45,-,-,45,-,-,-,-,-,55,0,117,7
8762,SP,JIM BLEDSOE,21,R,0.5 Stars,2.0 Stars,N,N,N,N,N,N,Unknown,45,50,45,50,-,-,-,50,-,50,-,-,-,-,-,55,2008,2,17
7332,SP,JOE BLIVEN,25,L,1.5 Stars,1.5 Stars,N,N,H,N,N,N,Normal,45,35,25,45,45,45,-,45,-,-,-,-,-,-,-,65,2004,10,16
8889,SP,Ubbe Boerema,23,R,1.5 Stars,1.5 Stars,N,N,H,N,H,N,Normal,45,45,45,50,-,-,50,50,-,-,-,-,-,-,-,65,0,0,0
8305,SP,DAVE BOGEMA,23,R,1.5 Stars,2.0 Stars,N,L,L,L,L,L,Unmotivated,50,50,45,60,-,60,-,60,-,-,-,-,-,-,-,60,2006,6,3
8268,SP,JASON BOHANNON,22,R,0.5 Stars,1.0 Stars,N,N,N,N,N,N,Prankster,45,30,30,45,45,-,-,-,-,50,-,-,-,-,-,65,2006,12,6
8304,SP,KENNY BOND,22,R,1.5 Stars,2.0 Stars,N,N,N,N,N,N,Normal,45,40,45,60,45,-,-,55,-,-,-,-,-,-,-,55,2006,4,12
8519,SP,Bill Bone,22,R,2.0 Stars,3.0 Stars,H,N,N,L,H,H,Normal,50,60,60,60,-,-,55,60,-,-,-,-,-,-,-,55,2007,1,4
2884,SP,Jack Borden,37,R,2.5 Stars,2.5 Stars,N,N,L,N,N,N,Normal,50,65,40,50,45,-,-,-,-,50,-,-,-,60,-,65,0,28,8
10138,SP,Jeff Born,17,R,0.5 Stars,2.5 Stars,N,N,N,H,N,N,Unknown,65,45,50,60,65,-,-,-,-,70,-,-,-,-,-,55,0,0,0
7343,SP,Anthony Bourdain,24,R,1.5 Stars,1.5 Stars,N,H,N,N,N,N,Normal,50,30,50,-,50,65,65,-,-,60,-,-,-,-,-,60,2004,1,3
10141,SP,Ryan Boyle,18,R,0.5 Stars,1.5 Stars,L,N,H,N,H,N,Unknown,50,35,40,55,-,55,-,55,-,-,-,-,-,-,-,55,0,0,0
5574,SP,Dave Boynton,31,R,0.5 Stars,0.5 Stars,N,N,N,N,N,N,Normal,50,50,25,50,55,-,-,-,-,55,-,55,-,-,-,55,0,135,14
9992,SP,KYLE BRADDY,23,L,0.5 Stars,1.5 Stars,L,L,N,H,N,N,Unknown,45,45,40,45,45,55,50,50,-,-,-,-,-,-,-,55,0,0,0
5961,SP,Eddie Brandt,30,R,2.0 Stars,2.0 Stars,N,N,N,N,N,N,Normal,50,50,40,50,60,60,-,-,-,-,-,-,-,-,-,55,0,135,1
9126,SP,Marco Bravo,24,R,2.5 Stars,3.5 Stars,H,N,N,H,N,L,Normal,60,50,70,65,60,-,-,60,65,-,-,-,-,-,-,55,2008,1,7
7897,SP,Bill Bray,23,L,1.5 Stars,2.0 Stars,N,N,N,N,N,N,Normal,40,50,50,45,-,40,-,45,-,-,-,-,-,-,-,40,2005,2,14
8332,SP,FRED BRAY,22,R,2.0 Stars,2.5 Stars,N,N,N,N,N,N,Normal,60,70,45,55,65,-,60,-,-,-,-,-,-,-,-,60,2007,5,14
8814,SP,Jude Bright,21,R,2.0 Stars,3.0 Stars,N,N,N,N,N,N,Prankster,50,50,70,50,65,-,55,55,-,-,-,-,-,-,-,55,0,0,0
10038,SP,JEFF BRION,22,L,1.5 Stars,2.5 Stars,N,H,N,L,H,N,Unknown,50,50,65,50,60,-,50,50,-,55,-,-,-,-,-,55,2010,4,15
7778,SP,Pedro Brito,24,R,2.0 Stars,2.0 Stars,N,N,N,N,N,N,Normal,45,40,55,60,45,-,-,-,-,-,-,-,-,45,-,65,0,0,0
9374,SP,Devin Brooks,21,R,1.5 Stars,2.0 Stars,N,H,H,L,N,N,Unknown,55,35,60,60,60,-,-,60,-,-,-,-,-,-,-,65,2008,1,9
7906,SP,Jayden Bryant,27,L,1.5 Stars,1.5 Stars,N,H,H,N,H,H,Sparkplug,45,40,40,45,45,50,50,-,50,-,-,-,-,55,-,70,2005,7,11
9680,SP,JOSH BUCKLEY,23,R,1.0 Stars,1.5 Stars,N,N,L,L,N,N,Unknown,45,40,35,45,55,55,-,-,-,-,-,-,-,-,-,45,0,0,0
10646,SP,Harrie Buizer,17,R,0.5 Stars,1.5 Stars,N,N,N,H,N,N,Unknown,50,50,35,50,40,-,-,-,70,-,-,-,-,-,-,50,0,0,0
8375,SP,BRETT BURGIN,22,R,1.5 Stars,1.5 Stars,N,N,H,N,H,N,Sparkplug,50,45,45,55,-,-,60,-,60,-,-,-,-,-,-,75,2007,10,8
8394,SP,JOE BURGOS,22,L,0.5 Stars,0.5 Stars,N,N,L,N,L,L,Unknown,35,45,40,40,40,-,45,-,-,-,-,-,-,-,-,75,0,0,0
4597,SP,Jaden Burns,32,R,1.5 Stars,1.5 Stars,N,N,N,N,L,L,Outspoken,45,35,55,-,60,60,-,-,-,55,-,-,-,-,-,40,0,40,6
9624,SP,ANDY BURR,19,R,0.5 Stars,1.5 Stars,N,N,N,H,N,N,Unknown,45,45,35,45,45,-,50,50,-,50,-,-,-,-,-,55,0,0,0
9101,SP,Justin Burrows,23,L,2.0 Stars,2.0 Stars,N,N,N,L,H,N,Unknown,55,45,50,-,60,60,55,-,60,60,-,-,-,-,-,55,2008,2,14
9146,SP,MATTHEW BURTON,20,R,0.5 Stars,1.5 Stars,H,H,H,N,N,N,Unknown,50,45,40,55,35,-,-,55,-,-,-,-,-,-,-,55,0,0,0
8482,SP,Tom Butler,21,L,2.0 Stars,2.5 Stars,N,L,N,N,N,H,Normal,45,60,60,-,40,60,-,-,-,55,-,-,60,-,-,70,2007,1,14
6338,SP,Justin Byrne,28,R,2.5 Stars,2.5 Stars,N,N,H,H,H,H,Sparkplug,55,50,50,60,60,-,65,-,50,-,60,40,-,-,-,50,2001,1,15
6620,SP,Jose Caballero,27,R,1.5 Stars,1.5 Stars,N,H,N,N,H,L,Normal,45,30,45,50,40,-,-,-,60,-,-,-,-,-,-,55,0,12,10
4061,SP,Enrique Cacho,34,L,1.0 Stars,1.0 Stars,N,N,N,N,H,L,Normal,55,55,25,50,55,70,-,-,-,-,-,-,-,-,-,55,0,136,6
5155,SP,Miguel Calderon,32,R,2.0 Stars,2.0 Stars,N,N,N,N,N,N,Normal,55,50,45,45,65,60,-,-,-,-,-,-,-,-,-,55,0,26,4
9573,SP,CORY CALDWELL,18,L,0.5 Stars,1.5 Stars,N,N,N,L,H,L,Unknown,50,35,40,65,35,-,-,-,65,-,-,-,-,-,-,55,0,0,0
7022,SP,MIKE CALL,26,R,2.0 Stars,2.0 Stars,L,N,L,N,N,N,Normal,45,40,45,45,45,50,45,-,40,-,-,-,-,-,-,75,2006,11,3
9984,SP,ETHAN CALLIER,20,R,0.5 Stars,1.0 Stars,N,N,L,N,L,H,Unknown,50,45,30,60,40,-,-,-,65,-,-,-,-,-,-,50,0,0,0
4039,SP,HECTOR CAMACHO,35,R,2.0 Stars,2.0 Stars,N,N,H,N,N,N,Normal,40,55,50,-,50,-,40,40,45,-,45,-,-,-,-,65,0,3,16
10571,SP,Bobby Cameron,20,L,0.5 Stars,1.5 Stars,N,N,N,N,L,N,Unknown,45,50,35,45,55,-,45,50,-,-,-,-,-,-,-,50,0,0,0
9160,SP,TOM CAMIRE,20,R,0.5 Stars,1.5 Stars,N,N,H,N,N,H,Unknown,45,40,35,50,-,50,-,-,55,-,-,-,-,-,-,55,0,0,0
6946,SP,Steve Campanella,28,R,1.0 Stars,1.0 Stars,N,N,N,L,N,L,Humble,45,25,50,55,45,-,45,50,-,-,-,-,-,-,-,65,2001,1,12
8025,SP,Jason Campbell,23,R,2.0 Stars,2.5 Stars,N,L,N,N,N,H,Normal,50,50,60,-,60,55,-,-,40,60,-,-,-,55,-,55,2006,1,13
9716,SP,Zack Campbell,22,L,2.0 Stars,2.5 Stars,N,N,N,N,N,L,Unknown,70,50,50,70,-,-,-,75,-,65,-,-,-,-,-,55,2009,1,6
6518,SP,Francisco Campos,28,L,1.0 Stars,1.0 Stars,N,N,N,N,N,N,Normal,45,40,35,-,40,50,-,-,-,50,-,-,-,-,-,60,0,69,11
10241,SP,Leo Campos,19,R,0.5 Stars,1.5 Stars,H,N,H,N,H,L,Unknown,45,45,35,45,-,55,-,-,45,-,-,-,-,-,-,45,0,0,0
10289,SP,Victor Cardenas,18,R,0.5 Stars,2.5 Stars,L,L,N,H,H,N,Unknown,45,50,60,60,-,55,-,-,-,-,-,-,-,55,-,70,0,0,0
7289,SP,Jason Casey,26,R,1.5 Stars,1.5 Stars,N,N,N,N,H,N,Normal,50,35,40,50,60,-,-,-,-,45,-,-,-,-,-,55,2002,5,13
4590,SP,Germano Cassm,35,L,2.0 Stars,2.0 Stars,N,N,N,H,N,H,Normal,55,55,20,55,35,65,-,-,-,-,60,-,-,-,-,50,0,60,8
5783,SP,Antonio Castillo,30,R,2.0 Stars,2.0 Stars,N,N,H,N,H,N,Sparkplug,45,45,45,45,45,-,35,-,-,-,55,55,-,-,-,70,0,71,9
7508,SP,Jose Castillo,25,R,2.0 Stars,2.0 Stars,N,N,L,L,N,N,Normal,45,45,45,50,35,-,50,-,-,50,-,-,-,-,-,55,0,0,0
9395,SP,JASON CATO,21,R,0.5 Stars,2.0 Stars,N,H,H,N,H,N,Unknown,45,55,50,50,35,-,-,50,-,-,-,-,-,-,-,50,2008,4,13
9574,SP,PAUL CAWTHON,19,R,0.5 Stars,1.5 Stars,L,N,N,N,L,N,Unknown,50,40,35,60,40,-,-,60,-,-,-,-,-,-,-,55,0,0,0
7067,SP,Dan Centeno,27,R,1.5 Stars,1.5 Stars,H,N,H,L,H,N,Sparkplug,45,35,35,55,-,-,60,45,-,-,-,-,-,-,-,60,0,0,0
8127,SP,Gérard Charbonnier,23,L,1.5 Stars,1.5 Stars,N,N,H,N,H,N,Sparkplug,40,40,30,45,45,45,45,-,-,-,-,-,-,-,-,60,0,0,0
10360,SP,Nick Chatham,17,R,0.5 Stars,2.0 Stars,N,L,N,H,N,L,Unknown,50,45,45,-,55,55,50,-,55,50,-,-,-,50,-,45,0,0,0
8024,SP,JOSE CHAVEZ,23,R,1.0 Stars,1.5 Stars,L,L,N,H,L,N,Disruptive,45,35,50,50,55,-,55,35,-,-,-,-,-,-,-,55,2006,8,8
9323,SP,Sandy Chavez,20,R,1.5 Stars,3.5 Stars,H,N,H,N,N,L,Outspoken,55,55,70,55,70,-,55,60,-,-,-,-,-,-,-,65,0,0,0
8113,SP,Tony Chavezlopez,24,L,1.5 Stars,1.5 Stars,N,N,N,N,N,N,Normal,45,40,45,45,45,-,-,50,-,-,-,-,-,-,-,55,0,0,0
9218,SP,TRISTAN CIPOLLONI,20,R,0.5 Stars,1.5 Stars,N,N,L,L,H,N,Unknown,45,50,35,45,35,-,50,45,-,-,-,-,-,-,-,50,0,0,0
8449,SP,JOE CLARK,26,R,2.5 Stars,2.5 Stars,N,N,H,N,N,N,Normal,45,65,65,55,-,-,55,-,-,-,-,-,-,-,-,40,2006,4,5
6122,SP,MIKE CLARK,27,R,0.5 Stars,0.5 Stars,L,L,N,N,L,N,Normal,40,35,40,45,45,-,45,-,-,-,-,-,-,-,-,75,0,0,0
8317,SP,Allen Clarke,21,R,1.5 Stars,2.5 Stars,N,N,H,N,H,N,Sparkplug,50,65,45,60,60,65,-,-,-,-,-,-,-,-,-,55,2007,2,3
8087,SP,Bruno Clemmet,23,R,1.5 Stars,1.5 Stars,N,N,L,N,L,N,Unmotivated,45,35,40,45,55,45,45,-,-,40,-,-,-,-,-,60,0,0,0
10144,SP,John Clenney,17,R,0.5 Stars,1.5 Stars,L,N,L,N,L,N,Unknown,45,50,35,50,35,-,-,55,-,-,-,-,-,-,-,45,0,0,0
9407,SP,JONATHAN CLINE,24,L,1.5 Stars,1.5 Stars,N,N,L,N,L,N,Normal,45,45,40,45,35,60,-,-,-,55,-,-,-,-,-,50,0,0,0
10573,SP,Lyle Cobb,17,R,0.5 Stars,5.0 Stars,N,H,N,L,H,L,Unknown,65,70,80,60,-,-,70,70,-,-,-,-,-,-,-,55,0,0,0
8816,SP,Trevor Cole,21,R,1.5 Stars,2.0 Stars,N,N,N,N,L,N,Normal,35,45,65,45,45,-,-,-,-,-,-,-,-,45,-,50,0,0,0
7346,SP,DANTE COLEMAN,24,L,1.5 Stars,1.5 Stars,N,H,N,N,N,N,Normal,50,35,40,50,60,-,55,-,-,-,-,-,-,-,-,70,2004,6,16
7013,SP,JON COLEMAN,26,R,2.0 Stars,2.0 Stars,L,N,N,N,N,N,Normal,45,45,50,45,45,-,-,45,50,-,-,-,-,-,-,50,2003,6,8
9823,SP,Scott Collier,19,R,0.5 Stars,2.0 Stars,N,H,N,L,N,N,Unknown,50,50,45,50,60,30,-,50,-,55,-,-,-,-,-,50,0,0,0
7875,SP,CHRIS COLLINS,25,R,1.5 Stars,1.5 Stars,N,N,L,L,N,N,Normal,45,45,40,-,50,55,-,-,-,-,-,-,-,-,60,75,2008,8,5
8651,SP,Robert Collins,21,R,0.5 Stars,0.5 Stars,H,N,N,L,N,N,Normal,35,30,40,45,35,-,45,-,-,-,-,-,-,-,-,65,0,0,0
10328,SP,Sebastian Collins,18,R,0.5 Stars,1.0 Stars,N,N,L,N,N,N,Unknown,45,30,35,55,40,-,-,-,55,-,-,-,-,-,-,40,0,0,0
8756,SP,ROBBY CONNELL,20,R,1.0 Stars,1.5 Stars,N,N,N,N,H,N,Unknown,50,35,40,55,45,50,45,-,-,50,-,-,-,-,-,50,2008,15,6
7604,SP,MICKEY CONRAD,27,L,1.5 Stars,1.5 Stars,N,H,N,N,N,N,Normal,45,40,45,45,35,-,50,-,-,-,-,-,-,-,-,75,2004,6,6
7370,SP,JOEY COOK,24,R,0.5 Stars,1.5 Stars,N,H,L,N,H,N,Normal,40,45,45,45,35,-,-,-,55,-,-,-,-,-,-,70,2004,7,6
10536,SP,Jordan Cooke,17,R,0.5 Stars,2.5 Stars,L,L,H,N,H,N,Unknown,65,50,40,60,45,-,-,-,-,-,-,65,-,75,-,55,0,0,0
7590,SP,JUSTIN COONEY,28,R,3.0 Stars,3.0 Stars,N,N,N,L,H,N,Fan Fav,55,65,55,-,65,65,-,-,-,60,-,-,-,-,-,55,2004,2,6
10128,SP,David Cormier,18,R,0.5 Stars,3.0 Stars,N,H,N,L,H,N,Unknown,60,60,55,60,45,-,-,65,-,-,-,-,-,-,-,55,0,0,0
10104,SP,Brian Corn,18,L,0.5 Stars,2.5 Stars,N,H,N,L,H,N,Unknown,55,55,50,50,45,-,-,-,75,-,-,-,-,-,-,50,0,0,0
9175,SP,ERIC CORNELISON,19,R,0.5 Stars,1.5 Stars,N,N,L,N,L,N,Unknown,40,45,35,45,-,-,-,45,-,45,-,-,-,-,-,50,0,0,0
9674,SP,Kerry Cornell,23,L,1.5 Stars,2.0 Stars,N,N,N,N,N,N,Unknown,35,70,60,40,50,-,-,45,-,40,-,-,-,-,-,50,2009,4,7
8440,SP,RYAN CORNS,26,R,2.0 Stars,2.5 Stars,N,H,N,N,N,H,Normal,60,35,60,55,-,-,60,55,65,-,-,-,-,-,-,55,2006,9,8
9783,SP,LORENZO CORONEL,18,L,0.5 Stars,3.5 Stars,N,L,N,N,N,N,Unknown,40,75,65,-,45,40,45,50,-,-,-,-,-,-,-,50,2010,4,14
