ID,POS,Name,Age,OVR,POT,LEA,LOY,AD,FIN,WE,INT,Type,CON P,GAP P,POW P,EYE P,K P,SPE,STE,RUN,Draft,Round,Pick
12264,RP,Tony Martinez,21,1.5 Stars,2.0 Stars,N,N,N,N,L,N,Normal,40,35,35,40,40,20,20,20,0,0,0
14227,C,Hanna Abdul-Karim,18,0.5 Stars,2.5 Stars,N,N,H,N,H,N,Unknown,55,50,55,45,60,30,30,20,0,0,0
13406,C,Fateen Abdul-Rahman,23,0.5 Stars,0.5 Stars,L,N,N,N,N,N,Unknown,40,35,30,35,45,30,30,30,0,0,0
13972,C,Zahid Abu al Khayr,17,0.5 Stars,2.5 Stars,L,N,H,H,H,N,Unknown,60,45,50,45,55,35,25,30,0,0,0
13107,C,Alex Acevedo,20,0.5 Stars,1.0 Stars,N,N,L,N,L,N,Unknown,45,40,25,35,50,40,40,35,0,0,0
6402,C,JEFF ADAMS,33,2.5 Stars,2.5 Stars,L,L,N,H,L,N,Selfish,40,40,45,70,45,35,40,40,2003,11,1
14527,C,Lauro Aguzzi,18,0.5 Stars,3.0 Stars,L,N,H,N,H,N,Unknown,65,40,50,50,60,25,45,50,2017,3,8
9523,C,BLAKE ALEXANDER,26,1.0 Stars,1.5 Stars,L,N,N,N,L,N,Normal,45,45,45,40,45,35,35,35,2010,5,9
13965,C,Ivo Alexandre,17,0.5 Stars,2.0 Stars,N,N,N,N,N,N,Unknown,60,40,40,55,60,25,20,20,0,0,0
14983,C,Antonio Alfmana,16,0.5 Stars,0.5 Stars,N,H,L,L,H,N,Unknown,40,40,35,50,55,25,35,40,0,0,0
13347,C,Ricardo Alfonso,18,0.5 Stars,2.0 Stars,N,N,H,N,N,N,Unknown,60,50,35,50,70,25,20,20,0,0,0
12084,C,Diwan Aliyy,21,0.5 Stars,1.5 Stars,L,L,N,H,N,N,Normal,40,35,35,45,40,20,20,25,0,0,0
9143,C,OMARI AMMONS,27,1.5 Stars,1.5 Stars,N,N,H,N,N,N,Normal,50,40,35,35,65,30,35,30,2008,7,9
15308,C,Aleksandar Anastasijevic,17,0.5 Stars,1.5 Stars,N,H,N,N,N,N,Unknown,50,45,40,45,50,20,25,30,0,0,0
14719,C,Edoardo Andretti,17,0.5 Stars,1.5 Stars,N,N,N,N,N,N,Unknown,45,35,45,35,45,20,20,20,0,0,0
10724,C,David Anglesey,23,1.5 Stars,1.5 Stars,N,H,N,L,H,N,Humble,40,40,40,45,45,20,20,40,0,0,0
10527,C,Dave Antle,24,3.0 Stars,3.0 Stars,N,N,N,N,N,L,Prankster,55,45,45,35,55,30,40,25,0,0,0
13959,C,Juan Arana,17,0.5 Stars,2.5 Stars,N,N,N,H,N,N,Unknown,55,50,55,40,55,25,25,20,0,0,0
12769,C,Ernie Arballo,19,0.5 Stars,2.5 Stars,N,N,N,N,N,H,Unknown,45,60,60,45,30,30,20,25,0,0,0
14626,C,Napoleon Ardito,17,0.5 Stars,2.0 Stars,L,N,N,N,N,N,Unknown,50,45,45,45,50,30,20,30,0,0,0
13942,C,Bobby Arreola,18,0.5 Stars,2.0 Stars,N,H,N,N,N,N,Unknown,45,50,50,45,40,20,20,20,0,0,0
13672,C,Russ Ashcroft,19,0.5 Stars,1.5 Stars,H,N,H,L,H,N,Unknown,45,40,45,45,45,20,20,25,0,0,0
13840,C,Bonifacio Atalaya,17,0.5 Stars,2.0 Stars,N,N,H,L,N,L,Unknown,45,45,55,35,45,20,20,20,0,0,0
14881,C,Casimiro Augusto,17,0.5 Stars,2.5 Stars,N,L,N,N,H,N,Unknown,55,40,55,45,60,25,25,20,0,0,0
14547,C,Justin Bahr,16,0.5 Stars,3.0 Stars,H,H,N,N,H,N,Unknown,75,55,35,45,70,25,20,30,0,0,0
14170,C,Guarçia Baiano,18,0.5 Stars,1.5 Stars,N,H,L,N,N,L,Unknown,40,40,40,60,60,40,20,20,0,0,0
13591,C,Mario Baiano,19,0.5 Stars,2.5 Stars,L,L,N,H,N,N,Unknown,50,50,55,50,50,30,45,50,0,0,0
11598,C,DAVID BARAJAS,21,1.5 Stars,2.5 Stars,N,H,N,N,N,N,Unknown,50,35,55,45,50,25,40,50,2015,5,10
10352,C,Ramão Barbalho,25,2.0 Stars,2.0 Stars,L,N,H,N,H,N,Normal,40,40,45,75,50,25,30,30,0,0,0
12928,C,FILIBERTO BARLINI,21,0.5 Stars,2.0 Stars,L,N,L,N,L,L,Unknown,55,45,45,45,55,25,30,35,2015,7,17
9832,C,Raul Barnab,26,0.5 Stars,0.5 Stars,N,N,N,N,N,L,Outspoken,35,35,35,35,40,20,25,20,0,0,0
13973,C,John Barracosa,18,0.5 Stars,2.5 Stars,L,N,H,N,N,N,Unknown,50,50,60,50,50,25,35,45,0,0,0
10955,C,BRYAN BATOMALAQUE,22,1.5 Stars,2.0 Stars,N,L,N,N,N,N,Outspoken,50,40,45,50,60,25,20,25,2014,10,4
12172,C,Kieran Baylis,21,1.5 Stars,2.5 Stars,N,H,N,N,N,N,Normal,55,50,55,45,50,45,35,30,0,0,0
11769,C,DENNIS BEARMAN,21,0.5 Stars,2.0 Stars,N,N,N,N,H,L,Unknown,50,35,45,40,50,25,30,20,2015,11,17
10642,C,BILL BECK,22,1.5 Stars,1.5 Stars,N,N,H,L,H,N,Humble,50,40,30,45,55,35,30,40,2013,9,9
13248,C,Jason Beck,23,0.5 Stars,2.0 Stars,N,H,N,L,H,L,Unknown,45,50,50,50,50,30,35,20,2017,7,13
11477,C,SCOTT BEDINGHAUS,25,1.5 Stars,1.5 Stars,L,L,N,H,N,N,Selfish,45,40,45,40,45,25,30,20,2014,3,19
15350,C,Pamphile Bellini,16,0.5 Stars,2.0 Stars,N,N,N,N,N,N,Unknown,45,50,45,60,35,20,25,20,0,0,0
15417,C,Tommy Benitez,16,0.5 Stars,2.0 Stars,N,N,L,N,L,L,Unknown,40,40,60,40,35,30,20,20,0,0,0
13287,C,John Benoit,19,0.5 Stars,3.0 Stars,N,N,N,L,H,N,Unknown,60,45,60,45,60,30,25,20,2017,1S,1
10280,C,Alberto Bernal,25,2.0 Stars,2.0 Stars,N,N,H,N,N,N,Normal,50,40,40,40,50,30,30,35,0,0,0
14186,C,Justin Bernerd,18,0.5 Stars,1.5 Stars,N,N,L,N,L,N,Unknown,45,40,25,40,60,30,25,25,0,0,0
10514,C,Berend Berrevoets,25,0.5 Stars,1.5 Stars,N,N,N,L,N,N,Normal,40,40,40,45,40,35,25,45,0,0,0
13873,C,Mat Bester,17,0.5 Stars,2.0 Stars,N,N,N,L,N,N,Unknown,45,50,55,45,45,30,20,20,0,0,0
12687,C,Mu'tazz bin Kamal,20,0.5 Stars,1.5 Stars,N,L,H,N,H,N,Sparkplug,50,35,40,45,55,25,40,50,0,0,0
12156,C,Makin bin Ma'mun,22,2.0 Stars,2.5 Stars,L,H,H,H,N,L,Outspoken,55,50,50,50,55,40,35,35,0,0,0
13407,C,Samir bin Mamdouh,22,0.5 Stars,1.5 Stars,N,H,N,N,L,N,Unknown,45,35,30,45,55,40,30,40,0,0,0
13409,C,Mujahid bin Nu'man,22,0.5 Stars,0.5 Stars,N,L,N,N,L,N,Unknown,35,40,30,40,45,25,20,20,0,0,0
13852,C,Ziaul-Haq bin Sa'eed,18,0.5 Stars,2.5 Stars,N,H,H,L,N,N,Unknown,60,55,45,45,70,25,20,30,0,0,0
12973,C,MUHSIN BIN SADAQAT,23,2.0 Stars,2.5 Stars,N,N,N,L,N,N,Normal,50,50,50,55,55,30,40,50,2016,4,12
12783,C,Asadel bin Yaseen,20,1.5 Stars,2.5 Stars,N,N,N,N,H,N,Normal,55,45,45,55,55,30,25,30,0,0,0
10174,C,Ben Bishop,24,1.5 Stars,1.5 Stars,N,N,H,L,N,N,Normal,40,35,50,50,45,25,25,20,2011,10,6
10471,C,Ewan Blackburn,24,2.5 Stars,2.5 Stars,H,H,N,L,H,N,Captain,45,45,55,45,45,25,30,40,0,0,0
14852,C,Richard Blanco,18,0.5 Stars,2.0 Stars,H,N,H,N,H,L,Unknown,55,40,50,45,55,25,25,30,0,0,0
13025,C,Nenad Bogicevic,18,0.5 Stars,3.0 Stars,N,N,N,N,N,N,Unknown,45,60,70,50,35,35,25,20,2017,5,2
11589,C,Srdjan Bogicevic,21,0.5 Stars,2.0 Stars,N,N,N,N,L,N,Unknown,40,50,60,50,25,30,35,20,2015,4,4
10281,C,Dan Bonaddio,26,1.5 Stars,1.5 Stars,L,N,N,N,L,N,Normal,40,35,45,60,45,20,20,20,0,0,0
15262,C,Ashley Bond,16,0.5 Stars,2.0 Stars,N,H,N,L,H,H,Unknown,50,45,40,45,45,30,20,20,0,0,0
12930,C,HAROLD BORRAS,20,1.5 Stars,2.0 Stars,N,N,N,L,H,N,Unknown,45,40,40,40,50,40,35,45,2015,5,19
11242,C,Paullo Boua,22,1.0 Stars,1.5 Stars,L,N,L,N,N,N,Normal,45,30,40,45,45,20,25,20,0,0,0
9648,C,RANDY BOURGEOIS,28,2.0 Stars,2.0 Stars,H,H,N,N,H,N,Captain,45,40,40,55,60,20,30,20,2008,12S,1
10084,C,Justin Brecht,25,1.5 Stars,1.5 Stars,N,H,N,H,N,L,Normal,45,35,45,45,45,25,20,25,2011,5,13
13258,C,Matt Brewer,23,1.0 Stars,2.0 Stars,H,N,N,H,N,L,Unknown,40,50,55,45,35,20,30,35,2017,9,2
14044,C,Tome Brilhante,19,0.5 Stars,0.5 Stars,N,N,N,L,H,L,Unknown,35,40,35,55,50,20,25,25,0,0,0
13824,C,Ethan Buchan,19,0.5 Stars,2.5 Stars,N,N,N,N,N,N,Unknown,45,50,65,50,40,30,20,25,2017,5,1
13367,C,Sean Burdette,19,0.5 Stars,1.5 Stars,N,N,H,L,N,L,Unknown,50,45,40,40,45,25,20,25,0,0,0
10710,C,Eloi Burmo,23,0.5 Stars,0.5 Stars,H,N,H,N,H,H,Captain,40,30,35,40,45,25,20,20,0,0,0
8774,C,JAY BURRELL,28,2.5 Stars,2.5 Stars,N,H,N,L,H,N,Fan Fav,45,45,55,60,45,40,40,50,2008,5,6
15364,C,Raul Cabrera,16,0.5 Stars,2.0 Stars,N,N,N,N,N,L,Unknown,45,50,50,50,50,20,20,25,0,0,0
10357,C,Greg Cadwallader,24,1.5 Stars,1.5 Stars,H,N,N,N,N,N,Normal,45,35,40,45,45,20,25,20,2011,6,18
9467,C,DANNY CALDERON,27,1.0 Stars,1.0 Stars,N,L,L,N,N,L,Normal,35,30,30,45,40,20,20,35,2009,8,17
12389,C,RUSSELL CALDWELL,20,0.5 Stars,1.5 Stars,N,N,N,L,N,N,Unknown,45,45,45,40,45,20,25,35,2016,7,13
7217,C,Freddy Campas,33,2.0 Stars,2.0 Stars,N,L,N,H,N,N,Normal,40,40,45,45,45,60,70,75,0,0,0
14998,C,Donato Canavaro,16,0.5 Stars,2.0 Stars,N,N,H,N,N,N,Unknown,55,50,50,45,60,35,35,40,0,0,0
10730,C,Melvin Cardenas,25,0.5 Stars,1.0 Stars,H,H,L,N,H,H,Captain,40,35,40,45,50,25,30,35,0,0,0
12112,C,Jonathan Carnini,21,1.5 Stars,2.5 Stars,N,N,N,H,N,H,Normal,45,45,55,50,50,30,20,25,0,0,0
9603,C,JAMIE CARTER,26,2.5 Stars,2.5 Stars,L,N,L,N,N,N,Normal,45,35,55,60,60,20,25,30,2010,7,1
9215,C,GREGG CASADOS,26,1.5 Stars,1.5 Stars,N,H,N,L,N,L,Normal,45,35,35,50,45,30,30,45,2012,10,16
14996,C,Jonathan Cashdollar,17,0.5 Stars,2.0 Stars,N,N,L,N,N,L,Unknown,35,45,55,60,35,20,20,20,0,0,0
8562,C,Ernesto Caso,29,2.0 Stars,2.0 Stars,H,H,L,N,N,L,Normal,35,50,50,55,35,20,20,20,0,0,0
10727,C,Andre Casson,23,0.5 Stars,1.0 Stars,N,L,L,H,N,L,Outspoken,40,35,30,50,35,35,35,25,0,0,0
8792,C,ALEX CASTANEDA,27,1.5 Stars,1.5 Stars,N,L,N,N,L,L,Normal,40,30,45,50,45,20,20,20,2008,9S,1
14850,C,Emilio Castaneda,17,0.5 Stars,4.0 Stars,N,L,H,N,N,N,Unknown,60,55,65,55,60,25,25,20,0,0,0
15169,C,Juan Castrejon,17,0.5 Stars,2.0 Stars,N,N,N,H,N,N,Unknown,50,40,50,50,50,20,20,20,0,0,0
11228,C,Gabe Castro,22,0.5 Stars,2.5 Stars,L,N,H,H,N,N,Normal,40,50,65,50,45,30,30,25,0,0,0
8582,C,Chris Cespedes,30,2.0 Stars,2.0 Stars,N,N,N,N,N,L,Normal,45,40,50,55,45,20,20,20,0,0,0
8753,C,SALVADOR CHACON,28,2.0 Stars,2.0 Stars,N,N,N,H,N,N,Normal,40,35,45,60,45,20,25,30,2008,13,6
5296,C,Dale Chappel,38,2.0 Stars,2.0 Stars,N,H,N,N,N,N,Normal,50,45,30,45,50,20,20,20,0,16,11
10030,C,JOSH CHILTON,28,1.5 Stars,1.5 Stars,N,N,H,N,L,N,Normal,35,35,40,60,30,20,20,20,2011,11,12
12109,C,Min-sik Choi,21,1.5 Stars,2.5 Stars,H,N,N,N,N,H,Normal,55,60,50,60,50,25,20,35,0,0,0
10907,C,BILL CHURCH,23,0.5 Stars,2.0 Stars,N,N,L,N,L,L,Unknown,50,35,40,50,55,25,20,25,2016,10,19
12751,C,Emilio Ciappi,20,0.5 Stars,1.5 Stars,N,H,N,L,H,N,Normal,45,35,35,40,45,25,25,25,0,0,0
14308,C,Vito Ciottone,18,0.5 Stars,2.0 Stars,L,L,L,N,N,H,Unknown,50,40,35,60,60,35,30,35,0,0,0
13562,C,Ugo Cipolloni,19,0.5 Stars,1.0 Stars,L,H,L,L,H,N,Unknown,45,40,25,40,45,40,20,25,0,0,0
14741,C,Dave Clancey,17,0.5 Stars,1.5 Stars,N,N,N,N,N,N,Unknown,50,40,35,45,55,25,20,25,0,0,0
15005,C,Arthur Clark,16,0.5 Stars,2.5 Stars,N,N,H,N,H,N,Unknown,60,40,50,50,70,25,20,25,0,0,0
13796,C,GERALD CLARKE,23,1.5 Stars,2.0 Stars,H,H,H,N,H,N,Unknown,50,45,45,45,45,30,20,20,2016,5,3
13778,C,JEREMY CLARY,23,1.5 Stars,1.5 Stars,H,N,N,N,N,N,Unknown,40,45,50,45,45,25,20,20,2016,6,13
9532,C,MIKE CLAY,26,1.5 Stars,1.5 Stars,N,H,N,N,H,N,Normal,40,35,30,45,45,25,20,35,2011,4,16
14235,C,Ron Clough,18,0.5 Stars,2.5 Stars,N,N,H,N,N,N,Unknown,55,45,45,50,50,25,20,30,0,0,0
15406,C,Blair Cobb,17,0.5 Stars,1.5 Stars,N,H,L,L,L,N,Unknown,45,35,30,45,40,40,30,50,0,0,0
11310,C,Antan Cochat,22,0.5 Stars,1.5 Stars,N,N,H,N,N,N,Normal,45,40,40,45,50,25,30,25,0,0,0
9453,C,RYAN COLBURN,30,2.0 Stars,2.0 Stars,N,N,H,N,N,H,Normal,45,45,50,40,45,30,30,40,2009,6,14
15180,C,Keith Collier,17,0.5 Stars,1.5 Stars,N,N,L,N,L,N,Unknown,40,40,35,40,50,25,25,25,0,0,0
11664,C,NICK COLT,26,1.0 Stars,0.5 Stars,N,H,L,N,N,N,Normal,35,35,35,45,35,25,20,30,0,0,0
13334,C,Alejandro Contreras,19,0.5 Stars,2.5 Stars,N,N,H,N,H,N,Unknown,45,50,60,55,40,40,30,25,0,0,0
11863,C,Isaac Cook,25,0.5 Stars,0.5 Stars,H,N,N,H,H,L,Captain,35,35,25,55,40,35,20,25,0,0,0
9182,C,DANNY COOPER,26,1.5 Stars,1.5 Stars,L,N,L,N,L,N,Normal,40,30,35,50,45,35,25,30,2013,10,20
11027,C,ROSS COPELAND,22,1.0 Stars,2.0 Stars,H,N,N,N,N,L,Outspoken,45,40,50,45,50,45,40,55,2014,7,10
14027,C,Antonio Cordon,18,0.5 Stars,1.5 Stars,N,N,L,N,N,N,Unknown,45,40,40,40,45,25,20,20,0,0,0
10819,C,Lance Corti,23,1.5 Stars,1.5 Stars,N,H,N,N,H,N,Normal,45,40,40,45,50,20,20,20,2012,4,10
14891,C,Odílio Corvite,17,0.5 Stars,1.5 Stars,L,N,N,N,N,N,Unknown,45,40,45,45,45,30,30,35,0,0,0
7189,C,Valentino Costocurta,34,2.5 Stars,2.5 Stars,L,N,N,L,H,N,Fan Fav,45,50,55,50,35,25,30,30,0,0,0
15400,C,Iestyn Craig,16,0.5 Stars,2.5 Stars,L,L,N,H,N,L,Unknown,55,45,45,50,55,35,30,30,0,0,0
13032,C,Leo Crawford,19,0.5 Stars,2.0 Stars,L,N,N,N,N,N,Unknown,60,40,40,45,50,25,20,20,2017,7,20
11181,C,Clay Cross,26,2.0 Stars,2.0 Stars,L,H,H,N,L,L,Normal,40,40,20,50,45,50,55,60,0,0,0
7479,C,Jose Cuadra,32,2.0 Stars,2.0 Stars,N,N,N,N,N,N,Normal,45,45,50,45,50,20,20,25,0,0,0
14559,C,Tim Cummings,17,0.5 Stars,2.0 Stars,N,H,N,N,N,N,Unknown,45,50,50,45,50,35,25,20,0,0,0
14688,C,Feltse Dalebout,17,0.5 Stars,0.5 Stars,N,N,N,N,L,N,Unknown,40,35,30,40,45,30,20,25,0,0,0
13811,C,Marcus Damen,19,0.5 Stars,3.0 Stars,N,H,N,L,N,N,Unknown,50,45,60,55,50,25,20,30,2017,2,9
13569,C,Terashi Date,19,0.5 Stars,1.5 Stars,N,N,N,N,N,L,Unknown,40,35,55,40,35,25,20,20,0,0,0
10680,C,Stefan Davies,23,1.0 Stars,1.0 Stars,N,L,N,N,N,N,Normal,35,30,40,45,40,20,20,20,0,0,0
8980,C,PHIL DAVIS,31,2.5 Stars,2.5 Stars,N,N,N,H,N,N,Normal,45,40,50,55,55,35,45,50,2006,6,5
11502,C,JOSE DE JESUS,21,1.5 Stars,2.5 Stars,N,N,N,N,N,N,Normal,55,55,55,50,50,35,20,25,2014,1,20
12653,C,Ellerd de Jong,20,0.5 Stars,1.5 Stars,N,N,H,N,H,N,Sparkplug,40,40,50,45,50,40,35,45,0,0,0
10755,C,Mario de la Cruz,23,1.0 Stars,1.5 Stars,N,N,N,N,N,N,Normal,45,40,50,45,50,25,20,30,0,0,0
15383,C,Wibren de Lange,16,0.5 Stars,2.5 Stars,N,N,N,H,N,H,Unknown,55,40,60,45,55,20,25,30,0,0,0
13644,C,Luppe de Vries,19,0.5 Stars,2.5 Stars,N,H,L,N,N,N,Unknown,45,50,60,55,35,30,30,30,0,0,0
14820,C,Gerard de Wit,18,0.5 Stars,2.5 Stars,N,N,N,N,N,N,Unknown,40,45,70,50,35,20,20,25,0,0,0
11548,C,GERARD DEACON,25,1.5 Stars,1.5 Stars,N,N,N,H,H,N,Normal,45,50,45,40,45,25,45,65,2014,11,3
10435,C,Matt DeLand,23,1.5 Stars,2.0 Stars,N,N,H,N,N,N,Normal,45,40,45,45,45,20,20,35,2012,7,19
13066,C,Danny Delgado,19,0.5 Stars,2.0 Stars,N,N,N,N,N,N,Unknown,50,40,50,40,45,20,25,25,2017,6,13
14270,C,Carlo Della Mea,18,0.5 Stars,2.5 Stars,N,N,N,H,H,N,Unknown,50,45,55,40,45,20,25,20,0,0,0
11446,C,OSCAR DENIS,26,2.0 Stars,2.0 Stars,N,N,N,N,N,N,Normal,45,40,40,45,50,25,20,30,2013,4,5
10153,C,JASON DILLON,25,1.5 Stars,1.5 Stars,N,L,L,N,N,N,Normal,50,35,30,55,50,20,20,30,2014,4,17
11550,C,MILAN DJURDJUVIC,25,0.5 Stars,1.0 Stars,N,N,L,N,N,N,Normal,40,35,30,45,40,25,25,20,2014,11,16
10292,C,Christophe Dumont,25,1.0 Stars,0.5 Stars,L,N,N,N,L,N,Normal,40,35,35,40,45,60,55,70,0,0,0
9602,C,JOHN DUNN,26,3.0 Stars,3.0 Stars,N,N,H,N,H,L,Sparkplug,50,45,55,55,50,30,20,65,2013,3,4
12360,C,RAUL DURAN,24,2.5 Stars,3.0 Stars,H,H,N,N,N,N,Normal,55,50,60,50,50,20,20,20,2015,5,7
12108,C,George Durand,21,0.5 Stars,2.0 Stars,N,N,N,N,N,H,Normal,50,50,45,45,55,20,30,30,0,0,0
13329,C,Brandon Edwards,18,0.5 Stars,1.0 Stars,N,N,N,N,N,N,Unknown,40,40,35,45,40,35,20,20,0,0,0
13779,C,STEVE EDWARDS,23,0.5 Stars,2.0 Stars,N,H,N,L,H,H,Unknown,50,40,35,45,50,20,20,20,2017,11,4
8340,C,JACK EILERS,29,2.5 Stars,2.5 Stars,N,H,N,N,N,H,Normal,45,60,50,30,60,30,35,35,2007,4,7
11824,C,Tomaz Eiras,22,1.0 Stars,2.0 Stars,H,N,N,N,N,N,Normal,55,40,35,50,60,20,30,20,0,0,0
11436,C,MIQUEL ELTINK,23,2.0 Stars,2.0 Stars,H,N,N,L,H,H,Captain,55,45,40,50,60,40,20,20,2013,6,8
12768,C,Steve Eltis,20,0.5 Stars,1.5 Stars,N,N,N,N,N,N,Normal,45,40,40,35,50,25,30,20,0,0,0
14697,C,Divino Embaraador,18,0.5 Stars,2.0 Stars,N,L,L,N,N,N,Unknown,65,45,35,35,70,25,40,30,0,0,0
10900,C,BEN EMERY,26,0.5 Stars,0.5 Stars,N,N,N,N,L,N,Normal,35,35,30,45,35,20,20,20,0,0,0
11410,C,EZEQUIEL ERNESTO,23,2.0 Stars,2.0 Stars,N,L,N,N,N,N,Normal,45,45,45,45,45,30,30,45,2013,6,6
12325,C,ANTONIO ESCOBAR,24,2.0 Stars,2.5 Stars,N,H,N,N,N,N,Normal,50,45,50,55,50,25,20,25,2015,7,14
12316,C,ISRAEL ESPARZA,21,0.5 Stars,1.5 Stars,L,N,L,N,L,N,Unknown,45,45,50,40,50,20,20,25,0,0,0
8156,C,Oscar Espinoza,30,2.0 Stars,2.0 Stars,N,N,L,N,L,L,Unmotivated,45,45,50,45,50,20,25,25,0,0,0
13149,C,Bart Evans,20,0.5 Stars,1.5 Stars,H,N,N,N,N,N,Unknown,45,40,50,50,45,25,20,20,0,0,0
13376,C,Jesse Evans,19,0.5 Stars,2.5 Stars,H,N,N,N,N,N,Unknown,55,40,60,50,55,20,30,25,0,0,0
9563,C,TOMMY EVANS,26,2.0 Stars,2.0 Stars,N,N,N,N,N,H,Normal,45,40,45,45,50,30,30,30,2010,12,10
12985,C,RYOUMA EZAKI,19,0.5 Stars,2.5 Stars,N,N,N,N,N,N,Unknown,55,45,45,45,55,30,25,30,2016,4,9
8410,C,Ben Fagan,34,2.0 Stars,2.0 Stars,L,N,H,L,H,N,Normal,45,50,40,50,50,45,60,40,2005,6,11
11215,C,Fernando Feliciano,22,1.5 Stars,2.0 Stars,N,N,L,N,N,N,Normal,50,45,45,40,50,20,25,30,0,0,0
12005,C,Barney Fennell,21,0.5 Stars,2.5 Stars,N,N,N,N,N,H,Normal,60,45,50,45,55,25,35,30,0,0,0
15345,C,Katsuaki Feo,15,0.5 Stars,2.5 Stars,N,N,N,N,N,N,Unknown,50,45,50,50,55,30,35,20,0,0,0
10661,C,Raul Fernandez,24,2.0 Stars,2.5 Stars,N,N,N,L,N,N,Humble,50,45,45,60,50,40,50,40,0,0,0
11925,C,Jose Ferreras,22,0.5 Stars,1.5 Stars,H,N,N,N,N,N,Normal,45,45,30,45,50,35,35,25,0,0,0
10122,C,Cameron Finch,24,4.5 Stars,4.5 Stars,N,N,H,N,H,N,Normal,50,45,70,60,65,25,20,45,2011,4,4
14269,C,Vittoriano Fischetti,17,0.5 Stars,2.0 Stars,H,H,N,L,N,N,Unknown,55,45,55,40,55,20,20,20,0,0,0
10951,C,DEAN FLETCHER,22,0.5 Stars,1.0 Stars,N,N,N,N,N,N,Unknown,40,30,35,40,50,20,20,20,0,0,0
7679,C,Kasey Florio,30,1.5 Stars,1.5 Stars,L,L,N,H,N,N,Normal,40,45,45,45,40,20,25,20,2005,3,1
13091,C,Mike Fox,19,0.5 Stars,2.0 Stars,L,H,N,N,H,N,Unknown,55,45,40,40,55,30,20,20,2017,6,6
11630,C,CATALDO FRANCHESCETTI,21,1.0 Stars,2.5 Stars,H,N,H,N,N,H,Unknown,50,50,50,55,45,30,20,35,2016,6,11
8275,C,CHRIS FRANKLIN,29,2.0 Stars,2.0 Stars,L,L,N,H,N,N,Selfish,35,50,50,65,45,25,35,20,2006,5,9
13115,C,Dionisio Frassetto,20,0.5 Stars,1.5 Stars,H,N,N,N,H,N,Unknown,40,40,45,50,45,25,20,25,0,0,0
9443,C,EDDIE FRAZIER,27,2.0 Stars,2.0 Stars,H,N,L,L,H,H,Captain,45,35,55,45,45,35,35,45,2009,10,6
15209,C,Duarte Fujii,16,0.5 Stars,2.0 Stars,L,N,L,N,L,N,Unknown,50,40,45,45,50,45,30,35,0,0,0
11327,C,Kazutomo Fujimoto,22,1.0 Stars,2.0 Stars,N,N,L,H,L,N,Unmotivated,55,45,35,60,65,25,25,20,0,0,0
8584,C,Akinori Fukui,29,2.0 Stars,2.0 Stars,N,N,N,L,N,N,Normal,40,35,45,45,50,35,30,50,0,0,0
7674,C,Jose Galban,31,2.0 Stars,2.0 Stars,N,N,N,L,N,N,Humble,40,55,40,55,35,65,65,75,2005,1S,1
6205,C,Cesar Galvez,35,1.5 Stars,1.5 Stars,N,L,N,N,N,N,Normal,40,35,40,45,45,20,20,20,0,0,0
15056,C,Aaron Galvin,16,0.5 Stars,2.5 Stars,N,L,N,N,N,N,Unknown,50,50,50,55,55,30,35,35,0,0,0
14172,C,Gustavo Gamossi,18,0.5 Stars,2.0 Stars,N,N,H,N,N,N,Unknown,50,35,45,40,45,35,35,35,0,0,0
