Name,Pos,T,Age,ERA+,WAR,OVR,OVR_RL,POT,LEA,WE,INT,Prone,STU P,MOV P,CON P,STM,PIT,FBP,CHP,CBP,SLP,SIP,SPP,CTP,FOP,CCP,SCP,KCP,KNP,DEM,Sign,ID
Joshua Peet,SP,L,18,86.2,0.88,1.0 ,2.0 ,2.0 ,N,N,N,Normal,45,45,55,40,3,45,55,-,50,-,-,-,-,-,-,-,-,$190k,Extremely Hard,15726
Ernesto Santiago,SP,L,18,86.5,0.88,1.0 ,2.0 ,2.0 ,N,N,H,Normal,45,45,55,40,3,45,50,-,-,-,-,50,-,-,-,-,-,$180k,Extremely Hard,15736
Nenad Pasic,RP,L,17,108.9,0.83,1.0 ,1.5 ,2.5 ,H,H,N,Normal,75,55,40,35,2,80,-,80,-,-,-,-,-,-,-,-,-,$180k,Extremely Hard,15843
Jong-ho Kim,SP,R,20,80.3,0.73,1.5 ,3.5 ,2.0 ,N,H,N,Fragile,40,50,40,45,5,40,40,-,35,40,-,35,-,-,-,-,-,Slot,Normal,16221
Isra'il Bahiyy al Din,RP,L,18,105.9,0.72,0.5 ,1.5 ,2.5 ,N,L,N,Normal,55,50,55,30,2,80,-,60,-,-,-,-,-,-,-,-,-,$170k,Extremely Hard,15876
John Auclair,SP,L,23,79.3,0.72,1.5 ,4.0 ,2.0 ,L,N,N,Normal,45,45,45,55,3,50,-,-,-,55,-,50,-,-,-,-,-,Slot,Normal,15808
Lyndon Lewis,RP,R,18,102.3,0.71,1.5 ,2.0 ,2.5 ,N,N,N,Durable,65,50,45,35,2,80,-,-,80,-,-,-,-,-,-,-,-,$180k,Extremely Hard,15739
Dustin Dondale,RP,L,18,104.0,0.66,1.5 ,2.0 ,2.5 ,N,N,L,Normal,55,50,50,30,2,80,-,-,55,-,-,-,-,-,-,-,-,$180k,Extremely Hard,16531
Sadahige Okubo,RP,R,18,98.9,0.63,1.5 ,2.0 ,2.0 ,N,N,N,Normal,40,60,55,40,2,40,45,-,-,-,-,-,-,-,-,-,-,$170k,Extremely Hard,15831
Andy Harting,SP,R,21,81.3,0.60,1.5 ,5.0 ,2.0 ,N,N,N,Normal,50,45,45,45,5,70,50,55,65,-,50,-,-,-,-,-,-,$120k,Hard,16243
Armando Anunciada,SP,L,18,79.6,0.59,1.0 ,2.0 ,2.0 ,N,N,N,Normal,50,40,50,55,6,50,50,50,50,-,50,-,-,-,-,50,-,$190k,Extremely Hard,16241
Kevin Hardy,SP,R,18,79.7,0.56,0.5 ,2.0 ,2.0 ,H,N,N,Normal,45,45,45,45,3,50,-,-,50,55,-,-,-,-,-,-,-,$170k,Extremely Hard,15853
Hakim Abraha,SP,R,21,77.3,0.52,1.5 ,2.5 ,2.0 ,N,L,L,Durable,45,45,45,50,3,80,35,-,60,-,-,-,-,-,-,-,-,Slot,Easy,13331
Renaud Baldini,RP,R,21,101.1,0.48,1.5 ,3.0 ,2.5 ,H,N,L,Durable,70,45,55,25,2,65,-,-,80,-,-,-,-,-,-,-,-,Slot,Hard,16410
Jeremie Lambertini,RP,R,18,100.7,0.48,0.5 ,1.5 ,2.0 ,N,N,N,Normal,50,50,50,25,2,55,-,-,50,-,-,-,-,-,-,-,-,Slot,Normal,15692
Ramon Jimenez,RP,R,18,102.2,0.48,1.0 ,1.5 ,2.5 ,N,N,L,Normal,55,55,45,25,2,80,-,80,-,-,-,-,-,-,-,-,-,$180k,Extremely Hard,15823
Danny Jaime,RP,R,18,98.5,0.40,1.0 ,1.5 ,2.5 ,N,N,N,Normal,60,50,45,25,3,80,-,-,-,45,-,60,-,-,-,-,-,$180k,Extremely Hard,15716
Stanislav Zivkovic,RP,R,18,96.1,0.39,1.0 ,1.5 ,2.5 ,L,N,N,Normal,65,45,50,30,2,65,-,-,80,-,-,-,-,-,-,-,-,$190k,Extremely Hard,15844
Carlos Mata,SP,L,22,78.8,0.35,1.0 ,2.0 ,2.0 ,N,L,N,Normal,45,50,30,45,3,50,45,-,50,-,-,-,-,-,-,-,-,Slot,Hard,13355
Mark Gaudet,RP,L,18,94.5,0.34,0.5 ,1.0 ,2.0 ,L,N,N,Normal,45,50,50,35,3,45,50,-,45,-,-,-,-,-,-,-,-,$190k,Extremely Hard,15862
Cecilio Jacquet,SP,R,20,78.7,0.33,1.0 ,2.5 ,2.0 ,N,L,N,Normal,50,45,40,45,3,80,60,-,45,-,-,-,-,-,-,-,-,Slot,Normal,14603
Hugo Esparza,RP,R,18,93.5,0.29,1.5 ,2.0 ,2.0 ,H,N,N,Normal,50,50,45,35,3,45,50,-,-,-,-,55,-,-,-,-,-,$180k,Extremely Hard,15711
Marvin Watson,SP,R,18,75.7,0.27,0.5 ,2.0 ,2.0 ,L,N,N,Normal,45,45,40,60,4,50,45,-,50,-,35,-,-,-,-,-,-,$180k,Extremely Hard,15511
Zuhair bin Omar,SP,R,18,77.4,0.23,0.5 ,1.5 ,2.0 ,N,N,N,Normal,40,50,35,45,3,40,50,-,-,50,-,-,-,-,-,-,-,$180k,Extremely Hard,15520
Quitério Goyoneche,SP,R,20,76.1,0.21,1.0 ,2.5 ,2.0 ,N,H,H,Normal,50,40,45,55,4,50,50,65,-,40,-,-,-,-,-,-,-,Slot,Normal,13859
Hidenori Taira,SP,L,17,81.9,0.20,0.5 ,2.0 ,2.0 ,N,N,N,Normal,45,50,35,35,5,-,50,65,45,-,-,45,-,-,-,30,-,$180k,Extremely Hard,15749
Dermott Cole,SP,R,21,78.4,0.14,1.5 ,3.5 ,2.0 ,H,N,N,Normal,45,45,45,40,4,45,50,45,45,-,-,-,-,-,-,-,-,Slot,Extremely Hard,16226
Tsukasa Kato,SP,R,21,76.7,0.13,1.0 ,2.0 ,2.0 ,L,N,N,Normal,45,45,40,45,3,75,50,-,50,-,-,-,-,-,-,-,-,Slot,Hard,13395
Alan Simmons,RP,R,18,89.5,0.05,1.0 ,1.5 ,2.0 ,N,N,N,Durable,70,40,50,30,2,-,-,-,80,-,-,75,-,-,-,-,-,$180k,Extremely Hard,16400
Luis Hernandez,SP,L,22,73.1,0.05,1.5 ,3.0 ,2.0 ,N,N,N,Normal,40,45,40,50,4,-,45,-,45,-,45,45,-,-,-,-,-,Slot,Very Easy,15637
Jim Latham,RP,L,17,90.9,0.04,1.0 ,1.5 ,2.0 ,N,N,L,Durable,75,40,50,30,2,80,70,-,-,-,-,-,-,-,-,-,-,$180k,Extremely Hard,15662
Jung-hoon Yoo,SP,R,22,80.2,0.00,1.5 ,4.0 ,2.0 ,N,N,N,Normal,50,40,55,35,3,65,-,-,-,40,-,50,-,-,-,-,-,Slot,Normal,15648
Chris Young,SP,R,17,73.7,-0.01,0.5 ,1.5 ,2.0 ,H,N,N,Normal,45,35,65,50,4,50,45,70,-,35,-,-,-,-,-,-,-,$170k,Extremely Hard,15829
Rolf Redman,SP,R,21,77.6,-0.03,1.0 ,2.5 ,1.5 ,L,L,N,Normal,45,50,30,40,4,55,40,-,45,-,-,45,-,-,-,-,-,Slot,Normal,13382
Wade Deacon,SP,R,17,71.4,-0.03,0.5 ,2.0 ,2.0 ,N,L,L,Normal,35,45,45,55,3,40,40,-,-,-,45,-,-,-,-,-,-,$190k,Extremely Hard,15851
Mario Fernandez,RP,R,18,85.1,-0.03,1.0 ,1.5 ,2.0 ,N,H,N,Fragile,40,50,45,35,2,45,40,-,-,-,-,-,-,-,-,-,-,$180k,Extremely Hard,15826
Juan Crisanto,SP,L,19,75.5,-0.05,0.5 ,2.0 ,2.0 ,H,N,N,Normal,65,40,35,55,3,65,80,-,50,-,-,-,-,-,-,-,-,$190k,Extremely Hard,15874
Matthew Wantuch,SP,R,19,73.1,-0.06,0.5 ,1.5 ,1.5 ,N,N,N,Normal,45,40,45,60,4,40,50,55,-,45,-,-,-,-,-,-,-,Impos.,Impossible,15723
Oh-min Choi,RP,L,21,86.8,-0.07,1.5 ,3.0 ,2.0 ,N,N,L,Durable,50,50,35,25,2,55,-,65,-,-,-,-,-,-,-,-,-,Slot,Easy,16409
Kaliq Fakih,SP,R,18,72.2,-0.11,0.5 ,1.5 ,2.0 ,N,H,N,Normal,40,45,40,50,3,45,35,-,45,-,-,-,-,-,-,-,-,$180k,Extremely Hard,15682
Harvey Englund,RP,L,18,85.9,-0.13,0.5 ,1.0 ,2.0 ,N,N,N,Normal,60,40,55,25,2,80,-,-,-,-,65,-,-,-,-,-,-,$180k,Extremely Hard,15673
Robby Pruett,SP,R,17,72.8,-0.14,0.5 ,2.0 ,2.0 ,L,N,N,Normal,45,35,55,50,3,55,45,-,-,-,-,55,-,-,-,-,-,Impos.,Impossible,16408
Fernando Ortiz,RP,L,18,87.2,-0.22,0.5 ,1.5 ,2.0 ,N,H,N,Normal,80,45,30,35,2,80,-,-,-,-,80,-,-,-,-,-,-,Slot,Normal,15748
Dave Allard,SP,R,18,73.0,-0.23,0.5 ,1.5 ,2.0 ,N,N,N,Normal,55,35,45,60,5,60,50,80,-,-,40,45,-,-,-,-,-,$180k,Extremely Hard,15683
Moo-hyun Kim,SP,R,22,71.2,-0.28,1.5 ,4.5 ,2.0 ,N,N,N,Normal,40,45,40,50,5,40,45,45,-,40,45,-,-,-,-,-,-,Slot,Hard,16240
Seung-jin Seol,SP,R,18,71.3,-0.28,0.5 ,1.5 ,2.0 ,N,N,N,Normal,40,45,40,50,5,40,30,40,45,-,-,-,-,-,-,30,-,$190k,Extremely Hard,15717
Roberto Valverde,SP,L,21,72.0,-0.28,1.5 ,3.5 ,2.0 ,N,N,L,Durable,45,40,45,55,3,75,40,-,65,-,-,-,-,-,-,-,-,Slot,Hard,13386
Jeremy Vasseur,RP,R,22,79.8,-0.32,1.5 ,2.5 ,2.0 ,N,N,N,Durable,50,45,40,25,2,75,55,-,-,-,-,-,-,-,-,-,-,Slot,Very Easy,13080
Scott Reinhart,SP,R,22,69.6,-0.42,1.0 ,2.5 ,2.0 ,N,N,N,Normal,40,40,45,50,3,45,40,-,-,-,35,-,-,-,-,-,-,Slot,Easy,13277
Jose Colunga,SP,R,19,76.4,-0.44,1.0 ,2.5 ,1.5 ,H,N,N,Normal,50,40,45,35,5,55,50,60,-,50,-,-,40,-,-,-,-,Slot,Normal,15088
Jorge Espinosa,SP,R,19,71.5,-0.50,0.5 ,2.0 ,2.0 ,N,N,H,Normal,55,40,35,65,3,50,60,-,-,75,-,-,-,-,-,-,-,Slot,Normal,15124
Petar Jigovic,RP,R,18,82.5,-0.50,1.0 ,1.5 ,2.0 ,N,N,N,Normal,80,45,25,35,2,80,-,-,80,-,-,-,-,-,-,-,-,$180k,Extremely Hard,15840
Steve Libertini,RP,R,21,76.5,-0.54,1.5 ,2.0 ,1.5 ,N,N,N,Normal,50,45,35,30,2,80,40,-,-,-,-,-,-,-,-,-,-,Slot,Extremely Hard,13845
Jordan Pond,SP,L,20,72.0,-0.54,1.0 ,2.0 ,1.5 ,N,N,N,Normal,45,40,45,45,3,50,45,-,-,-,55,-,-,-,-,-,-,Slot,Extremely Hard,14585
Muaz Hatim,RP,R,19,73.1,-0.67,0.5 ,1.0 ,1.5 ,N,N,N,Normal,45,40,45,25,2,50,-,45,-,-,-,-,-,-,-,-,-,$190k,Extremely Hard,15724
