Name,Pos,Age,Bats,WAR,OVR,RL,POT,HR,AVG,SB,DEF Pot,LEA,WE,INT,Prone,CON P,POW P,EYE P,1B Pot,2B Pot,3B Pot,SS Pot,LF Pot,CF Pot,RF Pot,SPE,STE,RUN,DEM,Sign,ID
Gian-Carlo Burti,RF,21,L,3.782,1.5 ,4.5 ,3.5 ,35,0.290,0,45,N,L,N,Normal,60,70,45,40,-,-,-,50,25,45,40,30,25,$360k,Hard,16237
Scott Tarver,RF,18,S,3.775,1.5 ,2.5 ,3.0 ,40,0.241,1,50,N,L,N,Durable,45,80,75,35,-,-,-,60,40,50,40,40,45,$450k,Extremely Hard,16527
Eric Botz,2B,18,R,3.766,1.0 ,2.0 ,3.0 ,14,0.313,8,40,N,N,N,Normal,80,45,45,55,40,25,25,30,-,20,45,65,65,$450k,Extremely Hard,16229
Mitch Aastrom,1B,18,L,3.597,1.0 ,2.0 ,3.0 ,37,0.269,0,50,N,L,L,Normal,50,75,60,50,-,-,-,35,-,30,30,20,20,$700k,Extremely Hard,15747
Sam Rodd,SS,18,R,3.587,1.5 Stars,3.0 Stars,5.0 Stars,40,0.255,7,20,N,H,L,Normal,50,80,80,60,40,40,20,45,-,35,45,65,45,$3.0m,Extremely Hard,16530
Seong-soo Park,C,18,L,3.510,1.0 ,2.0 ,2.5 ,34,0.231,0,50,N,N,N,Durable,45,70,55,45,-,-,-,55,35,50,35,20,20,$430k,Extremely Hard,15704
Dave Coady,1B,21,R,3.507,2.0 ,5.0 ,4.0 ,40,0.241,0,50,N,H,N,Normal,45,80,80,50,20,-,-,30,-,-,35,20,20,$1.0m,Normal,16242
Chad Patterson,CF,21,S,3.493,2.0 ,5.0 ,3.0 ,18,0.277,5,45,N,N,N,Normal,65,50,55,45,25,30,-,65,45,60,55,50,45,$110k,Easy,16232
Michael Bonnot,SS,17,R,3.488,1.0 ,2.0 ,3.5 ,18,0.290,0,45,L,H,N,Normal,70,50,45,70,55,50,45,35,-,30,45,20,25,$190k,Extremely Hard,15825
Alex Hurtado,CF,17,R,3.473,1.0 ,2.0 ,3.0 ,26,0.266,5,50,N,N,N,Normal,55,60,45,35,-,-,-,65,50,60,45,60,50,$320k,Extremely Hard,15834
Yasahiko Otani,C,18,L,3.465,1.0 ,2.0 ,3.0 ,18,0.279,0,45,N,N,N,Normal,65,50,50,50,30,35,-,50,30,45,25,40,25,Impos.,Impossible,15671
Abdul-Malik bin Bishr,2B,17,R,3.454,1.0 ,2.0 ,3.5 ,10,0.308,4,45,N,N,N,Normal,80,40,40,65,45,20,25,55,40,45,70,40,60,$650k,Extremely Hard,15873
Hiroaki Kobayashi,C,18,R,3.435,1.0 ,2.0 ,3.0 ,22,0.260,0,45,N,H,N,Fragile,55,55,50,30,-,-,-,35,-,30,40,35,20,$300k,Normal,15845
Jorge Tellez,C,18,R,3.383,1.0 ,2.0 ,2.5 ,13,0.259,0,55,N,L,N,Normal,60,45,65,35,-,-,-,35,-,30,25,20,20,$230k,Extremely Hard,15860
Jon Lira,C,18,R,3.288,1.0 ,2.0 ,4.0 ,10,0.308,0,40,N,N,N,Normal,80,40,45,40,-,-,-,45,-,40,25,20,20,$2.0m,Extremely Hard,15670
Edgar Olmedo,C,21,R,3.263,1.5 ,2.5 ,2.5 ,18,0.265,0,55,N,N,L,Durable,60,50,45,45,-,20,-,40,-,35,30,30,30,Slot,Hard,14992
Dave Bates,CF,18,R,3.134,1.0 ,2.0 ,3.0 ,28,0.231,5,45,N,N,N,Normal,45,65,80,60,35,30,25,65,45,60,70,45,50,$950k,Extremely Hard,15660
Celestino Hintze,CF,18,L,3.115,1.0 ,2.0 ,3.5 ,26,0.301,4,30,N,N,N,Normal,70,60,45,25,-,-,-,50,30,45,65,40,25,$320k,Extremely Hard,15838
Maxim Groenendijk,CF,18,L,2.999,1.0 ,2.0 ,3.0 ,14,0.286,3,55,N,N,L,Normal,70,45,40,50,-,-,-,75,55,70,50,45,60,$1.9m,Extremely Hard,15878
Toshoku Toda,SS,18,R,2.968,1.5 ,2.5 ,2.5 ,14,0.248,8,65,H,N,H,Durable,55,45,50,75,75,65,65,60,35,50,60,60,45,$450k,Extremely Hard,16524
Stanislav Celebic,C,18,R,2.868,1.0 ,2.0 ,2.5 ,22,0.247,1,45,N,N,N,Normal,50,55,50,40,-,25,-,50,25,45,40,40,40,$190k,Hard,15824
Kenny Varner,C,18,R,2.847,1.0 ,2.0 ,2.5 ,30,0.226,0,50,N,H,N,Durable,45,65,50,40,-,-,-,40,-,35,20,30,25,$600k,Extremely Hard,15837
David Richards,C,20,R,2.840,1.0 ,2.5 ,2.5 ,18,0.255,0,55,H,N,N,Normal,55,50,45,35,-,-,-,-,-,-,25,20,20,Slot,Normal,13895
Jun-seok Kim,SS,19,R,2.743,1.0 ,2.0 ,2.5 ,18,0.256,6,45,H,N,N,Normal,55,50,50,75,55,55,45,40,-,35,60,50,60,$450k,Extremely Hard,15666
Radovan Cosic,C,18,R,2.732,1.0 ,2.0 ,2.5 ,22,0.239,0,50,N,N,N,Durable,50,55,55,45,-,-,-,25,-,-,30,30,25,$170k,Extremely Hard,15521
Gil Backer,SS,18,R,2.701,1.0 ,2.0 ,2.5 ,18,0.279,1,35,N,H,N,Normal,65,50,45,60,45,40,35,40,-,35,55,30,20,$300k,Extremely Hard,16227
Tony Aguilar,C,18,R,2.532,1.0 ,2.0 ,2.5 ,18,0.234,0,50,L,N,N,Normal,50,50,65,35,-,-,-,35,-,35,35,20,20,Impos.,Impossible,15731
Randy Swerdlove,CF,17,R,2.520,1.0 ,2.0 ,3.0 ,22,0.270,7,35,N,H,N,Durable,60,55,55,50,-,-,-,60,35,50,55,55,50,$180k,Extremely Hard,16250
Shigetsugu Yamamoto,SS,21,R,2.493,1.5 ,4.0 ,2.5 ,23,0.247,1,55,H,N,N,Normal,50,55,45,80,65,60,55,70,50,65,35,45,50,Slot,Normal,16228
Georgs Torriani,SS,18,R,2.458,1.0 ,2.0 ,2.5 ,10,0.283,6,45,H,H,N,Normal,70,40,45,70,50,55,45,45,-,35,50,55,60,$1.6m,Extremely Hard,15699
Evan Heath,1B,21,R,2.388,1.5 ,4.5 ,3.0 ,22,0.284,0,45,N,L,L,Normal,65,55,55,45,-,-,-,45,-,35,35,35,40,$600k,Extremely Hard,16401
Oscar Lujan,3B,22,R,2.384,1.0 ,2.0 ,2.5 ,18,0.280,0,40,L,N,N,Normal,65,50,55,75,35,40,30,35,-,35,30,40,40,$160k,Normal,13321
Ellerd Bakker,SS,21,S,2.334,1.0 ,2.5 ,2.5 ,14,0.263,0,50,N,N,N,Normal,60,45,45,70,60,55,50,50,-,45,40,35,35,Slot,Extremely Hard,13863
Riyadh bin Shihab,C,18,L,2.304,1.0 ,2.0 ,2.0 ,23,0.234,0,55,N,N,N,Normal,45,55,45,35,-,-,-,40,-,30,20,30,35,$180k,Extremely Hard,15725
Julian Gonzales,3B,18,R,2.252,1.0 ,2.0 ,2.5 ,18,0.268,0,45,N,H,N,Normal,60,50,50,60,35,45,30,55,30,50,40,30,35,$180k,Extremely Hard,15678
Lawrence Slade,C,18,S,2.200,1.0 ,2.0 ,2.5 ,18,0.255,0,40,N,N,N,Normal,55,50,50,45,-,-,-,60,40,50,20,25,35,$370k,Extremely Hard,15841
Hideo Kimura,C,18,R,2.155,1.0 ,2.0 ,2.5 ,18,0.243,0,50,N,L,N,Normal,50,50,45,35,-,-,-,30,-,25,30,30,35,$180k,Extremely Hard,15659
Stu Jones,C,18,R,2.152,1.0 ,2.0 ,2.5 ,18,0.243,0,45,N,H,N,Normal,50,50,55,30,-,-,-,35,-,25,35,25,20,$220k,Extremely Hard,15685
Shinya Okuhara,C,18,R,2.138,1.0 ,2.0 ,2.5 ,14,0.249,0,50,L,N,N,Normal,55,45,50,35,-,-,-,-,-,-,25,20,20,$190k,Extremely Hard,15698
Dylan Sanderson,CF,17,L,2.125,1.0 ,2.0 ,2.5 ,10,0.308,0,40,N,N,N,Normal,80,40,30,50,25,25,-,60,40,55,50,20,20,$440k,Extremely Hard,15519
Eric Byford,3B,18,R,2.061,1.0 ,2.0 ,2.5 ,34,0.226,0,45,N,N,N,Normal,45,70,50,60,35,45,30,55,30,50,45,20,20,$350k,Normal,15820
Zeljko Kajosevic,3B,23,L,1.824,1.5 ,4.0 ,3.0 ,25,0.216,7,40,N,H,L,Normal,45,60,80,60,35,40,-,45,-,40,50,60,60,$700k,Easy,15787
Geronimo Masaccio,SS,22,R,1.812,2.0 ,5.0 ,2.5 ,13,0.228,6,45,N,H,N,Durable,50,45,80,70,60,50,45,40,-,35,55,50,50,Slot,Normal,16245
Joe Capossela,CF,18,R,1.804,1.0 ,2.0 ,2.5 ,14,0.259,5,50,L,N,N,Normal,60,45,45,35,-,-,-,70,50,60,55,50,45,$230k,Hard,15836
Tony Ledezma,C,18,R,1.768,1.0 ,2.0 ,2.5 ,14,0.248,0,40,N,N,N,Fragile,55,45,55,45,-,-,-,40,-,40,30,25,20,Impos.,Impossible,15710
Dermot Boyle,2B,17,R,1.751,1.0 ,2.0 ,2.5 ,18,0.255,2,40,N,H,N,Normal,55,50,50,55,40,40,25,55,30,50,55,40,50,$330k,Hard,15719
Djordje Jigovic,C,21,R,1.709,1.0 ,2.0 ,2.5 ,18,0.234,0,45,N,N,N,Normal,50,50,50,40,-,20,-,25,-,-,30,25,20,$100k,Normal,13839
Quincy Parmar,2B,19,R,1.606,1.0 ,2.0 ,2.0 ,19,0.255,0,50,N,N,N,Normal,55,50,40,60,50,40,40,30,-,-,35,25,35,Slot,Extremely Hard,15049
Alco Coppens,C,21,R,1.529,2.0 ,5.0 ,2.5 ,14,0.235,0,50,N,N,N,Durable,50,45,50,30,-,-,-,45,-,40,25,25,20,Slot,Extremely Hard,16529
Shigemi Sugimura,CF,17,R,1.499,1.0 ,2.0 ,2.5 ,22,0.259,7,35,N,N,L,Normal,55,55,50,35,-,-,-,55,35,50,55,55,55,$180k,Extremely Hard,15721
Noe Almendarez,SS,18,S,1.408,1.0 ,2.0 ,2.0 ,14,0.249,0,45,N,H,H,Durable,55,45,45,65,55,45,45,25,-,-,40,35,25,$170k,Extremely Hard,15738
Emeril Bassano,CF,18,R,1.336,1.0 ,2.0 ,2.5 ,10,0.265,5,45,N,L,N,Normal,65,40,45,45,-,30,-,65,45,60,65,45,40,$260k,Extremely Hard,16222
Mike Mayer,LF,18,R,1.319,1.0 ,2.0 ,3.0 ,10,0.288,4,50,N,L,L,Normal,75,40,30,45,-,-,-,50,25,45,60,45,40,$650k,Extremely Hard,15871
Fernando Porchianelo,CF,18,R,1.271,1.0 ,2.0 ,4.0 ,10,0.308,4,30,N,H,H,Normal,80,40,35,25,-,-,-,55,30,50,45,50,45,$2.6m,Extremely Hard,15744
Blake Dwyer,1B,18,R,1.220,1.0 ,2.5 ,2.0 ,18,0.267,0,55,N,N,N,Normal,60,50,45,55,20,-,-,35,-,25,30,40,40,$190k,Extremely Hard,15741
Brett Fleet,RF,19,L,1.162,1.5 ,2.5 ,2.5 ,30,0.244,0,40,N,N,N,Normal,45,65,50,40,-,-,-,45,-,40,30,20,25,Slot,Easy,15044
Andreas Tieleman,3B,18,R,1.140,0.5 ,1.5 ,2.0 ,14,0.238,3,60,N,N,N,Normal,50,45,45,75,55,60,50,75,55,70,35,55,60,$190k,Extremely Hard,15855
Shane Lynn,CF,18,R,0.877,1.0 ,2.0 ,2.0 ,18,0.222,1,45,N,N,N,Normal,45,50,60,35,-,-,-,60,45,50,60,30,35,$220k,Extremely Hard,15870
Joaquim Tatsuno,C,19,R,0.822,1.0 ,2.0 ,2.0 ,19,0.243,0,40,N,N,N,Durable,50,50,40,35,-,-,-,-,-,-,20,20,20,Slot,Hard,14450
Chad Garay,LF,18,R,0.819,1.0 ,2.0 ,2.0 ,18,0.243,0,50,N,N,N,Normal,50,50,50,40,-,-,-,50,20,40,30,20,30,$180k,Extremely Hard,15733
Bong-hwan Shin,CF,18,S,0.803,1.0 ,2.0 ,2.5 ,22,0.249,0,25,N,N,N,Normal,50,55,65,25,-,-,-,50,25,45,55,25,20,$470k,Extremely Hard,15879
Walt Sprague,SS,18,S,0.703,1.0 ,2.0 ,2.0 ,18,0.222,1,45,L,L,N,Normal,45,50,50,70,45,60,45,-,-,-,35,45,45,$180k,Extremely Hard,15679
Justin Head,CF,18,R,0.621,1.0 ,2.0 ,2.0 ,14,0.262,8,35,N,N,L,Normal,60,45,45,35,-,-,-,55,35,50,70,50,50,Slot,Hard,15509
John Barracosa,C,21,S,0.590,1.0 ,2.0 ,2.0 ,14,0.219,0,50,L,N,N,Normal,50,45,40,50,-,20,-,-,-,-,25,30,50,Slot,Normal,13973
Josh Nichols,SS,18,R,0.573,1.0 ,2.0 ,2.0 ,14,0.238,4,40,N,N,N,Normal,50,45,45,70,50,45,40,30,-,25,50,50,50,$250k,Extremely Hard,15727
Myoung-chul Ahn,1B,18,L,0.517,1.0 ,2.0 ,2.5 ,25,0.216,1,45,N,N,N,Normal,45,60,80,45,-,-,-,35,-,25,30,45,55,$190k,Extremely Hard,15516
Seung-cheol Kim,C,22,R,0.495,1.0 ,2.0 ,2.0 ,19,0.222,0,45,N,N,N,Normal,45,50,40,40,-,-,-,-,-,-,30,30,40,Slot,Very Easy,13065
Trent Thompson,RF,18,L,0.484,1.0 ,2.0 ,2.0 ,14,0.251,0,45,N,N,L,Normal,55,45,50,40,-,-,-,50,30,45,40,30,40,$370k,Extremely Hard,15669
Juan Ramirez,SS,17,R,0.374,1.0 ,2.0 ,2.0 ,14,0.242,1,40,H,H,H,Normal,55,45,45,70,50,45,40,45,-,45,45,35,55,$180k,Extremely Hard,15695
Enrique Serrano,CF,21,R,0.343,1.5 ,2.5 ,2.0 ,22,0.234,3,35,N,N,H,Normal,45,55,50,30,-,-,-,55,35,45,65,40,45,Slot,Hard,16238
Taylor Oram,CF,18,L,0.254,1.0 ,2.0 ,2.0 ,19,0.243,1,40,N,H,N,Normal,50,50,40,40,-,-,-,60,40,50,55,35,50,$190k,Extremely Hard,15702
Borenko Karadzic,RF,18,R,0.238,1.0 ,2.0 ,2.0 ,14,0.249,1,45,L,L,L,Normal,55,45,50,30,-,-,-,50,25,45,55,30,20,Slot,Hard,15852
Armando Leal,1B,18,S,0.194,1.0 ,2.0 ,2.0 ,18,0.238,0,50,N,N,H,Normal,50,50,50,50,-,-,-,25,-,-,20,20,20,$180k,Extremely Hard,15681
Rajko Racic,LF,21,R,0.174,1.5 ,2.5 ,2.0 ,23,0.247,0,40,L,N,N,Normal,50,55,45,60,-,-,-,40,-,30,25,20,25,Slot,Hard,13311
Vinny Diaz,2B,17,R,0.082,1.0 ,2.0 ,2.0 ,14,0.238,3,40,L,H,N,Normal,50,45,50,70,40,30,30,25,-,-,50,45,50,$180k,Extremely Hard,15722
Zivojin Stanjevic,3B,22,R,0.029,1.0 ,2.0 ,2.0 ,19,0.228,1,45,N,H,N,Normal,45,50,40,60,30,45,30,50,-,45,45,35,50,Slot,Easy,13808
Clive Hopkins,RF,21,R,-0.033,1.5 ,3.5 ,2.0 ,14,0.248,4,40,N,H,N,Normal,55,45,50,40,-,-,-,40,-,40,55,45,45,Slot,Normal,16249
Li Trembath,C,21,R,-0.039,1.0 ,2.0 ,2.0 ,19,0.222,0,40,N,H,N,Durable,45,50,40,50,-,-,-,-,-,-,30,20,25,Slot,Extremely Hard,13869
Rob Oliver,2B,22,L,-0.087,1.0 ,2.0 ,2.0 ,14,0.249,4,35,N,H,N,Normal,55,45,40,55,35,30,-,25,-,-,50,50,30,Slot,Very Easy,13819
Tony Gaona,3B,18,R,-0.135,1.0 ,2.0 ,2.0 ,23,0.227,0,35,N,N,N,Normal,45,55,45,60,35,35,25,45,-,40,40,30,20,Slot,Hard,15861
Jun-soo Kim,CF,18,R,-0.190,1.0 ,2.0 ,2.5 ,22,0.224,6,30,N,N,N,Normal,50,55,55,70,35,-,-,50,30,40,65,50,45,$180k,Extremely Hard,16412
Min-jun Kim,3B,22,L,-0.205,1.5 ,3.5 ,2.0 ,10,0.232,0,50,N,N,N,Normal,50,40,35,65,45,50,40,60,45,50,25,20,40,Slot,Easy,16519
Benedito Patena,SS,18,S,-0.371,1.0 ,2.0 ,2.0 ,14,0.216,4,40,N,N,N,Normal,45,45,50,80,55,40,40,35,-,30,40,55,50,$180k,Extremely Hard,15875
Dennis Carrier,CF,17,L,-0.590,1.0 ,2.0 ,2.0 ,14,0.248,1,30,N,N,N,Normal,55,45,45,40,-,-,-,55,30,45,35,45,45,$180k,Extremely Hard,15869
Gabe Maldonado,SS,18,R,-0.601,0.5 ,1.0 ,2.0 ,23,0.199,1,40,L,N,N,Normal,40,55,45,70,50,45,40,25,-,20,60,35,40,$370k,Extremely Hard,15743
Gabriel Elliott,CF,20,R,-0.614,1.0 ,2.0 ,2.0 ,19,0.222,3,40,N,N,N,Durable,45,50,40,35,-,-,-,60,40,50,55,45,40,Slot,Easy,14601
Heishu Kawamoto,RF,22,L,-0.618,1.5 ,2.5 ,2.0 ,19,0.222,0,50,N,N,N,Normal,45,50,40,35,-,-,-,60,40,50,45,30,30,Slot,Normal,13361
Jesse Stapleton,1B,18,R,-0.628,1.0 ,2.0 ,2.0 ,22,0.227,1,35,N,N,N,Normal,45,55,60,35,-,-,-,45,25,35,35,40,35,$180k,Extremely Hard,15677
Nick Malak,RF,22,R,-0.769,1.5 ,2.5 ,2.0 ,14,0.216,3,60,N,N,N,Normal,45,45,40,45,-,-,-,60,40,60,65,40,45,Slot,Hard,13337
Jae-weong Kim,2B,22,R,-0.796,1.5 ,3.0 ,2.0 ,10,0.232,2,35,L,N,N,Normal,50,40,50,50,35,25,-,25,-,-,40,45,45,Slot,Easy,15609
Chris Robin,C,18,R,-0.799,1.0 ,2.0 ,2.0 ,5,0.224,0,35,N,H,N,Normal,50,30,50,45,-,-,-,40,-,35,25,20,20,$170k,Extremely Hard,16413
Julio Murillo,C,19,R,-0.856,1.0 ,2.0 ,2.0 ,14,0.216,0,35,L,N,H,Normal,45,45,40,40,-,-,-,-,-,-,25,20,25,Slot,Normal,15115
Koji Matsumoto,C,21,R,-0.882,1.0 ,2.0 ,2.0 ,14,0.236,0,30,N,N,N,Normal,50,45,35,35,-,-,-,-,-,-,30,30,20,Slot,Hard,13843
Sisto Cordova,SS,23,R,-0.928,1.5 ,3.0 ,2.0 ,10,0.211,1,45,N,N,N,Normal,45,40,45,55,50,55,45,70,50,65,55,35,25,Slot,Easy,15613
Scott Earle,2B,18,R,-0.931,1.0 ,2.0 ,2.0 ,23,0.206,0,35,H,H,N,Normal,40,55,45,60,35,35,-,40,-,30,40,20,20,Slot,Hard,15672
Jake Gould,SS,22,R,-0.952,1.0 ,2.0 ,2.0 ,23,0.227,3,30,N,N,N,Normal,45,55,30,60,40,45,30,40,-,40,55,45,35,Slot,Easy,13917
Chris Porter,SS,18,R,-0.999,1.0 ,2.0 ,2.0 ,7,0.220,0,40,H,H,N,Normal,50,35,45,65,45,50,40,35,-,30,40,20,20,Slot,Hard,15732
Miguel Tijerina,LF,22,L,-1.167,1.5 ,2.5 ,2.0 ,14,0.228,0,50,H,N,N,Normal,50,45,40,35,-,-,-,50,-,45,30,20,20,Slot,Easy,13283
Erwin Flach,3B,21,R,-1.346,1.0 ,2.0 ,2.0 ,23,0.227,3,20,N,N,N,Normal,45,55,45,40,-,20,-,40,-,25,40,50,45,Slot,Normal,13884
Balltesar Nakata,LF,17,S,-1.348,1.0 ,2.0 ,2.0 ,10,0.227,0,40,N,N,N,Normal,50,40,55,30,-,-,-,40,-,30,30,20,30,$170k,Extremely Hard,16414
Sean Burdette,C,22,R,-1.371,1.0 ,2.0 ,1.5 ,8,0.194,0,50,N,N,L,Normal,40,35,35,45,-,20,-,30,-,-,20,20,25,Slot,Hard,13367
Conor Tuthill,LF,18,L,-1.381,1.0 ,2.0 ,2.0 ,18,0.198,0,45,N,H,N,Normal,40,50,55,50,20,20,-,45,-,40,35,25,25,$170k,Extremely Hard,15665
Daisuke Ishii,1B,22,R,-1.552,1.5 ,2.5 ,2.0 ,7,0.229,0,50,N,L,N,Normal,50,35,45,50,-,-,-,-,-,-,30,30,30,Slot,Normal,13317
Josh McKinny,LF,21,R,-1.797,1.0 ,2.0 ,2.0 ,5,0.226,0,45,N,N,N,Durable,50,30,45,30,-,-,-,45,-,40,35,35,30,Slot,Hard,13874
Motoyasu Kawamura,C,21,R,-1.922,1.0 ,2.0 ,2.0 ,8,0.241,0,20,N,N,N,Normal,55,35,40,65,25,20,-,-,-,-,25,20,35,Slot,Hard,13403
Erik Jarquin,1B,17,R,-1.959,1.0 ,2.0 ,2.0 ,23,0.203,1,45,N,N,N,Normal,40,55,40,45,-,-,-,25,-,-,30,45,40,$190k,Extremely Hard,15701
Paul Lawrence,C,21,R,-2.160,1.0 ,2.0 ,1.5 ,3,0.201,1,45,N,N,N,Normal,45,25,35,30,-,-,-,-,-,-,35,40,25,Slot,Easy,13893
Whitney Braine,LF,17,R,-2.166,1.0 ,2.0 ,2.0 ,14,0.216,0,35,N,N,N,Normal,45,45,45,35,-,-,-,35,-,25,40,20,25,$190k,Extremely Hard,15687
Ricky Levitt,CF,18,R,-2.245,1.0 ,2.0 ,2.0 ,18,0.216,1,20,N,N,N,Normal,45,50,45,55,25,-,-,45,20,35,45,40,45,$180k,Extremely Hard,15833
Dan MacDormond,RF,17,L,-2.435,1.0 ,2.0 ,1.5 ,14,0.203,0,40,N,H,L,Normal,40,45,45,40,-,-,-,45,25,40,30,20,20,$190k,Extremely Hard,16526
Mason Morrissey,RF,22,R,-2.467,1.0 ,2.5 ,2.0 ,3,0.235,0,35,N,N,N,Normal,55,25,45,45,-,-,-,45,-,35,20,25,35,Slot,Easy,12890
Magali Pscoa,RF,22,L,-2.502,1.5 ,3.5 ,2.0 ,14,0.197,1,40,N,H,N,Normal,40,45,50,35,-,-,-,45,-,40,35,40,20,Slot,Easy,16390
Rui Nakagawa,C,21,R,-2.536,1.0 ,2.0 ,2.0 ,15,0.222,0,20,H,N,N,Normal,45,45,25,55,25,30,-,40,-,35,35,25,30,Slot,Normal,13882
Walter Humphrey,LF,22,R,-2.570,1.0 ,2.0 ,2.0 ,10,0.232,0,30,N,N,N,Normal,50,40,45,30,-,-,-,30,-,25,25,30,25,Slot,Extremely Hard,13371
John Stonecipher,LF,19,R,-2.601,1.0 ,2.0 ,2.0 ,19,0.216,0,30,L,N,N,Normal,45,50,40,30,-,-,-,30,-,25,50,20,20,Slot,Normal,14569
Quentin Simpson,CF,18,R,-2.752,1.0 ,2.0 ,1.5 ,10,0.211,0,25,L,N,H,Durable,45,40,45,50,-,-,-,45,25,35,40,20,20,Impos.,Impossible,15819
Danny Pacheco,C,21,L,-2.757,1.0 ,2.0 ,2.0 ,10,0.205,0,25,N,N,N,Normal,45,40,40,35,-,-,-,-,-,-,30,25,25,Slot,Normal,13052
Bryan Steinbach,CF,19,R,-2.762,1.0 ,2.0 ,1.5 ,18,0.203,1,20,L,N,N,Normal,40,50,45,30,-,-,-,40,20,35,40,40,40,Slot,Hard,15586
Colijn Koppert,2B,18,R,-2.809,1.0 ,2.0 ,1.5 ,10,0.202,5,30,N,L,N,Normal,40,40,45,65,30,25,-,35,-,30,55,50,45,$180k,Extremely Hard,15859
Sean Hynds,2B,22,R,-2.817,1.0 ,2.0 ,1.5 ,10,0.211,3,30,N,N,N,Normal,45,40,40,50,30,-,-,30,-,-,60,40,35,Slot,Hard,13365
Asadel Tamir,RF,21,S,-2.855,1.5 ,2.5 ,1.5 ,14,0.203,3,35,N,N,N,Normal,40,45,45,45,-,-,-,45,20,35,55,45,50,Slot,Hard,16528
Tony Gillissen,CF,19,R,-2.969,1.0 ,2.0 ,1.5 ,8,0.221,2,30,N,L,L,Normal,50,35,35,30,-,-,-,55,30,45,40,45,35,Slot,Hard,15805
