Name,POS,Age,T,OVR,RL,POT,LEA,WE,INT,Prone,PIT,STU P,MOV P,HRR P,PBABIP P,CON P,STM,VELO,FBP,CHP,CBP,SLP,SIP,SPP,CTP,FOP,CCP,SCP,KCP,KNP,DEM,Sign,ID
Freddy Fuentes,SP,18,L,0.5 Stars,1.5 Stars,2.5 Stars,N,N,N,Normal,3,60,50,60,45,40,55,90-92,55,60,-,-,60,-,-,-,-,-,-,-,$190 000,Extremely Hard,12898
Ramon Garza,SP,19,R,0.5 Stars,1.5 Stars,2.5 Stars,L,N,N,Normal,4,50,45,50,45,60,55,92-94,55,60,-,-,-,60,-,-,-,-,50,-,$180 000,Extremely Hard,13232
Seung-kyu Kim,SP,21,R,0.5 Stars,1.5 Stars,2.5 Stars,N,N,N,Normal,4,40,50,60,45,55,60,90-92,45,50,-,40,45,-,-,-,-,-,-,-,Slot,Easy,13914
Hughie Lloyd,SP,18,L,0.5 Stars,1.5 Stars,2.5 Stars,N,N,H,Fragile,4,50,45,55,45,50,55,90-92,50,55,-,55,50,-,-,-,-,-,-,-,$170 000,Extremely Hard,13229
Bogdan Loman,SP,21,L,1.0 Stars,2.5 Stars,2.5 Stars,H,N,N,Normal,3,45,50,55,45,65,60,88-90,-,60,-,50,-,-,55,-,-,-,-,-,$150 000,Very Easy,13821
Leo Loman,SP,18,L,0.5 Stars,1.5 Stars,2.5 Stars,N,H,N,Durable,3,45,45,50,40,60,70,89-91,45,-,-,50,55,-,-,-,-,-,-,-,$180 000,Extremely Hard,13068
Sam Marx,SP,18,L,0.5 Stars,1.5 Stars,2.5 Stars,L,L,L,Normal,4,45,55,65,45,55,65,91-93,-,45,-,50,45,50,-,-,-,-,-,-,$190 000,Extremely Hard,13082
Joel Mendoa,SP,19,R,0.5 Stars,1.5 Stars,2.5 Stars,N,N,L,Normal,4,60,45,50,45,55,55,93-95,65,60,45,-,60,-,-,-,-,-,-,-,$190 000,Extremely Hard,13237
Matt Miller,SP,18,L,0.5 Stars,1.5 Stars,2.5 Stars,N,N,H,Normal,3,45,55,70,45,45,55,92-94,45,55,-,-,55,-,-,-,-,-,-,-,$180 000,Extremely Hard,12891
Koichi Nakano,SP,21,R,1.0 Stars,3.0 Stars,2.5 Stars,N,N,H,Normal,4,45,50,60,45,55,65,91-93,50,55,-,50,45,-,-,-,-,-,-,-,$310 000,Easy,13920
Rich Nicholls,SP,22,L,0.5 Stars,1.5 Stars,2.5 Stars,N,N,H,Normal,3,55,50,55,45,60,35,90-92,50,-,-,-,55,-,65,-,-,-,-,-,$460 000,Hard,13223
Matt O'Grady,SP,17,R,0.5 Stars,1.5 Stars,2.5 Stars,N,N,H,Normal,4,60,45,50,45,35,65,92-94,60,60,-,65,60,-,-,-,-,-,-,-,Slot,Hard,13039
Dae-hyung Oh,SP,19,R,0.5 Stars,1.5 Stars,2.5 Stars,N,N,N,Normal,3,55,55,60,50,55,40,95-97,65,-,-,-,55,-,65,-,-,-,-,-,$900 000,Extremely Hard,13299
Kyle Painter,SP,21,R,0.5 Stars,1.5 Stars,2.5 Stars,N,N,N,Normal,4,60,45,50,45,45,60,92-94,60,-,-,60,60,-,-,-,-,45,-,-,$140 000,Normal,10989
Jarod Pavey,SP,18,L,0.5 Stars,1.5 Stars,2.5 Stars,N,N,L,Fragile,4,55,50,60,45,50,35,90-92,50,60,45,-,-,-,60,-,-,-,-,-,$180 000,Extremely Hard,12901
Paul Rathwell,SP,21,R,0.5 Stars,2.0 Stars,2.5 Stars,N,N,N,Normal,3,55,45,50,45,50,55,91-93,50,65,-,-,-,-,60,-,-,-,-,-,Slot,Normal,13813
Leonard Rebellin,SP,17,R,0.5 Stars,1.5 Stars,2.5 Stars,N,N,N,Normal,3,55,45,45,40,65,55,93-95,50,60,-,-,-,75,-,-,-,-,-,-,$180 000,Extremely Hard,12896
Javy Ruiz,SP,21,L,0.5 Stars,2.0 Stars,2.5 Stars,N,N,N,Durable,3,55,45,45,50,55,65,90-92,55,65,-,55,-,-,-,-,-,-,-,-,Slot,Very Easy,12957
Foppe Rutte,SP,18,R,0.5 Stars,1.5 Stars,2.5 Stars,L,N,N,Normal,4,45,50,60,40,60,65,90-92,45,45,-,-,45,-,50,-,-,-,-,-,$220 000,Extremely Hard,13921
Lee Smith,SP,22,R,0.5 Stars,2.0 Stars,2.5 Stars,N,L,N,Normal,3,45,50,50,45,60,65,89-91,50,-,-,45,50,-,-,-,-,-,-,-,$130 000,Hard,13281
Ivan Velasquez,SP,22,L,1.0 Stars,3.5 Stars,2.5 Stars,H,H,N,Normal,3,45,55,60,50,50,50,88-90,45,55,-,-,-,-,50,-,-,-,-,-,Slot,Easy,13292
Joey Walsh,SP,18,L,0.5 Stars,1.5 Stars,2.5 Stars,L,N,N,Normal,3,60,45,50,45,50,35,93-95,70,-,65,45,-,-,-,-,-,-,-,-,$190 000,Extremely Hard,13078
Jean Berger,RP,17,R,1.5 Stars,2.5 Stars,2.5 Stars,N,N,N,Normal,3,75,50,55,45,45,30,94-96,70,-,-,75,-,-,75,-,-,-,-,-,$180 000,Extremely Hard,13074
Curt Burden,RP,22,R,1.5 Stars,3.0 Stars,2.5 Stars,H,N,N,Normal,3,65,50,65,45,40,30,93-95,65,-,-,65,-,-,65,-,-,-,-,-,Slot,Easy,13239
Dario Gomez,RP,18,R,1.0 Stars,2.0 Stars,2.5 Stars,L,N,N,Normal,3,60,45,50,45,55,35,93-95,55,-,-,-,60,-,65,-,-,-,-,-,Impossible,Impossible,13087
Adam Newton,RP,19,L,0.5 Stars,1.5 Stars,2.5 Stars,N,N,N,Normal,2,80,45,45,45,30,30,92-94,70,-,80,-,-,-,-,-,-,-,-,-,$190 000,Extremely Hard,13285
Leon Norris,RP,19,L,0.5 Stars,2.0 Stars,2.5 Stars,N,N,N,Normal,2,65,45,55,45,50,25,92-94,65,65,-,-,-,-,-,-,-,-,-,-,Slot,Hard,13227
Usaburo Pintado,RP,18,R,0.5 Stars,1.5 Stars,2.5 Stars,N,N,L,Normal,2,60,45,55,40,55,40,92-94,60,-,70,-,-,-,-,-,-,-,-,-,$180 000,Extremely Hard,13022
John Lupkoski,CL,18,R,0.5 Stars,1.5 Stars,2.5 Stars,N,N,N,Normal,2,55,50,55,45,60,25,95-97,-,-,-,70,60,-,-,-,-,-,-,-,$190 000,Extremely Hard,13076
Lenny Tomkins,CL,22,R,1.5 Stars,3.0 Stars,2.5 Stars,L,N,N,Normal,2,50,50,55,45,60,30,93-95,55,-,65,-,-,-,-,-,-,-,-,-,Slot,Hard,13240
Dario Barron,SP,21,R,0.5 Stars,2.0 Stars,2.0 Stars,L,N,N,Normal,5,60,55,55,50,35,50,94-96,65,45,-,55,55,-,65,-,-,-,-,-,Slot,Normal,14396
Dylan Bartosz,SP,18,R,0.5 Stars,1.5 Stars,2.0 Stars,N,N,N,Fragile,3,45,45,50,45,40,55,90-92,45,55,-,-,-,60,-,-,-,-,-,-,Slot,Hard,13048
Hana bin Maudad,SP,18,R,0.5 Stars,1.5 Stars,2.0 Stars,H,H,N,Durable,3,35,45,55,45,55,50,89-91,45,35,-,-,-,-,45,-,-,-,-,-,$190 000,Extremely Hard,12892
Steve Brunskill,SP,18,R,0.5 Stars,1.5 Stars,2.0 Stars,N,N,N,Normal,3,45,45,45,40,55,60,92-94,50,45,-,-,55,-,-,-,-,-,-,-,$180 000,Extremely Hard,13036
Jasa Bulatovic,SP,21,R,0.5 Stars,1.5 Stars,2.0 Stars,L,L,H,Normal,4,50,40,40,40,45,75,91-93,55,-,-,-,55,-,55,-,-,-,45,-,Slot,Normal,13926
Matt Clayton,SP,22,R,0.5 Stars,1.5 Stars,2.0 Stars,N,N,N,Normal,3,40,45,55,45,45,50,87-89,45,-,55,-,50,-,-,-,-,-,-,-,Slot,Very Easy,13791
Chris Dixon,SP,18,R,0.5 Stars,1.5 Stars,2.0 Stars,N,N,N,Normal,5,45,45,45,45,55,50,89-91,45,45,-,45,50,-,55,-,-,-,-,-,$190 000,Extremely Hard,13086
Bill Hall,SP,17,L,0.5 Stars,1.5 Stars,2.0 Stars,N,N,N,Normal,5,75,45,55,45,30,70,90-92,55,65,65,-,50,75,-,-,-,-,-,-,$190 000,Extremely Hard,13803
Chet Legge,SP,18,L,0.5 Stars,1.5 Stars,2.0 Stars,N,H,N,Normal,4,50,40,40,45,55,50,91-93,50,60,50,-,50,-,-,-,-,-,-,-,$170 000,Extremely Hard,13019
Willis Lozano,SP,21,L,0.5 Stars,1.5 Stars,2.0 Stars,N,N,H,Normal,4,50,45,45,50,60,75,91-93,50,60,-,50,55,-,-,-,-,-,-,-,Slot,Very Easy,13812
John Luckett,SP,18,R,0.5 Stars,1.5 Stars,2.0 Stars,N,N,N,Normal,3,50,45,45,45,60,55,91-93,55,60,-,-,45,-,-,-,-,-,-,-,$370 000,Extremely Hard,13044
Ernst Mahoney,SP,17,L,0.5 Stars,1.5 Stars,2.0 Stars,N,N,L,Normal,3,55,45,50,40,40,55,89-91,50,65,-,40,-,-,-,-,-,-,-,-,$190 000,Extremely Hard,13029
Danny Martinez,SP,18,R,0.5 Stars,1.5 Stars,2.0 Stars,N,N,N,Normal,3,55,45,45,45,45,50,93-95,50,65,-,-,60,-,-,-,-,-,-,-,$180 000,Extremely Hard,13071
Edgar Martinez,SP,18,R,0.5 Stars,1.5 Stars,2.0 Stars,N,N,N,Normal,4,45,45,50,45,50,65,91-93,55,45,-,-,50,-,45,-,-,-,-,-,$180 000,Extremely Hard,13098
Jose Martinez,SP,18,L,0.5 Stars,1.5 Stars,2.0 Stars,N,H,H,Normal,3,50,45,50,45,50,55,90-92,50,-,-,-,-,65,60,-,-,-,-,-,$180 000,Extremely Hard,13042
Jean-François Martins,SP,21,R,0.5 Stars,1.5 Stars,2.0 Stars,N,N,N,Durable,3,40,45,50,45,65,60,85-87,-,50,50,-,45,-,-,-,-,-,-,-,Slot,Easy,13930
Draza Moljevic,SP,18,L,0.5 Stars,1.5 Stars,2.0 Stars,N,H,N,Normal,3,50,45,45,40,65,70,88-90,45,-,-,-,55,65,-,-,-,-,-,-,$350 000,Extremely Hard,13105
Jason Morris,SP,18,R,0.5 Stars,1.5 Stars,2.0 Stars,L,L,N,Normal,3,65,50,60,45,30,65,90-92,55,70,-,-,-,70,-,-,-,-,-,-,$190 000,Extremely Hard,13083
Dave Naylor,SP,22,R,0.5 Stars,2.0 Stars,2.0 Stars,N,N,N,Normal,5,45,45,45,45,50,70,90-92,50,55,55,45,-,-,-,-,-,-,45,-,Slot,Easy,13249
Hiromichi Ono,SP,18,R,0.5 Stars,1.5 Stars,2.0 Stars,N,L,L,Normal,3,50,45,50,45,50,50,92-94,60,55,-,-,55,-,-,-,-,-,-,-,$190 000,Extremely Hard,12893
Fred Parlee,SP,22,R,0.5 Stars,1.5 Stars,2.0 Stars,H,N,H,Normal,4,45,45,50,45,45,50,89-91,-,60,-,50,-,55,50,-,-,-,-,-,Slot,Very Easy,13226
Samuel Price,SP,21,R,0.5 Stars,1.5 Stars,2.0 Stars,N,L,N,Normal,3,45,50,55,45,50,65,88-90,45,-,-,50,55,-,-,-,-,-,-,-,Slot,Hard,13931
Van Sanks,SP,21,R,0.5 Stars,1.5 Stars,2.0 Stars,N,N,N,Normal,3,50,45,40,45,60,60,91-93,55,-,65,-,-,-,-,-,-,-,60,-,Slot,Normal,10977
Ammar Seif,SP,18,R,0.5 Stars,1.5 Stars,2.0 Stars,N,N,N,Normal,4,60,50,50,50,30,70,92-94,65,65,-,60,-,-,-,-,-,40,-,-,Slot,Hard,13302
Killian Swyers,SP,17,R,0.5 Stars,1.5 Stars,2.0 Stars,N,N,N,Normal,3,45,45,55,40,40,70,94-96,60,-,45,-,50,-,-,-,-,-,-,-,$180 000,Extremely Hard,13096
Mike Vallen,SP,18,R,0.5 Stars,1.5 Stars,2.0 Stars,N,N,N,Durable,3,45,45,50,40,50,55,89-91,45,45,-,-,50,-,-,-,-,-,-,-,$350 000,Extremely Hard,13815
Jordan van den Berg,SP,22,R,0.5 Stars,1.5 Stars,2.0 Stars,H,N,N,Fragile,4,45,45,50,45,55,35,89-91,45,45,-,-,55,-,55,-,-,-,-,-,Slot,Normal,13286
Tony Vasques,SP,18,L,0.5 Stars,1.5 Stars,2.0 Stars,N,N,N,Normal,3,50,45,45,45,55,45,90-92,50,50,-,-,-,-,60,-,-,-,-,-,$370 000,Extremely Hard,13049
Jamie Wells,SP,19,L,0.5 Stars,1.5 Stars,2.0 Stars,N,N,N,Normal,3,45,45,45,45,50,60,91-93,55,50,-,-,50,-,-,-,-,-,-,-,$180 000,Extremely Hard,13272
Maurice Wells,SP,21,R,0.5 Stars,2.0 Stars,2.0 Stars,N,N,H,Normal,3,45,50,55,45,55,40,89-91,-,-,-,50,-,55,50,-,-,-,-,-,Slot,Easy,13251
Dante Williams,SP,21,R,0.5 Stars,1.5 Stars,2.0 Stars,N,N,N,Normal,3,60,45,45,45,45,55,95-97,70,50,-,-,-,75,-,-,-,-,-,-,Slot,Easy,10987
Don Wyatt,SP,18,R,0.5 Stars,1.5 Stars,2.0 Stars,N,N,N,Normal,3,50,45,50,45,50,55,91-93,55,55,-,55,-,-,-,-,-,-,-,-,$190 000,Extremely Hard,13099
Azzam Yasar,SP,18,L,0.5 Stars,1.5 Stars,2.0 Stars,N,N,L,Normal,5,65,40,40,45,45,65,93-95,65,65,70,45,45,-,-,-,-,-,-,-,$190 000,Extremely Hard,13059
Lee Younker,SP,18,R,0.5 Stars,1.5 Stars,2.0 Stars,N,N,N,Normal,5,55,45,45,45,45,50,90-92,45,55,60,55,55,-,-,-,-,-,-,-,Slot,Hard,13935
Jason Adcock,RP,21,L,1.5 Stars,2.5 Stars,2.0 Stars,N,N,N,Normal,2,50,45,45,45,45,25,89-91,50,-,-,-,-,60,-,-,-,-,-,-,Slot,Extremely Hard,13806
Jason Becker,RP,18,R,0.5 Stars,1.5 Stars,2.0 Stars,N,N,N,Durable,2,45,45,50,45,35,35,88-90,45,-,-,50,-,-,-,-,-,-,-,-,$180 000,Extremely Hard,13101
Quintin Bugbie,RP,17,R,0.5 Stars,1.5 Stars,2.0 Stars,H,N,N,Normal,2,70,45,45,45,45,35,94-96,70,-,-,75,-,-,-,-,-,-,-,-,$190 000,Extremely Hard,13056
Chris Coles,RP,22,L,1.5 Stars,2.5 Stars,2.0 Stars,N,N,N,Normal,4,60,45,45,45,50,30,89-91,50,-,60,55,-,45,-,-,-,-,-,-,Slot,Hard,13919
Allen Dunbar,RP,17,R,1.5 Stars,2.5 Stars,2.0 Stars,N,N,H,Normal,2,70,50,60,45,40,30,94-96,70,65,-,-,-,-,-,-,-,-,-,-,$170 000,Extremely Hard,13103
Clarros Frontoura,RP,22,L,1.5 Stars,3.0 Stars,2.0 Stars,H,N,N,Normal,2,50,45,45,45,50,40,94-96,65,-,55,-,-,-,-,-,-,-,-,-,Slot,Very Easy,12956
David Gonzalez,RP,19,R,1.0 Stars,2.0 Stars,2.0 Stars,N,N,L,Normal,2,65,45,50,45,40,25,94-96,65,-,-,70,-,-,-,-,-,-,-,-,$190 000,Extremely Hard,13224
Tony Harding,RP,18,L,0.5 Stars,1.5 Stars,2.0 Stars,N,N,N,Normal,2,50,45,45,45,40,30,93-95,55,-,-,60,-,-,-,-,-,-,-,-,$190 000,Extremely Hard,13035
Antonio Jimenez,RP,21,R,1.5 Stars,2.5 Stars,2.0 Stars,N,N,N,Fragile,2,55,45,50,45,45,35,93-95,60,-,-,55,-,-,-,-,-,-,-,-,Slot,Normal,13818
Ben Johnson,RP,21,R,1.5 Stars,2.5 Stars,2.0 Stars,N,N,N,Durable,3,55,50,60,45,45,35,91-93,55,-,-,55,-,-,55,-,-,-,-,-,Slot,Easy,13836
Garrus Johnson,RP,20,L,1.5 Stars,2.5 Stars,2.0 Stars,N,N,N,Normal,2,70,40,35,40,60,25,96-98,75,-,75,-,-,-,-,-,-,-,-,-,Slot,Normal,12281
Mitsuharu Kinoshita,RP,19,L,1.0 Stars,2.0 Stars,2.0 Stars,N,N,H,Normal,2,60,40,35,45,65,25,95-97,70,60,-,-,-,-,-,-,-,-,-,-,$370 000,Extremely Hard,13259
Richie Leenman,RP,23,R,1.5 Stars,2.5 Stars,2.0 Stars,N,L,N,Normal,2,50,45,50,45,40,30,94-96,60,-,-,-,-,-,-,-,-,-,55,-,Slot,Easy,12958
Sadaqat Mahdi,RP,18,R,0.5 Stars,1.5 Stars,2.0 Stars,N,N,N,Normal,2,45,50,65,45,40,25,91-93,50,-,-,45,-,-,-,-,-,-,-,-,$180 000,Extremely Hard,13027
Verdiano Roncalli,RP,21,R,1.5 Stars,2.5 Stars,2.0 Stars,N,N,N,Normal,2,60,45,50,45,50,35,93-95,65,-,-,60,-,-,-,-,-,-,-,-,Slot,Easy,11509
Kelly Rosenberger,RP,20,R,0.5 Stars,1.5 Stars,2.0 Stars,L,H,N,Durable,4,65,50,50,50,40,30,95-97,70,60,-,70,-,-,45,-,-,-,-,-,Slot,Normal,11022
George Storey,RP,18,R,0.5 Stars,1.5 Stars,2.0 Stars,N,N,N,Normal,2,60,40,40,40,50,30,95-97,75,-,65,-,-,-,-,-,-,-,-,-,Slot,Hard,12886
Rob van Zanten,RP,22,R,1.5 Stars,3.0 Stars,2.0 Stars,N,N,N,Normal,2,50,55,65,50,45,30,89-91,-,-,-,50,55,-,-,-,-,-,-,-,Slot,Very Easy,13781
Victor Felix,CL,18,L,1.5 Stars,3.0 Stars,2.0 Stars,N,H,H,Normal,4,55,45,45,45,45,30,92-94,60,-,-,-,55,50,60,-,-,-,-,-,Slot,Hard,13215
Bruno Sells,CL,18,R,0.5 Stars,1.5 Stars,2.0 Stars,N,N,L,Normal,2,55,50,50,50,50,25,94-96,65,-,65,-,-,-,-,-,-,-,-,-,$180 000,Extremely Hard,13081
Abbudin Aswad,SP,18,R,0.5 Stars,1.5 Stars,1.5 Stars,N,N,N,Durable,4,50,45,45,45,45,50,91-93,55,60,50,-,-,55,-,-,-,-,-,-,Slot,Hard,13024
Robert Bartlett,SP,22,R,0.5 Stars,2.0 Stars,1.5 Stars,N,N,H,Normal,4,45,45,40,45,45,55,88-90,45,55,-,45,-,50,-,-,-,-,-,-,Slot,Normal,13276
Abdul-Rahim bin Karif,SP,19,L,0.5 Stars,1.5 Stars,1.5 Stars,N,N,N,Normal,4,40,45,50,40,45,55,87-89,-,50,45,45,-,-,50,-,-,-,-,-,$190 000,Extremely Hard,13225
Hussein bin Wajih,SP,21,R,0.5 Stars,1.5 Stars,1.5 Stars,N,N,N,Normal,6,40,45,50,40,45,40,88-90,45,45,45,45,45,45,-,-,-,-,-,-,Slot,Normal,12284
Jamal bin Zaid,SP,22,L,0.5 Stars,1.5 Stars,1.5 Stars,N,N,N,Normal,3,45,45,45,45,45,35,91-93,45,-,-,50,-,-,50,-,-,-,-,-,Slot,Very Easy,12974
Pasqualino Caraffa,SP,23,R,0.5 Stars,1.5 Stars,1.5 Stars,H,H,H,Normal,3,40,45,50,45,45,65,87-89,45,55,-,-,45,-,-,-,-,-,-,-,Slot,Very Easy,13206
Gennaro Ferraro,SP,21,R,0.5 Stars,1.5 Stars,1.5 Stars,N,H,N,Normal,4,45,45,45,45,45,55,89-91,45,50,-,50,50,-,-,-,-,-,-,-,Slot,Easy,13245
Roberto Fuentes,SP,19,R,0.5 Stars,2.0 Stars,1.5 Stars,H,H,H,Normal,5,50,50,45,50,35,60,91-93,-,50,50,-,-,50,60,-,-,-,55,-,$180 000,Extremely Hard,13238
Jon Gallegos,SP,18,R,0.5 Stars,1.5 Stars,1.5 Stars,N,N,L,Normal,4,55,45,50,40,35,55,90-92,55,65,-,-,55,-,-,50,-,-,-,-,Slot,Hard,13800
Rafael Garcia,SP,18,R,0.5 Stars,1.5 Stars,1.5 Stars,N,N,H,Normal,4,40,45,50,40,45,50,90-92,45,45,40,-,45,-,-,-,-,-,-,-,$180 000,Extremely Hard,13929
John Gonzalez,SP,21,L,0.5 Stars,2.0 Stars,1.5 Stars,N,H,N,Normal,3,60,40,40,45,45,35,93-95,70,60,-,60,-,-,-,-,-,-,-,-,Slot,Hard,10953
Chris Hernandez,SP,21,R,0.5 Stars,2.0 Stars,1.5 Stars,N,H,L,Normal,3,45,40,45,40,40,70,92-94,55,50,-,-,55,-,-,-,-,-,-,-,Slot,Hard,12277
Damian Hibbitt,SP,22,R,0.5 Stars,2.0 Stars,1.5 Stars,N,L,L,Durable,4,55,45,45,45,35,35,95-97,60,55,-,-,60,45,-,-,-,-,-,-,Slot,Easy,10632
Thomas Hodgkinson,SP,18,R,0.5 Stars,1.5 Stars,1.5 Stars,L,N,N,Normal,5,65,45,45,45,30,55,93-95,55,60,70,-,-,65,-,-,-,-,75,-,$370 000,Extremely Hard,13031
Junzo Kaneko,SP,22,R,0.5 Stars,2.0 Stars,1.5 Stars,N,N,L,Normal,4,55,45,45,45,35,55,95-97,65,55,-,55,55,-,-,-,-,-,-,-,Slot,Normal,13266
Steve Kennett,SP,17,L,0.5 Stars,1.5 Stars,1.5 Stars,H,H,N,Normal,3,45,45,40,50,30,55,91-93,50,55,-,-,-,45,-,-,-,-,-,-,$180 000,Extremely Hard,13021
Ji-man Kim,SP,21,R,0.5 Stars,2.0 Stars,1.5 Stars,N,N,N,Durable,3,50,45,50,45,35,50,91-93,55,65,65,-,-,-,-,-,-,-,-,-,Slot,Normal,13924
Mitsuru Kimura,SP,22,L,0.5 Stars,1.5 Stars,1.5 Stars,N,N,N,Normal,5,45,45,45,40,40,65,87-89,45,55,40,45,45,-,-,-,-,-,-,-,Slot,Normal,13253
Tae-shik Ko,SP,19,R,0.5 Stars,1.5 Stars,1.5 Stars,N,H,N,Normal,3,35,45,45,45,45,50,88-90,45,45,-,-,-,-,-,-,-,-,45,-,$170 000,Extremely Hard,13247
Sang-cheol Lee,SP,19,R,0.5 Stars,1.5 Stars,1.5 Stars,N,N,L,Normal,3,55,45,45,45,35,55,92-94,55,55,-,65,-,-,-,-,-,-,-,-,$180 000,Extremely Hard,13241
Chris Matthews,SP,21,R,0.5 Stars,1.5 Stars,1.5 Stars,N,H,H,Durable,3,60,40,35,50,45,35,95-97,70,50,-,75,-,-,-,-,-,-,-,-,Slot,Hard,10966
Donegan McMonegal,SP,22,R,0.5 Stars,1.5 Stars,1.5 Stars,N,N,N,Normal,3,45,45,45,45,50,35,91-93,50,-,-,-,50,-,45,-,-,-,-,-,Slot,Normal,13300
Frank Oram,SP,22,R,0.5 Stars,1.5 Stars,1.5 Stars,N,N,N,Normal,5,40,45,50,45,40,50,87-89,45,45,-,45,45,-,-,40,-,-,-,-,Slot,Normal,13291
Nunzio Ponchielli,SP,18,R,0.5 Stars,1.5 Stars,1.5 Stars,N,H,N,Normal,3,35,45,50,40,55,50,89-91,45,40,-,-,-,-,40,-,-,-,-,-,$180 000,Extremely Hard,13102
Jude Reid,SP,18,R,0.5 Stars,2.0 Stars,1.5 Stars,N,N,N,Normal,3,50,45,45,45,45,45,92-94,55,-,55,-,55,-,-,-,-,-,-,-,$370 000,Extremely Hard,13085
Chris Stewart,SP,17,R,0.5 Stars,1.5 Stars,1.5 Stars,H,N,N,Normal,4,50,35,30,45,60,65,92-94,55,55,60,-,45,-,-,-,-,-,-,-,Slot,Normal,13069
Mike Van Meter,SP,18,L,0.5 Stars,1.5 Stars,1.5 Stars,L,N,L,Normal,3,35,45,50,40,55,50,88-90,45,50,-,40,-,-,-,-,-,-,-,-,$190 000,Extremely Hard,13058
Darryl Visser,SP,23,R,0.5 Stars,1.5 Stars,1.5 Stars,N,N,H,Normal,4,40,45,50,45,40,45,89-91,45,45,-,45,-,-,40,-,-,-,-,-,Slot,Very Easy,13005
Vinny Andrade,RP,18,R,0.5 Stars,1.5 Stars,1.5 Stars,N,N,L,Normal,2,55,40,35,45,30,25,91-93,50,-,-,60,-,-,-,-,-,-,-,-,Slot,Hard,12900
Joe Bryant,RP,22,L,1.0 Stars,2.0 Stars,1.5 Stars,N,N,N,Normal,2,55,45,45,50,30,30,90-92,50,-,-,60,-,-,-,-,-,-,-,-,Slot,Normal,13219
Dave Copeland,RP,17,R,0.5 Stars,1.5 Stars,1.5 Stars,N,N,N,Normal,2,45,40,35,40,30,30,90-92,45,-,50,-,-,-,-,-,-,-,-,-,$190 000,Extremely Hard,13826
