ID,POS,Name,ORG,Lev,DOB,OVR,POT,Prone,HT P,CON P,GAP P,POW P,EYE P,K P,SPE,STE,SR,DEF,Sct,SctAcc,Draft,OA Pick
10955,C,BRYAN BATOMALAQUE,Rome Centurions,A,07/12/1995,1.5 Stars,2.0 Stars,Durable,45,50,40,45,50,60,25,25,25,55,Sep. 1st   2017,Average,2014,186
12172,C,Kieran Baylis,Lappland Boazu,A,09/13/1996,1.5 Stars,2.5 Stars,Normal,50,50,50,55,50,50,40,35,40,55,Aug. 29th   2017,Average,0,0
11769,C,DENNIS BEARMAN,North Korea Outlaws,R,05/09/1996,0.5 Stars,2.0 Stars,Normal,50,55,35,45,40,55,25,30,25,25,Jun. 8th   2017,Low,2015,218
10642,C,BILL BECK,Amsterdam Dragons,A,11/23/1994,1.5 Stars,1.5 Stars,Durable,45,50,40,30,45,55,35,30,40,50,Aug. 21st   2017,Average,2013,169
13248,C,Jason Beck,North Korea Outlaws,A,02/06/1994,0.5 Stars,2.0 Stars,Normal,45,45,45,50,50,50,30,35,35,45,Aug. 23rd   2017,Average,2017,135
11477,C,SCOTT BEDINGHAUS,Havana Sugar Kings,AAA,06/24/1992,1.5 Stars,1.5 Stars,Normal,45,45,40,45,40,45,20,30,25,50,Jun. 19th   2017,Low,2014,61
15350,C,Pamphile Bellini,-,-,04/22/2001,0.5 Stars,2.0 Stars,Normal,55,45,50,50,60,35,20,25,20,35,Oct. 17th   2017,Low,0,0
15417,C,Tommy Benitez,-,-,12/29/2000,0.5 Stars,2.0 Stars,Normal,55,45,40,55,40,35,30,20,25,30,Oct. 17th   2017,Low,0,0
13287,C,John Benoit,Sint Maarten Sun Chasers,R,03/12/1998,0.5 Stars,3.0 Stars,Durable,55,60,45,60,45,60,25,25,30,25,Aug. 26th   2017,Average,2017,21
10280,C,Alberto Bernal,California Surfers,AAA,07/07/1992,2.0 Stars,2.0 Stars,Normal,50,50,40,40,40,50,30,30,25,55,Aug. 11th   2017,Low,0,0
14186,C,Justin Bernerd,-,-,11/25/1998,0.5 Stars,1.5 Stars,Durable,40,45,40,30,45,60,30,25,30,30,Aug. 28th   2017,Average,0,0
10514,C,Berend Berrevoets,-,-,12/23/1991,0.5 Stars,1.5 Stars,Normal,40,40,40,40,45,40,35,25,30,40,Aug. 22nd   2017,Average,0,0
13873,C,Mat Bester,-,-,01/30/2000,0.5 Stars,2.0 Stars,Normal,45,45,50,50,45,45,25,20,25,30,Jun. 30th   2017,Average,0,0
12687,C,Mu'tazz bin Kamal,-,-,10/26/1996,0.5 Stars,2.0 Stars,Normal,45,50,35,40,45,60,25,40,35,25,Apr. 23rd   2017,Low,0,0
12156,C,Makin bin Ma'mun,Denver Blucifers,AAA,02/01/1995,2.0 Stars,2.5 Stars,Normal,50,55,50,50,50,55,40,35,40,50,Aug. 11th   2017,Average,0,0
13407,C,Samir bin Mamdouh,-,-,01/06/1995,0.5 Stars,1.5 Stars,Normal,40,45,35,30,45,50,35,30,30,35,Apr. 6th   2017,Average,0,0
13409,C,Mujahid bin Nu'man,-,-,04/19/1995,0.5 Stars,0.5 Stars,Normal,30,35,40,30,45,45,25,20,25,40,Apr. 6th   2017,Average,0,0
13852,C,Ziaul-Haq bin Sa'eed,-,-,08/20/1999,0.5 Stars,2.5 Stars,Normal,50,60,55,45,45,65,25,20,30,30,Jun. 30th   2017,Average,0,0
12973,C,MUHSIN BIN SADAQAT,Cleveland Spiders,AAA,12/24/1993,2.0 Stars,2.5 Stars,Normal,45,50,50,50,55,55,35,40,40,50,Jul. 5th   2017,Low,2016,76
12783,C,Asadel bin Yaseen,Toronto Huskies,A,06/28/1997,1.5 Stars,2.5 Stars,Durable,55,60,45,45,55,60,25,25,25,55,Aug. 1st   2017,Average,0,0
10174,C,Ben Bishop,Galapagos Shellbacks,A,05/21/1993,1.5 Stars,1.5 Stars,Normal,35,40,35,50,50,45,25,25,35,40,Jun. 25th   2017,Low,2011,170
10471,C,Ewan Blackburn,Sao Paulo Black Mambas,MLB,12/25/1992,2.5 Stars,2.5 Stars,Normal,50,45,40,55,45,45,25,30,40,70,Oct. 2nd   2017,Average,0,0
14852,C,Richard Blanco,Galapagos Shellbacks,INT,01/20/1999,0.5 Stars,2.0 Stars,Normal,50,50,40,55,45,55,25,25,25,30,Jul. 26th   2017,Low,0,0
13025,C,Nenad Bogicevic,St. Lucia Mermen,R,11/03/1998,0.5 Stars,2.5 Stars,Durable,55,45,60,70,45,35,35,30,30,45,Aug. 13th   2017,Average,2017,84
11589,C,Srdjan Bogicevic,Dubai Bedouins,A,05/09/1996,0.5 Stars,2.5 Stars,Normal,55,40,50,60,50,30,30,35,30,40,Aug. 18th   2017,Average,2015,65
10281,C,Dan Bonaddio,California Surfers,AAA,08/20/1991,1.5 Stars,1.5 Stars,Normal,35,40,35,45,60,45,20,20,20,35,Sep. 4th   2017,Average,0,0
15262,C,Ashley Bond,Tokyo Tigers,INT,02/20/2001,0.5 Stars,2.0 Stars,Normal,55,50,40,40,45,45,30,20,25,30,Jul. 30th   2017,Low,0,0
12930,C,HAROLD BORRAS,-,-,12/02/1996,1.0 Stars,1.5 Stars,Fragile,45,45,40,40,40,50,40,35,45,55,May 18th   2017,Low,2015,100
11242,C,Paullo Boua,-,-,12/20/1994,1.0 Stars,1.5 Stars,Normal,45,45,35,40,40,45,20,25,20,50,Aug. 21st   2017,Average,0,0
9648,C,RANDY BOURGEOIS,Rome Centurions,AAA,09/07/1989,2.0 Stars,2.0 Stars,Normal,35,40,40,40,55,55,20,30,30,55,Sep. 9th   2017,Average,2008,226
10084,C,Justin Brecht,Toronto Huskies,A,08/23/1992,1.5 Stars,1.5 Stars,Normal,45,45,35,45,45,45,25,20,25,30,Jul. 31st   2017,Average,2011,87
13258,C,Matt Brewer,Adelaide Bite,AA,05/05/1994,1.0 Stars,2.0 Stars,Durable,50,40,50,50,45,35,20,30,25,50,Sep. 2nd   2017,Average,2017,164
14044,C,Tome Brilhante,Vancouver Homewreckers,INT,07/27/1998,0.5 Stars,0.5 Stars,Normal,25,35,40,35,60,50,25,25,25,25,Aug. 9th   2017,Low,0,0
13824,C,Ethan Buchan,Cleveland Spiders,R,10/01/1998,0.5 Stars,2.5 Stars,Normal,50,45,55,60,45,40,30,25,25,30,Aug. 31st   2017,Average,2017,83
13367,C,Sean Burdette,-,-,07/10/1998,0.5 Stars,2.0 Stars,Normal,50,50,45,40,40,45,20,20,25,30,Jun. 30th   2017,Average,0,0
10710,C,Eloi Burmo,Sao Paulo Black Mambas,A,03/16/1994,0.5 Stars,0.5 Stars,Normal,35,40,30,35,40,45,20,20,25,40,Sep. 5th   2017,Average,0,0
8774,C,JAY BURRELL,Galapagos Shellbacks,AAA,04/14/1989,2.5 Stars,2.5 Stars,Durable,45,45,45,60,60,45,40,40,50,55,Aug. 18th   2017,Average,2008,79
15364,C,Raul Cabrera,-,-,11/07/2000,0.5 Stars,2.5 Stars,Normal,50,50,50,55,50,50,25,20,20,35,Oct. 17th   2017,Low,0,0
10357,C,Greg Cadwallader,Sao Paulo Black Mambas,AAA,11/03/1992,1.5 Stars,1.5 Stars,Durable,45,45,40,40,45,45,20,25,25,60,Aug. 13th   2017,Average,2011,110
9467,C,DANNY CALDERON,-,-,04/08/1990,1.0 Stars,1.0 Stars,Normal,35,35,35,30,45,40,20,20,25,55,Jun. 28th   2017,Low,2009,144
12389,C,RUSSELL CALDWELL,-,-,03/03/1997,0.5 Stars,1.5 Stars,Normal,50,45,40,45,40,45,25,25,30,30,Jun. 19th   2017,Low,2016,137
7217,C,Freddy Campas,-,-,06/13/1984,2.0 Stars,2.0 Stars,Iron Man,35,40,40,45,45,45,60,70,55,65,Sep. 6th   2017,Average,0,0
14998,C,Donato Canavaro,-,-,04/03/2001,0.5 Stars,2.0 Stars,Normal,45,50,55,45,50,60,35,35,35,25,Jul. 28th   2017,Average,0,0
10730,C,Melvin Cardenas,St. Lucia Mermen,AA,03/26/1992,0.5 Stars,0.5 Stars,Normal,30,40,35,40,45,50,25,30,20,35,Aug. 10th   2017,Average,0,0
12112,C,Jonathan Carnini,St. Lucia Mermen,AA,02/28/1996,1.5 Stars,2.5 Stars,Normal,45,50,50,55,50,50,30,20,25,60,Jun. 13th   2017,Low,0,0
9603,C,JAMIE CARTER,Lappland Boazu,AAA,07/16/1991,2.5 Stars,2.5 Stars,Durable,35,45,35,55,60,60,25,25,25,45,Sep. 12th   2017,Average,2010,109
9215,C,GREGG CASADOS,North Korea Outlaws,AAA,01/28/1991,1.5 Stars,1.5 Stars,Normal,45,45,35,35,55,45,30,30,20,40,Aug. 14th   2017,Average,2012,203
14996,C,Jonathan Cashdollar,-,-,07/30/2000,0.5 Stars,2.5 Stars,Normal,40,40,45,65,60,40,20,25,20,30,Jul. 28th   2017,Average,0,0
8562,C,Ernesto Caso,Tokyo Tigers,AAA,04/04/1988,2.0 Stars,2.0 Stars,Iron Man,40,35,45,45,55,35,20,20,25,60,Aug. 3rd   2017,Low,0,0
10727,C,Andre Casson,-,-,12/16/1993,0.5 Stars,1.0 Stars,Normal,40,40,35,30,50,35,30,35,35,45,Sep. 6th   2017,Average,0,0
8792,C,ALEX CASTANEDA,-,-,09/12/1990,1.5 Stars,1.5 Stars,Normal,35,40,35,45,50,45,20,20,20,45,Aug. 4th   2017,Average,2008,166
14850,C,Emilio Castaneda,Rome Centurions,INT,03/23/2000,0.5 Stars,3.5 Stars,Normal,50,55,55,65,55,55,25,25,25,35,Jun. 22nd   2017,Low,0,0
15169,C,Juan Castrejon,Lappland Boazu,INT,07/20/2000,0.5 Stars,2.5 Stars,Durable,50,50,45,60,50,55,25,20,20,30,Jul. 4th   2017,Low,0,0
11228,C,Gabe Castro,Tokyo Tigers,A,05/28/1995,0.5 Stars,2.5 Stars,Normal,45,45,50,60,50,45,35,30,30,35,Aug. 2nd   2017,Low,0,0
8582,C,Chris Cespedes,-,-,09/18/1987,2.0 Stars,2.0 Stars,Iron Man,45,45,35,50,55,45,25,20,20,45,Dec. 5th   2016,Average,0,0
8753,C,SALVADOR CHACON,-,-,10/15/1989,1.5 Stars,1.5 Stars,Durable,30,40,35,45,60,45,20,25,20,35,Aug. 25th   2017,Average,2008,233
5296,C,Dale Chappel,-,-,09/11/1979,2.0 Stars,2.0 Stars,Iron Man,50,50,45,30,45,50,20,20,25,40,Sep. 16th   2017,Average,0,251
10030,C,JOSH CHILTON,-,-,11/15/1988,1.5 Stars,1.5 Stars,Normal,35,35,35,45,65,30,20,20,20,45,Jun. 15th   2017,Average,2011,194
12109,C,Min-sik Choi,Longbow Hunters,AAA,12/16/1995,1.5 Stars,2.5 Stars,Durable,60,55,55,50,60,50,25,20,25,45,Jun. 8th   2017,Low,0,0
10907,C,BILL CHURCH,Longbow Hunters,A,07/13/1994,0.5 Stars,2.0 Stars,Durable,50,50,35,40,50,55,25,20,35,35,Aug. 18th   2017,Average,2016,203
12751,C,Emilio Ciappi,California Surfers,R,01/03/1997,0.5 Stars,1.5 Stars,Normal,45,45,35,40,40,45,25,25,30,30,Jun. 10th   2017,Low,0,0
14308,C,Vito Ciottone,Havana Sugar Kings,INT,04/15/1999,0.5 Stars,2.0 Stars,Normal,45,55,40,40,55,60,35,30,40,25,Aug. 6th   2017,Low,0,0
13562,C,Ugo Cipolloni,-,-,02/20/1998,0.5 Stars,0.5 Stars,Normal,45,45,40,25,40,45,40,20,30,25,Feb. 3rd   2017,Low,0,0
14741,C,Dave Clancey,Longbow Hunters,INT,07/23/2000,0.5 Stars,2.0 Stars,Durable,45,50,40,35,50,60,25,20,25,25,Sep. 27th   2017,Average,0,0
15005,C,Arthur Clark,-,-,01/30/2001,0.5 Stars,2.5 Stars,Normal,50,60,45,50,50,65,25,20,20,30,Jul. 28th   2017,Average,0,0
13796,C,GERALD CLARKE,Lappland Boazu,AA,08/21/1994,1.5 Stars,2.0 Stars,Normal,50,50,45,45,40,45,30,20,25,45,Jul. 9th   2017,Low,2016,87
13778,C,JEREMY CLARY,California Surfers,A,10/20/1994,1.0 Stars,1.5 Stars,Normal,45,40,45,45,45,40,25,20,25,50,Jul. 8th   2017,Low,2016,117
9532,C,MIKE CLAY,St. Lucia Mermen,AAA,08/04/1991,1.5 Stars,1.5 Stars,Durable,40,40,35,30,45,45,25,20,20,70,Sep. 3rd   2017,Average,2011,72
14235,C,Ron Clough,Toronto Huskies,INT,08/14/1999,0.5 Stars,2.5 Stars,Normal,60,60,45,45,55,50,25,20,25,35,Jul. 11th   2017,Low,0,0
15406,C,Blair Cobb,-,-,03/04/2000,0.5 Stars,1.0 Stars,Normal,50,45,40,30,40,45,40,30,40,30,Oct. 17th   2017,Low,0,0
11310,C,Antan Cochat,Longbow Hunters,A,04/09/1995,0.5 Stars,1.5 Stars,Normal,45,45,40,40,45,50,25,30,30,35,Jul. 11th   2017,Low,0,0
9453,C,RYAN COLBURN,Amsterdam Dragons,MLB,03/03/1987,2.5 Stars,2.5 Stars,Normal,45,45,45,50,40,45,30,30,35,45,Aug. 11th   2017,Low,2009,105
15180,C,Keith Collier,-,-,06/06/2000,0.5 Stars,1.5 Stars,Normal,35,40,40,40,40,50,25,25,20,25,Oct. 16th   2017,Average,0,0
11664,C,NICK COLT,-,-,05/20/1991,1.0 Stars,0.5 Stars,Durable,40,40,35,35,45,35,25,20,20,50,Aug. 2nd   2017,Average,0,0
13334,C,Alejandro Contreras,-,-,04/24/1998,0.5 Stars,2.0 Stars,Normal,50,45,45,60,50,35,40,30,35,30,Jun. 30th   2017,Average,0,0
11863,C,Isaac Cook,Toronto Huskies,AA,12/11/1991,0.5 Stars,0.5 Stars,Normal,25,35,35,25,50,45,35,20,25,55,May 29th   2017,Low,0,0
9182,C,DANNY COOPER,Havana Sugar Kings,AAA,01/16/1991,1.5 Stars,1.5 Stars,Normal,35,40,30,35,50,45,35,25,40,30,Jun. 11th   2017,Low,2013,200
11027,C,ROSS COPELAND,Toronto Huskies,R,08/22/1995,1.0 Stars,2.0 Stars,Normal,40,45,40,50,45,50,40,40,40,50,Jul. 18th   2017,Low,2014,132
14027,C,Antonio Cordon,Rome Centurions,INT,11/23/1998,0.5 Stars,1.5 Stars,Normal,45,45,40,40,40,45,25,20,20,30,Aug. 16th   2017,Low,0,0
10819,C,Lance Corti,Adelaide Bite,A,10/27/1993,1.5 Stars,1.5 Stars,Durable,40,45,40,40,45,50,20,20,20,55,Aug. 18th   2017,Average,2012,73
14891,C,Odílio Corvite,Sint Maarten Sun Chasers,INT,08/25/2000,0.5 Stars,1.5 Stars,Durable,40,40,35,50,45,45,30,30,30,30,Sep. 5th   2017,Average,0,0
7189,C,Valentino Costocurta,St. Lucia Mermen,MLB,09/13/1983,2.5 Stars,2.5 Stars,Fragile,55,45,50,55,50,35,25,30,25,50,Sep. 5th   2017,Average,0,0
15400,C,Iestyn Craig,-,-,12/06/2000,0.5 Stars,2.5 Stars,Normal,55,55,45,50,55,55,35,35,35,35,Oct. 17th   2017,Low,0,0
13032,C,Leo Crawford,Toronto Huskies,R,06/01/1998,0.5 Stars,2.0 Stars,Normal,60,55,40,40,45,50,25,20,25,25,Jul. 18th   2017,Low,2017,142
11181,C,Clay Cross,Sao Paulo Black Mambas,MLB,01/09/1991,2.0 Stars,2.0 Stars,Durable,30,40,40,25,50,45,50,50,55,80,Aug. 10th   2017,Low,0,0
7479,C,Jose Cuadra,Sint Maarten Sun Chasers,AAA,07/03/1985,2.0 Stars,2.0 Stars,Durable,40,45,45,55,45,50,20,20,25,45,Aug. 22nd   2017,Average,0,0
14559,C,Tim Cummings,-,-,08/12/2000,0.5 Stars,2.0 Stars,Normal,45,50,50,50,45,50,35,30,30,35,Jul. 30th   2017,Average,0,0
14688,C,Feltse Dalebout,St. Lucia Mermen,INT,02/03/2000,0.5 Stars,0.5 Stars,Normal,35,40,35,30,40,45,30,25,25,25,Jul. 28th   2017,Low,0,0
13811,C,Marcus Damen,Tokyo Tigers,AAA,05/28/1998,0.5 Stars,3.0 Stars,Normal,50,50,45,65,60,45,25,20,20,30,Aug. 12th   2017,Average,2017,32
13569,C,Terashi Date,-,-,01/12/1998,0.5 Stars,1.5 Stars,Normal,50,40,35,55,40,35,25,20,20,30,Apr. 9th   2017,Average,0,0
10680,C,Stefan Davies,California Surfers,AA,04/14/1994,1.0 Stars,1.5 Stars,Normal,35,40,30,40,45,40,20,20,30,50,Aug. 20th   2017,Average,0,0
8980,C,PHIL DAVIS,Rome Centurions,MLB,03/25/1986,2.5 Stars,2.5 Stars,Normal,40,45,40,50,50,55,35,45,45,65,Apr. 18th   2017,Low,2006,86
11502,C,JOSE DE JESUS,Cleveland Spiders,A,08/23/1996,1.5 Stars,2.5 Stars,Normal,55,50,50,55,45,50,30,20,25,50,Aug. 8th   2017,Average,2014,20
12653,C,Ellerd de Jong,Galapagos Shellbacks,R,03/22/1997,0.5 Stars,1.5 Stars,Normal,35,40,40,50,45,55,40,35,40,30,Sep. 3rd   2017,Average,0,0
10755,C,Mario de la Cruz,Vancouver Homewreckers,A,07/27/1994,1.0 Stars,1.5 Stars,Normal,40,45,40,45,45,50,20,20,20,50,Jun. 13th   2017,Low,0,0
15383,C,Wibren de Lange,-,-,04/20/2001,0.5 Stars,3.0 Stars,Normal,50,55,40,60,45,60,20,25,25,30,Oct. 17th   2017,Low,0,0
13644,C,Luppe de Vries,Honolulu Honu,INT,08/04/1998,0.5 Stars,2.5 Stars,Normal,60,45,50,65,55,40,30,25,30,30,Jul. 16th   2017,Low,0,0
14820,C,Gerard de Wit,Havana Sugar Kings,INT,03/08/1999,0.5 Stars,2.5 Stars,Normal,50,45,45,65,50,40,20,20,25,30,Sep. 20th   2017,Average,0,0
11548,C,GERARD DEACON,Dubai Bedouins,AA,07/04/1992,1.5 Stars,2.0 Stars,Normal,55,50,50,45,40,45,25,45,45,35,Jun. 10th   2017,Low,2014,205
10435,C,Matt DeLand,Sint Maarten Sun Chasers,AA,12/09/1993,1.5 Stars,2.0 Stars,Normal,45,45,40,45,45,45,20,20,30,60,Jul. 20th   2017,Low,2012,142
13066,C,Danny Delgado,North Korea Outlaws,R,09/17/1998,0.5 Stars,2.0 Stars,Normal,55,50,35,45,40,50,20,25,25,45,Aug. 16th   2017,Average,2017,115
14270,C,Carlo Della Mea,Galapagos Shellbacks,INT,10/13/1999,0.5 Stars,2.5 Stars,Normal,50,50,45,60,45,45,20,30,25,30,Aug. 1st   2017,Low,0,0
11446,C,OSCAR DENIS,-,-,06/19/1991,2.0 Stars,2.0 Stars,Normal,45,45,40,40,45,50,30,20,25,40,May 9th   2017,Low,2013,65
10153,C,JASON DILLON,Havana Sugar Kings,AAA,05/08/1992,1.5 Stars,1.5 Stars,Normal,50,50,35,30,55,50,20,20,25,35,Aug. 28th   2017,Average,2014,80
11550,C,MILAN DJURDJUVIC,Galapagos Shellbacks,AA,04/02/1992,0.5 Stars,1.0 Stars,Durable,45,40,35,30,45,35,25,20,20,40,Jul. 11th   2017,Low,2014,218
10292,C,Christophe Dumont,Honolulu Honu,AA,06/25/1992,1.0 Stars,0.5 Stars,Durable,35,40,35,35,40,45,60,55,55,50,Jun. 28th   2017,Low,0,0
9602,C,JOHN DUNN,St. Lucia Mermen,MLB,03/10/1991,2.5 Stars,2.5 Stars,Normal,45,50,45,55,50,55,30,20,35,55,Jul. 28th   2017,Low,2013,46
