ID,POS,Name,DOB,OVR,POT,Prone,HT P,CON P,GAP P,POW P,EYE P,K P,SPE,SR,STE,SctAcc,Draft,OA Pick
12829,RF,Arturo Ortiz,02/16/1986,3.5 Stars,3.5 Stars,Normal,50,50,80,55,80,50,60,80,80,V.High,0,0
8527,2B,Rich Phelps,05/23/1988,3.5 Stars,3.5 Stars,Fragile,45,55,60,50,50,75,70,80,80,V.High,2007,11
13011,RF,SILAS PRITCHETT,04/01/1997,2.5 Stars,3.5 Stars,Normal,50,65,65,60,50,80,45,35,25,High,2016,25
7364,3B,Dan Rusin,09/21/1985,3.5 Stars,3.5 Stars,Normal,50,50,50,65,80,50,20,35,30,V.High,2004,13
11040,3B,FRANKLIN SANCHEZ,12/17/1995,3.5 Stars,3.5 Stars,Fragile,50,65,55,65,50,80,45,50,50,V.High,2014,26
16217,LF,John Shepard,10/11/1997,2.5 Stars,3.5 Stars,Normal,70,75,80,40,35,80,65,60,55,V.High,2020,27
7772,SS,Victor Sotelo,11/30/1985,3.5 Stars,3.5 Stars,Normal,55,55,50,50,55,55,30,60,60,V.High,0,0
13424,3B,Jou Sugano,03/23/1998,1.5 Stars,3.5 Stars,Durable,70,70,55,45,55,65,45,40,45,High,0,0
8267,3B,Cory Sykes,05/13/1987,3.5 Stars,3.5 Stars,Iron Man,65,55,50,65,50,45,40,40,50,V.High,2006,8
13095,1B,Ubbe Teuben,08/12/1998,2.0 Stars,3.5 Stars,Normal,55,55,50,70,50,55,65,55,50,V.High,2017,47
14202,C,Julio Trujillo,11/17/1998,2.0 Stars,3.5 Stars,Durable,55,55,55,60,45,55,45,35,30,V.High,0,0
9499,2B,MIKE WARNER,01/25/1991,3.5 Stars,3.5 Stars,Iron Man,50,50,50,45,65,55,45,80,60,V.High,2009,162
9718,2B,JASON WILLIAMS,11/28/1991,3.5 Stars,3.5 Stars,Normal,55,50,50,55,80,40,25,50,40,V.High,2010,42
9024,3B,Cory Wright,07/11/1989,3.5 Stars,3.5 Stars,Normal,50,45,50,60,80,40,40,70,45,V.High,2007,6
9531,RF,CHRIS WYCKOFF,10/15/1991,3.5 Stars,3.5 Stars,Normal,70,60,55,55,70,55,50,75,55,V.High,2013,27
12750,3B,Michinao Yamamoto,04/12/1997,2.5 Stars,3.5 Stars,Normal,55,55,55,65,50,55,50,50,35,V.High,0,0
12174,SS,James Acaster,07/29/1995,2.0 Stars,3.0 Stars,Normal,60,55,50,60,45,55,50,30,20,High,0,0
12138,LF,Lane Anderson,06/20/1996,2.0 Stars,3.0 Stars,Normal,55,55,55,60,50,55,40,25,25,V.High,0,0
11623,1B,Jesus Aragon,12/06/1996,2.5 Stars,3.0 Stars,Normal,55,60,50,60,50,60,30,25,25,V.High,2015,19
11204,SS,Afonso Arcipreste,05/16/1995,3.0 Stars,3.0 Stars,Normal,55,55,45,50,40,65,40,60,55,V.High,0,0
8376,CF,FINN BALOR,03/09/1989,3.0 Stars,3.0 Stars,Iron Man,50,45,50,45,50,40,65,80,80,V.High,2007,32
12583,1B,Aban bin Amid,03/01/1997,3.0 Stars,3.0 Stars,Normal,55,55,60,60,45,55,65,55,55,V.High,0,0
10471,C,Ewan Blackburn,12/25/1992,3.0 Stars,3.0 Stars,Normal,45,45,40,50,45,45,25,40,30,V.High,0,0
7157,RF,GUMBO BOUDREAUX,09/05/1983,3.0 Stars,3.0 Stars,Durable,55,60,65,50,50,60,55,75,70,V.High,0,0
11778,1B,FOPPE BRABER,06/23/1997,2.0 Stars,3.0 Stars,Normal,55,60,55,55,55,65,45,35,35,High,2015,156
11221,LF,Mink Bruinenberg,01/29/1995,3.0 Stars,3.0 Stars,Normal,65,65,50,55,40,60,55,70,60,V.High,0,0
11521,3B,Frank Bryant,07/11/1995,2.5 Stars,3.0 Stars,Normal,55,45,60,75,50,35,40,45,40,V.High,2014,5
10543,1B,Bill Burtin,09/19/1993,3.0 Stars,3.0 Stars,Normal,50,55,50,75,45,65,30,35,30,V.High,0,0
15469,1B,Ivano Campagne,11/02/1991,3.0 Stars,3.0 Stars,Normal,55,50,50,55,80,45,25,20,20,V.High,0,0
13621,3B,Yusaku Campinos,11/30/1997,2.5 Stars,3.0 Stars,Normal,50,50,55,60,45,45,60,55,60,V.High,0,0
10071,1B,JEREMY CARPENTER,11/15/1988,3.0 Stars,3.0 Stars,Iron Man,55,65,60,50,50,80,40,35,40,V.High,2010,43
13916,RF,BRUNO CERNUSCHI,09/17/1994,3.0 Stars,3.0 Stars,Normal,50,50,60,55,50,55,70,55,50,V.High,2016,14
10988,3B,JASON COMO,03/15/1996,2.5 Stars,3.0 Stars,Durable,60,55,50,60,40,55,25,40,30,V.High,2014,51
9825,CF,Glenn Currell,07/21/1991,3.0 Stars,3.0 Stars,Normal,50,50,50,50,50,55,55,75,70,V.High,0,0
9049,3B,TYLER DAWSON,04/21/1986,3.0 Stars,3.0 Stars,Normal,50,50,45,60,80,50,30,50,55,V.High,2008,52
7192,DH,Dale Doback,04/10/1984,3.0 Stars,3.0 Stars,Normal,65,50,50,70,55,40,45,55,45,V.High,0,0
7051,DH,Jack Elliot,10/22/1984,3.0 Stars,3.0 Stars,Normal,65,50,55,75,60,40,25,30,30,V.High,2003,15
11516,1B,Victor Falcon,04/27/1995,2.5 Stars,3.0 Stars,Normal,55,45,45,75,70,40,25,25,25,V.High,2014,2
12070,3B,Mathias Fioravanti,01/27/1996,3.0 Stars,3.0 Stars,Normal,65,60,55,50,45,55,25,25,35,V.High,0,0
10906,LF,Brent Fortson,07/22/1991,3.0 Stars,3.0 Stars,Durable,70,50,55,70,55,35,60,75,65,V.High,2013,4
11774,2B,Jimmy Goriza,06/24/1996,3.0 Stars,3.0 Stars,Durable,55,55,50,50,35,55,80,75,70,V.High,2015,30
12793,1B,Jesus Guzman,07/27/1996,3.0 Stars,3.0 Stars,Normal,60,60,60,50,40,60,70,45,45,V.High,0,0
12567,C,Nate Ham,12/05/1996,2.5 Stars,3.0 Stars,Normal,50,55,45,55,60,60,40,40,35,V.High,0,0
9601,CF,BRIAN HAYNES,05/26/1991,3.0 Stars,3.0 Stars,Durable,50,65,55,35,40,80,65,80,80,V.High,2010,64
12965,2B,Harald Hoogendoorn,03/07/1997,2.5 Stars,3.0 Stars,Fragile,50,45,75,70,55,45,50,45,50,V.High,2016,12
8860,C,Hae-young Hwang,10/08/1988,3.0 Stars,3.0 Stars,Normal,45,50,45,50,55,50,25,25,20,V.High,0,0
9798,RF,Ruberto Iglsias,09/22/1990,3.0 Stars,3.0 Stars,Fragile,55,65,50,45,50,75,70,80,80,High,0,0
10398,3B,Bill Johnson,01/10/1994,3.0 Stars,3.0 Stars,Fragile,65,60,55,45,45,55,75,80,55,V.High,2012,10
10778,RF,Bobby Kaptein,12/18/1989,3.0 Stars,3.0 Stars,Fragile,45,45,55,50,50,50,65,80,80,V.High,2011,13
11458,2B,SU-MIN KIM,04/30/1995,3.0 Stars,3.0 Stars,Normal,65,75,50,35,55,75,70,70,60,V.High,2013,120
10925,C,Jean-Baptiste Lamarck,08/16/1995,3.0 Stars,3.0 Stars,Normal,55,50,45,50,40,45,45,45,25,V.High,2013,17
12826,1B,Soo-yeon Lee,01/17/1991,3.0 Stars,3.0 Stars,Normal,55,55,75,40,70,50,75,80,80,V.High,0,0
13613,C,Alex Lopez,01/19/1998,2.5 Stars,3.0 Stars,Fragile,60,65,50,50,50,60,30,25,20,Avg,0,0
8854,DH,Kevin Maas,01/10/1989,3.0 Stars,3.0 Stars,Iron Man,60,60,50,60,45,55,20,50,20,V.High,0,0
11238,1B,Tom MacDormond,09/01/1995,3.0 Stars,3.0 Stars,Durable,45,50,50,75,55,55,30,40,30,V.High,0,0
8385,CF,GREG MARTIN,08/27/1988,3.0 Stars,3.0 Stars,Normal,50,50,70,50,60,50,60,80,70,V.High,2007,59
7992,1B,RYAN MCKINNON JR.,04/27/1988,3.0 Stars,3.0 Stars,Normal,50,45,55,80,55,40,50,50,50,V.High,2006,5
6741,C,Alex Meeks,05/19/1981,3.0 Stars,3.0 Stars,Normal,50,45,50,50,70,45,25,40,20,V.High,2002,6
10691,RF,Isamu Miyazaki,05/25/1994,3.0 Stars,3.0 Stars,Iron Man,50,50,55,70,45,50,55,60,50,V.High,0,0
10979,LF,DANNY MORENO,04/07/1995,2.5 Stars,3.0 Stars,Durable,60,65,55,45,50,60,50,65,45,V.High,2014,38
12312,SS,Katsumi Nishi,12/01/1996,2.0 Stars,3.0 Stars,Normal,50,50,55,60,50,50,50,75,70,High,2015,14
11308,2B,Harrison Pratly,07/31/1995,3.0 Stars,3.0 Stars,Normal,55,50,45,45,40,45,30,30,30,High,0,0
9776,DH,MATT ROY,02/25/1991,3.0 Stars,3.0 Stars,Iron Man,50,55,55,60,55,55,20,40,25,V.High,2010,20
11790,LF,Maurice Sartoretti,01/18/1997,2.5 Stars,3.0 Stars,Normal,55,50,50,70,60,40,50,50,35,V.High,2015,11
9982,C,Robert Schneider,06/03/1990,3.0 Stars,3.0 Stars,Normal,45,45,45,50,50,50,40,55,55,V.High,2009,29
11797,2B,TOM SICK,03/29/1996,2.5 Stars,3.0 Stars,Normal,70,60,65,50,45,50,50,35,25,V.High,2015,97
10380,SS,Henry Skrimshander,05/08/1993,3.0 Stars,3.0 Stars,Normal,55,60,50,50,50,60,25,60,25,V.High,2012,14
9598,2B,JUSTIN SOLOMON,05/31/1992,3.0 Stars,3.0 Stars,Fragile,50,55,50,50,50,55,30,45,20,V.High,2010,101
12110,2B,Rudko Svetozar,04/07/1996,3.0 Stars,3.0 Stars,Normal,45,55,55,45,45,75,75,65,50,V.High,0,0
12128,DH,Bertolameu Tabucchi,12/01/1995,2.0 Stars,3.0 Stars,Normal,60,55,55,70,50,50,25,50,55,High,0,0
8715,RF,Trystan Traywick,05/10/1989,3.0 Stars,3.0 Stars,Iron Man,50,55,70,55,55,65,30,75,50,V.High,2008,8
11742,SS,MIGUEL VEGA,06/23/1996,3.0 Stars,3.0 Stars,Normal,75,55,80,55,35,45,65,40,30,V.High,2015,151
9967,LF,Aaron Williams,12/20/1988,3.0 Stars,3.0 Stars,Fragile,40,45,45,70,80,45,45,40,45,V.High,2008,2
10400,2B,Earl Winton,05/05/1994,2.5 Stars,3.0 Stars,Fragile,60,55,55,55,50,50,35,60,35,V.High,2012,16
14245,RF,Victor Aguilar,06/30/1998,2.0 Stars,2.5 Stars,Normal,45,50,55,50,45,65,70,65,60,High,0,0
9372,1B,AARON ALLEN,03/02/1989,2.5 Stars,2.5 Stars,Iron Man,45,50,45,55,65,50,35,60,20,V.High,2008,73
11784,LF,GERRY ALLOMES,08/13/1996,2.0 Stars,2.5 Stars,Normal,45,50,55,60,45,55,50,60,60,V.High,2015,152
11941,CF,Jacome Alvoeiro,10/16/1995,2.0 Stars,2.5 Stars,Normal,55,60,50,50,45,55,60,35,30,High,0,0
7009,DH,D.J. AMBER,10/06/1985,2.5 Stars,2.5 Stars,Durable,45,50,50,50,75,50,30,35,30,V.High,2003,89
10527,C,Dave Antle,12/07/1992,2.5 Stars,2.5 Stars,Normal,55,55,45,45,35,55,30,55,35,High,0,0
9149,1B,JON ARAIZA,04/03/1990,2.5 Stars,2.5 Stars,Normal,50,55,60,50,50,65,25,60,45,V.High,2009,176
8170,2B,Lorenzo Arguello,04/06/1987,2.5 Stars,2.5 Stars,Fragile,40,40,50,25,50,45,60,70,70,V.High,0,0
4427,1B,Tony Arzola,04/23/1975,2.5 Stars,2.5 Stars,Iron Man,-,-,-,-,-,-,-,-,-,V.Low,0,92
10161,RF,Tommy Babcock,09/07/1992,2.5 Stars,2.5 Stars,Normal,55,55,55,50,45,50,45,70,65,V.High,2011,33
10386,SS,Ramiro Baeza,02/27/1994,2.5 Stars,2.5 Stars,Fragile,55,60,50,35,45,60,35,65,40,V.High,2012,62
5604,3B,Durk Banks,11/29/1979,2.5 Stars,2.5 Stars,Iron Man,-,-,-,-,-,-,-,-,-,V.Low,0,152
14422,SS,Juan Barrientos,12/24/1995,2.0 Stars,2.5 Stars,Normal,50,45,55,55,45,35,45,45,50,V.High,2018,42
12172,C,Kieran Baylis,09/13/1996,2.0 Stars,2.5 Stars,Normal,50,50,50,55,45,50,45,35,40,High,0,0
4991,LF,Dayvon Bennett,07/01/1980,2.5 Stars,2.5 Stars,Iron Man,-,-,-,-,-,-,-,-,-,V.Low,0,73
12749,LF,Joel Bernal,03/20/1997,2.0 Stars,2.5 Stars,Normal,55,55,50,55,40,55,60,65,55,V.High,0,0
531,1B,Bertolameu Betancourt,10/20/1968,2.5 Stars,2.5 Stars,Iron Man,-,-,-,-,-,-,-,-,-,V.Low,0,219
11508,3B,NAIF NA'IL BIN BASSAM,05/07/1995,2.0 Stars,2.5 Stars,Normal,50,55,60,55,45,55,55,50,45,High,2014,27
12254,SS,WALID BIN IMAD,06/12/1997,2.5 Stars,2.5 Stars,Durable,50,50,50,45,40,50,65,50,40,V.High,2016,109
12290,SS,Hilel bin Murtadhy,04/25/1992,2.5 Stars,2.5 Stars,Normal,45,50,50,45,35,55,55,70,60,V.High,2014,8
12151,LF,Nazim bin Ubaydah,10/25/1996,2.0 Stars,2.5 Stars,Normal,55,55,60,50,45,55,65,70,60,High,0,0
12783,C,Asadel bin Yaseen,06/28/1997,2.5 Stars,2.5 Stars,Durable,50,50,40,45,45,50,25,30,25,V.High,0,0
10365,RF,Billy Blackburn,07/12/1994,2.5 Stars,2.5 Stars,Normal,55,55,50,45,45,50,60,70,65,High,2012,26
7972,1B,Rick Blaine,01/26/1988,2.5 Stars,2.5 Stars,Normal,55,55,50,50,50,55,40,75,30,Avg,2006,18
7333,LF,MAX BLAKEWAY,06/22/1985,2.5 Stars,2.5 Stars,Iron Man,45,40,50,65,55,40,20,30,25,High,2004,47
9620,LF,MIKE BLANCHARD,08/12/1992,2.5 Stars,2.5 Stars,Iron Man,45,50,50,50,50,55,45,70,55,High,2010,41
9702,CF,JUAN BLAS,10/15/1987,2.5 Stars,2.5 Stars,Normal,50,45,60,50,50,40,45,70,55,V.High,2009,126
10711,1B,Felicidade Bontempo,09/08/1994,2.5 Stars,2.5 Stars,Normal,50,60,45,40,65,75,35,45,50,V.High,0,0
15030,3B,Travis Bowness,04/22/1997,2.5 Stars,2.5 Stars,Normal,50,50,70,55,45,50,60,50,45,V.High,2019,36
2321,3B,Greg Bradford,01/17/1971,2.5 Stars,2.5 Stars,Normal,-,-,-,-,-,-,-,-,-,V.Low,0,20
9187,RF,Nate Brazil,09/04/1990,2.5 Stars,2.5 Stars,Normal,50,50,50,50,40,50,50,75,75,V.High,2009,18
6942,LF,Tom Brice,03/24/1979,2.5 Stars,2.5 Stars,Durable,-,-,-,-,-,-,-,-,-,V.Low,2001,59
10060,RF,CHAD BRITNELL,10/07/1991,2.5 Stars,2.5 Stars,Iron Man,55,50,65,45,50,45,45,70,45,V.High,2010,50
11720,3B,ALFREDO BRODER,06/20/1993,2.0 Stars,2.5 Stars,Normal,50,50,50,55,50,50,30,50,50,V.High,2014,6
10440,LF,Isaiah Brown,02/04/1994,2.5 Stars,2.5 Stars,Durable,55,50,40,55,40,45,50,50,50,V.High,2012,78
7892,1B,Nate Bryson,02/26/1987,2.5 Stars,2.5 Stars,Fragile,50,45,70,50,60,45,55,80,80,V.High,2005,10
10886,LF,Mike Burns,04/28/1995,2.5 Stars,2.5 Stars,Normal,60,50,45,55,45,45,30,45,45,V.High,2013,8
8774,C,JAY BURRELL,04/14/1989,2.5 Stars,2.5 Stars,Iron Man,45,45,45,50,65,40,40,50,40,High,2008,79
4384,SS,Connor Caffyn,01/07/1977,2.5 Stars,2.5 Stars,Iron Man,-,-,-,-,-,-,-,-,-,V.Low,0,2
10853,SS,Jose Camacho,06/07/1990,2.5 Stars,2.5 Stars,Normal,45,50,50,50,45,50,60,75,75,V.High,2012,32
10494,1B,Arnaldo Camoesas,09/28/1993,2.5 Stars,2.5 Stars,Normal,55,65,55,40,50,70,25,55,25,V.High,0,0
11234,CF,Anastagio Carboni,01/24/1995,2.0 Stars,2.5 Stars,Normal,50,50,65,55,50,45,70,75,75,V.High,0,0
11553,SS,Jason Carranza,09/13/1992,2.5 Stars,2.5 Stars,Normal,50,55,45,45,30,55,30,50,40,V.High,2014,16
17531,C,Fernando Casillas,05/10/1990,2.5 Stars,2.5 Stars,Normal,45,45,55,55,60,45,30,35,40,Avg,0,0
16886,LF,Bruce Cassidy,04/04/1996,2.0 Stars,2.5 Stars,Normal,50,50,45,55,60,50,30,25,30,Low,0,0
707,1B,Carlino Cavallini,08/28/1965,2.5 Stars,2.5 Stars,Iron Man,-,-,-,-,-,-,-,-,-,V.Low,0,1150
12917,3B,ALAN CHAPMAN,10/13/1993,2.5 Stars,2.5 Stars,Fragile,50,50,45,45,45,50,40,45,50,V.High,2015,103
6810,CF,Bubba Chapman,11/01/1985,2.5 Stars,2.5 Stars,Fragile,50,50,55,50,50,45,45,70,55,V.High,2003,16
13830,1B,Harry Chapuis,03/14/1995,2.0 Stars,2.5 Stars,Durable,55,55,55,55,50,55,60,60,55,V.High,2017,10
12109,C,Min-sik Choi,12/16/1995,2.0 Stars,2.5 Stars,Durable,65,50,50,55,50,45,25,20,20,High,0,0
15572,1B,Moon-soo Choi,03/26/1997,2.0 Stars,2.5 Stars,Normal,60,45,50,70,50,35,30,30,25,High,2019,83
12288,3B,GARY COLES,03/30/1992,2.5 Stars,2.5 Stars,Normal,50,50,50,50,40,50,50,55,50,High,2014,19
10869,LF,Jorge Contreras,04/04/1993,2.5 Stars,2.5 Stars,Normal,50,50,45,55,45,50,30,30,35,V.High,2012,97
11196,LF,Vinny Cordova,01/02/1995,2.5 Stars,2.5 Stars,Normal,55,55,70,50,50,55,65,65,65,V.High,0,0
11375,3B,Onfrio Corticelli,02/13/1992,2.5 Stars,2.5 Stars,Normal,50,55,45,45,45,60,30,35,20,High,2012,18
13164,2B,AUGUSTO COURACA,01/22/1991,2.5 Stars,2.5 Stars,Normal,45,45,45,50,75,50,35,45,40,High,2015,37
10363,CF,Tom Craig,01/23/1994,2.5 Stars,2.5 Stars,Normal,50,50,50,50,45,50,65,80,70,V.High,2012,37
10651,CF,Ger Cremers,08/05/1993,2.5 Stars,2.5 Stars,Normal,50,50,45,30,50,50,65,75,65,V.High,0,0
11665,RF,BOBBY CROUCH,07/25/1995,2.5 Stars,2.5 Stars,Normal,65,60,55,55,40,55,75,70,60,High,2013,51
6464,RF,Antonio Cruz,05/04/1983,2.5 Stars,2.5 Stars,Fragile,50,50,50,50,70,45,30,40,30,V.High,2002,8
10867,3B,Marco Cruz,02/13/1990,2.5 Stars,2.5 Stars,Durable,45,45,50,50,50,45,45,45,45,V.High,2012,95
7401,3B,Kelsey Currell,04/10/1986,2.5 Stars,2.5 Stars,Iron Man,55,50,55,55,60,45,30,35,30,V.High,2004,12
7684,LF,BOBBY DAILY,06/22/1986,2.5 Stars,2.5 Stars,Durable,45,45,50,55,75,40,35,50,50,V.High,2008,62
11724,1B,LJUBA DAVIDOVIC,06/22/1992,2.5 Stars,2.5 Stars,Normal,50,55,55,50,45,65,30,30,25,High,2014,90
8979,CF,Bryant Davidson,11/26/1984,2.5 Stars,2.5 Stars,Normal,45,45,45,45,60,40,60,65,60,V.High,2007,7
8980,C,PHIL DAVIS,03/25/1986,2.5 Stars,2.5 Stars,Normal,40,45,45,50,50,50,35,40,45,High,2006,86
14928,1B,Alex Delgado,02/13/1986,2.5 Stars,2.5 Stars,Durable,50,55,45,50,45,65,25,25,20,V.High,0,0
6943,LF,Ken DeLong,03/23/1983,2.5 Stars,2.5 Stars,Durable,45,50,50,25,45,50,60,80,75,V.High,2001,2
10547,1B,Pierre den Dulk,12/13/1978,2.5 Stars,2.5 Stars,Iron Man,-,-,-,-,-,-,-,-,-,V.Low,0,0
11082,CF,Pierre Despereaux,02/16/1995,2.5 Stars,2.5 Stars,Normal,45,50,50,40,50,50,75,80,75,V.High,0,0
10623,2B,MANNY DIAZ,10/10/1994,2.5 Stars,2.5 Stars,Normal,45,50,45,50,50,50,60,75,55,V.High,2013,148
