ID,POS,Name,ORG,Lev,DOB,B,OVR,POT,Prone,HT P,CON P,GAP P,POW P,EYE P,K P,SPE,SR,STE,SctAcc,Draft,OA Pick
7676,RF,Jayne Cobb,TOR,AAA,05/08/1986,S,2.0 Stars,2.0 Stars,Normal,35,35,35,55,50,35,55,45,55,Avg,2005,37
7591,1B,SAM AXE,-,-,06/15/1986,R,2.0 Stars,2.0 Stars,Durable,50,50,40,45,50,50,20,30,25,V.High,2004,51
7684,LF,BOBBY DAILY,DUB,AAA,06/22/1986,L,2.5 Stars,2.5 Stars,Durable,45,45,50,55,75,40,35,50,50,High,2008,62
7657,SS,Bobby Waterman,-,-,06/28/1986,R,2.0 Stars,2.0 Stars,Normal,50,45,50,45,45,45,40,65,50,V.High,2005,22
9060,CF,MONTANA HUDSON,-,-,08/24/1986,R,2.0 Stars,2.0 Stars,Durable,40,40,50,40,45,45,60,70,70,V.High,2008,63
7695,2B,Dan Barbier,-,-,09/17/1986,R,2.0 Stars,2.0 Stars,Normal,40,40,45,35,55,45,40,70,40,V.High,2005,117
7696,RF,IVAN PEREZ,HON,MLB,09/28/1986,L,2.5 Stars,2.5 Stars,Normal,50,45,50,65,30,35,35,30,40,V.High,2005,24
9105,2B,SAM WILLIAMS,CLE,MLB,11/21/1986,R,2.5 Stars,2.5 Stars,Fragile,45,45,50,50,45,50,30,75,30,V.High,2008,55
7654,1B,Zane Schick,LAP,MLB,12/13/1986,L,2.5 Stars,2.5 Stars,Normal,50,50,50,50,50,50,30,40,35,V.High,2005,7
8096,1B,Roberto Rodriguez,TOR,AAA,12/17/1986,S,2.5 Stars,2.5 Stars,Normal,45,45,50,40,80,45,45,70,60,High,0,0
9047,1B,JAYLEN STEWART,-,-,01/16/1987,L,2.0 Stars,2.0 Stars,Normal,45,40,45,55,75,35,35,40,35,V.High,2009,98
8106,RF,Rodolfo Hernandez,TOK,MLB,02/06/1987,L,2.5 Stars,2.5 Stars,Fragile,45,50,50,45,45,55,50,70,70,V.High,0,0
7892,1B,Nate Bryson,-,-,02/26/1987,R,2.5 Stars,2.5 Stars,Fragile,50,45,70,50,60,45,55,80,80,V.High,2005,10
8017,3B,Corey Little,CAL,MLB,03/14/1987,R,2.5 Stars,2.5 Stars,Fragile,55,50,65,50,50,50,35,35,55,V.High,2006,1
8039,C,TRAVIS COSTLOW,HON,MLB,03/19/1987,R,4.0 Stars,4.0 Stars,Durable,60,55,70,50,55,55,60,80,75,V.High,2006,14
8873,CF,Wilber McMillan,LDN,MLB,04/02/1987,R,2.5 Stars,2.5 Stars,Durable,55,55,60,30,30,55,55,75,75,V.High,0,0
8170,2B,Lorenzo Arguello,CLE,MLB,04/06/1987,R,2.5 Stars,2.5 Stars,Fragile,40,40,50,25,50,45,60,70,70,V.High,0,0
8046,CF,CALEB STARK,-,-,04/27/1987,R,2.0 Stars,2.0 Stars,Normal,50,50,55,25,50,50,55,75,65,V.High,2006,53
9142,LF,J.P. BENNETT,-,-,05/10/1987,L,2.0 Stars,2.0 Stars,Durable,40,45,50,40,50,45,60,75,75,V.High,2008,104
8267,3B,Cory Sykes,HON,MLB,05/13/1987,L,3.5 Stars,3.5 Stars,Iron Man,65,55,50,65,50,45,40,40,50,High,2006,8
7723,3B,Bryant Jones,-,-,05/26/1987,R,2.5 Stars,2.5 Stars,Iron Man,45,50,50,45,50,55,30,55,50,V.High,2005,26
9966,CF,Steve Fontenot,STU,MLB,06/08/1987,L,3.5 Stars,3.5 Stars,Fragile,50,55,60,55,45,60,55,80,75,V.High,2008,19
10009,3B,Justin Shumake,TOR,AAA,06/09/1987,L,2.0 Stars,2.0 Stars,Iron Man,40,45,50,25,45,50,50,60,60,Avg,2009,38
7971,SS,Luis Barragan,RME,MLB,07/10/1987,R,4.0 Stars,4.0 Stars,Wrecked,80,65,70,35,80,50,45,80,65,High,2006,3
8853,C,Eduardo Hernandez,NKO,MLB,07/12/1987,R,2.5 Stars,2.5 Stars,Wrecked,40,50,50,50,45,60,25,30,30,V.High,0,0
7978,DH,Joe Neilson,CLE,MLB,08/14/1987,S,2.5 Stars,2.5 Stars,Fragile,55,55,55,50,45,55,50,70,60,V.High,2006,7
8244,1B,Jeff King,CAL,MLB,08/21/1987,R,2.5 Stars,2.5 Stars,Normal,55,50,55,50,50,50,50,45,55,V.High,2006,15
7985,RF,JOE HENSLEY,CLE,AAA,08/31/1987,L,2.0 Stars,2.0 Stars,Normal,50,50,50,40,70,45,40,65,45,V.High,2006,143
8578,1B,Connor Leahy,-,-,09/22/1987,R,2.5 Stars,2.5 Stars,Durable,50,45,50,65,60,40,20,55,20,V.High,0,0
10747,CF,Antonio Guzman,-,-,10/06/1987,L,2.0 Stars,2.0 Stars,Normal,35,45,50,30,40,50,70,75,75,V.High,0,0
8012,SS,DAKOTA VOORHEES,TOK,MLB,10/10/1987,R,2.5 Stars,2.5 Stars,Normal,30,40,40,35,50,45,35,80,45,High,2006,48
9702,CF,JUAN BLAS,CAL,MLB,10/15/1987,S,2.5 Stars,2.5 Stars,Normal,50,45,60,50,50,40,45,70,55,V.High,2009,126
13722,3B,EDDIE LIMA,DEN,MLB,10/23/1987,L,2.5 Stars,2.5 Stars,Normal,45,45,50,50,60,50,25,30,30,V.High,0,0
9498,2B,MIKE AVERY,LDN,AAA,10/29/1987,R,2.0 Stars,2.0 Stars,Normal,40,45,45,35,45,50,30,40,35,High,2009,47
10771,2B,TRAVIS GREENE,-,-,12/13/1987,R,2.0 Stars,2.0 Stars,Iron Man,35,45,45,20,45,55,45,70,45,V.High,2011,113
8027,2B,Matt Kelley,LON,MLB,12/20/1987,R,3.5 Stars,3.5 Stars,Iron Man,50,55,50,50,45,60,35,65,60,V.High,2009,12
10046,SS,NICK CHANDLER,RME,AAA,12/20/1987,R,2.0 Stars,2.0 Stars,Normal,40,40,50,35,45,35,50,65,60,High,2010,12
8584,C,Akinori Fukui,-,-,12/22/1987,R,2.0 Stars,2.0 Stars,Fragile,35,40,35,45,45,45,35,45,35,V.High,0,0
8640,LF,Manny Gonzalez,-,-,01/06/1988,R,2.0 Stars,2.0 Stars,Iron Man,45,50,50,45,45,50,40,65,50,V.High,0,0
8583,LF,Trent Squire,-,-,01/12/1988,R,2.0 Stars,2.0 Stars,Normal,45,45,50,45,45,50,60,75,70,V.High,0,0
7972,1B,Rick Blaine,AMS,MLB,01/26/1988,R,2.5 Stars,2.5 Stars,Normal,55,55,50,50,50,55,40,75,30,Avg,2006,18
10756,C,MATT RAINS,TOR,AAA,02/05/1988,L,2.5 Stars,2.5 Stars,Normal,40,40,45,45,65,40,40,50,45,V.High,2011,38
8599,SS,Anthon Adelaar,-,-,03/01/1988,R,2.0 Stars,2.0 Stars,Iron Man,40,45,45,25,40,50,40,75,50,V.High,0,0
8340,C,JACK EILERS,ADE,MLB,03/02/1988,R,2.5 Stars,2.5 Stars,Normal,40,45,55,50,25,55,30,75,30,High,2007,60
8275,C,CHRIS FRANKLIN,-,-,03/04/1988,R,2.0 Stars,2.0 Stars,Normal,25,35,45,45,75,40,20,30,35,V.High,2006,74
8360,DH,Matt Randels,VAN,MLB,03/19/1988,L,2.5 Stars,2.5 Stars,Normal,50,45,50,55,70,45,25,35,25,V.High,2007,5
14323,1B,Alex Ramirez,-,-,04/01/1988,R,2.0 Stars,2.0 Stars,Normal,45,50,40,50,45,55,30,45,65,V.High,0,0
9696,1B,Carl Linnaeus,GAL,MLB,04/14/1988,L,4.0 Stars,4.0 Stars,Normal,70,80,50,50,45,75,35,50,45,V.High,2009,15
7992,1B,RYAN MCKINNON JR.,DEN,MLB,04/27/1988,R,3.0 Stars,3.0 Stars,Normal,50,45,55,80,55,40,50,50,50,V.High,2006,5
9033,RF,Arnold Huff,LDN,MLB,05/12/1988,R,2.5 Stars,2.5 Stars,Fragile,45,50,50,50,80,50,25,45,25,V.High,2007,18
8527,2B,Rich Phelps,LAP,MLB,05/23/1988,R,3.5 Stars,3.5 Stars,Fragile,45,55,60,50,50,75,70,80,80,V.High,2007,11
8013,C,NICK IRWIN,TOK,MLB,05/30/1988,R,2.5 Stars,2.5 Stars,Fragile,45,40,50,45,45,40,20,30,35,High,2006,34
8491,LF,Jay Marino,HON,AAA,07/20/1988,L,2.5 Stars,2.5 Stars,Wrecked,55,50,50,50,55,45,45,50,60,V.High,2007,13
10014,C,DEVON LITTLE,-,-,07/31/1988,R,2.0 Stars,2.0 Stars,Iron Man,40,45,45,35,60,50,20,20,20,V.High,2010,75
8807,1B,Alexis Pacheco,-,-,08/20/1988,L,2.0 Stars,2.0 Stars,Iron Man,50,55,55,45,40,70,45,55,60,V.High,0,0
8642,RF,Jose Valdez,-,-,08/23/1988,L,2.5 Stars,2.5 Stars,Normal,40,40,50,50,75,35,50,75,70,V.High,0,0
8385,CF,GREG MARTIN,ADE,MLB,08/27/1988,L,3.0 Stars,3.0 Stars,Normal,50,50,70,50,60,50,60,80,70,V.High,2007,59
8508,1B,GEOFF PALMER,-,-,08/31/1988,R,2.0 Stars,2.0 Stars,Normal,45,45,50,55,45,45,30,30,30,V.High,2007,147
8350,LF,Chris Schmucker,HON,AAA,09/12/1988,R,2.5 Stars,2.5 Stars,Normal,50,50,50,50,45,45,55,75,75,High,2007,12
10032,2B,ADRIAN PURVIANCE,-,-,09/12/1988,R,2.0 Stars,2.0 Stars,Durable,45,50,45,30,45,55,40,55,35,V.High,2010,130
8860,C,Hae-young Hwang,LAP,MLB,10/08/1988,R,3.0 Stars,3.0 Stars,Normal,45,50,45,50,55,50,25,25,20,V.High,0,0
10745,2B,Ricky Falcon,LAP,MLB,10/27/1988,R,2.5 Stars,2.5 Stars,Iron Man,45,45,45,50,50,45,35,80,40,High,0,0
8326,C,WILBERT RIVERS,-,-,11/04/1988,R,2.0 Stars,2.0 Stars,Iron Man,40,45,40,45,70,45,35,35,55,V.High,2008,133
10071,1B,JEREMY CARPENTER,LON,MLB,11/15/1988,R,3.0 Stars,3.0 Stars,Iron Man,55,65,60,50,50,80,40,35,40,V.High,2010,43
8500,C,GREG HILGER,LDN,MLB,11/30/1988,R,2.5 Stars,2.5 Stars,Normal,35,45,35,55,60,50,20,25,25,High,2007,81
8657,2B,Danny Almanza,-,-,12/01/1988,R,2.0 Stars,2.0 Stars,Iron Man,45,45,55,35,50,45,60,65,70,V.High,0,0
8864,3B,Winston van Schaik,-,-,12/10/1988,R,2.0 Stars,2.0 Stars,Normal,40,45,65,40,55,45,45,55,60,V.High,0,0
9967,LF,Aaron Williams,RME,MLB,12/20/1988,L,3.0 Stars,3.0 Stars,Fragile,40,45,45,70,80,45,45,40,45,V.High,2008,2
8352,3B,Greg Maynard,-,-,12/26/1988,R,2.0 Stars,2.0 Stars,Normal,45,50,50,50,45,50,60,70,55,V.High,2007,27
11385,1B,Agustin Gutierrez,-,-,01/08/1989,S,2.5 Stars,2.5 Stars,Normal,50,50,50,45,50,50,25,30,35,V.High,2012,56
8854,DH,Kevin Maas,LON,MLB,01/10/1989,R,3.0 Stars,3.0 Stars,Iron Man,60,60,50,60,45,55,20,50,20,V.High,0,0
10793,2B,David Overholser,NKO,MLB,01/24/1989,R,4.5 Stars,4.5 Stars,Fragile,55,65,50,55,75,75,70,80,80,V.High,2011,89
8400,RF,MIKE COUREY,-,-,02/01/1989,R,2.0 Stars,2.0 Stars,Fragile,50,50,45,45,45,50,40,45,65,V.High,2007,88
10785,CF,JASON ELDRIDGE,RME,AAA,02/15/1989,L,2.0 Stars,2.0 Stars,Normal,35,45,40,35,45,55,65,75,75,V.High,2011,109
8835,RF,Myung-woo Kim,CUR,MLB,02/20/1989,R,2.5 Stars,2.5 Stars,Iron Man,45,55,50,55,45,75,45,80,55,V.High,0,0
8859,3B,Kazushi Sakuraba,LON,AAA,02/24/1989,R,2.0 Stars,2.0 Stars,Normal,65,65,50,35,30,60,50,80,55,High,0,0
9652,SS,JARED MAGUIRE,-,-,02/25/1989,L,2.0 Stars,2.0 Stars,Iron Man,45,45,45,35,45,50,25,50,20,V.High,2008,78
9372,1B,AARON ALLEN,HON,AAA,03/02/1989,R,2.5 Stars,2.5 Stars,Iron Man,45,50,45,55,65,50,35,60,20,V.High,2008,73
8376,CF,FINN BALOR,LAP,MLB,03/09/1989,R,3.0 Stars,3.0 Stars,Iron Man,50,45,50,45,50,40,65,80,80,V.High,2007,32
11356,3B,Sandy Escudero,CUR,AAA,03/24/1989,R,2.0 Stars,2.0 Stars,Normal,45,45,40,35,40,45,40,45,45,High,2012,22
9030,2B,BRIAN HAMILTON,-,-,04/07/1989,S,2.0 Stars,2.0 Stars,Normal,50,55,50,45,45,55,45,65,60,V.High,2007,113
8774,C,JAY BURRELL,GAL,MLB,04/14/1989,R,2.5 Stars,2.5 Stars,Iron Man,45,45,45,50,65,40,40,50,40,High,2008,79
8386,2B,Paul Laster,LON,MLB,04/17/1989,R,2.0 Stars,2.0 Stars,Iron Man,45,50,35,25,40,55,40,40,45,Avg,2007,69
8715,RF,Trystan Traywick,ADE,MLB,05/10/1989,R,3.0 Stars,3.0 Stars,Iron Man,50,55,70,55,55,65,30,75,50,V.High,2008,8
10772,CF,Mike Michalkiewicz,HON,AAA,05/13/1989,R,2.0 Stars,2.0 Stars,Normal,40,45,40,25,40,50,65,70,65,High,2011,121
8788,1B,SAM MURPHREE,-,-,06/06/1989,R,2.0 Stars,2.0 Stars,Durable,45,45,45,45,45,50,50,75,70,V.High,2008,102
8773,2B,Gregor Mendel,GAL,MLB,06/06/1989,L,4.0 Stars,4.0 Stars,Fragile,65,50,60,70,55,45,55,80,70,V.High,2008,11
8377,SS,MATT TOLBERT,CUR,AAA,06/15/1989,R,1.5 Stars,1.5 Stars,Fragile,30,30,35,40,40,35,20,45,30,Avg,2007,145
9024,3B,Cory Wright,LON,MLB,07/11/1989,R,3.5 Stars,3.5 Stars,Normal,50,45,50,60,80,40,40,70,45,V.High,2007,6
8533,3B,RICH SANCHEZ,-,-,08/04/1989,R,2.0 Stars,2.0 Stars,Fragile,40,45,45,55,50,50,25,40,30,V.High,2010,111
10763,LF,Ryan Terrell,TOR,AAA,10/06/1989,L,2.0 Stars,2.0 Stars,Durable,45,50,45,40,50,55,45,45,50,High,2011,141
8742,CF,MIKE HEDEEN,GAL,MLB,10/26/1989,S,2.5 Stars,2.5 Stars,Wrecked,45,50,55,25,55,55,45,80,55,High,2008,114
8723,CF,MIKE KOSMAN,-,-,11/02/1989,R,2.0 Stars,2.0 Stars,Iron Man,45,45,45,45,50,40,50,75,65,V.High,2008,122
10802,2B,Nick Sadowsky,NKO,AAA,11/21/1989,R,2.5 Stars,2.5 Stars,Iron Man,50,50,50,45,50,55,35,40,40,V.High,2011,34
9314,1B,Jin-ho Park,-,-,11/29/1989,L,2.5 Stars,2.5 Stars,Normal,50,50,40,50,50,50,30,25,20,V.High,0,0
10835,1B,Avele Manawakolu,-,-,12/01/1989,R,2.5 Stars,2.5 Stars,Fragile,50,60,50,50,45,80,45,45,65,V.High,2012,55
10854,2B,Dustin Wall,TOR,MLB,12/04/1989,R,2.5 Stars,2.5 Stars,Fragile,45,50,55,45,55,50,50,75,60,V.High,2012,86
10778,RF,Bobby Kaptein,STU,MLB,12/18/1989,R,3.0 Stars,3.0 Stars,Fragile,45,45,55,50,50,50,60,80,80,V.High,2011,13
11344,2B,Jim Lowe,-,-,01/20/1990,R,2.5 Stars,2.5 Stars,Normal,50,50,55,50,45,50,45,75,65,V.High,2012,8
9282,CF,Damian Bywaters,TOR,AAA,01/20/1990,R,2.0 Stars,2.0 Stars,Durable,45,45,55,50,55,40,40,55,45,Avg,0,0
10867,3B,Marco Cruz,HAV,MLB,02/13/1990,R,2.5 Stars,2.5 Stars,Durable,45,45,50,50,50,45,45,45,45,V.High,2012,95
9102,1B,ROBBIE STEARNS,DUB,AAA,02/19/1990,R,2.5 Stars,2.5 Stars,Normal,55,50,70,35,70,50,65,75,65,High,2011,106
17539,1B,Kenny Dekker,-,-,02/21/1990,R,2.0 Stars,2.0 Stars,Normal,45,50,40,50,35,60,30,50,60,Avg,0,0
9986,LF,ALEC TIRADO,LAP,MLB,03/07/1990,L,2.5 Stars,2.5 Stars,Iron Man,50,50,55,55,50,50,35,50,50,V.High,2009,119
9045,RF,BRENDAN MUNTEAN,VAN,AAA,03/18/1990,S,2.5 Stars,2.5 Stars,Normal,45,50,50,50,45,55,30,70,40,V.High,2008,143
9318,RF,Kiyotoshi Tani,LAP,MLB,03/23/1990,R,2.5 Stars,2.5 Stars,Iron Man,45,50,50,45,55,55,45,75,65,V.High,0,0
9248,3B,Sergio Ovevedo,DEN,MLB,03/29/1990,R,2.5 Stars,2.5 Stars,Normal,55,45,50,65,50,40,25,45,25,V.High,2009,5
9149,1B,JON ARAIZA,-,-,04/03/1990,R,2.5 Stars,2.5 Stars,Normal,50,55,60,50,50,65,25,60,45,V.High,2009,176
9189,RF,BILL PIERSON,-,-,04/05/1990,L,2.0 Stars,2.0 Stars,Normal,45,50,45,50,50,50,25,45,20,V.High,2009,143
17531,C,Fernando Casillas,AMS,MLB,05/10/1990,R,2.5 Stars,2.5 Stars,Normal,45,45,55,55,60,45,30,35,40,Avg,0,0
9703,1B,STEVE TAYLOR,-,-,05/11/1990,L,2.0 Stars,2.0 Stars,Normal,50,50,45,50,45,45,20,60,30,V.High,2009,110
9673,3B,BOB SACAMANO,DUB,MLB,05/15/1990,R,2.5 Stars,2.5 Stars,Fragile,50,50,45,50,50,55,40,60,50,High,2012,84
9214,RF,Jimmy Grey,CLE,MLB,05/21/1990,R,2.5 Stars,2.5 Stars,Normal,50,50,55,50,55,50,30,60,45,V.High,2009,17
9497,C,Tim Lewis,CUR,AAA,05/24/1990,R,2.5 Stars,2.5 Stars,Normal,45,45,40,50,65,45,20,25,25,V.High,2009,71
9685,1B,Toby Stageberg,-,-,05/27/1990,R,2.0 Stars,2.0 Stars,Normal,55,45,40,50,55,30,20,30,25,V.High,2009,16
11341,1B,Damian Rivera,-,-,05/27/1990,S,2.5 Stars,2.5 Stars,Normal,45,45,50,55,50,50,25,25,20,V.High,2012,161
9183,RF,CASEY CURCIO,-,-,05/27/1990,R,2.0 Stars,2.0 Stars,Durable,45,50,50,35,50,50,45,80,50,V.High,2009,118
9982,C,Robert Schneider,VAN,MLB,06/03/1990,R,3.0 Stars,3.0 Stars,Normal,45,45,45,50,50,50,40,55,55,V.High,2009,29
8733,1B,Jeff Monroe,TOR,MLB,06/04/1990,L,5.0 Stars,5.0 Stars,Normal,75,65,70,75,60,55,20,40,25,V.High,2008,5
10853,SS,Jose Camacho,TOR,MLB,06/07/1990,R,2.5 Stars,2.5 Stars,Normal,45,50,50,50,45,50,60,75,75,V.High,2012,32
9334,RF,Yoshi Ogawa,STU,MLB,07/24/1990,R,2.5 Stars,2.5 Stars,Normal,50,50,55,45,55,50,55,80,70,High,0,0
9689,1B,ERIC KIRKENDALL,-,-,08/01/1990,R,2.0 Stars,2.0 Stars,Normal,50,50,40,50,50,50,25,30,20,V.High,2009,136
9166,1B,ADAM GARDNER,-,-,08/01/1990,R,2.5 Stars,2.5 Stars,Iron Man,45,50,55,45,50,55,35,65,45,V.High,2009,120
8763,LF,JOHN SOUDER,LON,MLB,08/11/1990,R,2.5 Stars,2.5 Stars,Iron Man,45,50,55,35,40,50,75,80,80,High,2008,31
9198,C,ALAKAI KANESHIRO,CAL,MLB,08/15/1990,S,2.5 Stars,2.5 Stars,Iron Man,40,50,45,45,45,80,20,25,20,V.High,2009,41
11369,3B,Kick van Embden,-,-,08/31/1990,L,2.0 Stars,2.0 Stars,Fragile,45,50,50,45,45,55,30,70,65,V.High,2012,52
9187,RF,Nate Brazil,STU,MLB,09/04/1990,L,2.5 Stars,2.5 Stars,Normal,50,50,50,50,40,50,50,75,75,V.High,2009,18
10858,LF,Phil Manning,-,-,09/16/1990,L,2.0 Stars,2.0 Stars,Durable,50,45,55,45,50,40,50,75,55,V.High,2012,30
9798,RF,Ruberto Iglsias,CAL,MLB,09/22/1990,R,3.0 Stars,3.0 Stars,Fragile,55,65,50,45,50,75,70,80,80,High,0,0
9295,3B,Mark Lourens,-,-,10/01/1990,R,2.5 Stars,2.5 Stars,Normal,50,45,50,55,50,35,25,35,25,V.High,0,0
11391,LF,Harry Jordan,-,-,10/01/1990,L,2.0 Stars,2.0 Stars,Durable,50,50,45,50,40,50,35,45,40,V.High,2012,105
9176,CF,Tommy Havlik,-,-,10/05/1990,L,2.5 Stars,2.5 Stars,Normal,30,40,35,60,50,50,35,70,55,V.High,2009,43
9469,CF,Corey Keyes,CLE,MLB,10/27/1990,R,2.5 Stars,2.5 Stars,Iron Man,35,45,40,50,45,50,40,80,80,V.High,2009,82
9205,CF,OVE LILJA,AMS,MLB,11/03/1990,R,2.0 Stars,2.0 Stars,Iron Man,45,50,50,45,50,50,60,75,60,V.High,2009,69
9420,RF,Oscar Romero,NKO,MLB,11/13/1990,R,2.5 Stars,2.5 Stars,Wrecked,50,50,50,50,50,50,20,55,45,V.High,2009,48
9158,2B,MATT MARGOLIN,-,-,11/27/1990,R,2.0 Stars,2.0 Stars,Normal,50,55,50,40,30,55,50,70,65,V.High,2009,122
9186,LF,DANNY LEMKE,-,-,11/29/1990,L,2.0 Stars,2.0 Stars,Normal,40,45,40,45,40,50,60,70,65,V.High,2010,92
17533,1B,Rio Wilson,-,-,12/03/1990,R,1.5 Stars,1.5 Stars,Normal,45,40,45,40,45,25,25,20,25,Avg,0,0
9861,2B,Teko MacDonald,CUR,MLB,12/17/1990,L,2.5 Stars,2.5 Stars,Wrecked,50,45,50,50,35,35,40,80,50,V.High,0,0
11443,1B,FREDDIE FISH,-,-,12/21/1990,R,2.5 Stars,2.5 Stars,Normal,50,50,50,50,55,50,25,20,20,V.High,2013,138
11181,C,Clay Cross,-,-,01/09/1991,S,2.0 Stars,2.0 Stars,Iron Man,25,35,40,20,50,45,45,55,50,V.High,0,0
9996,CF,Dustin Flowers,-,-,01/12/1991,R,2.0 Stars,2.0 Stars,Normal,50,45,45,40,35,40,65,75,65,V.High,2009,50
12826,1B,Soo-yeon Lee,ADE,MLB,01/17/1991,L,3.0 Stars,3.0 Stars,Normal,55,55,75,40,70,50,75,80,80,V.High,0,0
