ID,POS,Name,DOB,OVR,POT,Prone,HT P,CON P,GAP P,POW P,EYE P,K P,SPE,SctAcc
15756,C,Tae-yang Seol,06/01/2001,2.0 Stars,5.0 Stars,Normal,70,65,80,80,80,60,40,High
14218,3B,Phil Speed,07/12/1998,3.0 Stars,5.0 Stars,Fragile,60,55,60,80,80,55,40,V.High
15347,RF,Kevin Stone,01/20/2001,2.0 Stars,5.0 Stars,Normal,65,75,70,80,50,75,55,V.High
14874,SS,Dermot Timney,03/24/1999,2.5 Stars,5.0 Stars,Normal,80,80,55,75,50,75,50,V.High
17772,1B,Ron Trimbur,10/30/2005,1.5 Stars,5.0 Stars,Normal,75,50,50,80,80,40,25,Avg
17762,C,Tom van den Brink,04/16/2005,1.0 Stars,5.0 Stars,Normal,80,80,50,30,70,80,25,Avg
16328,C,Jarrod Withers,01/19/2004,1.0 Stars,5.0 Stars,Durable,80,50,65,80,75,25,40,High
17012,CF,Hugh Baird,05/20/2004,1.0 Stars,4.5 Stars,Normal,65,80,80,55,50,80,65,High
16429,LF,Gerry Belgrove,08/01/2003,1.0 Stars,4.5 Stars,Normal,55,45,45,80,80,35,35,High
14846,2B,Edwin Canales,04/15/2000,2.0 Stars,4.5 Stars,Normal,70,70,60,55,45,70,60,V.High
14850,C,Emilio Castaneda,03/23/2000,1.5 Stars,4.5 Stars,Normal,60,55,60,70,55,55,30,High
11038,1B,JUSTIN CUMMINGS,08/06/1996,2.0 Stars,4.5 Stars,Normal,55,60,65,80,60,65,55,High
16335,CF,Huibert de Jong,02/24/2004,1.0 Stars,4.5 Stars,Normal,60,55,65,75,80,55,55,High
12121,3B,A.E. Douglas,08/06/1996,4.5 Stars,4.5 Stars,Normal,60,75,70,55,50,80,70,V.High
16798,LF,Kiyoshi Itakura,01/04/2003,1.5 Stars,4.5 Stars,Normal,60,70,80,65,60,70,55,High
15877,3B,Bill Knowles,02/22/2003,1.0 Stars,4.5 Stars,Normal,65,70,55,65,75,65,40,V.High
16567,C,Merlin Latimer,04/24/2003,1.0 Stars,4.5 Stars,Normal,55,65,65,65,55,65,35,High
17677,RF,Han-seung Lee,05/13/2005,1.0 Stars,4.5 Stars,Normal,65,45,80,80,80,30,45,Avg
17489,CF,Osvaldo Leonetti,02/03/2003,1.5 Stars,4.5 Stars,Durable,65,65,80,80,50,65,40,V.High
17485,2B,Ron Liston,05/23/2003,1.5 Stars,4.5 Stars,Durable,80,80,80,45,40,80,65,V.High
17726,SS,Horiuchi Miyake,01/15/2005,1.0 Stars,4.5 Stars,Normal,65,60,80,60,75,55,45,Avg
15508,SS,Ratko Moljevic,02/01/2002,1.0 Stars,4.5 Stars,Normal,60,60,80,70,65,55,55,High
16276,LF,Kameji Nakata,10/15/2003,1.5 Stars,4.5 Stars,Fragile,60,60,55,75,75,60,40,High
15619,C,Kei Oda,06/14/2001,1.0 Stars,4.5 Stars,Normal,55,45,55,75,80,40,25,V.High
10793,2B,David Overholser,01/24/1989,4.5 Stars,4.5 Stars,Fragile,55,65,50,55,75,75,70,V.High
11616,LF,Glen Smith,06/14/1996,2.5 Stars,4.5 Stars,Normal,65,65,60,75,50,55,60,V.High
16404,2B,Bryan Stanley,06/18/1999,2.0 Stars,4.5 Stars,Normal,80,80,80,40,40,80,65,V.High
11195,RF,Henny van der Valk,05/31/1995,3.5 Stars,4.5 Stars,Normal,80,65,80,70,60,50,70,V.High
16968,CF,Addy Veen,04/01/2004,1.0 Stars,4.5 Stars,Normal,50,55,80,70,80,60,60,High
9605,LF,Janos von Neumann,05/26/1992,4.5 Stars,4.5 Stars,Iron Man,80,80,80,45,55,80,80,V.High
16437,SS,Jared Wahl,07/01/2003,1.0 Stars,4.5 Stars,Normal,70,50,60,80,80,30,45,Avg
17082,SS,Steve Wright,04/24/2004,1.0 Stars,4.5 Stars,Normal,80,55,50,80,50,40,45,Avg
16999,2B,Kiyoji Yamamoto,04/24/2004,1.0 Stars,4.5 Stars,Normal,55,50,60,80,80,40,50,Avg
17147,2B,Nail Abdul-Samad,12/23/2004,1.0 Stars,4.0 Stars,Normal,80,80,70,40,55,70,65,Avg
11596,1B,Glen Aguilera,08/10/1996,2.5 Stars,4.0 Stars,Normal,50,65,80,75,50,75,65,High
15734,SS,Sandor Albers,10/15/2002,1.0 Stars,4.0 Stars,Normal,65,70,60,55,75,65,55,High
17078,2B,Gavrilo Anastasijevic,05/24/2005,1.0 Stars,4.0 Stars,Normal,70,80,50,50,50,80,45,High
16832,1B,Marino Arceo,04/21/2003,1.5 Stars,4.0 Stars,Normal,60,60,75,70,55,60,25,High
16535,LF,Gideon Aylett,06/18/2003,1.5 Stars,4.0 Stars,Normal,50,45,65,80,80,35,50,Avg
17093,RF,Mitchell Bamforth,12/11/2004,1.0 Stars,4.0 Stars,Normal,80,80,55,35,45,80,35,High
7971,SS,Luis Barragan,07/10/1987,4.0 Stars,4.0 Stars,Wrecked,80,65,70,35,80,50,45,High
16331,SS,Leen Bikker,04/08/2003,1.0 Stars,4.0 Stars,Normal,60,70,80,55,60,70,55,High
17104,3B,Sabeer bin Lutfi,05/18/2005,1.0 Stars,4.0 Stars,Normal,55,55,60,75,80,55,25,Avg
15113,LF,Ayman bin Na'il,02/18/2002,1.5 Stars,4.0 Stars,Normal,65,75,80,50,45,80,50,High
16139,CF,Baha al Din bin Rashid,06/23/2002,1.0 Stars,4.0 Stars,Normal,60,55,80,70,80,45,60,Low
17571,CF,Teddy Blackley,11/06/2004,1.0 Stars,4.0 Stars,Normal,80,80,55,50,45,75,45,Avg
17432,RF,Ijsbert Bruin,02/08/2004,1.0 Stars,4.0 Stars,Normal,60,50,80,75,80,40,65,V.High
17774,SS,Vladimir Buturovic,07/29/2005,1.0 Stars,4.0 Stars,Normal,80,80,50,40,45,80,55,Avg
13379,RF,Joel Callaway,01/16/1999,1.5 Stars,4.0 Stars,Normal,80,55,65,80,65,40,35,High
17564,1B,Nehemiah Carr,06/09/2004,1.5 Stars,4.0 Stars,Normal,60,60,55,55,80,60,50,Avg
13294,1B,Guibert Cipolloni,04/22/1997,1.5 Stars,4.0 Stars,Normal,70,65,50,70,50,60,45,High
12439,2B,Jason Clark,01/02/1998,3.0 Stars,4.0 Stars,Normal,75,75,80,55,45,65,80,V.High
8039,C,TRAVIS COSTLOW,03/19/1987,4.0 Stars,4.0 Stars,Durable,60,55,70,50,55,55,60,V.High
12952,RF,NEAL COULTER,09/11/1997,3.0 Stars,4.0 Stars,Normal,60,65,55,65,45,60,75,V.High
16233,RF,Tom Cowser,09/17/1999,2.0 Stars,4.0 Stars,Normal,55,55,55,80,80,50,40,High
16978,3B,Robin Davies,04/14/2004,1.0 Stars,4.0 Stars,Normal,55,70,60,65,70,75,40,High
13961,2B,Remco de Graaf,05/02/1999,1.5 Stars,4.0 Stars,Durable,70,70,70,65,45,55,50,V.High
10849,1B,Luis de la Cruz,08/21/1993,3.5 Stars,4.0 Stars,Durable,55,50,55,80,55,45,25,V.High
14809,CF,Moises Garcia,12/17/1999,1.5 Stars,4.0 Stars,Normal,80,80,55,45,35,70,75,V.High
16416,3B,Nick Gilbert,04/11/2004,1.0 Stars,4.0 Stars,Normal,80,80,80,45,55,70,65,High
17468,LF,Sib Gloudemans,06/20/2003,1.5 Stars,4.0 Stars,Normal,60,55,80,70,55,55,45,Low
14479,LF,Chris Green,04/05/2000,1.5 Stars,4.0 Stars,Normal,65,60,55,75,50,50,50,High
16475,3B,Francis Hakkers,06/02/2004,1.0 Stars,4.0 Stars,Normal,70,45,55,80,75,30,35,High
13846,CF,Shane Harvey,05/29/1999,2.0 Stars,4.0 Stars,Durable,75,80,50,45,60,75,65,V.High
10039,RF,Erik Hilton,04/30/1991,4.0 Stars,4.0 Stars,Durable,60,65,65,55,55,60,65,V.High
15641,1B,Tracy Jordan,07/01/2002,1.5 Stars,4.0 Stars,Normal,65,55,60,70,75,45,35,V.High
16259,LF,Toji Kato,06/05/2003,1.0 Stars,4.0 Stars,Normal,70,50,65,80,80,30,35,High
17110,C,Ijsbert Ketting,09/03/2004,1.0 Stars,4.0 Stars,Normal,55,65,60,60,50,65,30,Avg
17452,CF,Etsuo Kobayashi,02/28/2004,1.0 Stars,4.0 Stars,Durable,65,75,50,60,45,75,45,Low
17603,3B,Tadao Kondo,09/03/2005,1.0 Stars,4.0 Stars,Normal,50,50,50,80,80,50,30,Avg
13218,1B,Wayne Lawless,06/07/1997,2.0 Stars,4.0 Stars,Normal,50,65,80,70,50,80,50,V.High
15354,RF,Ji-won Lee,12/19/2000,1.5 Stars,4.0 Stars,Normal,65,70,75,60,55,70,65,High
12390,1B,DOBRICA LEKOVIC,01/16/1998,2.0 Stars,4.0 Stars,Normal,65,65,50,70,50,65,40,V.High
9696,1B,Carl Linnaeus,04/14/1988,4.0 Stars,4.0 Stars,Normal,70,80,50,50,45,75,35,V.High
17172,2B,Eric Little,05/05/2004,1.0 Stars,4.0 Stars,Normal,55,55,55,65,80,55,40,High
11748,2B,Egiodeo Lucetti,07/02/1996,2.5 Stars,4.0 Stars,Normal,60,65,60,55,45,65,75,V.High
7197,1B,Danny Macias,02/18/1984,4.0 Stars,4.0 Stars,Wrecked,75,65,50,70,80,50,25,V.High
13611,SS,Chris Mancilla,10/28/1998,2.5 Stars,4.0 Stars,Normal,65,75,70,60,45,75,65,High
17449,2B,Graham Maxwell,12/08/2003,1.0 Stars,4.0 Stars,Normal,80,80,75,45,45,80,60,Avg
8773,2B,Gregor Mendel,06/06/1989,4.0 Stars,4.0 Stars,Fragile,65,50,60,70,55,45,55,V.High
14352,LF,Joe Morris,03/16/1999,1.5 Stars,4.0 Stars,Normal,60,70,60,55,55,75,55,V.High
17438,LF,Roy Newton,02/09/2004,1.5 Stars,4.0 Stars,Normal,60,70,80,50,45,80,75,V.High
14859,CF,Milos Ostrozinska,03/01/2000,1.5 Stars,4.0 Stars,Normal,55,65,60,70,50,70,45,High
11771,LF,Min-gook Park,06/16/1996,2.5 Stars,4.0 Stars,Fragile,55,60,50,70,50,55,70,V.High
6807,CF,Dan Parker,04/14/1985,4.0 Stars,4.0 Stars,Fragile,55,50,70,45,65,50,65,V.High
15652,C,Nick Pelton,12/12/1997,2.0 Stars,4.0 Stars,Normal,70,80,45,45,45,80,30,V.High
17754,CF,Eddie Perez,02/17/2006,1.0 Stars,4.0 Stars,Normal,80,80,50,55,35,80,35,Avg
15744,CF,Fernando Porchianelo,01/23/2003,1.0 Stars,4.0 Stars,Normal,80,80,45,40,40,80,45,High
10986,SS,Matt Riga,06/27/1995,3.0 Stars,4.0 Stars,Durable,80,75,60,35,60,60,65,V.High
14196,CF,Gil Rivera,04/22/1999,2.0 Stars,4.0 Stars,Normal,80,80,60,50,40,80,80,V.High
16530,SS,Sam Rodd,02/16/2002,1.5 Stars,4.0 Stars,Normal,65,50,60,70,80,45,40,V.High
13612,CF,Franklin Rodriguez,12/16/1997,2.0 Stars,4.0 Stars,Normal,65,65,60,60,45,60,60,V.High
13908,RF,GIL RYALL,02/07/1998,2.0 Stars,4.0 Stars,Fragile,75,70,55,55,55,60,55,V.High
17650,SS,Servaas Schiphorst,07/05/2005,1.0 Stars,4.0 Stars,Durable,80,80,50,45,40,70,45,Avg
13374,CF,Rio Scoffield,11/13/1998,2.0 Stars,4.0 Stars,Normal,65,60,65,70,45,55,75,V.High
13091,C,Solo Sikoa,04/02/1998,2.0 Stars,4.0 Stars,Normal,75,70,50,50,45,65,30,High
16428,CF,Teruhito Sonoda,12/07/2003,1.0 Stars,4.0 Stars,Normal,80,80,75,45,40,80,55,High
16825,RF,Stanislav Stanovcic,10/08/2002,1.5 Stars,4.0 Stars,Normal,60,60,80,65,75,60,60,High
16442,CF,Jim Sutton,06/24/2003,1.0 Stars,4.0 Stars,Durable,75,80,80,45,45,80,65,High
17549,C,Bettino Toccafundo,10/24/2004,1.0 Stars,4.0 Stars,Normal,70,50,50,75,60,35,30,Avg
14482,2B,Luis Torres,04/04/2000,1.5 Stars,4.0 Stars,Durable,70,65,50,75,50,55,35,V.High
17598,SS,Charlie Van Gorder,04/21/2005,1.0 Stars,4.0 Stars,Normal,60,55,80,55,75,50,65,Avg
17670,RF,Jose Vasquez,07/31/2004,1.5 Stars,4.0 Stars,Normal,55,60,80,55,80,65,55,Avg
17613,2B,Alex Vega,08/23/2005,1.0 Stars,4.0 Stars,Normal,65,75,60,55,45,80,55,Avg
12341,1B,Phil Watt,04/01/1996,2.5 Stars,4.0 Stars,Normal,55,60,55,75,45,65,35,V.High
16447,C,Ryan Whiffin,05/21/2003,1.0 Stars,4.0 Stars,Durable,55,60,55,55,70,65,25,High
15747,1B,Mitch Aastrom,08/28/2002,1.0 Stars,3.5 Stars,Normal,60,60,45,65,55,55,30,High
17714,SS,Raghib Abdul-Hadi,06/21/2000,2.0 Stars,3.5 Stars,Normal,55,60,75,50,80,60,60,Avg
11634,LF,Diego Acevedo,04/16/1996,3.0 Stars,3.5 Stars,Durable,55,60,65,55,50,60,70,V.High
17462,LF,Neil Adam,05/27/2004,1.0 Stars,3.5 Stars,Durable,65,65,70,55,50,65,50,Avg
15391,LF,Stewart Andrews,03/13/2001,1.5 Stars,3.5 Stars,Normal,55,60,50,65,55,55,30,High
14853,1B,Austin Annear,04/03/2000,1.5 Stars,3.5 Stars,Normal,65,55,55,75,50,45,40,High
11623,1B,Jesus Aragon,12/06/1996,2.5 Stars,3.5 Stars,Normal,55,60,50,60,50,60,30,Avg
16211,SS,Pharoah Atem,01/05/2002,2.0 Stars,3.5 Stars,Normal,60,65,80,50,55,65,80,V.High
17126,C,Bruce Bahr,01/03/2005,1.0 Stars,3.5 Stars,Normal,80,75,55,40,50,65,30,Avg
13794,2B,Clotilde Bailo,07/17/1997,3.5 Stars,3.5 Stars,Normal,55,55,50,45,45,55,50,V.High
16175,SS,Borenko Banovic,01/22/1991,3.5 Stars,3.5 Stars,Normal,50,55,55,50,60,55,40,V.High
12797,3B,Elias Bleck,03/19/1997,2.5 Stars,3.5 Stars,Normal,55,60,50,60,50,60,55,V.High
13655,SS,Franklin Bosma,06/20/1998,2.5 Stars,3.5 Stars,Normal,50,55,55,60,50,65,55,V.High
12998,CF,Will Bradnock,04/11/1997,2.5 Stars,3.5 Stars,Normal,50,55,75,70,45,65,50,V.High
16237,RF,Gian-Carlo Burti,09/14/1999,2.0 Stars,3.5 Stars,Normal,60,70,55,55,45,70,45,V.High
16411,CF,Dan Caldwell Jr,03/21/2003,1.0 Stars,3.5 Stars,Durable,75,70,80,40,70,55,70,V.High
16266,2B,Alex Castellanos,07/15/2003,1.0 Stars,3.5 Stars,Durable,65,75,55,45,50,80,55,High
17529,CF,Manny Caudillo,05/17/2004,1.0 Stars,3.5 Stars,Normal,75,80,55,45,45,80,40,Avg
12113,LF,Al Chamberlain,11/09/1996,2.5 Stars,3.5 Stars,Normal,50,55,70,60,45,70,80,V.High
10942,CF,JOHN CHIARAVALLOTI,12/28/1994,3.5 Stars,3.5 Stars,Fragile,55,65,55,45,50,65,55,V.High
12161,2B,Jasa Ckrebic,11/12/1996,2.5 Stars,3.5 Stars,Normal,70,60,80,55,45,50,70,High
9564,2B,Alvin Cleary,05/20/1991,3.5 Stars,3.5 Stars,Normal,50,55,45,55,55,65,20,V.High
16242,1B,Dave Coady,04/25/1999,2.0 Stars,3.5 Stars,Normal,55,45,50,75,80,35,35,High
8242,3B,Ray Coler,07/22/1984,3.5 Stars,3.5 Stars,Normal,80,50,50,55,75,35,35,V.High
13334,C,Alejandro Contreras,04/24/1998,1.0 Stars,3.5 Stars,Normal,65,50,55,80,50,35,45,V.High
17430,C,Javier Cruz,08/28/2004,1.0 Stars,3.5 Stars,Durable,50,50,65,55,80,50,30,Avg
17636,RF,Cooper Curtis,09/24/2005,1.0 Stars,3.5 Stars,Normal,70,80,50,45,45,80,45,Avg
16965,RF,Griff Duncan,07/10/2004,1.0 Stars,3.5 Stars,Normal,70,75,70,45,45,75,55,High
16786,LF,Angelo Espinoza,02/23/2002,1.5 Stars,3.5 Stars,Normal,55,60,55,65,65,60,40,High
12171,RF,Dave Ewing,09/11/1996,2.0 Stars,3.5 Stars,Normal,70,75,45,55,45,75,30,V.High
12005,C,Barney Fennell,05/14/1996,2.0 Stars,3.5 Stars,Durable,70,65,45,55,50,55,30,High
11577,SS,DAVID FERENCE,07/11/1996,3.5 Stars,3.5 Stars,Normal,80,65,60,50,40,50,50,V.High
16313,1B,Joël Ferrua,05/08/2003,1.5 Stars,3.5 Stars,Normal,75,75,50,50,45,70,30,High
10122,C,Cameron Finch,11/21/1992,3.5 Stars,3.5 Stars,Iron Man,45,50,45,65,55,60,25,V.High
9966,CF,Steve Fontenot,06/08/1987,3.5 Stars,3.5 Stars,Fragile,50,55,60,55,45,60,55,V.High
14433,2B,Javy Gonzales,11/26/2000,1.5 Stars,3.5 Stars,Normal,80,80,60,40,45,75,50,High
17133,1B,Bobby Hamilton,07/23/2005,1.5 Stars,3.5 Stars,Durable,55,70,50,55,50,75,30,High
17627,CF,Steven Helms,02/17/2006,1.0 Stars,3.5 Stars,Normal,65,80,60,50,40,80,40,Avg
15114,2B,Michael Hopkins,04/26/2001,1.5 Stars,3.5 Stars,Normal,80,65,50,60,50,50,60,V.High
15834,LF,Alex Hurtado,06/15/2003,1.0 Stars,3.5 Stars,Normal,55,60,60,65,40,60,45,V.High
16537,3B,Dan Hyman,03/07/2004,1.0 Stars,3.5 Stars,Normal,55,45,60,75,80,35,40,Avg
16833,1B,Takashi Imaizumi,07/18/2003,1.5 Stars,3.5 Stars,Normal,65,75,50,50,50,80,20,High
17170,CF,Iemochi Ishii,12/02/2004,1.0 Stars,3.5 Stars,Normal,60,45,65,75,80,35,50,Avg
13923,LF,Shigetaka Ishii,03/23/1995,2.5 Stars,3.5 Stars,Normal,55,70,70,45,50,80,70,V.High
13088,3B,Declan Jacobsen,03/22/1999,2.5 Stars,3.5 Stars,Normal,65,60,55,65,55,55,45,V.High
16847,C,Danny Jimenez,01/19/2003,1.0 Stars,3.5 Stars,Normal,55,60,65,55,55,60,35,Low
13460,LF,Manny Jimenez,05/08/1998,1.5 Stars,3.5 Stars,Normal,50,55,70,70,65,70,50,V.High
17214,2B,Jorge Juarez,12/30/2003,1.0 Stars,3.5 Stars,Normal,65,45,55,80,65,30,45,High
8027,2B,Matt Kelley,12/20/1987,3.5 Stars,3.5 Stars,Iron Man,50,55,50,50,45,60,35,V.High
13656,3B,Bae-hee Kim,01/31/1997,3.0 Stars,3.5 Stars,Normal,55,55,55,70,50,55,30,V.High
17162,3B,Myun-gu Kim,02/06/2004,1.0 Stars,3.5 Stars,Normal,60,70,50,55,50,80,35,Avg
16215,C,Si-on Kim,11/12/2001,1.5 Stars,3.5 Stars,Normal,60,45,50,80,55,35,25,High
16572,1B,Jim Kreamer,06/26/2003,1.0 Stars,3.5 Stars,Normal,60,70,55,55,45,75,30,High
16107,CF,Joost Krijnen,05/14/2002,1.0 Stars,3.5 Stars,Normal,55,60,80,55,55,65,60,Low
12788,LF,Vladimir Ljotic,12/18/1996,2.5 Stars,3.5 Stars,Normal,55,60,60,60,40,70,65,V.High
12577,1B,Gianni Luttazi,07/20/1996,2.0 Stars,3.5 Stars,Normal,80,70,50,55,50,55,70,High
14869,CF,Addick MacDonald,03/29/2000,1.5 Stars,3.5 Stars,Normal,80,80,65,45,40,70,75,V.High
16939,3B,Juan Marin,02/04/2003,1.5 Stars,3.5 Stars,Durable,65,70,55,55,70,70,30,High
15070,CF,Ijsbrand Meijer,08/28/2002,1.5 Stars,3.5 Stars,Normal,60,70,65,55,45,70,65,High
17094,LF,Sean Miles,11/09/2004,1.0 Stars,3.5 Stars,Durable,70,50,55,80,65,35,30,Avg
15387,LF,Tony Miranda,12/03/2000,1.5 Stars,3.5 Stars,Normal,55,60,65,55,50,65,50,High
17770,SS,Daniel Mitchell,02/12/2006,1.0 Stars,3.5 Stars,Normal,55,45,60,80,60,35,35,Avg
11564,1B,Dante Mosquera,06/26/1996,1.5 Stars,3.5 Stars,Durable,80,70,50,60,45,50,25,High
11751,LF,Shigekuni Nomura,08/06/1996,3.0 Stars,3.5 Stars,Fragile,55,65,75,50,45,70,75,V.High
16827,2B,Luis Olivares,06/22/2003,1.0 Stars,3.5 Stars,Normal,55,50,80,70,80,45,45,Low
17748,3B,Rafael Ortega,08/05/2005,1.0 Stars,3.5 Stars,Durable,55,45,45,80,70,30,25,Avg
12829,RF,Arturo Ortiz,02/16/1986,3.5 Stars,3.5 Stars,Normal,50,50,80,55,80,50,60,V.High
16690,SS,Alfredo Padilla,03/20/2003,1.0 Stars,3.5 Stars,Normal,70,80,50,40,50,80,40,V.High
14862,LF,Allen Parker,10/21/2000,1.5 Stars,3.5 Stars,Durable,65,75,50,55,50,75,35,V.High
16835,SS,Vincent Peters,06/18/2003,1.0 Stars,3.5 Stars,Normal,65,70,80,45,55,65,55,Avg
16562,RF,Cameron Peterson,09/25/2003,1.0 Stars,3.5 Stars,Normal,60,45,50,80,75,35,35,High
8527,2B,Rich Phelps,05/23/1988,3.5 Stars,3.5 Stars,Fragile,45,55,60,50,50,75,70,V.High
13011,RF,SILAS PRITCHETT,04/01/1997,2.5 Stars,3.5 Stars,Normal,50,65,65,60,50,80,45,High
15375,1B,Dragisa Prodanovic,07/19/2001,1.5 Stars,3.5 Stars,Normal,80,80,50,45,45,75,25,High
12169,1B,Francis Puts,04/28/1996,1.5 Stars,3.5 Stars,Normal,55,65,60,55,50,75,30,High
15351,C,Ricky Ramos,11/09/2000,1.5 Stars,3.5 Stars,Durable,60,60,50,55,50,55,30,High
16773,C,Brayden Reynolds,07/18/2003,1.0 Stars,3.5 Stars,Normal,50,50,50,60,75,50,30,High
17425,C,Blaine Rodd,10/16/2004,0.5 Stars,3.5 Stars,Normal,50,45,45,80,70,35,25,Avg
16441,LF,Cody Rogers,12/15/2002,1.5 Stars,3.5 Stars,Normal,60,65,55,50,70,70,30,High
7364,3B,Dan Rusin,09/21/1985,3.5 Stars,3.5 Stars,Normal,50,50,50,65,80,50,20,V.High
15857,3B,Kazuho Sakoda,06/18/2002,1.0 Stars,3.5 Stars,Normal,65,65,55,55,50,65,35,V.High
11040,3B,FRANKLIN SANCHEZ,12/17/1995,3.5 Stars,3.5 Stars,Fragile,50,65,55,65,50,80,45,V.High
16217,LF,John Shepard,10/11/1997,2.5 Stars,3.5 Stars,Normal,70,75,80,40,35,80,65,V.High
13966,CF,Phil Shook,06/30/2000,1.5 Stars,3.5 Stars,Normal,55,65,80,50,45,75,80,High
14872,RF,Olcar Smith,01/27/2000,1.5 Stars,3.5 Stars,Normal,50,60,50,65,45,70,50,High
7772,SS,Victor Sotelo,11/30/1985,3.5 Stars,3.5 Stars,Normal,55,55,50,50,55,55,30,V.High
17404,1B,Brandon Stewart,12/21/2003,1.5 Stars,3.5 Stars,Normal,80,80,45,45,45,80,30,Low
14604,3B,Vince Stoddard,05/05/2000,1.0 Stars,3.5 Stars,Normal,50,65,45,65,50,80,30,V.High
13424,3B,Jou Sugano,03/23/1998,1.5 Stars,3.5 Stars,Durable,70,70,55,45,55,65,45,High
8267,3B,Cory Sykes,05/13/1987,3.5 Stars,3.5 Stars,Iron Man,65,55,50,65,50,45,40,V.High
13095,1B,Ubbe Teuben,08/12/1998,2.0 Stars,3.5 Stars,Normal,55,55,50,70,50,55,65,V.High
15367,1B,Basile Tofi,07/18/2001,1.5 Stars,3.5 Stars,Normal,55,65,50,60,45,70,30,High
15699,SS,Georgs Torriani,08/06/2002,1.0 Stars,3.5 Stars,Normal,75,80,50,35,45,80,45,V.High
14202,C,Julio Trujillo,11/17/1998,2.0 Stars,3.5 Stars,Durable,55,55,55,60,45,55,45,V.High
13348,LF,Ethan Van buizen,03/09/1998,1.5 Stars,3.5 Stars,Normal,70,65,55,60,50,55,65,V.High
13614,1B,Maurice van der Horst,10/01/1998,2.0 Stars,3.5 Stars,Normal,55,50,70,70,60,45,25,High
15089,C,Zeljko Vidovic,02/14/2002,1.0 Stars,3.5 Stars,Normal,55,65,45,55,45,70,25,V.High
9499,2B,MIKE WARNER,01/25/1991,3.5 Stars,3.5 Stars,Iron Man,50,50,50,45,65,55,45,V.High
9718,2B,JASON WILLIAMS,11/28/1991,3.5 Stars,3.5 Stars,Normal,55,50,50,55,80,40,25,V.High
14412,DH,Rixon Wingrove,06/04/2000,1.5 Stars,3.5 Stars,Normal,70,75,60,55,55,70,35,V.High
9024,3B,Cory Wright,07/11/1989,3.5 Stars,3.5 Stars,Normal,50,45,50,60,80,40,40,V.High
9531,RF,CHRIS WYCKOFF,10/15/1991,3.5 Stars,3.5 Stars,Normal,70,60,55,55,70,55,50,V.High
15757,CF,Jun Yamaguchi,06/30/2001,1.0 Stars,3.5 Stars,Durable,70,75,50,45,50,75,65,Avg
12750,3B,Michinao Yamamoto,04/12/1997,2.5 Stars,3.5 Stars,Normal,55,55,55,65,50,55,50,V.High
