ID,RL,Name,ORG,Lev,DOB,OVR,POT,LEA,LOY,AD,FIN,WE,INT,Type,Prone,HSC,STU P,CON P,PBABIP P,HRR P,FBP,CHP,CBP,SLP,SIP,SPP,CTP,FOP,CCP,SCP,KCP,KNP,G/F,VT,PT,STM,Sct,SctAcc,Draft,OA Pick
11760,SP,Mike Aron,HON,AA,08/06/1997,2.0 Stars,2.0 Stars,N,N,H,H,H,N,Normal,Normal,-,50,50,50,50,60,50,55,-,40,-,-,-,-,-,-,-,NEU,95-97,Power,25,Jul. 20th   2021,High,2015,22
10613,SP,JAMIE ARTEAGA,CLE,MLB,08/25/1994,2.5 Stars,2.5 Stars,H,N,H,H,H,N,Captain,Durable,-,70,35,55,55,80,70,-,-,-,-,65,-,-,-,-,-,NEU,99-101,Power,45,Jul. 18th   2021,V.High,2013,167
15481,RP,Faruq Asadel,TOR,R,03/17/2000,1.0 Stars,1.5 Stars,N,N,N,H,N,N,Prankster,Normal,-,35,30,35,45,35,-,40,-,-,-,-,-,-,-,-,-,FB,89-91,Normal,25,Jun. 21st   2021,High,0,0
9115,RP,KADEN ASHRAF,STU,MLB,05/18/1986,2.5 Stars,2.5 Stars,L,L,N,H,L,N,Normal,Normal,-,45,75,50,50,50,-,-,50,-,-,-,-,-,-,-,-,GB,91-93,GB'er,35,Jul. 10th   2021,V.High,2008,38
17419,RP,Bert Aslam,LDN,INT,07/17/2004,0.5 Stars,1.5 Stars,N,N,N,H,L,L,Unknown,Normal,-,45,25,45,35,45,-,50,-,-,-,-,-,-,-,-,-,EX FB,91-93,Normal,40,Aug. 17th   2021,High,0,0
14851,RP,Ewan Attwood,DEN,A,07/09/1999,2.0 Stars,2.0 Stars,L,L,N,H,N,N,Selfish,Normal,-,55,45,40,45,-,-,-,75,-,-,65,-,-,-,-,-,FB,95-97,Normal,25,Jul. 10th   2021,High,0,0
17050,RP,Pascoal Balazes,-,-,05/15/2003,0.5 Stars,1.5 Stars,L,L,L,H,L,N,Unknown,Normal,-,40,30,45,45,45,-,40,-,-,-,-,-,-,-,-,-,NEU,92-94,Normal,40,Jul. 12th   2021,V.High,0,0
16235,RP,Vince Baldwin,LAP,R,12/16/2001,1.5 Stars,2.5 Stars,L,L,L,H,N,N,Unknown,Normal,-,80,40,50,50,80,-,-,-,80,-,80,-,-,-,-,-,NEU,97-99,Normal,60,Aug. 19th   2021,V.High,2021,100
13173,SP,JOEL BANKS,TOR,AAA,01/24/1993,1.5 Stars,1.5 Stars,N,L,H,H,N,H,Normal,Normal,-,45,30,50,45,50,-,-,-,50,-,50,-,-,-,-,-,NEU,94-96,Normal,35,Jun. 17th   2021,High,2016,128
12791,RP,David Barajas,-,-,03/19/1997,1.5 Stars,1.5 Stars,N,L,N,H,N,N,Normal,Normal,-,50,35,45,40,55,-,65,-,-,-,-,-,-,-,-,-,NEU,93-95,Normal,25,May 20th   2021,V.High,0,0
13323,SP,Horácio Barbas,DUB,AA,10/07/1998,1.5 Stars,2.0 Stars,N,N,N,H,N,N,Prankster,Normal,-,50,45,40,40,-,50,-,55,-,65,50,-,40,-,-,-,NEU,95-97,Normal,45,Aug. 20th   2021,V.High,2018,139
17371,SP,Steve Beaupre,CUR,INT,01/04/2004,1.0 Stars,2.0 Stars,H,N,N,H,H,N,Unknown,Normal,-,50,35,50,50,75,60,-,-,65,-,-,-,-,-,-,-,NEU,95-97,Normal,60,Jul. 25th   2021,Avg,0,0
11025,RP,JUSTIN BILLETT,LDN,AAA,12/22/1995,2.0 Stars,2.0 Stars,H,N,N,H,N,H,Normal,Fragile,-,55,50,45,35,70,-,-,65,60,-,-,-,-,-,-,-,EX FB,95-97,Normal,55,Jul. 31st   2021,V.High,2014,123
17763,SP,Zakiy bin Badr,-,-,03/15/2005,1.5 Stars,4.0 Stars,N,N,N,H,H,H,Unknown,Normal,HS Sophomore,80,45,50,60,80,-,-,-,80,-,80,-,-,-,-,-,NEU,95-97,Normal,65,Apr. 20th   2021,Avg,0,0
16877,RP,Bassam bin Ghiyath,CAL,R,04/09/2003,1.0 Stars,2.0 Stars,H,H,H,H,H,N,Unknown,Fragile,-,45,45,40,40,50,45,-,50,-,-,-,-,-,-,-,-,EX FB,92-94,Finesse,55,Aug. 14th   2021,V.High,0,0
13714,RP,Abdul-Malik bin Kameel,CUR,A,02/05/1998,1.5 Stars,2.0 Stars,L,L,N,H,N,N,Normal,Durable,-,45,45,45,60,45,50,-,-,35,-,-,-,-,-,40,-,NEU,89-91,Finesse,30,Jul. 21st   2021,V.High,0,0
13225,SP,Abdul-Rahim bin Karif,CUR,AA,04/24/1997,2.0 Stars,2.0 Stars,N,N,N,H,N,N,Normal,Normal,-,40,45,40,50,-,45,50,45,-,-,40,-,-,-,-,-,NEU,91-93,Normal,50,Aug. 21st   2021,V.High,2017,217
15593,SP,Boulus bin Karim,-,-,10/23/2001,1.0 Stars,2.0 Stars,L,L,N,H,N,N,Unknown,Normal,CO Sophomore,60,25,45,45,-,60,70,70,-,65,80,-,-,-,40,-,NEU,95-97,Normal,70,Mar. 5th   2021,V.High,0,0
14602,RP,Ubadah bin Khaldun,CAL,R,12/18/2000,1.5 Stars,2.0 Stars,H,N,N,H,H,H,Unknown,Normal,-,45,45,35,45,45,40,-,-,-,-,40,-,-,-,-,-,NEU,94-96,Finesse,30,Aug. 20th   2021,V.High,2019,218
15911,RP,Moosa bin Majid al Din,CAL,R,06/18/2001,1.0 Stars,1.5 Stars,N,H,N,H,N,N,Unknown,Normal,-,40,45,35,45,40,40,-,-,35,-,-,-,-,-,-,-,NEU,90-92,Finesse,40,Aug. 12th   2021,V.High,0,0
12664,SP,Amjad bin Raghib,DEN,AA,02/12/1997,1.5 Stars,2.0 Stars,N,N,N,H,N,N,Normal,Normal,-,45,50,45,45,45,40,45,-,-,50,-,-,-,-,-,-,NEU,94-96,Normal,45,Mar. 11th   2021,Avg,0,0
11643,SP,HANNA BIN RAGHIB,DUB,MLB,08/20/1996,2.0 Stars,2.5 Stars,N,N,N,H,N,L,Normal,Normal,-,60,60,55,45,80,65,-,50,-,65,-,-,-,-,50,-,FB,99-101,Power,40,Aug. 7th   2021,V.High,2015,125
16515,SP,Qasim bin Salih,DUB,R,11/24/2002,1.5 Stars,2.0 Stars,N,N,L,H,N,L,Unknown,Normal,-,40,60,40,50,40,-,-,40,45,-,-,-,-,-,-,-,NEU,90-92,Finesse,50,Jun. 16th   2021,High,0,0
12280,RP,KHAIR AL DIN BIN SOFIAN,SMT,AAA,06/25/1995,2.0 Stars,2.0 Stars,H,L,N,H,N,N,Normal,Normal,-,60,25,40,50,60,55,-,-,-,65,35,-,-,-,-,-,NEU,92-94,Normal,50,Aug. 3rd   2021,V.High,2014,217
11961,SP,Yazeed bin Suhail,AMS,AA,04/29/1996,2.0 Stars,2.0 Stars,L,L,N,H,N,N,Selfish,Normal,-,50,25,45,80,70,60,-,65,-,-,-,-,-,-,-,-,EX GB,94-96,GB'er,50,Aug. 13th   2021,V.High,0,0
12072,RP,Khoury bin Suhayl,HON,AA,04/13/1996,2.0 Stars,2.0 Stars,N,N,N,H,N,N,Normal,Normal,-,55,30,40,50,60,60,80,-,50,-,-,-,55,-,-,-,NEU,94-96,Normal,50,Jul. 22nd   2021,V.High,0,0
17776,RP,Nadhir bin Uthman,-,-,01/05/2006,1.0 Stars,2.5 Stars,N,N,N,H,N,N,Unknown,Normal,HS Sophomore,70,75,45,45,80,-,-,-,-,80,-,-,-,-,-,-,FB,96-98,Normal,25,May 19th   2021,Avg,0,0
14738,SP,Nasir al Din bin Wafiq,-,-,12/09/1999,0.5 Stars,2.0 Stars,L,L,N,H,L,N,Selfish,Normal,-,40,45,40,50,40,45,-,-,-,45,-,-,-,-,-,-,NEU,89-91,Normal,55,Mar. 11th   2021,V.High,0,0
12506,SP,Bakir bin Yazid,DEN,AA,11/29/1995,1.5 Stars,2.0 Stars,N,N,N,H,L,N,Normal,Normal,-,50,30,50,60,55,50,-,50,-,-,55,-,-,-,-,-,NEU,94-96,Normal,60,Jul. 29th   2021,V.High,0,0
17119,SP,Mark Bishop,-,-,07/23/2004,1.5 Stars,2.5 Stars,N,H,N,H,H,N,Unknown,Normal,HS Junior,50,50,45,50,65,50,-,-,55,-,55,-,-,-,-,-,NEU,95-97,Normal,50,Jul. 13th   2021,High,0,0
15617,SP,Bob Black,NKO,A,09/22/2001,1.5 Stars,2.5 Stars,L,L,H,H,L,N,Unknown,Normal,-,55,50,45,50,55,-,60,-,60,65,-,-,-,-,-,-,NEU,92-94,Finesse,60,Aug. 18th   2021,V.High,2020,17
10905,RP,SAM BLANCHARD,-,-,08/24/1994,1.5 Stars,1.5 Stars,N,N,L,H,N,N,Normal,Normal,-,55,20,40,25,70,50,-,55,-,-,-,-,-,-,-,-,EX FB,94-96,Normal,35,Aug. 17th   2021,V.High,2013,170
10839,RP,RANDALL BLEVINS,STU,AAA,08/23/1993,2.5 Stars,2.5 Stars,L,L,N,H,L,N,Disruptive,Durable,-,55,40,60,55,-,35,-,-,55,-,70,-,-,-,-,-,NEU,95-97,Normal,50,Aug. 15th   2021,V.High,2012,3
16315,RP,Dallas Boettner,-,-,05/16/2003,1.0 Stars,2.0 Stars,N,H,L,H,N,N,Unknown,Normal,HS Senior,55,45,50,55,65,-,-,65,-,-,-,-,-,-,-,-,FB,94-96,Normal,25,Aug. 19th   2021,High,0,0
17417,SP,Alec Bonaddio,NKO,INT,07/29/2003,1.0 Stars,2.5 Stars,L,N,L,H,N,N,Unknown,Normal,-,45,50,45,50,55,50,-,-,-,-,55,-,-,-,-,-,NEU,93-95,Normal,55,Aug. 23rd   2021,High,0,0
10138,SP,Jeff Born,-,-,11/30/1992,2.0 Stars,2.0 Stars,N,N,N,H,N,N,Normal,Fragile,-,45,45,50,50,50,50,-,-,-,-,55,-,-,-,-,-,GB,92-94,GB'er,40,Jul. 28th   2021,V.High,2011,27
9126,SP,Marco Bravo,-,-,04/29/1986,2.0 Stars,2.0 Stars,H,N,N,H,N,L,Normal,Fragile,-,50,40,55,45,55,35,-,-,55,60,-,-,-,-,-,-,FB,93-95,Normal,50,Apr. 8th   2021,V.High,2008,7
15318,RP,Rhys Brear,-,-,06/23/2001,0.5 Stars,1.5 Stars,N,N,L,H,L,N,Normal,Normal,-,45,20,45,25,50,-,-,-,-,50,-,-,-,-,-,-,EX FB,92-94,Normal,30,Jun. 8th   2021,V.High,0,0
11924,RP,Danny Bueno,LDN,AAA,02/23/1996,2.0 Stars,2.0 Stars,N,N,H,H,N,L,Normal,Fragile,-,50,45,45,50,65,-,-,-,45,-,55,-,-,-,-,-,FB,95-97,Power,45,Jul. 18th   2021,V.High,0,0
11926,SP,Lorenz Buitenkamp,SMT,AAA,12/01/1995,2.0 Stars,2.0 Stars,H,N,N,H,H,N,Normal,Normal,-,50,40,45,45,55,-,-,-,55,50,45,-,-,-,-,-,NEU,94-96,Normal,40,Jun. 29th   2021,High,0,0
13926,RP,Jasa Bulatovic,CAL,AAA,11/09/1995,2.0 Stars,2.0 Stars,L,L,N,H,L,H,Normal,Normal,-,50,45,45,45,50,-,-,-,50,-,50,-,-,-,50,-,GB,91-93,GB'er,55,Jun. 23rd   2021,V.High,2017,153
14496,SP,Jeff Buonaiuti,DUB,AA,09/28/2000,2.0 Stars,2.5 Stars,L,L,H,H,L,N,Unknown,Normal,-,55,45,50,60,65,60,80,-,65,-,60,-,-,-,-,-,GB,95-97,GB'er,55,Aug. 21st   2021,V.High,2019,23
8139,SP,Ernesto Cajamarca,CAL,MLB,05/07/1987,2.5 Stars,2.5 Stars,N,N,N,H,N,N,Normal,Normal,-,45,50,45,45,50,25,-,-,-,-,45,-,-,50,25,-,EX GB,92-94,GB'er,50,Aug. 6th   2021,V.High,0,0
16575,SP,Francisco Camargo,TOR,INT,11/16/2002,0.5 Stars,1.5 Stars,N,N,H,H,N,H,Unknown,Normal,-,40,30,45,35,40,45,45,-,-,-,-,-,-,-,-,-,EX FB,89-91,Normal,60,Aug. 6th   2021,High,0,0
9716,SP,Zack Campbell,GAL,AAA,06/16/1988,2.5 Stars,2.5 Stars,N,N,N,H,L,L,Normal,Normal,-,45,40,50,50,50,-,-,-,50,-,45,-,-,-,-,-,NEU,92-94,Normal,60,Aug. 4th   2021,V.High,2009,6
13780,SP,KEVIN CANNON,RME,AAA,02/25/1994,2.5 Stars,2.5 Stars,N,L,N,H,N,N,Normal,Fragile,-,50,45,50,55,65,35,-,-,50,-,65,-,-,-,-,-,GB,95-97,Power,35,Jun. 10th   2021,High,2016,34
17151,SP,Côme Capelle,-,-,05/01/2005,1.0 Stars,2.5 Stars,L,L,N,H,N,L,Unknown,Normal,HS Junior,50,45,50,75,-,75,60,50,-,-,55,-,-,-,-,-,NEU,92-94,Normal,55,Aug. 16th   2021,High,0,0
15650,RP,Migdônio Carrasqueiro,TOK,MLB,12/29/1998,2.0 Stars,3.0 Stars,L,L,H,H,L,N,Unknown,Normal,-,60,55,55,65,80,-,-,75,-,-,-,-,-,-,-,-,NEU,95-97,Power,35,Jul. 2nd   2021,High,2020,46
11768,RP,PABLO CASTANEDA,LDN,AA,07/23/1996,1.5 Stars,1.5 Stars,N,N,N,H,N,N,Outspoken,Normal,-,50,25,40,40,70,-,-,70,-,-,-,-,-,-,-,-,FB,96-98,Power,30,Jul. 5th   2021,High,2018,166
16145,SP,Chris Castillo,GAL,R,02/08/2001,1.5 Stars,2.0 Stars,L,L,N,H,N,N,Unknown,Normal,-,65,30,45,50,70,70,80,-,-,-,-,-,-,-,-,-,EX FB,93-95,Normal,60,Aug. 10th   2021,V.High,0,0
13520,SP,Silvano Cato,HON,AA,10/27/1997,2.0 Stars,2.0 Stars,N,L,H,H,H,N,Sparkplug,Normal,-,50,50,45,45,55,-,45,55,55,-,-,-,-,-,-,-,GB,92-94,GB'er,55,Jul. 19th   2021,V.High,0,0
11706,SP,LENNY CHARLES,HAV,MLB,02/26/1996,2.5 Stars,3.0 Stars,N,N,H,H,H,N,Sparkplug,Normal,-,70,50,50,50,80,55,-,80,-,70,-,-,-,65,-,-,NEU,97-99,Power,55,Aug. 23rd   2021,V.High,2014,39
14334,SP,Francisco Chavez,-,-,12/10/1998,0.5 Stars,1.5 Stars,L,L,L,H,L,N,Selfish,Normal,-,50,40,45,35,65,50,-,-,40,-,-,-,-,-,-,-,FB,94-96,Normal,45,Mar. 9th   2021,V.High,0,0
13533,RP,Gilles Checchinato,DEN,AA,07/16/1998,1.5 Stars,1.5 Stars,L,L,L,H,L,L,Unmotivated,Normal,-,40,35,45,35,50,35,-,-,40,-,-,-,-,-,-,-,EX FB,94-96,Normal,45,Jun. 26th   2021,High,0,0
16409,RP,Oh-min Choi,-,-,04/12/1999,1.5 Stars,1.5 Stars,N,N,N,H,N,L,Unknown,Durable,CO Senior,50,30,45,45,50,-,60,-,-,-,-,-,-,-,-,-,NEU,92-94,Normal,30,Jul. 18th   2021,V.High,0,0
14797,RP,Rodolphe Citti,CUR,R,07/03/2000,1.5 Stars,1.5 Stars,H,N,H,H,N,L,Outspoken,Normal,-,45,45,40,35,50,45,50,50,-,-,-,-,-,-,-,-,NEU,92-94,Normal,30,Aug. 6th   2021,V.High,0,0
14458,SP,Tim Cody,HAV,A,09/03/2001,1.5 Stars,3.0 Stars,L,L,N,H,L,N,Unknown,Normal,-,40,70,50,75,-,-,45,-,45,-,-,-,50,-,-,-,EX GB,90-92,GB'er,65,Aug. 2nd   2021,V.High,2019,20
15644,RP,Trevor Cornelissen,STU,AA,08/07/1998,2.0 Stars,2.5 Stars,L,L,N,H,L,N,Unknown,Normal,-,60,50,45,65,80,-,80,-,-,-,-,-,-,-,-,-,GB,97-99,Power,25,Aug. 21st   2021,V.High,2020,34
15484,SP,Juan Corneto,-,-,05/14/2000,0.5 Stars,1.5 Stars,N,N,L,H,L,N,Unknown,Fragile,-,35,20,35,35,40,40,40,-,-,-,-,-,-,-,-,-,FB,89-91,Normal,45,Mar. 4th   2021,V.High,0,0
15874,SP,Juan Crisanto,-,-,01/17/2002,0.5 Stars,2.0 Stars,H,N,L,H,N,N,Unknown,Normal,JuCo Freshman,60,30,50,45,65,80,-,50,-,-,-,-,-,-,-,-,EX FB,93-95,Normal,55,May 25th   2021,V.High,0,0
14796,RP,Gertrudes Cruz,HAV,R,07/11/1999,1.5 Stars,1.5 Stars,N,L,L,H,N,N,Normal,Fragile,-,45,20,40,30,50,45,-,-,-,-,-,-,-,-,-,-,FB,92-94,Normal,30,Aug. 4th   2021,V.High,0,0
12319,SP,Clive Cunningham,LAP,MLB,09/21/1996,2.5 Stars,3.0 Stars,N,N,N,H,H,N,Normal,Normal,-,50,50,50,60,70,55,75,-,-,-,-,-,-,65,-,-,GB,96-98,Power,55,Jul. 13th   2021,V.High,2015,4
13305,RP,Cody Cyr,-,-,08/20/1998,1.5 Stars,1.5 Stars,H,N,N,H,N,N,Unknown,Normal,CO Senior,40,40,40,35,40,25,-,-,35,-,-,-,-,-,-,-,FB,90-92,Normal,30,Mar. 13th   2021,V.High,0,0
14737,SP,Melchiore Dabell,TOK,AA,08/31/1999,1.0 Stars,1.5 Stars,L,N,N,H,L,N,Normal,Normal,-,50,35,45,40,55,55,-,60,-,-,-,-,-,-,45,-,EX FB,93-95,Normal,65,Jul. 8th   2021,High,0,0
12410,SP,BRODY DALLE,STU,AAA,11/01/1997,2.0 Stars,2.0 Stars,L,L,N,H,N,N,Normal,Normal,-,55,40,45,50,-,55,70,-,-,45,70,-,-,-,75,-,NEU,95-97,Normal,45,Jun. 29th   2021,High,2016,22
12477,SP,Brayden Dalley,-,-,12/07/1996,1.5 Stars,2.0 Stars,L,L,N,H,N,N,Selfish,Normal,-,45,40,40,45,50,50,-,-,-,-,-,-,-,50,-,-,NEU,91-93,Normal,55,Mar. 19th   2021,V.High,0,0
10179,RP,TOM DALLMAN,GAL,MLB,02/06/1993,2.5 Stars,2.5 Stars,L,N,N,H,N,N,Normal,Fragile,-,60,45,55,45,75,40,-,70,55,-,65,-,-,-,-,-,GB,96-98,Power,35,Jul. 24th   2021,V.High,2011,7
10425,SP,Matt Darling,CUR,MLB,09/20/1993,2.5 Stars,2.5 Stars,N,N,N,H,N,N,Normal,Fragile,-,45,45,50,50,-,40,50,50,50,-,50,-,-,-,-,-,GB,94-96,GB'er,65,Jul. 15th   2021,V.High,2012,34
10090,CL,Shawn Davis,LDN,AAA,11/15/1992,2.5 Stars,2.5 Stars,N,N,N,H,N,N,Normal,Normal,-,60,45,55,50,80,-,70,65,50,-,60,-,-,-,-,-,NEU,97-99,Power,20,Jul. 22nd   2021,V.High,2011,41
15068,RP,Reuben de Leeuw,CAL,R,11/17/2001,1.0 Stars,2.0 Stars,N,H,N,H,N,N,Unknown,Normal,-,40,45,45,55,40,-,-,40,-,-,-,-,-,-,-,-,NEU,89-91,Finesse,40,Aug. 12th   2021,V.High,2020,192
17181,SP,Todd Dempster,-,-,01/31/2004,1.0 Stars,2.5 Stars,L,L,N,H,N,N,Unknown,Normal,HS Junior,40,55,45,65,40,45,-,-,-,-,45,-,-,-,-,-,NEU,89-91,Normal,50,Jul. 23rd   2021,High,0,0
14598,SP,Dan Dicks,HON,A,08/19/2001,1.5 Stars,2.5 Stars,L,L,H,H,H,N,Unknown,Normal,-,50,55,45,50,55,50,-,55,55,-,-,-,-,-,-,-,NEU,94-96,Finesse,55,Jul. 6th   2021,High,2019,150
13110,SP,Dave Diego,-,-,11/21/1997,1.5 Stars,1.5 Stars,N,N,N,H,N,N,Normal,Normal,-,45,45,40,35,50,40,40,-,45,40,-,-,-,-,50,-,EX FB,94-96,Normal,55,Mar. 11th   2021,V.High,0,0
9763,SP,Shane Dillenburg,TOR,AAA,04/14/1991,2.0 Stars,2.0 Stars,N,N,H,H,N,N,Normal,Normal,-,45,40,50,45,50,50,35,45,50,-,-,-,-,-,-,-,NEU,94-96,Normal,35,Jul. 5th   2021,V.High,2010,4
8190,SP,Jeff Dittmar,-,-,03/03/1987,2.0 Stars,2.0 Stars,N,N,N,H,H,N,Normal,Fragile,-,45,50,45,40,50,-,-,50,-,50,-,-,-,-,-,-,NEU,92-94,Normal,50,Jul. 4th   2021,V.High,2005,30
13086,SP,Chris Dixon,DUB,AA,08/16/1998,1.5 Stars,1.5 Stars,N,N,N,H,N,N,Normal,Fragile,-,40,50,40,40,40,40,-,40,40,-,45,-,-,-,-,-,GB,91-93,GB'er,40,Jun. 16th   2021,High,2017,148
13141,RP,Jovan Djorovic,LAP,AA,06/07/1997,2.0 Stars,2.0 Stars,L,L,N,H,L,N,Disruptive,Normal,-,45,45,45,55,45,45,-,-,50,-,-,-,50,-,-,-,NEU,93-95,Normal,35,Jun. 24th   2021,High,0,0
14350,SP,Ljuba Dobrica,DEN,AA,03/01/1998,1.5 Stars,2.0 Stars,N,N,N,H,N,N,Normal,Normal,-,40,45,40,45,40,40,-,40,45,-,-,-,-,-,-,-,FB,91-93,Finesse,55,Aug. 13th   2021,V.High,0,0
11704,RP,LORENZ DOEDENS,CUR,MLB,09/07/1995,2.0 Stars,2.5 Stars,N,N,N,H,N,N,Normal,Normal,-,80,50,45,45,80,-,-,80,-,-,-,-,-,-,-,-,NEU,97-99,Power,25,Jul. 18th   2021,V.High,2014,228
15917,SP,Katsuhito Doi,CUR,R,06/14/2001,1.5 Stars,2.0 Stars,L,L,N,H,L,N,Unknown,Fragile,-,45,50,45,55,45,50,-,45,45,-,-,-,-,-,-,-,NEU,90-92,Finesse,45,Jul. 27th   2021,High,0,0
11453,SP,TOM DOTINGA,LDN,MLB,11/29/1991,2.5 Stars,2.5 Stars,N,N,N,H,N,H,Normal,Fragile,-,55,45,55,40,65,35,50,50,-,45,60,-,-,-,-,-,EX FB,95-97,Power,50,Jul. 6th   2021,V.High,2014,58
16192,SP,Phil Dunshea,-,-,03/28/2002,0.5 Stars,1.5 Stars,N,N,N,H,N,N,Unknown,Normal,-,35,40,50,50,35,45,-,-,35,45,-,-,-,-,-,-,NEU,88-90,Normal,45,May 15th   2021,Avg,0,0
12307,SP,MIKE EDWARDS,CLE,AAA,01/31/1997,2.0 Stars,2.0 Stars,N,H,N,H,N,N,Normal,Fragile,-,45,45,40,50,50,45,55,45,-,-,-,-,-,-,-,-,NEU,92-94,Normal,35,Aug. 17th   2021,V.High,2015,241
16849,CL,Daryl Egan,LON,A,06/30/2002,2.0 Stars,4.0 Stars,L,L,H,H,N,N,Unknown,Durable,-,80,60,45,60,80,-,-,-,-,80,-,-,-,-,-,-,GB,98-100,Power,30,Jul. 29th   2021,V.High,0,0
17664,SP,Jason Eisaman,-,-,03/26/2005,1.0 Stars,3.5 Stars,N,N,N,H,N,N,Unknown,Normal,HS Sophomore,65,45,50,75,60,65,80,60,-,-,-,-,-,-,-,-,EX FB,94-96,Normal,70,Jun. 10th   2021,Avg,0,0
