ID,Age,DOB,Name,OVR,POT,Prone,STU P,CON P,HRR P,FBP,CHP,CBP,SLP,SIP,SPP,CTP,FOP,CCP,SCP,KCP,KNP,VELO,STM,RET,Draft,OA Pick
7348,35,08/09/1985,JALEN HAMMOND,2.5 Stars,2.5 Stars,Iron Man,55,50,45,-,50,-,-,-,70,80,-,-,-,-,-,94-96,55,No,2004,2
8395,32,08/06/1988,DONOVAN HOYME JR.,2.5 Stars,2.5 Stars,Normal,50,55,45,55,50,-,50,50,-,50,-,-,-,-,-,93-95,55,No,2007,2
14420,24,06/01/1996,Paolo Janssen,2.5 Stars,2.5 Stars,Normal,50,55,55,-,60,65,55,40,50,-,-,-,-,-,-,94-96,45,No,2019,2
5240,42,11/23/1978,Matt Oberhausen,0.5 Stars,0.0 Stars,Iron Man,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,2000,2
10140,29,05/18/1992,RYAN STACEY,2.0 Stars,2.0 Stars,Normal,50,45,45,55,-,65,-,-,45,-,-,-,-,-,-,93-95,55,No,2011,2
10839,27,08/23/1993,RANDALL BLEVINS,2.5 Stars,2.5 Stars,Durable,50,40,55,-,40,-,-,55,-,70,-,-,-,-,-,95-97,50,No,2012,3
9401,31,09/07/1989,K.C. Cribbs,0.5 Stars,0.0 Stars,Iron Man,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,2008,3
8685,35,07/03/1985,Jesus Fuentes,3.0 Stars,3.0 Stars,Iron Man,45,50,50,45,25,-,50,55,-,-,-,-,-,-,-,91-93,60,No,2007,3
11575,24,11/19/1996,Mike Golunski,2.5 Stars,3.5 Stars,Normal,65,55,60,80,65,-,-,65,-,-,-,-,-,50,-,96-98,60,No,2015,3
9700,30,02/09/1991,David Harby,3.5 Stars,3.5 Stars,Wrecked,65,45,65,80,60,80,-,65,70,65,-,-,-,-,-,96-98,45,No,2009,3
6096,37,11/27/1983,Corey Rasmussen,0.5 Stars,0.0 Stars,Iron Man,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,2001,3
10634,26,02/07/1995,Doug Schueller,2.0 Stars,2.0 Stars,Fragile,55,25,55,55,50,65,55,55,-,-,55,-,-,-,-,93-95,50,No,2013,3
7722,33,11/18/1987,Isaiah Switzer,0.5 Stars,0.0 Stars,Iron Man,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,2005,3
6431,37,01/25/1984,David Workman,0.5 Stars,0.0 Stars,Iron Man,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,2002,3
7054,36,09/18/1984,SHMUEL YOISH,0.5 Stars,0.0 Stars,Iron Man,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,2003,3
11484,25,10/05/1995,Zayd bin Talal,3.0 Stars,3.0 Stars,Fragile,55,50,70,55,65,-,-,-,-,70,-,-,-,-,-,92-94,50,No,2014,4
8519,32,08/12/1988,Bill Bone,2.5 Stars,2.5 Stars,Fragile,50,50,50,65,-,-,45,55,-,-,-,-,-,-,-,94-96,55,No,2007,4
10573,28,05/02/1993,LYLE COBB,2.5 Stars,2.5 Stars,Normal,50,50,50,55,-,-,70,45,-,-,-,-,-,40,-,94-96,40,No,2012,4
12319,24,09/21/1996,Clive Cunningham,2.5 Stars,3.0 Stars,Normal,50,55,65,75,55,75,-,-,-,-,-,-,70,-,-,96-98,55,No,2015,4
9763,30,04/14/1991,Shane Dillenburg,2.0 Stars,2.0 Stars,Normal,45,40,45,50,50,35,45,50,-,-,-,-,-,-,-,94-96,40,No,2010,4
13067,23,02/13/1998,Chris Johnson,2.0 Stars,2.5 Stars,Fragile,45,55,70,45,50,45,-,50,-,-,-,-,-,-,-,89-91,55,No,2017,4
13202,24,05/02/1997,Danny Melendez,2.5 Stars,2.5 Stars,Normal,45,55,50,55,50,-,-,-,35,-,-,-,-,-,-,93-95,60,No,2016,4
9086,31,03/25/1990,ALEX PARKER,2.0 Stars,2.0 Stars,Fragile,50,75,35,-,-,-,65,-,65,45,-,-,-,-,-,94-96,55,No,2008,4
6702,37,11/11/1983,DAVE MARTINEZ,3.0 Stars,3.0 Stars,Iron Man,50,80,55,60,25,-,65,50,-,-,-,-,-,-,-,93-95,45,No,2002,5
10405,28,03/03/1993,Jason White,2.0 Stars,2.0 Stars,Durable,45,35,45,-,35,45,-,45,-,35,-,-,-,-,-,93-95,40,No,2012,5
9716,32,06/16/1988,Zack Campbell,2.0 Stars,2.0 Stars,Normal,45,40,50,50,-,-,-,55,-,45,-,-,-,-,-,92-94,60,No,2009,6
10048,32,12/31/1988,CECIL CANTRELL,2.5 Stars,2.5 Stars,Normal,50,35,65,55,65,-,-,60,25,-,-,-,-,-,-,92-94,55,No,2010,6
10893,27,04/04/1994,Jordan Gonzalez,2.5 Stars,2.5 Stars,Normal,50,50,50,80,40,50,-,-,60,-,-,-,-,-,-,96-98,55,No,2013,6
11372,28,12/09/1992,John Hensley,2.5 Stars,2.5 Stars,Fragile,45,50,45,-,35,55,-,-,30,55,-,-,-,55,-,94-96,55,No,2012,6
7933,33,08/27/1987,Dave Landin,3.0 Stars,3.0 Stars,Fragile,50,60,55,-,60,60,40,-,-,60,-,-,-,-,-,92-94,50,No,2005,6
6937,42,05/13/1979,Jim Quenneville,0.5 Stars,0.0 Stars,Iron Man,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,2001,6
463,55,10/05/1965,Matt Siwek,0.5 Stars,0.0 Stars,Iron Man,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,0,6
8036,34,05/13/1987,Nick Thomas,2.5 Stars,2.5 Stars,Wrecked,45,65,45,-,50,-,50,-,-,60,-,-,-,-,-,94-96,60,No,2006,6
9126,35,04/29/1986,Marco Bravo,2.0 Stars,2.0 Stars,Fragile,50,40,45,55,35,-,-,55,60,-,-,-,-,-,-,93-95,50,No,2008,7
10179,28,02/06/1993,TOM DALLMAN,2.5 Stars,2.5 Stars,Fragile,60,45,45,75,40,-,70,55,-,65,-,-,-,-,-,96-98,30,No,2011,7
7027,36,07/28/1984,Ryan Lakes,3.0 Stars,3.0 Stars,Iron Man,55,45,55,60,-,-,30,60,-,-,-,-,-,-,-,93-95,55,No,2003,7
11690,25,06/05/1995,Jose Miranda,3.0 Stars,3.0 Stars,Fragile,45,55,55,50,45,-,-,50,-,50,-,-,-,-,-,93-95,45,No,2014,7
10885,29,07/29/1991,DANNY PERALTA,2.5 Stars,2.5 Stars,Normal,50,45,50,-,50,50,-,55,35,55,-,-,-,-,-,93-95,55,No,2013,7
10825,27,01/05/1994,COREY PITMAN,2.5 Stars,2.5 Stars,Fragile,55,45,55,65,-,50,-,-,55,40,-,-,-,-,-,94-96,65,No,2012,7
9705,33,09/26/1987,JOE ROSS,3.0 Stars,3.0 Stars,Normal,55,60,50,50,55,80,40,-,55,-,-,-,-,-,-,91-93,55,No,2009,7
12373,23,10/19/1997,Reginald Verschuur,2.0 Stars,2.5 Stars,Normal,70,40,55,80,55,75,-,65,-,-,-,-,-,80,-,96-98,35,No,2016,7
5046,41,05/29/1979,Johnny Wayne,0.5 Stars,0.0 Stars,Durable,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,0,7
4421,44,02/28/1977,Jose Arellano,0.5 Stars,0.0 Stars,Iron Man,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,0,8
9162,30,04/01/1991,Dakota Gurley,0.5 Stars,0.0 Stars,Iron Man,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,2009,8
6475,37,10/15/1983,Aaron Barber,0.5 Stars,0.0 Stars,Iron Man,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,2002,9
6777,36,01/26/1985,JUSTIN EVERSON,0.5 Stars,0.0 Stars,Iron Man,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,2003,9
8016,34,05/18/1987,JUSTIN HUGHES,2.5 Stars,2.5 Stars,Fragile,50,50,45,-,55,55,55,-,20,50,-,-,-,60,-,93-95,50,No,2006,9
6038,42,11/03/1978,Ken LeFevre,0.5 Stars,0.0 Stars,Durable,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,2000,9
10970,25,07/18/1995,Pete Malcolm,2.0 Stars,2.0 Stars,Durable,55,45,50,75,-,-,65,60,-,-,-,-,-,-,-,95-97,45,No,2014,9
8516,32,08/29/1988,Enrique Pineda,0.5 Stars,0.0 Stars,Durable,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,2007,9
4964,42,07/07/1978,Jose Rivera,0.5 Stars,0.0 Stars,Iron Man,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,2001,9
7991,32,09/02/1988,Danny Tobin,2.5 Stars,2.5 Stars,Normal,45,50,45,50,55,-,-,-,-,55,-,-,-,-,-,92-94,55,No,2009,9
13342,22,03/18/1999,Tom Bach,2.0 Stars,3.5 Stars,Normal,55,50,65,-,60,70,80,75,50,-,-,-,-,-,-,97-99,65,No,2018,10
6277,38,06/20/1982,Griffey Emmett,0.5 Stars,0.0 Stars,Iron Man,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,0,10
8988,36,02/19/1985,Savion Garrett,0.5 Stars,0.0 Stars,Iron Man,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,2007,10
9500,34,04/29/1987,Butch Keller,0.5 Stars,0.0 Stars,Durable,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,2009,10
7342,35,08/26/1985,JUAN MARTINEZ,2.5 Stars,2.5 Stars,Wrecked,50,65,50,50,25,-,-,50,-,55,-,-,-,-,-,92-94,65,No,2004,10
12268,30,09/21/1990,Jurdão Navais,0.5 Stars,0.0 Stars,Durable,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,2013,10
8667,36,10/27/1984,Nick Welty,2.0 Stars,2.0 Stars,Wrecked,45,50,45,50,-,50,-,50,-,25,-,-,-,-,-,91-93,50,No,2006,10
7958,38,12/14/1982,Ed Benavidez,0.5 Stars,0.0 Stars,Iron Man,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,2005,11
10113,28,07/23/1992,RYAN FREITAS,2.0 Stars,2.0 Stars,Normal,50,35,45,55,45,-,-,-,35,50,50,-,-,-,-,95-97,35,No,2011,11
11517,26,03/03/1995,Ralph Hamilton,3.0 Stars,3.0 Stars,Normal,45,65,60,45,40,50,50,45,45,-,-,-,-,-,-,92-94,45,No,2014,11
7558,39,09/13/1981,Josh Miller,0.5 Stars,0.0 Stars,Iron Man,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,2003,11
6263,38,06/26/1982,Iggy Pop,0.5 Stars,0.0 Stars,Iron Man,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,0,11
7871,39,05/08/1982,David Powers,2.5 Stars,2.5 Stars,Iron Man,45,50,50,45,45,45,45,45,-,-,-,-,-,45,-,91-93,75,No,2004,11
9572,29,09/14/1991,ALEX WILTZ,0.5 Stars,0.0 Stars,Durable,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,2010,11
10995,25,10/19/1995,Tony Aguilar,2.0 Stars,2.0 Stars,Normal,50,40,45,55,45,50,-,-,-,50,-,-,-,-,-,94-96,35,No,2014,12
6733,37,04/01/1984,BOBBY BURNETT,0.5 Stars,0.0 Stars,Iron Man,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,2002,12
10132,28,11/20/1992,Devin Johnson,2.5 Stars,2.5 Stars,Iron Man,50,55,45,-,40,-,65,60,50,-,-,-,-,-,-,96-98,50,No,2011,12
8455,33,01/29/1988,Colin McGuire,2.5 Stars,2.5 Stars,Normal,50,60,45,55,-,-,50,50,-,-,-,-,25,-,-,93-95,40,No,2006,12
10579,28,04/21/1993,Ross Miranda,2.0 Stars,2.0 Stars,Normal,50,35,40,55,55,-,-,50,40,-,-,55,-,-,-,94-96,60,No,2012,12
8768,31,09/29/1989,John Parks,3.0 Stars,3.0 Stars,Iron Man,50,60,55,65,-,-,70,65,-,-,-,-,-,-,-,94-96,55,No,2008,12
7644,34,01/06/1987,Rickey Spiteri,0.5 Stars,0.0 Stars,Iron Man,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,2005,12
10912,25,06/01/1995,Jeremy Becker,2.5 Stars,2.5 Stars,Normal,70,45,50,80,30,-,-,-,80,-,-,-,-,-,-,97-99,55,No,2013,13
8025,34,03/31/1987,Jason Campbell,2.5 Stars,2.5 Stars,Normal,45,50,60,-,55,45,-,-,20,50,-,-,-,50,-,93-95,50,No,2006,13
11799,24,01/27/1997,Dave Larocque,2.5 Stars,2.5 Stars,Fragile,55,50,50,80,-,-,-,75,-,55,-,-,-,-,-,98-100,45,No,2015,13
10051,32,09/28/1988,JOHN SNYDER,0.5 Stars,0.0 Stars,Durable,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,2010,13
8482,32,01/12/1989,TOM BUTLER,3.0 Stars,3.0 Stars,Durable,45,65,55,-,35,65,-,-,-,55,-,-,60,-,-,91-93,70,No,2007,14
7683,35,05/16/1986,Benny Gesserit,2.5 Stars,2.5 Stars,Iron Man,45,50,50,50,40,-,-,50,-,50,-,-,-,25,-,94-96,75,No,2005,14
10083,27,08/31/1993,Chris Glinka,0.5 Stars,0.0 Stars,Durable,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,2011,14
7592,34,08/07/1986,Ken Pagel,2.0 Stars,2.0 Stars,Wrecked,50,45,45,55,-,65,-,-,-,50,-,-,-,-,-,94-96,30,No,2004,14
12296,29,02/07/1992,Largo Andretto,2.0 Stars,2.0 Stars,Fragile,50,50,40,70,45,55,55,-,-,-,-,-,-,-,-,94-96,40,No,2014,15
10833,27,07/03/1993,RUSSELL BARANOSKI,2.5 Stars,2.5 Stars,Durable,45,55,45,55,35,-,60,-,-,-,-,-,-,-,-,95-97,55,No,2012,15
6338,38,09/25/1982,Justin Byrne,0.5 Stars,0.0 Stars,Iron Man,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,2001,15
10152,29,05/22/1992,ANDRES CORTEZ,3.0 Stars,3.0 Stars,Normal,50,45,60,65,60,-,-,-,55,-,-,-,-,-,-,95-97,55,No,2011,15
10593,26,09/17/1994,Justin Kondapaneni,2.5 Stars,2.5 Stars,Durable,50,40,55,65,50,-,-,40,-,50,-,-,-,-,-,95-97,60,No,2013,15
7380,35,10/23/1985,Joey LaRoque,0.5 Stars,0.0 Stars,Normal,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,2004,15
9747,29,03/24/1992,CHRIS MORRIS,1.5 Stars,2.0 Stars,Iron Man,45,50,40,50,-,70,-,-,35,-,-,-,-,-,-,94-96,55,No,2010,15
10933,30,04/26/1991,Jeff Kelley,2.0 Stars,2.0 Stars,Fragile,45,35,50,50,-,-,-,45,-,45,-,25,-,-,-,93-95,50,No,2013,16
13809,22,02/12/1999,Yugi Muto,2.0 Stars,2.0 Stars,Normal,50,40,40,-,50,50,-,-,45,55,-,-,-,60,-,94-96,60,No,2017,16
6718,37,08/10/1983,Dusty Nelson,3.0 Stars,3.0 Stars,Iron Man,45,55,65,50,45,-,-,40,-,45,-,-,-,-,-,91-93,65,No,2002,16
10184,28,10/30/1992,Jose Hernandez,2.5 Stars,2.5 Stars,Normal,45,45,50,-,45,50,30,45,-,50,-,-,-,-,-,94-96,65,No,2011,17
8734,31,01/16/1990,Glen McClees,2.5 Stars,2.5 Stars,Normal,50,55,55,50,-,65,-,30,-,-,-,-,-,-,-,91-93,50,No,2008,18
11770,23,08/30/1997,Ceasario Menocchio,2.0 Stars,2.0 Stars,Normal,45,40,55,55,50,-,60,-,-,-,-,-,-,-,-,93-95,35,No,2015,18
10151,28,09/01/1992,Bryan Meza,0.5 Stars,0.0 Stars,Durable,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,2011,18
13817,26,05/13/1995,Billy Bogle,2.5 Stars,2.5 Stars,Fragile,50,45,55,45,60,50,50,45,-,-,-,-,-,-,-,90-92,55,No,2017,19
10774,32,09/28/1988,BRYCE FULTZ,0.5 Stars,0.0 Stars,Durable,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,2011,19
9587,29,12/09/1991,TYLER JEX,2.0 Stars,2.0 Stars,Fragile,50,45,50,55,25,-,-,50,-,-,-,-,-,-,-,93-95,25,No,2013,19
15571,23,10/02/1997,Hidehiko Nomura,2.0 Stars,4.0 Stars,Normal,75,60,80,-,-,80,-,-,-,80,-,-,-,-,-,96-98,30,No,2019,19
16246,22,12/08/1998,Declan Young,3.0 Stars,3.5 Stars,Normal,50,80,80,-,-,-,55,65,-,-,-,-,-,-,-,89-91,30,No,2021,19
12955,26,01/23/1995,HELIODORO CARRAPA,3.0 Stars,3.0 Stars,Normal,40,60,60,40,45,-,40,40,45,40,-,-,-,-,-,90-92,55,No,2016,20
14537,24,11/18/1996,Liam Hendricks,2.0 Stars,2.0 Stars,Normal,50,45,50,50,-,50,-,40,-,55,-,-,-,-,-,91-93,25,No,2018,20
10831,30,10/14/1990,Juan Vasquez,2.0 Stars,2.0 Stars,Normal,50,30,50,60,50,-,65,40,-,-,-,-,-,-,-,95-97,35,No,2012,20
11366,31,12/02/1989,Pedro Fierro,2.0 Stars,2.0 Stars,Normal,45,45,50,-,50,50,45,45,40,-,-,-,-,-,-,91-93,50,No,2012,21
10095,29,04/13/1992,Frank Armstrong,2.0 Stars,2.0 Stars,Normal,45,55,45,65,-,50,50,-,-,-,-,-,-,-,-,95-97,55,No,2011,56
11013,26,05/15/1995,CHIRA WINN,2.0 Stars,2.0 Stars,Fragile,60,45,40,70,-,-,-,55,-,55,-,-,-,-,-,94-96,55,No,2014,21
8798,30,06/04/1990,ADAM BELL,0.5 Stars,0.0 Stars,Iron Man,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,2008,167
7880,39,03/27/1982,Steve Cunningham,0.5 Stars,0.0 Stars,Iron Man,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,2004,18
12410,23,11/01/1997,BRODY DALLE,2.0 Stars,2.0 Stars,Normal,55,40,50,-,60,70,-,-,45,70,-,-,-,75,-,95-97,45,No,2016,22
8726,31,01/04/1990,KEVIN FEDEWA,0.5 Stars,0.0 Stars,Durable,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,2008,187
8745,32,04/17/1989,JAY GRUBBS,2.5 Stars,2.5 Stars,Iron Man,50,45,50,55,-,-,55,-,-,-,-,-,-,-,-,93-95,60,No,2008,247
13821,25,06/20/1995,Bogdan Loman,2.0 Stars,2.5 Stars,Normal,45,60,55,-,60,-,50,-,-,55,-,-,-,-,-,89-91,55,No,2017,23
11760,23,08/06/1997,Mike Aron,2.0 Stars,2.0 Stars,Normal,50,50,50,65,50,55,-,40,-,-,-,-,-,-,-,95-97,25,No,2015,22
10821,31,04/27/1990,Kevin Floyd,2.5 Stars,2.5 Stars,Fragile,45,40,50,60,50,55,45,-,-,-,-,-,-,-,-,94-96,60,No,2012,23
11471,29,05/22/1992,IN LEE,0.5 Stars,0.0 Stars,Durable,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,2014,23
12999,24,02/11/1997,ALEX OCHOA,2.5 Stars,2.5 Stars,Fragile,45,55,50,50,50,50,45,45,-,-,-,-,-,-,-,94-96,50,No,2016,24
6381,38,02/22/1983,Travis Oliver,0.5 Stars,0.0 Stars,Iron Man,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,2001,18
9479,30,03/23/1991,Jaylin Tyler,0.5 Stars,0.0 Stars,Iron Man,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,2009,19
8367,32,06/10/1988,Rich Tyson,0.5 Stars,0.0 Stars,Iron Man,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,2007,17
11450,27,05/22/1994,ALVIN ALEXANDER,2.5 Stars,2.5 Stars,Fragile,50,50,50,65,-,80,-,-,-,-,-,-,-,-,-,95-97,35,No,2013,24
10004,30,01/16/1991,Donovan Beyer,0.5 Stars,0.0 Stars,Iron Man,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,2009,20
10823,30,06/27/1990,SEAN BLUNT,1.5 Stars,1.5 Stars,Durable,40,25,40,45,20,45,40,40,-,-,-,-,-,-,-,93-95,40,No,2012,24
6308,42,08/18/1978,Chris Shoults,0.5 Stars,0.0 Stars,Iron Man,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,2000,18
7564,38,08/07/1982,Ryan Casteel,2.0 Stars,2.0 Stars,Iron Man,45,40,50,45,-,50,-,40,-,-,-,-,-,-,-,92-94,50,No,2004,21
11791,24,08/03/1996,Ricardo Chavez,2.5 Stars,2.5 Stars,Normal,50,50,55,55,50,-,-,55,-,-,-,-,-,-,-,92-94,60,No,2015,24
8317,31,09/20/1989,Allen Clarke,2.5 Stars,2.5 Stars,Wrecked,40,70,45,50,35,50,-,-,-,-,-,-,-,-,-,93-95,50,No,2007,19
9147,31,04/13/1990,Mike Hawes,3.5 Stars,3.5 Stars,Normal,50,80,50,60,50,35,-,-,-,65,-,-,-,-,-,94-96,65,No,2009,21
8005,34,05/17/1987,JUSTIN MOORE,2.5 Stars,2.5 Stars,Normal,45,55,45,50,25,-,45,45,-,-,-,-,-,-,-,93-95,40,No,2006,20
9506,30,04/28/1991,Javier Maciel,2.5 Stars,2.5 Stars,Iron Man,50,30,55,50,-,-,30,50,40,-,-,-,-,-,-,94-96,50,No,2009,22
9744,30,03/10/1991,ARTURO MENDEZ,2.0 Stars,2.0 Stars,Wrecked,45,55,45,50,30,-,50,-,-,-,-,-,-,-,-,96-98,30,No,2010,23
6845,36,05/21/1985,Jim Nelson,0.5 Stars,0.0 Stars,Iron Man,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,2003,20
11430,30,02/15/1991,DAN PLANTE,2.0 Stars,2.0 Stars,Normal,50,35,50,45,60,-,-,45,-,-,-,-,-,45,-,91-93,40,No,2013,26
9051,31,02/20/1990,Jim Raynolds,0.5 Stars,0.0 Stars,Iron Man,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,2008,22
6760,40,09/04/1980,Frank Yeoman,0.5 Stars,0.0 Stars,Iron Man,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,2002,20
11579,25,04/30/1996,Kedar Fawzi,3.0 Stars,3.5 Stars,Fragile,50,65,70,50,65,55,55,-,65,-,-,-,-,-,-,91-93,60,No,2015,26
8987,35,11/16/1985,Rich Ranalli,0.5 Stars,0.0 Stars,Iron Man,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,2007,21
7929,34,12/11/1986,Steve Reagle,2.5 Stars,2.5 Stars,Normal,50,55,45,50,-,-,-,30,55,-,-,-,45,50,-,93-95,65,No,2005,23
9052,31,08/04/1989,Javier Rosalez,2.5 Stars,2.5 Stars,Iron Man,45,45,50,50,-,60,-,40,-,-,-,-,-,-,-,92-94,55,No,2011,26
9679,30,06/18/1990,Tim Smith,2.0 Stars,2.0 Stars,Normal,45,50,45,45,-,35,50,-,-,-,-,-,-,-,-,90-92,50,No,2009,23
7018,36,05/29/1984,Jody Truitt,0.5 Stars,0.0 Stars,Iron Man,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,2003,21
10138,28,11/30/1992,Jeff Born,2.0 Stars,2.0 Stars,Fragile,45,45,50,50,50,-,-,-,-,55,-,-,-,-,-,92-94,40,No,2011,27
7590,39,04/17/1982,JUSTIN COONEY,0.5 Stars,0.0 Stars,Iron Man,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,2004,24
8994,32,07/06/1988,Tom Lawrence,3.0 Stars,3.0 Stars,Normal,55,50,70,65,55,65,-,45,70,-,-,-,-,-,-,94-96,30,No,2007,22
8007,33,09/14/1987,BOBBY SWISHER,2.5 Stars,2.5 Stars,Fragile,45,45,55,45,-,-,-,45,-,35,25,-,-,-,-,91-93,55,No,2006,23
6767,36,09/30/1984,Andres Bahena,0.5 Stars,0.0 Stars,Iron Man,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,2003,23
90,57,03/28/1964,Esteban Diaz,0.5 Stars,0.0 Stars,Iron Man,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,0,23
10801,31,07/19/1989,Greg Patrick,2.0 Stars,2.0 Stars,Iron Man,45,30,45,55,50,50,30,-,-,30,-,-,-,-,-,94-96,50,No,2011,28
7340,35,05/16/1986,GABRIEL SOWLE,2.5 Stars,2.5 Stars,Fragile,45,60,50,50,40,-,50,40,50,-,-,-,-,-,-,92-94,55,No,2004,25
