ID,POS,Name,DOB,Age,OVR,POT,STU P,CON P,HRR P,FBP,CHP,CBP,SLP,SIP,SPP,CTP,FOP,CCP,SCP,KCP,KNP,STM,SctAcc
10157,SP,Tom Hampshire,06/25/1992,25,2.5 Stars,3.5 Stars,55,65,60,55,50,-,65,60,-,50,-,-,-,-,-,55,Average
7027,RP,Ryan Lakes,07/28/1984,33,3.5 Stars,3.5 Stars,65,50,60,65,-,-,40,70,-,-,-,-,-,-,-,65,Average
10485,SP,Micah Lincoln,08/08/1993,24,3.0 Stars,3.5 Stars,55,50,65,55,45,60,65,-,60,-,-,-,-,50,-,60,Very High
7342,SP,JUAN MARTINEZ,08/26/1985,32,3.5 Stars,3.5 Stars,55,70,55,55,40,-,-,55,-,60,-,-,-,-,-,70,Very High
13398,SP,Shamar Mayfield,09/30/1998,19,0.5 Stars,3.5 Stars,55,55,65,-,60,65,-,60,-,60,-,-,-,-,-,60,Very High
7992,LF,RYAN MCKINNON JR.,04/27/1988,29,3.5 Stars,3.5 Stars,55,25,55,55,40,55,60,-,-,-,-,-,-,60,-,70,Very High
13202,SP,Danny Melendez,05/02/1997,20,2.0 Stars,3.5 Stars,50,65,65,60,55,-,-,-,45,-,-,-,-,-,-,60,High
14207,RP,Christian Morrow,10/12/1999,18,1.5 Stars,3.5 Stars,75,55,55,-,-,-,80,-,-,80,-,-,-,-,-,45,High
13343,SP,Jamie Munson,04/14/1998,19,0.5 Stars,3.5 Stars,55,55,65,55,65,-,-,-,70,-,-,-,-,-,-,65,Very High
5394,SP,Jimmy Schorr,10/18/1981,36,3.5 Stars,3.5 Stars,50,60,60,55,55,-,-,35,-,-,-,50,-,65,-,65,High
10025,RP,PAUL SCHWARTZ,11/03/1988,28,3.5 Stars,3.5 Stars,55,55,70,50,-,-,-,55,55,-,-,-,-,60,-,30,Very High
15381,CL,Sung-min Shin,11/14/2000,16,0.5 Stars,3.5 Stars,55,75,70,50,70,-,-,-,-,-,-,-,-,-,-,40,Very Low
14370,SP,Devin Weicker,01/29/2001,16,0.5 Stars,3.5 Stars,50,60,60,-,-,60,-,-,-,60,-,55,-,-,-,65,Very High
7601,SP,ADAM WHALEY,02/20/1986,31,3.5 Stars,3.5 Stars,50,70,50,60,60,-,-,-,-,45,-,-,-,-,-,55,Very High
14832,CL,Tobias Aalderink,12/07/1999,17,1.0 Stars,3.0 Stars,70,55,60,60,75,-,-,-,-,-,-,-,-,-,-,35,Average
14819,RP,Victor Agramonte,12/20/1999,17,0.5 Stars,3.0 Stars,60,65,70,55,-,-,65,-,-,-,-,-,-,-,-,30,High
11760,SP,Mike Aron,08/06/1997,20,2.0 Stars,3.0 Stars,50,65,60,65,60,65,-,45,-,-,-,-,-,-,-,45,Very High
9115,CL,KADEN ASHRAF,05/18/1986,31,3.0 Stars,3.0 Stars,55,75,55,60,45,-,60,-,-,-,-,-,-,-,-,40,Average
13342,SP,Tom Bach,03/18/1999,18,0.5 Stars,3.0 Stars,55,55,60,-,60,60,60,60,50,-,-,-,-,-,-,60,Very High
6767,RP,Andres Bahena,09/30/1984,33,3.0 Stars,3.0 Stars,60,55,50,65,-,-,35,60,-,-,-,-,-,-,-,55,High
8519,SP,Bill Bone,08/12/1988,29,3.0 Stars,3.0 Stars,50,55,60,65,-,-,50,55,-,-,-,-,-,-,-,50,High
14496,SP,Jeff Buonaiuti,09/28/2000,17,0.5 Stars,3.0 Stars,50,55,60,45,60,55,-,50,-,55,-,-,-,-,-,65,Very High
8449,RP,JOE CLARK,06/21/1984,33,3.0 Stars,3.0 Stars,45,60,65,60,-,-,35,-,-,-,-,-,-,-,-,50,High
10152,RP,ANDRES CORTEZ,05/22/1992,25,3.0 Stars,3.0 Stars,55,50,60,65,60,-,-,-,60,-,-,-,-,-,-,50,Very High
10165,SP,Jason Dickerson,04/15/1993,24,2.5 Stars,3.0 Stars,60,45,60,65,-,-,70,70,-,-,-,-,-,-,-,60,Average
13858,SP,John Dominey,09/21/1999,18,0.5 Stars,3.0 Stars,45,65,65,45,50,45,45,45,40,-,-,-,-,-,-,50,Very High
10633,SP,ALVIN DONNELLY,02/03/1995,22,2.5 Stars,3.0 Stars,70,60,50,80,65,-,-,-,70,-,-,-,-,-,-,40,High
15409,RP,Brad Franklin,12/10/2000,16,0.5 Stars,3.0 Stars,75,65,50,-,-,65,-,-,-,80,-,-,-,-,-,35,Low
8685,SP,Jesus Fuentes,07/03/1985,32,3.0 Stars,3.0 Stars,55,55,60,50,40,-,60,60,-,-,-,-,-,-,-,75,Average
11575,SP,Mike Golunski,11/19/1996,20,2.0 Stars,3.0 Stars,55,55,60,70,55,-,-,60,-,-,-,-,-,45,-,60,High
14495,SP,Kelby Haggart,04/25/2000,17,0.5 Stars,3.0 Stars,60,50,55,45,65,45,-,-,70,-,-,-,-,-,-,75,High
10868,SP,Andy Hammons,04/17/1993,24,3.0 Stars,3.0 Stars,45,55,60,55,45,40,-,50,-,-,-,-,-,-,-,55,High
9147,SP,Mike Hawes,04/13/1990,27,3.0 Stars,3.0 Stars,50,75,50,60,55,45,-,-,-,60,-,-,-,-,-,55,Average
10154,RP,Shawn Herron,03/27/1992,25,3.0 Stars,3.0 Stars,50,50,70,55,35,-,-,50,-,-,-,-,-,-,-,45,Low
8395,SP,DONOVAN HOYME JR.,08/06/1988,29,3.0 Stars,3.0 Stars,55,70,50,65,55,-,55,55,-,60,-,-,-,-,-,55,Very High
10779,SP,ERIC HUBBARD,07/03/1989,28,2.5 Stars,3.0 Stars,45,60,70,50,45,-,-,50,-,-,-,-,-,-,-,55,High
10550,SP,Robert Huijts,11/21/1977,39,3.0 Stars,3.0 Stars,50,65,50,60,45,-,-,55,-,-,-,-,60,-,-,55,High
11359,CL,Hae-min Kang,07/22/1990,27,3.0 Stars,3.0 Stars,60,65,55,65,-,-,65,-,-,55,-,-,-,-,-,30,High
12915,RP,Jason Knutson,04/05/1996,21,2.5 Stars,3.0 Stars,65,55,65,70,-,-,70,-,-,-,-,-,-,-,-,30,Average
14465,SP,Masaaki Koga,09/16/2000,17,0.5 Stars,3.0 Stars,50,55,60,-,60,50,50,-,60,55,-,-,-,-,-,65,Very High
15014,SP,Gavrilo Komljenovic,04/26/1997,20,0.5 Stars,3.0 Stars,45,65,60,55,-,55,-,-,-,-,-,60,-,-,-,55,Average
12407,SP,ELARD KOOLE,01/01/1998,19,1.0 Stars,3.0 Stars,45,50,70,50,50,-,-,-,-,50,-,-,-,-,-,50,Very High
8994,RP,Tom Lawrence,07/06/1988,29,3.0 Stars,3.0 Stars,60,55,65,65,60,65,-,50,65,-,-,-,-,-,-,30,Very High
14825,SP,Min-jun Lee,12/31/1999,17,0.5 Stars,3.0 Stars,45,65,55,50,-,-,-,50,-,50,-,-,-,-,-,60,Average
14253,SP,Vinny Lopez,08/26/1999,18,0.5 Stars,3.0 Stars,60,55,60,65,65,-,-,60,-,-,-,-,-,-,-,40,Low
15423,RP,Vittoriano Macaluso,10/21/2001,16,0.5 Stars,3.0 Stars,65,65,55,-,-,-,65,-,-,60,-,-,-,-,-,30,Low
13082,SP,Sam Marx,01/11/1999,18,0.5 Stars,3.0 Stars,45,60,65,-,45,-,45,45,55,-,-,-,-,-,-,65,Very High
8734,CL,Glen McClees,01/16/1990,27,3.0 Stars,3.0 Stars,50,55,60,55,-,60,-,45,-,-,-,-,-,-,-,55,Very High
11770,SP,Ceasario Menocchio,08/30/1997,20,1.0 Stars,3.0 Stars,55,50,60,65,65,-,60,-,-,-,-,-,-,-,-,55,High
9993,RP,Mike Palmer,12/09/1986,30,3.0 Stars,3.0 Stars,60,65,45,70,-,-,65,-,-,-,-,-,-,-,-,55,High
12774,RP,Ruben Pastran,02/17/1997,20,2.5 Stars,3.0 Stars,60,60,60,75,-,-,75,-,-,-,-,-,-,-,-,35,Average
11605,RP,Kyle Rakes,09/21/1996,21,2.0 Stars,3.0 Stars,75,45,55,80,-,-,75,-,-,-,-,-,-,-,-,35,Average
12581,SP,Brassal Rampling,04/16/1997,20,0.5 Stars,3.0 Stars,45,60,65,45,50,-,45,55,-,-,-,-,45,-,-,70,High
10864,CL,Mike Rush,07/25/1994,23,3.0 Stars,3.0 Stars,55,65,50,60,50,-,-,55,-,60,-,-,-,-,-,35,Low
9137,SP,JORDAN SANDOVAL,04/14/1986,31,3.0 Stars,3.0 Stars,45,55,60,45,35,50,-,50,-,-,-,-,-,-,-,55,High
15071,CL,Frans Spanjaard,12/03/2001,15,0.5 Stars,3.0 Stars,75,55,60,65,-,70,-,-,-,-,-,-,-,-,-,40,Average
9398,CL,CHRIS STEWART,07/15/1989,28,3.0 Stars,3.0 Stars,45,70,50,50,40,-,-,50,-,-,-,-,-,-,-,55,Low
12923,SP,Dave Tufts,09/21/1996,21,2.0 Stars,3.0 Stars,50,55,60,60,55,-,60,45,-,-,-,-,-,-,-,55,Very High
12931,SP,Imbart van Vliet,02/13/1993,24,2.5 Stars,3.0 Stars,55,55,60,-,70,55,45,-,-,55,-,-,-,-,-,65,High
9578,SP,JUAN VILLEGAS,04/03/1992,25,2.5 Stars,3.0 Stars,55,65,55,70,-,-,60,60,-,-,-,-,-,-,-,50,Average
14831,RP,Aidan Wilkes,03/02/1999,18,1.0 Stars,3.0 Stars,60,60,60,60,-,65,-,-,-,-,-,-,-,-,-,35,Low
12943,SP,Danny Aguilar,08/26/1997,20,1.5 Stars,2.5 Stars,50,60,50,-,50,-,-,60,-,65,-,-,-,-,-,55,Very High
11450,RP,ALVIN ALEXANDER,05/22/1994,23,2.5 Stars,2.5 Stars,55,55,50,70,-,70,-,-,-,-,-,-,-,-,-,40,Average
11212,RP,Andres Alfaro,01/11/1995,22,2.5 Stars,2.5 Stars,60,60,50,75,55,65,-,-,-,-,-,-,-,-,-,30,Average
9444,RP,Ed Anduray,11/13/1990,26,2.5 Stars,2.5 Stars,55,65,45,60,50,-,65,50,-,-,-,-,-,-,-,70,Average
10095,RP,Frank Armstrong,04/13/1992,25,2.5 Stars,2.5 Stars,50,60,45,60,-,60,55,-,-,-,-,-,-,-,-,55,Low
10613,SP,JAMIE ARTEAGA,08/25/1994,23,2.0 Stars,2.5 Stars,65,40,60,80,65,-,-,-,-,70,-,-,-,-,-,55,Very High
12270,SP,BEN AXON,02/01/1993,24,2.5 Stars,2.5 Stars,60,45,50,70,55,45,60,60,60,-,-,-,-,-,-,65,High
14180,SP,Alexander Baker,03/13/1999,18,0.5 Stars,2.5 Stars,45,60,55,45,-,45,-,50,-,-,-,-,-,-,-,55,Average
12306,RP,PHILLIP BANSFIELD,06/06/1993,24,2.5 Stars,2.5 Stars,50,50,50,50,45,55,-,50,-,50,-,-,-,-,-,60,Very High
10833,RP,RUSSELL BARANOSKI,07/03/1993,24,2.5 Stars,2.5 Stars,50,55,50,60,40,-,60,-,-,-,-,-,-,-,-,50,Average
15261,SP,Steven Beach,05/25/2001,16,0.5 Stars,2.5 Stars,45,50,55,50,55,-,-,55,-,-,-,-,-,-,-,50,Average
13101,RP,Jason Becker,12/24/1998,18,0.5 Stars,2.5 Stars,45,35,55,45,-,-,45,-,-,-,-,-,-,-,-,35,High
10912,RP,Jeremy Becker,06/01/1995,22,2.5 Stars,2.5 Stars,65,55,50,70,35,-,-,-,75,-,-,-,-,-,-,55,High
8188,RP,JOHN BECKHAM,06/03/1986,31,2.5 Stars,2.5 Stars,45,60,45,50,55,-,50,-,-,-,-,-,-,-,-,70,Very High
14647,SP,Sanho Belino,02/16/2000,17,0.5 Stars,2.5 Stars,60,55,45,60,65,-,55,50,-,-,-,-,-,-,-,55,High
7958,SP,Ed Benavidez,12/14/1982,34,2.5 Stars,2.5 Stars,45,35,60,50,60,-,35,50,-,-,-,-,-,-,-,65,High
14583,SP,Melorran Bennett,05/04/2000,17,0.5 Stars,2.5 Stars,50,50,50,50,60,-,-,-,-,55,-,-,-,-,-,65,Very High
15058,SP,Adam Bennetts,03/31/2001,16,0.5 Stars,2.5 Stars,55,55,50,45,70,-,-,-,60,-,-,-,-,-,-,65,Average
10820,RP,Elliot Berland,06/15/1990,27,2.5 Stars,2.5 Stars,50,45,45,55,-,-,-,55,-,45,-,-,-,-,-,55,Average
13201,SP,HAMZAH BIN BASIL,07/13/1993,24,2.5 Stars,2.5 Stars,45,60,55,-,55,-,50,50,-,-,-,-,-,-,-,70,High
11963,SP,Jamal al Din bin Rahman,03/06/1996,21,2.0 Stars,2.5 Stars,65,45,55,75,70,65,-,-,-,-,-,-,-,50,-,55,Very High
11484,RP,Zayd bin Talal,10/05/1995,22,2.5 Stars,2.5 Stars,55,55,60,55,55,-,-,-,-,60,-,-,-,-,-,50,Low
8057,SP,Ramiro Blanco,02/06/1987,30,2.5 Stars,2.5 Stars,45,50,50,45,-,-,-,60,-,35,60,-,-,-,-,70,Average
10839,CL,RANDALL BLEVINS,08/23/1993,24,2.5 Stars,2.5 Stars,60,40,60,-,55,-,-,60,-,70,-,-,-,-,-,65,Average
13817,SP,Billy Bogle,05/13/1995,22,1.5 Stars,2.5 Stars,50,50,55,45,60,50,50,50,-,-,-,-,-,-,-,65,High
13050,SP,Josh Boyden,08/21/1998,19,0.5 Stars,2.5 Stars,50,50,60,50,55,-,-,-,-,55,-,-,-,-,-,60,Very High
9126,SP,Marco Bravo,04/29/1986,31,2.5 Stars,2.5 Stars,55,40,55,60,45,-,-,60,65,-,-,-,-,-,-,50,Average
14491,SP,Bill Brewster,05/01/2000,17,0.5 Stars,2.5 Stars,65,60,45,65,-,-,-,55,-,70,-,-,-,-,-,55,High
11772,SP,Farid Bruneau,06/14/1996,21,1.5 Stars,2.5 Stars,55,50,50,60,-,-,45,60,-,-,60,-,50,-,-,65,High
6733,RP,BOBBY BURNETT,04/01/1984,33,2.5 Stars,2.5 Stars,55,55,40,60,50,40,-,55,-,-,-,-,-,-,-,50,Average
13327,SP,Jason Busser,08/15/1998,19,0.5 Stars,2.5 Stars,55,50,60,50,60,-,-,60,-,-,-,-,-,-,-,65,Very High
13703,RP,Vince Cabot,01/28/1985,32,2.5 Stars,2.5 Stars,50,45,45,55,55,55,-,55,-,-,-,-,-,-,-,55,High
7357,RP,ERIK CALABRIA,06/16/1986,31,2.5 Stars,2.5 Stars,60,35,50,60,35,-,60,-,-,-,-,-,-,-,-,45,Average
13037,SP,Dustin Calhoun,07/09/1998,19,0.5 Stars,2.5 Stars,50,50,55,55,55,65,-,-,-,50,-,-,-,-,-,50,High
8025,RP,Jason Campbell,03/31/1987,30,2.5 Stars,2.5 Stars,50,45,55,-,55,50,-,-,30,55,-,-,-,55,-,60,High
13780,RP,KEVIN CANNON,02/25/1994,23,2.5 Stars,2.5 Stars,60,45,55,65,35,-,-,55,-,65,-,-,-,-,-,35,High
11425,SP,ADAM CARDUCCI,05/29/1991,26,2.5 Stars,2.5 Stars,50,55,60,-,50,-,60,-,-,60,-,-,-,-,-,40,Very High
11433,SP,CLARK CASSETTY,05/08/1994,23,2.5 Stars,2.5 Stars,50,45,60,55,50,-,-,55,-,60,-,-,-,-,-,55,Very High
7564,RP,Ryan Casteel,08/07/1982,35,2.5 Stars,2.5 Stars,50,45,55,55,-,55,-,45,-,-,-,-,-,-,-,55,Very High
11801,CL,FRANCISCO CASTRO,08/28/1997,20,1.5 Stars,2.5 Stars,65,40,65,80,65,-,-,-,-,-,-,-,-,-,-,25,Very High
11791,SP,Ricardo Chavez,08/03/1996,21,1.5 Stars,2.5 Stars,45,50,60,55,50,-,-,55,-,-,-,-,-,-,-,60,Very High
10850,SP,Danny Churchill,11/27/1990,26,2.5 Stars,2.5 Stars,45,45,70,45,55,45,-,50,-,45,-,-,-,-,-,45,Average
8317,RP,Allen Clarke,09/20/1989,28,2.5 Stars,2.5 Stars,50,65,45,60,45,55,-,-,-,-,-,-,-,-,-,50,High
10573,SP,LYLE COBB,05/02/1993,24,2.5 Stars,2.5 Stars,55,50,55,60,-,-,65,55,-,-,-,-,-,45,-,55,Very High
10717,SP,CARLOS CONTES,12/26/1993,23,2.5 Stars,2.5 Stars,55,55,50,70,-,-,60,60,-,-,-,-,-,-,-,55,Average
7590,RP,JUSTIN COONEY,04/17/1982,35,2.5 Stars,2.5 Stars,50,55,55,-,55,60,-,-,-,55,-,-,-,-,-,35,High
7221,CL,TOMÁS CORDERO,05/01/1984,33,2.5 Stars,2.5 Stars,50,45,55,55,-,-,-,-,55,-,-,50,-,-,-,55,Average
14459,SP,Justin Cosgrove,08/22/2001,16,0.5 Stars,2.5 Stars,50,50,60,60,50,55,-,-,-,-,-,-,-,40,-,60,Very High
10817,SP,Joe Cosimano,05/07/1992,25,2.5 Stars,2.5 Stars,50,55,55,60,55,-,-,60,-,-,-,-,-,-,-,35,Low
12888,SP,Mario Covarrubias,01/29/1999,18,0.5 Stars,2.5 Stars,45,50,55,55,50,-,50,-,-,-,-,-,-,-,-,65,Very High
15085,SP,Richard Cross,09/07/2001,16,0.5 Stars,2.5 Stars,50,45,55,50,55,-,-,-,-,55,-,-,-,-,-,60,Very Low
13047,SP,Shaun Crouch,01/30/1999,18,0.5 Stars,2.5 Stars,50,50,60,60,50,55,-,45,-,-,-,-,-,-,-,65,High
11786,RP,Ron Cunningham,07/14/1996,21,2.0 Stars,2.5 Stars,55,50,55,65,-,60,-,-,-,-,-,-,-,-,-,25,Very High
12410,SP,BRODY DALLE,11/01/1997,20,0.5 Stars,2.5 Stars,55,45,65,-,60,70,-,-,50,60,-,-,-,60,-,60,Very High
10103,RP,OMAR DANIEL,07/27/1992,25,2.5 Stars,2.5 Stars,50,50,55,60,50,-,60,-,-,-,-,-,-,-,-,50,High
8983,RP,Brian Davis,04/30/1986,31,2.5 Stars,2.5 Stars,55,45,50,-,60,-,-,60,-,60,-,-,-,-,-,60,Average
10922,RP,JASON DAVIS,05/26/1995,22,2.5 Stars,2.5 Stars,55,55,45,60,45,-,-,60,-,-,-,-,-,-,-,60,Very High
8654,RP,FERNANDO DE ANDA,11/24/1988,28,2.5 Stars,2.5 Stars,55,50,50,60,-,-,-,-,60,-,-,-,-,-,-,60,High
12227,SP,Ewan de Vet,04/30/1996,21,0.5 Stars,2.5 Stars,45,55,55,45,45,-,50,-,-,45,-,-,-,-,-,80,Very High
14528,CL,Brad Dehn,11/07/1996,20,1.5 Stars,2.5 Stars,60,55,50,-,-,70,-,-,-,60,-,-,-,-,-,30,High
14457,CL,Robert DeNeve,10/11/2000,17,0.5 Stars,2.5 Stars,60,55,55,60,-,-,-,55,-,55,-,-,-,-,-,25,Very High
9763,RP,Shane Dillenburg,04/14/1991,26,2.5 Stars,2.5 Stars,55,40,50,55,60,45,50,55,-,-,-,-,-,-,-,55,Very High
8190,RP,Jeff Dittmar,03/03/1987,30,2.5 Stars,2.5 Stars,50,55,45,55,-,-,60,-,55,-,-,-,-,-,-,45,Very High
13235,SP,Quentin Donalds,04/14/1997,20,0.5 Stars,2.5 Stars,45,50,50,50,55,55,-,-,-,-,-,-,-,40,-,55,High
11681,SP,JOHN DONDALE,12/14/1994,22,2.0 Stars,2.5 Stars,55,45,55,65,55,-,-,-,-,60,-,-,-,-,-,60,High
9972,RP,BILL DOUGHERTY,10/18/1986,31,2.5 Stars,2.5 Stars,55,35,60,60,45,50,65,50,-,-,-,-,-,-,-,55,High
14346,SP,Ljuba Drulovic,12/21/1999,17,0.5 Stars,2.5 Stars,45,55,50,50,45,45,-,45,-,-,-,-,-,-,-,60,High
13103,RP,Allen Dunbar,03/20/1999,18,1.5 Stars,2.5 Stars,70,40,70,80,65,-,-,-,-,-,-,-,-,-,-,30,Very High
8421,SP,BILLY EASTERDAY,02/21/1983,34,2.5 Stars,2.5 Stars,50,45,55,55,45,50,-,55,50,-,-,-,-,45,-,60,Very High
4951,SP,Dennis Edwards,05/06/1979,38,2.5 Stars,2.5 Stars,40,60,60,-,-,-,45,-,40,40,-,-,-,-,-,65,High
13255,SP,Victor Escobar,10/07/1997,20,0.5 Stars,2.5 Stars,50,55,50,45,60,-,-,-,-,60,-,-,-,-,-,55,Very High
8043,RP,JAKE EVERSON,06/18/1987,30,2.5 Stars,2.5 Stars,60,40,50,65,-,-,-,65,-,-,-,-,-,-,-,50,High
14342,SP,Muhsin Fadil,11/01/1999,18,0.5 Stars,2.5 Stars,40,55,60,45,50,-,-,-,-,45,-,-,-,-,-,55,Low
14584,SP,Tiziano Fantini,11/08/2000,16,0.5 Stars,2.5 Stars,65,45,50,65,65,-,70,65,-,-,-,-,-,-,-,70,High
11579,SP,Kedar Fawzi,04/30/1996,21,1.5 Stars,2.5 Stars,45,60,55,45,60,50,50,-,55,-,-,-,-,-,-,60,High
10146,RP,Ken Felber,04/15/1992,25,2.5 Stars,2.5 Stars,50,45,50,55,50,-,60,50,55,-,-,-,-,50,-,55,Very High
11366,RP,Pedro Fierro,12/02/1989,27,2.5 Stars,2.5 Stars,45,50,55,-,60,55,50,50,50,-,-,-,-,-,-,70,High
11335,SP,Li Fitchett,07/08/1992,25,2.5 Stars,2.5 Stars,45,65,45,-,45,55,50,-,-,45,-,-,-,-,-,60,Low
10821,SP,Kevin Floyd,04/27/1990,27,2.5 Stars,2.5 Stars,50,50,50,60,60,60,45,-,-,-,-,-,-,-,-,60,Low
15039,SP,David Foreman,05/09/2002,15,0.5 Stars,2.5 Stars,35,70,60,40,50,45,-,-,40,-,-,-,-,-,-,75,Low
8443,RP,CALEB FOXWORTHY,03/04/1987,30,2.5 Stars,2.5 Stars,60,35,50,60,-,-,60,60,35,-,-,-,-,-,-,45,High
8369,SP,BOBBY FRAMPTON,01/04/1989,28,2.5 Stars,2.5 Stars,50,40,70,55,-,-,-,50,45,55,-,-,-,-,-,70,High
14518,SP,Elias Franco,04/11/2000,17,0.5 Stars,2.5 Stars,45,60,55,45,45,-,-,55,-,55,-,-,-,-,-,60,Very High
13262,SP,Chris Frey,02/19/1994,23,1.0 Stars,2.5 Stars,50,50,50,-,60,60,55,-,45,55,-,-,-,60,-,60,Very High
12898,SP,Freddy Fuentes,06/08/1998,19,0.5 Stars,2.5 Stars,55,40,60,50,55,-,-,60,-,-,-,-,-,-,-,50,Very High
14360,RP,Roberto Fujii,07/23/1999,18,0.5 Stars,2.5 Stars,65,50,50,65,65,-,-,-,-,-,-,-,-,-,-,25,Low
