ID,Name,ORG,Lev,DOB,OVR,POT,Prone,STU P,CON P,HRR P,FBP,CHP,CBP,SLP,SIP,SPP,CTP,FOP,CCP,SCP,KCP,KNP,VELO,STM,Sct,SctAcc,Draft,OA Pick
16425,Takashi Horita,-,-,05/04/2003,1.5 Stars,5.0 Stars,Normal,80,50,80,65,80,-,70,80,80,-,-,-,-,-,-,89-91,50,Jan. 16th   2021,Low,0,0
17146,Masayoshi Kaza,-,-,06/07/2005,1.0 Stars,5.0 Stars,Normal,80,35,50,80,80,50,80,-,-,-,-,-,-,-,-,93-95,60,Jan. 30th   2021,Low,0,0
17595,Alan Lancaster,-,-,02/04/2005,1.5 Stars,5.0 Stars,Normal,60,80,80,50,-,-,-,75,-,80,-,-,-,-,-,89-91,70,Dec. 30th   2020,Low,0,0
16330,Jim Lukes,-,-,03/15/2003,1.5 Stars,5.0 Stars,Normal,80,80,60,-,80,-,-,-,-,80,-,-,-,-,-,92-94,30,Jun. 6th   2021,Low,0,0
17765,Medardo Massarico,-,-,06/14/2005,1.5 Stars,5.0 Stars,Normal,80,50,80,80,80,-,-,-,-,-,-,-,-,-,-,92-94,35,Jan. 31st   2021,Low,0,0
17638,Dave McDormand,-,-,09/07/2005,1.5 Stars,5.0 Stars,Durable,80,50,70,80,-,80,-,-,-,80,-,-,-,-,-,92-94,40,Dec. 30th   2020,Low,0,0
17640,Andy McLeod,-,-,08/15/2005,1.0 Stars,5.0 Stars,Durable,75,50,80,80,80,-,80,-,-,-,-,-,-,-,-,91-93,70,Dec. 30th   2020,Low,0,0
15610,Jake Moncrief,LDN,A,12/01/2001,1.5 Stars,5.0 Stars,Normal,80,55,65,80,80,-,-,-,80,-,-,-,-,-,-,97-99,55,Apr. 29th   2021,Avg,2020,5
14207,Christian Morrow,DUB,MLB,10/12/1999,2.5 Stars,5.0 Stars,Normal,80,75,80,-,-,-,80,-,-,80,-,-,-,-,-,98-100,50,Apr. 16th   2021,Low,0,0
15037,Bong-hwan Park,ADE,AA,05/07/2001,2.0 Stars,5.0 Stars,Normal,75,80,80,-,80,80,80,80,80,-,-,-,-,-,-,93-95,70,Apr. 18th   2021,Low,2020,2
17610,Sean Powers,-,-,04/23/2005,1.5 Stars,5.0 Stars,Normal,60,80,80,80,70,50,80,80,-,-,-,75,-,-,-,94-96,65,Dec. 30th   2020,Low,0,0
17099,Rich Prouse,-,-,05/07/2004,1.5 Stars,5.0 Stars,Normal,60,80,80,50,80,-,-,55,40,60,-,-,-,-,-,88-90,50,Jan. 27th   2021,Low,0,0
16336,Adam Raue,-,-,09/22/2003,1.5 Stars,5.0 Stars,Normal,70,55,80,70,80,-,-,-,45,-,-,-,-,-,-,89-91,45,Jun. 6th   2021,Low,0,0
16992,Rafael Reyes,-,-,11/03/2004,1.5 Stars,5.0 Stars,Normal,80,60,70,80,50,-,80,80,-,-,-,-,-,-,-,93-95,45,Dec. 21st   2020,Low,0,0
17573,Francisco Rodriguez,-,-,03/08/2005,1.5 Stars,5.0 Stars,Durable,80,45,70,80,-,-,80,-,-,-,-,-,-,-,-,92-94,30,Dec. 30th   2020,Low,0,0
17723,Shane Saunders,-,-,02/22/2005,0.5 Stars,5.0 Stars,Normal,80,25,40,80,-,80,-,80,-,-,-,-,-,-,-,93-95,65,Jan. 31st   2021,Low,0,0
17085,Mototoshi Shibata,-,-,01/03/2005,1.0 Stars,5.0 Stars,Normal,50,80,80,-,60,40,65,-,-,70,-,-,-,35,-,90-92,70,Jan. 27th   2021,Low,0,0
16280,John Swyers,-,-,06/02/2004,1.5 Stars,5.0 Stars,Normal,65,75,80,80,80,-,80,-,-,-,-,-,-,-,-,93-95,65,Jun. 6th   2021,Low,0,0
17681,Noud van Bemmel,-,-,02/01/2006,1.5 Stars,5.0 Stars,Durable,75,55,80,80,80,-,-,80,-,-,-,-,-,-,-,91-93,75,Dec. 30th   2020,Low,0,0
16230,Ishaq bin Jamal,GAL,AAA,03/11/1999,2.0 Stars,4.5 Stars,Normal,80,65,70,-,-,80,-,-,-,80,-,-,-,-,-,94-96,25,Apr. 7th   2021,Low,2021,18
17626,Nate Bush,-,-,05/01/2006,1.5 Stars,4.5 Stars,Normal,65,80,65,55,75,80,-,60,-,60,-,-,-,-,-,89-91,55,Dec. 30th   2020,Low,0,0
17524,Danny Castaneda,CUR,INT,07/30/2004,1.5 Stars,4.5 Stars,Normal,55,65,80,65,80,-,-,-,80,-,-,-,-,-,-,89-91,60,May 20th   2021,Avg,0,0
17193,Danny de Loza,LAP,INT,08/18/2003,1.5 Stars,4.5 Stars,Normal,80,40,50,75,80,80,80,-,80,-,-,-,-,-,-,91-93,50,Apr. 3rd   2021,Low,0,0
10633,ALVIN DONNELLY,DEN,MLB,02/03/1995,4.0 Stars,4.5 Stars,Durable,80,80,50,80,80,-,-,-,80,-,-,-,-,-,-,94-96,40,May 29th   2021,Avg,2013,33
16263,Cameron Graham,-,-,08/20/2003,1.5 Stars,4.5 Stars,Normal,80,45,60,80,80,-,80,-,-,-,-,-,-,-,-,93-95,40,Jun. 6th   2021,Low,0,0
12915,Jason Knutson,LAP,MLB,04/05/1996,4.0 Stars,4.5 Stars,Normal,75,75,80,80,-,-,80,-,-,-,-,-,-,-,-,97-99,30,Mar. 23rd   2021,Low,2015,64
16936,Kakeru Matsumoto,-,-,09/29/2000,2.0 Stars,4.5 Stars,Normal,80,40,80,80,-,-,80,-,-,-,-,-,-,-,-,94-96,25,Dec. 21st   2020,Low,0,0
16448,T.J. McKinney,-,-,02/18/2003,1.5 Stars,4.5 Stars,Durable,55,75,80,45,70,80,-,55,-,-,-,-,-,-,-,88-90,65,Jan. 16th   2021,Low,0,0
16265,Valentino Migliorati,-,-,11/16/2003,1.5 Stars,4.5 Stars,Fragile,65,65,70,65,80,-,-,-,-,-,-,-,-,80,-,89-91,55,Jun. 6th   2021,Low,0,0
15566,Jaime Porras,DUB,AA,06/28/2000,2.0 Stars,4.5 Stars,Normal,60,65,80,50,75,-,-,65,-,-,-,-,-,80,-,93-95,65,May 1st   2021,Low,2019,3
17597,Alanzo Romano,-,-,05/28/2005,1.5 Stars,4.5 Stars,Normal,45,80,80,45,70,-,-,45,60,-,-,-,-,-,-,88-90,70,Dec. 30th   2020,Low,0,0
15868,Andy Singman  Jr,STU,R,01/27/2002,1.5 Stars,4.5 Stars,Normal,60,75,80,80,75,-,80,-,-,-,-,-,-,-,-,92-94,40,Apr. 8th   2021,Low,2021,7
17584,Adam Stoddard,-,-,06/30/2005,1.5 Stars,4.5 Stars,Fragile,80,55,80,65,-,-,80,-,-,-,-,-,-,-,-,89-91,40,Dec. 30th   2020,Low,0,0
17096,Damian Talbot,-,-,07/14/2004,1.5 Stars,4.5 Stars,Fragile,40,80,80,35,65,-,-,-,-,50,-,-,-,-,-,88-90,45,Jan. 27th   2021,Low,0,0
17395,Rudko Todorovic,SMT,INT,12/26/2003,1.5 Stars,4.5 Stars,Normal,70,70,65,80,80,-,-,-,80,-,-,-,-,-,-,91-93,45,Apr. 25th   2021,Low,0,0
16960,Greg van Hout,-,-,05/05/2005,1.5 Stars,4.5 Stars,Durable,40,80,80,-,50,40,-,45,50,-,-,-,-,45,-,87-89,70,Dec. 21st   2020,Low,0,0
15035,Gene Wills,TOK,A,09/18/2002,1.5 Stars,4.5 Stars,Normal,60,55,80,80,60,-,-,65,80,-,-,-,-,-,-,92-94,45,Apr. 28th   2021,Low,2020,1
15663,Brian Acorn,TOK,R,11/21/2002,1.5 Stars,4.0 Stars,Durable,50,65,70,65,65,-,65,-,-,-,-,-,-,-,-,92-94,65,Apr. 8th   2021,Low,2021,28
16440,Ahmed Anwar,-,-,08/05/2003,1.5 Stars,4.0 Stars,Normal,55,75,65,70,60,-,-,-,-,65,-,-,-,-,-,90-92,60,Jan. 16th   2021,Low,0,0
13937,Pedrag Buturovic,NKO,AA,01/08/2000,1.5 Stars,4.0 Stars,Durable,65,70,50,75,80,-,65,-,-,-,-,-,-,-,-,93-95,50,May 6th   2021,Low,2018,22
16269,Lucas Cadaloba,-,-,07/02/2003,1.5 Stars,4.0 Stars,Normal,80,40,70,-,-,-,80,80,-,-,-,-,-,-,-,91-93,25,Jun. 6th   2021,Low,0,0
15085,Richard Cross,TOK,A,09/07/2001,1.5 Stars,4.0 Stars,Normal,60,60,65,80,65,-,-,-,-,80,-,-,-,-,-,91-93,65,Apr. 28th   2021,Low,2020,24
14321,Raul Fresquez,DUB,MLB,04/26/1986,4.0 Stars,4.0 Stars,Normal,50,75,75,-,55,50,-,60,55,-,-,-,-,-,-,88-90,65,May 16th   2021,Avg,0,0
16547,Douglas George,-,-,08/13/2003,0.5 Stars,4.0 Stars,Normal,70,40,80,60,80,50,-,80,-,-,-,-,-,-,-,88-90,55,Mar. 5th   2021,Low,0,0
15577,Tye Gladstone,VAN,R,07/25/2001,1.5 Stars,4.0 Stars,Normal,80,45,70,-,75,80,75,-,80,75,-,-,-,65,-,92-94,60,Apr. 26th   2021,Low,2020,15
15686,Thomas Hardy,RME,R,08/15/2002,1.5 Stars,4.0 Stars,Normal,80,30,80,-,-,80,-,80,-,-,-,-,-,-,-,94-96,25,Apr. 16th   2021,Low,2021,15
16970,Javier Jaramillo,-,-,02/27/2005,1.0 Stars,4.0 Stars,Normal,75,70,50,80,65,-,-,-,80,-,-,-,-,-,-,90-92,65,Dec. 21st   2020,Low,0,0
15690,Rafael Lagos,VAN,R,05/27/2002,1.0 Stars,4.0 Stars,Normal,65,55,80,80,70,-,75,70,-,-,-,-,-,-,-,92-94,35,Apr. 13th   2021,Low,2021,9
17766,Adrian Lanning,-,-,03/30/2005,1.5 Stars,4.0 Stars,Normal,45,70,80,45,70,-,50,-,-,-,-,-,-,-,-,87-89,65,Jan. 31st   2021,Low,0,0
14825,Min-jun Lee,DUB,AAA,12/31/1999,2.5 Stars,4.0 Stars,Durable,55,80,70,75,-,-,-,65,-,70,-,-,-,-,-,96-98,60,May 28th   2021,Avg,0,0
16224,Valerio Lopez,STU,R,12/24/2002,1.5 Stars,4.0 Stars,Normal,45,80,80,40,-,-,-,-,70,65,-,-,-,-,-,86-88,50,Apr. 7th   2021,Low,2021,20
16225,Odwin MacDonald,DUB,AAA,03/09/1999,2.5 Stars,4.0 Stars,Normal,50,70,80,65,-,-,-,60,-,65,-,-,-,-,-,92-94,35,Apr. 8th   2021,Low,2021,11
13027,Sadaqat Mahdi,LDN,AA,05/26/1998,2.5 Stars,4.0 Stars,Normal,75,55,80,80,-,-,75,-,-,-,-,-,-,-,-,95-97,25,Mar. 30th   2021,Low,2017,226
11782,NICK MCGUIGAN,LAP,AAA,02/01/1997,2.5 Stars,4.0 Stars,Fragile,80,50,55,80,-,-,80,-,-,-,-,-,-,-,-,98-100,30,Mar. 1st   2021,Low,2015,224
16210,Tommy McQuinn,SMT,AAA,07/11/2001,2.0 Stars,4.0 Stars,Fragile,60,70,55,80,50,-,-,55,55,80,-,-,-,-,-,95-97,50,May 31st   2021,Avg,2020,4
15612,Vladislav Milutinovic,DUB,AAA,03/20/1998,2.0 Stars,4.0 Stars,Normal,65,80,60,50,45,-,-,70,-,70,-,-,-,-,-,90-92,50,May 26th   2021,Avg,2020,35
14512,David More,GAL,AA,10/18/2000,1.5 Stars,4.0 Stars,Normal,60,55,70,80,-,-,80,80,-,-,-,-,-,-,-,94-96,65,Apr. 22nd   2021,Low,2019,21
13343,Jamie Munson,CLE,AAA,04/14/1998,2.0 Stars,4.0 Stars,Fragile,55,75,60,70,50,-,-,40,65,-,-,-,-,-,-,94-96,50,Jun. 8th   2021,Avg,2018,7
17006,Wesley Naughton,-,-,11/18/2004,1.0 Stars,4.0 Stars,Normal,35,80,80,30,25,30,35,40,35,-,-,-,-,-,-,88-90,60,Dec. 21st   2020,Low,0,0
17410,Neil Nichols,LAP,INT,06/26/2004,1.0 Stars,4.0 Stars,Normal,50,65,80,65,50,-,-,-,65,-,-,-,-,-,-,92-94,50,May 7th   2021,Avg,0,0
16449,Markus Offringa,-,-,10/06/2003,1.5 Stars,4.0 Stars,Normal,70,65,50,55,75,-,40,70,-,-,-,-,-,-,-,88-90,55,Jan. 16th   2021,Low,0,0
17127,Rogelio Partida,-,-,12/03/2004,1.5 Stars,4.0 Stars,Fragile,75,55,80,55,-,-,70,-,-,-,-,-,-,-,-,88-90,35,Jan. 27th   2021,Low,0,0
12774,Ruben Pastran,DEN,MLB,02/17/1997,3.0 Stars,4.0 Stars,Normal,80,60,70,80,-,-,80,-,-,-,-,-,-,-,-,98-100,30,Apr. 2nd   2021,Low,0,0
8205,JOHN RANSON,LON,MLB,11/05/1986,4.0 Stars,4.0 Stars,Iron Man,55,60,75,50,-,-,50,-,-,-,-,-,-,-,-,90-92,45,Jun. 1st   2021,Avg,2008,33
16914,Ruben Reyes,HAV,INT,10/28/2003,1.5 Stars,4.0 Stars,Normal,55,55,75,50,80,-,-,-,80,-,-,-,-,-,-,90-92,65,May 12th   2021,Avg,0,0
15604,Bob Rolston,LAP,AA,12/31/1997,2.0 Stars,4.0 Stars,Normal,70,60,80,80,-,-,80,-,-,-,-,-,-,-,-,97-99,30,Jun. 14th   2021,Avg,2020,7
10099,Dave Spuller,LAP,MLB,07/05/1993,4.0 Stars,4.0 Stars,Durable,70,55,60,80,70,70,-,75,70,-,-,-,-,-,-,97-99,30,Mar. 20th   2021,Low,2011,1
13638,Vladislav Stojsic,NKO,AA,11/17/1997,2.0 Stars,4.0 Stars,Normal,70,50,75,-,60,80,80,-,75,80,-,-,-,75,-,97-99,45,Jun. 11th   2021,Avg,0,0
16953,Tsuruo Takase,-,-,12/16/2004,1.5 Stars,4.0 Stars,Normal,45,80,80,40,-,-,45,-,-,-,-,-,-,-,-,87-89,45,Dec. 21st   2020,Low,0,0
16888,Ryan Yohemas,RME,MLB,08/14/1987,4.0 Stars,4.0 Stars,Normal,80,60,65,75,80,-,-,-,-,-,-,-,-,-,-,94-96,25,Apr. 13th   2021,Low,0,0
16443,Christopher Allwood,-,-,02/22/2003,1.5 Stars,3.5 Stars,Durable,50,55,80,65,55,-,60,50,-,-,-,-,-,-,-,91-93,55,Jan. 16th   2021,Low,0,0
16712,Kamil Ayman,DEN,R,11/22/2002,1.5 Stars,3.5 Stars,Fragile,75,50,60,60,80,80,-,75,80,-,-,-,-,-,-,92-94,65,May 1st   2021,Low,0,0
16410,Renaud Baldini,DUB,A,11/19/1999,2.0 Stars,3.5 Stars,Durable,70,65,60,65,-,-,80,-,-,-,-,-,-,-,-,91-93,25,Apr. 8th   2021,Low,2021,52
14675,Reuben Bennis,ADE,AA,10/11/1999,2.0 Stars,3.5 Stars,Normal,55,75,55,50,60,-,60,55,-,-,-,-,-,-,-,88-90,50,Apr. 19th   2021,Low,0,0
17763,Zakiy bin Badr,-,-,03/15/2005,1.0 Stars,3.5 Stars,Normal,80,40,55,80,-,-,-,80,-,80,-,-,-,-,-,91-93,70,Jan. 31st   2021,Low,0,0
15617,Bob Black,NKO,A,09/22/2001,1.5 Stars,3.5 Stars,Normal,55,70,65,50,-,60,-,65,75,-,-,-,-,-,-,89-91,65,May 2nd   2021,Low,2020,17
16268,Kyle Burns,-,-,01/24/2004,1.0 Stars,3.5 Stars,Normal,80,40,60,80,-,-,80,-,-,-,-,-,-,-,-,94-96,25,Jun. 6th   2021,Low,0,0
15650,Migdônio Carrasqueiro,TOK,AAA,12/29/1998,2.0 Stars,3.5 Stars,Normal,80,50,65,80,-,-,80,-,-,-,-,-,-,-,-,95-97,35,Mar. 23rd   2021,Low,2020,46
17721,Riley Cassidy,-,-,10/31/2005,1.0 Stars,3.5 Stars,Normal,45,75,70,50,65,-,-,-,-,50,-,-,-,-,-,89-91,55,Jan. 31st   2021,Low,0,0
11706,LENNY CHARLES,HAV,MLB,02/26/1996,2.5 Stars,3.5 Stars,Normal,75,55,55,80,65,-,80,-,75,-,-,-,70,-,-,96-98,55,Jun. 11th   2021,Avg,2014,39
15644,Trevor Cornelissen,STU,AA,08/07/1998,2.0 Stars,3.5 Stars,Normal,55,65,80,80,-,75,-,-,-,-,-,-,-,-,-,97-99,30,May 6th   2021,Low,2020,34
17756,Quentin de Boer,-,-,11/11/2005,1.0 Stars,3.5 Stars,Normal,50,60,80,55,70,-,-,65,-,-,-,-,-,-,-,89-91,70,Jan. 31st   2021,Low,0,0
16287,Paul Delahaye,-,-,08/06/2003,1.5 Stars,3.5 Stars,Normal,50,80,80,65,-,-,50,-,-,-,-,-,-,-,-,89-91,30,Jun. 6th   2021,Low,0,0
17439,Jesus Delgado,LAP,A,10/19/2003,1.5 Stars,3.5 Stars,Normal,65,45,75,55,80,80,-,75,-,-,-,-,-,-,-,89-91,65,May 23rd   2021,Avg,0,0
14908,Rudjer Djurdjuvic,HAV,A,03/21/2000,1.5 Stars,3.5 Stars,Normal,80,35,80,75,-,-,-,80,-,80,-,-,-,-,-,92-94,35,Apr. 16th   2021,Low,0,0
17664,Jason Eisaman,-,-,03/26/2005,0.5 Stars,3.5 Stars,Normal,70,40,80,65,80,80,65,-,-,-,-,-,-,-,-,90-92,75,Dec. 30th   2020,Low,0,0
15655,Abdul-Karim Fadil,HAV,AA,08/07/1998,2.0 Stars,3.5 Stars,Normal,60,60,65,75,65,75,-,75,-,-,-,-,-,80,-,97-99,35,Apr. 22nd   2021,Low,2020,3
11579,Kedar Fawzi,ADE,MLB,04/30/1996,3.0 Stars,3.5 Stars,Fragile,55,55,65,50,75,60,55,-,70,-,-,-,-,-,-,91-93,60,May 14th   2021,Avg,2015,26
16323,Tim Foley,-,-,02/08/2003,1.0 Stars,3.5 Stars,Normal,70,45,80,80,-,-,80,-,-,-,-,-,-,-,-,95-97,40,Jun. 6th   2021,Low,0,0
11489,EDWIN GOMEZ,STU,MLB,12/28/1995,3.5 Stars,3.5 Stars,Normal,80,55,45,80,-,-,-,80,-,75,-,-,-,-,-,97-99,30,Apr. 4th   2021,Low,2014,67
14379,Canice Gordon,VAN,AA,01/07/2000,2.0 Stars,3.5 Stars,Normal,55,65,65,60,75,80,-,-,80,-,-,-,-,-,-,92-94,60,Apr. 25th   2021,Low,0,0
17609,Norm Graser,-,-,02/08/2006,1.0 Stars,3.5 Stars,Normal,45,75,80,50,50,45,-,-,50,-,-,-,-,-,-,89-91,60,Dec. 30th   2020,Low,0,0
15461,Victor Groeneveld,CLE,R,05/13/2001,1.5 Stars,3.5 Stars,Normal,80,30,80,80,-,-,-,80,-,80,-,-,-,-,-,94-96,35,Mar. 27th   2021,Low,0,0
16467,Rajko Gvero,-,-,05/02/2003,1.5 Stars,3.5 Stars,Normal,60,45,80,65,80,-,75,-,-,-,-,-,-,-,-,89-91,50,Jan. 16th   2021,Low,0,0
9700,David Harby,HON,MLB,02/09/1991,3.5 Stars,3.5 Stars,Wrecked,65,45,65,80,55,75,-,65,70,60,-,-,-,-,-,96-98,45,Apr. 7th   2021,Low,2009,3
14586,Rob Harman,DUB,AA,10/19/2000,1.5 Stars,3.5 Stars,Fragile,60,45,75,65,80,-,-,-,50,-,-,-,-,-,-,90-92,55,Apr. 27th   2021,Low,2019,55
9147,Mike Hawes,GAL,MLB,04/13/1990,3.5 Stars,3.5 Stars,Normal,50,75,55,60,55,35,-,-,-,65,-,-,-,-,-,94-96,65,Apr. 6th   2021,Low,2009,21
15114,Michael Hopkins,DUB,A,04/26/2001,1.5 Stars,3.5 Stars,Normal,50,60,80,60,65,-,-,70,-,-,-,-,-,-,-,91-93,40,Mar. 27th   2021,Low,2020,36
14420,Paolo Janssen,LDN,MLB,06/01/1996,2.5 Stars,3.5 Stars,Normal,45,80,80,-,55,55,50,45,50,-,-,-,-,-,-,94-96,50,Apr. 2nd   2021,Low,2019,2
11635,SAMUEL JENKINS,LON,AAA,04/11/1996,2.5 Stars,3.5 Stars,Normal,55,50,75,-,75,65,-,-,80,70,-,-,-,-,-,93-95,70,Mar. 27th   2021,Low,2015,181
17115,Chae-hyeong Kim,-,-,01/03/2005,1.5 Stars,3.5 Stars,Normal,55,65,80,-,-,80,-,-,-,75,-,-,-,-,-,92-94,25,Jan. 27th   2021,Low,0,0
16260,Mike Lauer,-,-,06/25/2004,1.0 Stars,3.5 Stars,Normal,45,55,75,50,55,50,50,55,-,-,-,-,-,-,-,89-91,60,Jun. 6th   2021,Low,0,0
15684,Cullen Lindelof,VAN,R,05/17/2002,1.0 Stars,3.5 Stars,Normal,75,75,50,80,70,-,-,-,-,80,-,-,-,-,-,93-95,40,Apr. 14th   2021,Low,2021,10
15968,Richard Mann,HAV,AA,10/07/2001,1.5 Stars,3.5 Stars,Fragile,45,80,65,45,50,-,-,50,-,-,-,-,-,-,-,87-89,60,Apr. 28th   2021,Low,0,0
16270,Ernesto Martinez,-,-,06/09/2003,1.5 Stars,3.5 Stars,Normal,80,40,60,80,-,-,-,-,-,-,-,-,-,80,-,93-95,35,Jun. 6th   2021,Low,0,0
16962,Bobby Mayer,-,-,09/12/2004,1.0 Stars,3.5 Stars,Normal,45,55,80,55,55,-,55,-,-,25,-,-,-,-,-,89-91,50,Dec. 21st   2020,Low,0,0
11956,Elijah McCants,RME,MLB,03/28/1996,3.0 Stars,3.5 Stars,Normal,50,55,70,50,55,40,-,-,-,65,-,-,-,-,-,97-99,60,Jun. 4th   2021,Avg,0,0
17890,Edan Mensah,TOK,INT,03/26/2005,1.5 Stars,3.5 Stars,Normal,60,70,55,70,60,-,-,55,-,75,-,-,-,-,-,90-92,60,Jun. 1st   2021,Avg,0,0
17591,Eric O'Farrell,-,-,11/24/2000,2.0 Stars,3.5 Stars,Normal,55,65,80,80,-,-,60,-,-,-,-,-,-,-,-,95-97,35,Dec. 30th   2020,Low,0,0
16471,Sang-youn Park,-,-,12/27/2002,1.0 Stars,3.5 Stars,Normal,45,75,75,55,50,-,-,-,45,-,-,-,-,-,-,91-93,65,Jan. 16th   2021,Low,0,0
15592,James Phipps,SMT,AA,04/29/2002,1.5 Stars,3.5 Stars,Normal,50,65,75,60,40,65,-,65,-,-,-,-,-,-,-,91-93,75,Apr. 20th   2021,Low,2020,29
17740,Hector Ramirez,-,-,05/03/2005,0.5 Stars,3.5 Stars,Fragile,70,35,80,60,80,-,-,80,-,-,-,-,-,-,-,88-90,45,Jan. 31st   2021,Low,0,0
16504,Victor Saucedo,DUB,A,10/12/2002,1.5 Stars,3.5 Stars,Normal,55,70,55,60,55,-,-,80,-,-,-,-,-,-,-,92-94,60,May 11th   2021,Avg,0,0
10025,PAUL SCHWARTZ,DUB,MLB,11/03/1988,3.5 Stars,3.5 Stars,Normal,55,55,75,50,-,-,-,55,55,-,-,-,-,65,-,90-92,25,Apr. 8th   2021,Low,2010,93
16474,Dave Sealey,-,-,05/17/2004,1.0 Stars,3.5 Stars,Normal,45,60,75,45,50,-,-,50,50,-,-,-,-,-,-,89-91,55,Jan. 16th   2021,Low,0,0
16569,Greg Snook,-,-,12/14/2002,1.0 Stars,3.5 Stars,Normal,45,80,70,45,40,40,40,45,35,-,-,-,-,-,-,92-94,50,Mar. 5th   2021,Low,0,0
15507,Matt Stalker,CLE,R,04/03/2002,1.0 Stars,3.5 Stars,Normal,50,50,70,60,75,-,70,-,-,-,-,-,-,-,-,89-91,60,Apr. 13th   2021,Low,2021,62
14477,Zivojin Stanovcic,AMS,A,02/17/2001,2.0 Stars,3.5 Stars,Durable,60,45,75,-,80,80,75,-,70,70,-,-,-,-,-,93-95,70,Apr. 25th   2021,Low,2019,17
17107,Harry Stiles,-,-,04/22/2004,1.0 Stars,3.5 Stars,Normal,80,25,55,80,80,80,80,-,80,80,-,-,-,-,-,95-97,60,Jan. 27th   2021,Low,0,0
16392,Antonio Sénéchal,ADE,R,03/29/2002,1.5 Stars,3.5 Stars,Fragile,75,40,80,80,80,-,-,-,-,-,-,-,80,-,-,94-96,50,Apr. 9th   2021,Low,2020,28
12923,Dave Tufts,CLE,MLB,09/21/1996,2.5 Stars,3.5 Stars,Fragile,60,50,60,80,65,-,80,50,-,-,-,-,-,40,-,99-101,60,Apr. 8th   2021,Low,2015,63
15794,Juan Valencia,TOK,R,08/06/2001,1.5 Stars,3.5 Stars,Normal,50,50,75,65,70,-,-,75,-,-,-,-,-,-,-,90-92,50,May 5th   2021,Avg,2020,42
17589,Alje van de Vondervoort,-,-,01/25/2004,1.5 Stars,3.5 Stars,Normal,75,40,65,80,-,-,-,45,-,80,-,-,-,-,-,93-95,45,Dec. 30th   2020,Low,0,0
12424,RAFAEL VARA,AMS,MLB,03/29/1997,2.5 Stars,3.5 Stars,Durable,80,60,50,80,70,-,-,80,-,-,-,-,-,-,-,95-97,55,Apr. 16th   2021,Low,2016,64
16427,Alvaro Velazquez,-,-,09/07/2003,1.5 Stars,3.5 Stars,Fragile,80,50,45,80,80,80,-,80,-,-,-,-,-,-,-,91-93,60,Jan. 16th   2021,Low,0,0
16556,Gerben Velthuizen,-,-,05/20/2003,1.5 Stars,3.5 Stars,Normal,50,80,55,70,50,-,-,-,-,75,-,-,-,-,-,92-94,60,Mar. 5th   2021,Low,0,0
13078,Joey Walsh,VAN,MLB,04/04/1998,3.0 Stars,3.5 Stars,Normal,65,70,70,75,-,65,65,-,-,-,-,-,-,-,-,92-94,30,Jun. 9th   2021,Avg,2017,92
14819,Victor Agramonte,LAP,AAA,12/20/1999,2.0 Stars,3.0 Stars,Normal,55,45,80,80,-,-,80,45,-,-,-,-,-,-,-,98-100,25,May 28th   2021,Avg,0,0
16935,Yaseen Anwar,-,-,11/25/2003,1.0 Stars,3.0 Stars,Normal,45,80,55,50,55,-,-,-,40,-,-,-,-,-,-,87-89,50,Dec. 21st   2020,Low,0,0
