MOV P,CON P,PBABIP P,HRR P,IP,HA,HR,BB,HR/9,H/9,BB/9,BB%
50,50,45,50,123.0,113,3,35,0.2,8.3,2.6,6.8
55,60,55,50,122.2,158,13,26,1.0,11.6,1.9,4.9
50,50,50,45,122.1,129,7,30,0.5,9.5,2.2,5.7
55,50,50,55,121.2,130,6,27,0.4,9.6,2.0,5.3
55,40,50,60,121.2,127,9,50,0.7,9.4,3.7,9.4
65,50,55,70,121.0,158,10,26,0.7,11.8,1.9,4.8
45,40,55,45,114.1,121,19,33,1.5,9.5,2.6,6.6
50,45,50,55,113.2,122,6,37,0.5,9.7,2.9,7.5
50,60,50,50,112.1,149,12,40,1.0,11.9,3.2,7.7
50,45,50,50,112.0,128,9,30,0.7,10.3,2.4,6.2
50,45,50,50,109.1,127,14,45,1.2,10.5,3.7,9.1
50,50,55,45,109.1,115,12,33,1.0,9.5,2.7,7.0
55,45,50,60,109.0,122,9,47,0.7,10.1,3.9,9.8
45,45,50,45,109.0,109,13,32,1.1,9.0,2.6,7.0
50,45,50,45,108.2,139,9,44,0.7,11.5,3.6,8.7
50,45,45,55,104.2,111,7,28,0.6,9.5,2.4,6.3
45,45,45,45,101.0,93,8,33,0.7,8.3,2.9,7.8
45,45,45,45,98.1,95,9,37,0.8,8.7,3.4,8.8
40,35,50,40,95.2,111,15,38,1.4,10.4,3.6,8.9
50,50,55,50,94.2,104,8,18,0.8,9.9,1.7,4.5
55,55,55,60,93.2,122,6,22,0.6,11.7,2.1,5.3
50,45,50,50,93.1,87,6,41,0.6,8.4,4.0,10.3
65,55,60,70,90.2,69,3,16,0.3,6.8,1.6,4.5
75,60,55,80,90.0,101,5,17,0.5,10.1,1.7,4.4
55,50,55,55,90.0,98,8,23,0.8,9.8,2.3,6.1
50,30,45,50,89.1,97,5,28,0.5,9.8,2.8,7.3
50,55,50,55,88.2,79,7,17,0.7,8.0,1.7,4.7
45,50,40,45,87.2,111,7,21,0.7,11.4,2.2,5.5
50,50,50,50,87.0,78,9,22,0.9,8.1,2.3,6.2
50,55,50,50,86.2,102,8,30,0.8,10.6,3.1,7.9
45,55,50,45,86.2,63,4,17,0.4,6.5,1.8,5.0
55,50,55,50,86.1,96,4,15,0.4,10.0,1.6,4.1
45,50,40,50,86.0,102,9,36,0.9,10.7,3.8,9.2
40,45,45,40,84.2,118,15,30,1.6,12.5,3.2,7.6
65,65,50,70,84.1,91,8,25,0.9,9.7,2.7,7.0
45,50,50,45,84.1,96,12,15,1.3,10.2,1.6,4.2
45,45,45,40,83.2,107,14,23,1.5,11.5,2.5,6.2
55,45,55,55,82.1,102,9,23,1.0,11.1,2.5,6.3
45,45,45,45,82.1,106,10,33,1.1,11.6,3.6,8.6
50,50,45,55,80.1,100,18,32,2.0,11.2,3.6,8.8
50,45,45,55,80.0,71,8,21,0.9,8.0,2.4,6.5
60,50,50,60,80.0,97,6,16,0.7,10.9,1.8,4.6
50,50,50,50,79.2,83,14,18,1.6,9.4,2.0,5.4
60,45,55,65,78.2,88,6,31,0.7,10.1,3.5,8.9
45,30,45,45,78.2,83,9,35,1.0,9.5,4.0,10.3
50,45,50,50,77.0,72,9,20,1.1,8.4,2.3,6.2
50,45,50,50,77.0,82,9,17,1.1,9.6,2.0,5.3
45,50,50,40,77.0,72,5,13,0.6,8.4,1.5,4.1
45,45,55,45,76.2,93,8,27,0.9,10.9,3.2,7.8
55,45,45,65,76.1,74,7,27,0.8,8.7,3.2,8.3
55,40,45,60,75.0,93,2,30,0.2,11.2,3.6,8.8
45,50,45,45,75.0,103,13,11,1.6,12.4,1.3,3.3
70,55,60,75,75.0,64,4,18,0.5,7.7,2.2,6.0
50,50,55,50,74.0,84,9,15,1.1,10.2,1.8,4.8
55,50,50,55,74.0,70,8,18,1.0,8.5,2.2,5.7
50,45,45,50,74.0,77,5,27,0.6,9.4,3.3,8.3
50,45,55,45,73.1,92,6,27,0.7,11.3,3.3,7.9
45,50,40,50,73.1,91,13,25,1.6,11.2,3.1,7.6
50,55,45,50,73.0,88,5,19,0.6,10.8,2.3,6.0
55,55,50,55,72.2,93,8,18,1.0,11.5,2.2,5.7
55,50,60,55,72.1,79,4,28,0.5,9.8,3.5,8.8
50,55,55,45,72.1,65,8,21,1.0,8.1,2.6,7.0
45,55,50,45,72.0,67,5,17,0.6,8.4,2.1,5.9
45,55,50,45,72.0,79,11,22,1.4,9.9,2.8,7.1
55,50,50,55,72.0,69,3,21,0.4,8.6,2.6,7.1
50,40,50,50,71.2,76,5,24,0.6,9.5,3.0,7.7
50,50,50,50,71.0,68,2,25,0.3,8.6,3.2,8.3
45,70,55,45,71.0,79,10,11,1.3,10.0,1.4,3.8
70,60,50,80,70.2,75,8,26,1.0,9.6,3.3,8.4
50,50,50,55,70.1,81,5,22,0.6,10.4,2.8,7.2
45,45,45,45,69.1,84,11,26,1.4,10.9,3.4,8.3
50,40,45,50,69.1,88,8,25,1.0,11.4,3.2,7.9
60,50,50,65,69.1,73,8,16,1.0,9.5,2.1,5.3
45,55,55,45,68.2,90,8,15,1.0,11.8,2.0,4.9
60,40,50,60,68.1,72,5,22,0.7,9.5,2.9,7.5
45,65,50,45,68.1,77,7,21,0.9,10.1,2.8,7.0
50,45,50,50,68.0,85,9,27,1.2,11.2,3.6,8.6
55,45,55,60,68.0,66,2,27,0.3,8.7,3.6,9.2
50,50,50,50,67.2,67,10,13,1.3,8.9,1.7,4.6
55,30,50,60,67.1,56,5,20,0.7,7.5,2.7,7.4
50,45,50,50,66.2,63,9,15,1.2,8.5,2.0,5.4
50,55,50,45,66.0,65,11,16,1.5,8.9,2.2,5.9
45,55,55,45,64.2,77,5,20,0.7,10.7,2.8,6.9
40,35,35,40,64.0,77,9,14,1.3,10.8,2.0,5.1
40,45,40,40,64.0,77,12,24,1.7,10.8,3.4,8.5
50,45,45,55,64.0,56,2,25,0.3,7.9,3.5,9.5
45,50,40,45,63.2,76,8,13,1.1,10.7,1.8,4.7
50,45,50,50,63.0,70,4,23,0.6,10.0,3.3,8.5
55,55,55,55,62.2,54,5,11,0.7,7.8,1.6,4.3
45,50,50,45,62.1,61,6,19,0.9,8.8,2.7,7.1
50,60,45,55,62.0,54,9,20,1.3,7.8,2.9,7.7
50,50,45,50,61.2,79,9,18,1.3,11.5,2.6,6.5
55,70,60,55,61.2,60,8,17,1.2,8.8,2.5,6.7
45,50,50,40,61.2,69,10,15,1.5,10.1,2.2,5.6
55,45,50,55,61.0,49,0,22,0.0,7.2,3.2,8.7
60,50,50,65,60.1,48,5,23,0.7,7.2,3.4,9.3
45,55,45,45,60.1,67,6,12,0.9,10.0,1.8,4.8
45,25,50,45,59.2,76,6,21,0.9,11.5,3.2,7.7
35,40,50,30,59.1,67,10,29,1.5,10.2,4.4,10.4
45,55,50,45,59.0,64,10,6,1.5,9.8,0.9,2.5
45,45,40,45,59.0,79,6,24,0.9,12.1,3.7,8.8
65,50,55,70,59.0,69,3,14,0.5,10.5,2.1,5.6
45,55,55,45,59.0,63,9,20,1.4,9.6,3.1,7.7
40,45,50,40,58.1,54,6,17,0.9,8.3,2.6,7.1
55,20,50,55,57.2,63,4,30,0.6,9.8,4.7,11.5
45,40,40,50,57.0,67,3,24,0.5,10.6,3.8,9.6
50,50,50,50,56.2,55,2,12,0.3,8.7,1.9,5.0
65,40,55,70,56.2,52,2,26,0.3,8.3,4.1,10.7
45,30,40,50,56.2,74,12,30,1.9,11.8,4.8,11.3
45,55,45,50,56.0,67,6,8,1.0,10.8,1.3,3.4
55,50,45,55,55.2,65,5,21,0.8,10.5,3.4,8.3
45,40,50,45,55.2,48,1,17,0.2,7.8,2.7,7.5
45,50,55,45,55.1,46,3,15,0.5,7.5,2.4,6.8
65,50,50,70,55.0,57,2,12,0.3,9.3,2.0,5.5
55,45,55,55,55.0,66,3,19,0.5,10.8,3.1,7.9
45,60,55,45,55.0,63,5,13,0.8,10.3,2.1,5.5
45,45,55,40,54.2,44,4,17,0.7,7.2,2.8,7.7
50,35,50,55,54.0,66,2,21,0.3,11.0,3.5,8.7
50,50,55,45,54.0,66,8,23,1.3,11.0,3.8,9.4
45,60,50,45,53.2,45,6,18,1.0,7.5,3.0,8.2
45,50,50,45,53.2,48,7,12,1.2,8.0,2.0,5.5
50,45,55,50,53.0,67,8,19,1.4,11.4,3.2,7.9
45,45,50,40,53.0,50,14,23,2.4,8.5,3.9,10.1
50,45,50,50,52.1,54,5,17,0.9,9.3,2.9,7.7
60,40,50,65,52.1,58,2,15,0.3,10.0,2.6,6.9
75,60,55,80,51.0,38,6,24,1.1,6.7,4.2,11.4
50,55,45,50,50.2,48,3,15,0.5,8.5,2.7,7.2
45,50,50,45,50.1,46,6,11,1.1,8.2,2.0,5.3
50,50,50,50,50.1,47,4,14,0.7,8.4,2.5,6.6
55,55,55,55,50.1,65,8,16,1.4,11.6,2.9,6.9
