ID,Name,Pos,League,Team,Org,LgLvl,Age,Height,Bats,Throws,PotCntct,PotGap,PotPow,PotEye,PotKs,PotBABIP,IFR,IFE,IFA,TDP,OFR,OFE,OFA,CBlk,CArm,CFrm,P,C,1B,2B,3B,SS,LF,CF,RF,PotP,PotC,Pot1B,Pot2B,Pot3B,PotSS,PotLF,PotCF,PotRF,Speed,StlRt,Steal,Run,SacBunt,BuntHit,PotStf,PotMov,PotHRA,PotPBABIP,PotCtrl,Vel,GB,Stm,Hold,PotFst,PotSnk,PotCutt,PotCrv,PotSld,PotChg,PotSplt,PotFrk,PotCirChg,PotScr,PotKncrv,PotKnbl,Int,WrkEthic,Greed,Loy,Lead,Prone,Acc,Ovr,Pot
7197,"Danny Macias",1B,200,16,16,1,36,193,S,R,65,50,70,80,50,80,35,35,45,30,55,50,60,20,20,20,0,0,50,0,0,0,50,0,50,0,0,50,0,0,0,60,0,55,25,30,25,25,20,20,20,20,20,30,20,85-87,59,20,20,25,0,0,0,0,0,0,0,0,0,0,0,N,H,N,L,N,Wrecked,VH,8,8
7218,"Eddie Jaimes",3B,200,1,1,1,36,184,R,R,45,45,55,60,45,45,40,65,60,50,25,60,55,20,20,20,0,0,45,0,50,0,0,0,0,0,0,60,0,50,0,0,0,0,50,25,50,70,35,20,20,20,20,30,20,84-86,41,20,25,20,0,0,0,0,0,0,0,0,0,0,0,N,L,N,L,N,Normal,VH,5,5
7221,"Tomás Cordero",SP,201,31,16,2,36,175,R,R,20,25,25,20,20,20,20,20,45,30,20,25,25,20,20,20,20,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,20,20,20,20,40,20,45,45,50,40,45,93-95,65,50,75,50,0,0,0,0,0,50,0,45,0,0,0,N,H,L,N,N,Normal,VH,4,4
7333,"Max Blakeway",LF,200,13,13,1,35,198,L,L,40,50,65,55,40,45,35,35,50,25,50,65,60,20,25,20,0,0,40,0,0,0,60,0,55,0,0,55,0,0,0,60,0,55,20,30,25,30,40,25,20,20,20,25,20,83-85,39,20,20,20,0,0,0,0,0,0,0,0,0,0,0,N,N,N,N,N,Iron Man,VH,5,5
7340,"Gabriel Sowle",SP,200,15,15,1,34,196,R,R,20,30,25,25,20,20,25,30,45,35,20,35,35,20,20,20,40,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,25,25,25,20,50,20,45,50,50,50,60,92-94,60,55,65,50,40,0,0,50,40,50,0,0,0,0,0,H,H,H,N,N,Fragile,VH,6,6
7342,"Juan Martinez",SP,200,93,93,1,35,190,R,R,40,30,20,35,40,40,25,35,50,30,30,25,35,20,20,20,50,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,20,20,20,25,55,20,50,50,50,50,65,92-94,60,65,70,55,50,55,0,0,30,0,0,0,0,0,0,N,N,N,N,N,Wrecked,VH,6,6
7348,"Jalen Hammond",SP,200,6,6,1,35,196,R,R,35,25,20,20,30,40,25,25,45,25,25,25,45,20,20,20,35,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,20,25,20,20,45,20,55,50,45,50,50,94-96,53,55,50,0,0,80,0,0,50,75,0,0,0,0,0,N,N,H,N,L,Iron Man,VH,6,6
7357,"Erik Calabria",RP,201,21,3,2,34,188,R,R,40,30,20,20,35,40,25,35,50,35,25,30,25,20,20,20,45,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,20,25,20,25,75,20,50,45,50,40,35,91-93,65,45,55,50,0,0,0,55,0,0,0,0,0,0,0,N,N,N,N,N,Fragile,VH,4,4
7359,"Paul Perdue",SP,0,0,0,0,35,195,R,R,20,20,20,25,20,20,20,30,40,20,30,25,30,20,20,20,20,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,20,25,20,20,45,25,40,50,50,50,55,91-93,55,50,55,45,0,0,0,0,45,45,0,0,0,0,0,H,N,H,H,L,Wrecked,VH,5,5
7364,"Dan Rusin",3B,200,14,14,1,35,191,L,R,50,55,65,80,50,50,40,70,75,50,20,70,75,40,65,40,0,30,65,25,60,0,0,0,0,0,45,65,45,60,0,0,0,0,20,35,25,20,30,20,20,20,20,30,20,85-87,51,20,20,25,0,0,0,0,0,0,0,0,0,0,0,N,L,H,L,L,Normal,VH,8,8
7401,"Kelsey Currell",3B,200,11,11,1,34,189,R,R,50,50,55,65,45,55,45,40,80,40,20,35,70,20,20,20,0,0,50,0,50,0,0,0,0,0,0,65,0,50,0,0,0,0,30,35,30,40,45,20,20,20,20,35,20,84-86,55,20,25,20,0,0,0,0,0,0,0,0,0,0,0,L,L,H,L,L,Iron Man,VH,6,6
7474,"Gabriele Capriati",LF,200,103,103,1,36,191,L,R,45,50,50,65,50,40,30,30,45,30,50,50,60,20,20,20,0,0,0,0,0,0,50,25,50,0,0,0,0,0,0,50,30,50,60,75,65,65,65,55,20,20,20,30,20,85-87,42,20,20,20,0,0,0,0,0,0,0,0,0,0,0,H,H,N,H,N,Normal,H,5,5
7544,"Ben Rick",SP,200,14,14,1,36,190,R,R,30,30,25,20,25,35,25,30,50,25,30,25,25,20,20,20,45,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,25,20,20,30,60,30,45,50,50,50,45,93-95,52,50,50,55,0,0,0,0,25,0,0,0,45,55,0,L,N,H,N,N,Normal,VH,5,5
7564,"Ryan Casteel",RP,200,1,1,1,38,184,L,L,20,30,20,30,20,25,25,25,50,25,20,25,25,20,20,20,35,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,20,20,20,20,70,20,45,50,50,45,40,93-95,58,50,60,50,40,0,50,0,0,0,0,0,0,0,0,N,H,L,N,N,Iron Man,VH,4,4
7578,"Nate Stanley",CF,201,21,3,2,35,186,R,R,45,45,45,55,40,45,35,35,25,45,45,45,45,20,20,20,0,0,0,0,0,0,45,20,30,0,0,0,0,0,0,45,20,40,50,60,65,65,60,45,20,20,20,30,20,85-87,59,20,20,25,0,0,0,0,0,0,0,0,0,0,0,N,N,N,H,N,Normal,H,4,4
7591,"Sam Axe",1B,0,0,0,0,34,188,R,R,50,40,50,50,50,50,30,35,40,25,25,35,25,20,20,20,0,0,45,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,20,35,25,25,40,35,20,20,20,30,20,84-86,49,20,20,20,0,0,0,0,0,0,0,0,0,0,0,N,N,N,N,N,Durable,VH,4,4
7592,"Ken Pagel",RP,0,0,0,0,34,188,R,R,45,30,30,20,40,45,30,25,55,40,30,30,20,20,20,20,45,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,25,30,30,25,35,20,50,50,50,50,45,94-96,60,30,75,55,0,50,70,0,0,0,0,0,0,0,0,N,H,N,H,N,Wrecked,VH,4,4
7601,"Adam Whaley",SP,200,3,3,1,34,191,S,R,35,35,20,20,30,35,20,30,45,35,20,45,25,20,20,20,20,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,20,20,20,20,45,20,45,50,50,55,70,92-94,49,45,35,50,0,35,0,0,50,0,0,0,0,0,0,H,N,H,H,H,Normal,VH,6,6
7612,"Ryan Marks",RP,201,31,16,2,34,194,R,R,45,25,20,20,40,45,30,30,45,35,25,30,25,20,20,20,45,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,25,25,20,20,55,25,45,30,25,50,60,91-93,37,45,35,45,0,0,40,0,0,45,0,0,0,0,0,H,N,N,N,N,Fragile,VH,4,4
7653,"Bobby Girton",RP,201,99,94,2,34,192,L,R,25,30,20,20,20,25,35,25,50,30,25,35,60,20,20,20,45,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,20,25,30,20,60,20,55,50,45,50,45,93-95,50,50,55,65,0,0,0,0,0,0,0,0,0,65,0,N,H,N,L,N,Normal,VH,4,4
7654,"Zane Schick",1B,200,93,93,1,34,197,L,R,50,50,55,50,50,50,55,45,55,40,35,40,50,20,20,20,0,0,75,0,25,0,20,0,0,0,0,75,0,45,0,35,0,0,30,40,35,25,45,20,20,20,20,30,20,84-86,58,20,20,20,0,0,0,0,0,0,0,0,0,0,0,N,N,N,L,L,Normal,VH,6,6
7657,"Bobby Waterman",SS,0,0,0,0,34,187,R,R,45,50,50,45,45,50,55,60,55,65,50,60,40,20,20,20,0,0,0,60,55,50,45,30,0,0,0,0,65,55,50,55,30,0,40,65,50,45,30,20,20,20,20,35,20,84-86,51,20,20,20,0,0,0,0,0,0,0,0,0,0,0,N,H,L,N,N,Normal,VH,4,4
7676,"Jayne Cobb",RF,201,21,3,2,34,201,S,R,35,35,55,50,35,35,40,35,40,30,45,55,70,20,20,20,0,0,50,0,0,0,45,0,50,0,0,55,0,0,0,55,0,50,55,45,55,80,40,25,20,20,20,30,20,83-85,45,20,25,20,0,0,0,0,0,0,0,0,0,0,0,L,N,H,N,N,Normal,H,4,4
7683,"Benny Gesserit",SP,200,12,12,1,34,184,R,R,20,30,25,20,20,20,20,45,75,25,55,30,25,20,20,20,40,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,20,25,20,20,65,20,45,50,50,50,50,94-96,55,75,55,50,50,50,0,0,40,0,0,0,0,25,0,N,H,L,N,N,Iron Man,VH,5,5
7684,"Bobby Daily",LF,0,0,0,0,34,194,L,L,45,50,55,75,40,45,25,25,40,20,50,45,65,20,20,20,0,0,0,0,0,0,55,0,50,0,0,0,0,0,0,55,0,50,35,50,50,35,30,20,20,20,20,30,20,83-85,56,20,20,20,0,0,0,0,0,0,0,0,0,0,0,N,L,H,L,L,Durable,VH,5,5
7695,"Dan Barbier",2B,0,0,0,0,34,195,R,R,40,45,35,55,45,40,50,60,55,60,40,55,45,20,20,20,0,0,0,55,50,45,0,0,25,0,0,0,55,50,45,0,0,35,40,70,40,20,70,20,20,20,20,30,20,83-85,58,20,25,20,0,0,0,0,0,0,0,0,0,0,0,N,H,L,H,N,Normal,VH,4,4
7696,"Ivan Perez",RF,200,12,12,1,34,189,L,L,45,50,65,30,35,50,35,35,35,25,30,60,50,20,20,20,0,0,45,0,0,0,20,0,25,0,0,45,0,0,0,35,0,30,35,30,40,45,30,20,20,20,20,25,20,80-83,38,20,20,20,0,0,0,0,0,0,0,0,0,0,0,N,N,N,H,H,Normal,VH,5,5
7723,"Bryant Jones",3B,0,0,0,0,33,180,R,R,50,50,45,50,55,45,55,70,75,45,25,55,70,20,20,20,0,0,45,0,65,0,0,0,0,0,0,65,0,65,0,0,0,0,30,55,50,65,30,20,20,20,20,30,20,85-87,46,20,20,20,0,0,0,0,0,0,0,0,0,0,0,N,H,N,H,N,Iron Man,VH,5,5
7772,"Victor Sotelo",SS,200,14,14,1,35,189,R,R,55,50,50,55,55,55,70,75,75,80,40,75,55,20,20,20,0,0,0,30,35,80,0,0,0,0,0,0,80,80,80,0,0,0,30,60,60,65,35,20,20,25,20,35,20,85-87,50,20,20,25,0,0,0,0,0,0,0,0,0,0,0,N,H,N,H,H,Normal,VH,8,8
7780,"Eddie Montes",LF,200,16,16,1,36,192,L,R,45,65,55,55,40,50,40,35,35,40,55,60,45,20,20,20,0,0,55,0,0,0,60,40,40,0,0,55,0,0,0,60,40,55,60,60,70,60,40,20,20,20,20,25,20,84-86,56,20,25,20,0,0,0,0,0,0,0,0,0,0,0,H,N,H,N,N,Fragile,VH,6,6
7815,"Francisco Coronado",SP,201,21,3,2,34,180,S,R,35,35,20,20,30,35,20,35,60,25,20,30,25,20,20,20,25,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,20,20,25,20,45,20,40,45,45,45,50,91-93,44,55,35,45,0,0,0,45,0,0,0,0,0,25,0,N,H,L,H,N,Iron Man,VH,4,4
7871,"David Powers",SP,200,15,15,1,38,177,R,R,30,30,20,20,30,30,20,35,55,20,20,25,30,20,20,20,25,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,20,30,20,20,60,20,45,45,50,45,50,92-94,47,75,65,50,45,0,45,45,45,0,0,0,0,45,0,N,N,N,N,N,Iron Man,VH,5,5
7892,"Nate Bryson",1B,0,0,0,0,33,192,R,R,50,70,55,60,45,50,45,40,30,45,40,45,50,20,20,20,0,0,65,0,0,0,40,0,25,0,0,65,0,0,0,40,0,35,55,80,80,80,30,20,20,20,20,30,20,85-87,43,20,20,20,0,0,0,0,0,0,0,0,0,0,0,N,H,L,N,L,Fragile,VH,6,6
7929,"Steve Reagle",RP,200,1,1,1,34,197,R,R,30,35,25,25,30,30,30,30,60,25,25,25,25,20,20,20,50,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,30,30,20,45,80,20,50,45,45,55,55,93-95,51,65,60,50,30,0,0,0,0,55,0,0,45,50,0,N,H,N,N,N,Normal,VH,5,5
7933,"Dave Landin",SP,200,13,13,1,33,188,L,L,30,35,25,20,25,30,35,30,50,25,25,25,30,20,20,20,50,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,20,20,20,20,75,20,50,55,55,55,60,92-94,59,55,75,0,0,60,60,40,65,0,0,0,0,0,0,L,N,H,N,N,Fragile,VH,6,6
7961,"Ernesto Hernandez",RP,201,99,94,2,33,192,R,R,25,35,30,20,30,25,35,40,60,20,20,25,40,20,20,20,65,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,25,25,20,25,40,20,50,45,40,50,60,93-95,56,45,40,55,0,55,0,0,0,0,0,0,0,0,0,N,N,N,N,N,Wrecked,VH,4,4
7971,"Luis Barragan",SS,200,94,94,1,33,193,R,R,65,70,35,80,50,80,80,60,65,50,55,60,50,20,20,20,0,0,0,65,45,65,0,35,0,0,0,0,75,65,65,0,40,0,45,80,65,60,40,50,20,20,20,35,20,80-83,39,20,20,20,0,0,0,0,0,0,0,0,0,0,0,H,N,N,N,N,Wrecked,VH,8,8
7972,"Rick Blaine",1B,200,7,7,1,32,189,R,R,55,50,50,50,55,55,45,45,35,55,30,40,25,20,20,20,0,0,65,30,0,0,0,0,0,0,0,65,40,0,0,0,0,0,40,75,30,50,40,45,20,20,20,35,20,83-85,40,20,20,20,0,0,0,0,0,0,0,0,0,0,0,N,H,N,N,H,Normal,H,5,5
7977,"Matt Olson",RP,201,105,103,2,33,200,R,R,20,35,25,25,20,20,30,30,55,25,20,25,40,20,20,20,45,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,20,30,30,25,80,25,50,45,40,50,45,91-93,39,35,40,50,0,50,0,0,0,0,0,0,0,0,0,N,H,N,N,N,Iron Man,VH,4,4
7978,"Joe Neilson",DH,200,5,5,1,33,196,S,R,55,55,55,45,50,55,45,40,45,45,55,50,55,20,20,20,0,0,40,0,0,0,55,45,25,0,0,70,0,0,0,65,45,55,50,70,60,70,70,50,20,20,20,30,20,85-87,49,20,20,25,0,0,0,0,0,0,0,0,0,0,0,L,H,H,L,N,Fragile,VH,5,5
7985,"Joe Hensley",RF,0,0,0,0,33,186,L,L,50,50,45,70,45,50,45,35,30,20,50,55,65,20,20,20,0,0,55,0,0,0,55,30,55,0,0,55,0,0,0,55,30,55,40,70,50,50,30,20,20,25,25,30,20,80-83,54,20,20,20,0,0,0,0,0,0,0,0,0,0,0,N,N,H,N,N,Normal,VH,5,5
7991,"Danny Tobin",SP,200,5,5,1,32,184,R,R,25,25,20,25,20,25,20,30,45,25,20,25,25,20,20,20,35,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,20,30,30,20,40,20,50,45,45,50,45,92-94,53,55,35,50,0,55,0,0,55,0,0,0,0,0,0,N,N,N,N,N,Normal,VH,5,5
7992,"Ryan McKinnon Jr.",LF,200,10,10,1,32,200,R,R,45,55,80,55,40,50,35,50,55,30,50,45,70,20,20,20,60,0,60,0,0,0,55,0,30,70,0,60,0,0,0,55,0,55,50,50,50,75,35,25,50,55,55,50,20,92-94,54,70,35,55,0,0,50,55,25,0,0,0,0,55,0,N,H,N,H,H,Normal,VH,6,6
8004,"Brian Meeks",SP,200,94,94,1,33,198,R,R,35,30,25,20,30,45,30,30,35,25,25,20,40,20,20,20,40,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,30,40,40,40,80,20,50,50,45,50,50,93-95,56,60,60,60,0,0,0,65,50,0,0,0,0,0,0,H,N,N,H,N,Wrecked,VH,5,5
8005,"Justin Moore",SP,200,13,13,1,33,185,R,R,30,25,30,30,30,30,25,30,35,30,25,25,35,20,20,20,45,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,25,35,35,30,45,20,45,50,50,50,60,93-95,72,40,65,50,45,0,0,50,20,0,0,0,0,0,0,N,N,N,N,L,Normal,VH,5,5
8007,"Bobby Swisher",RP,200,11,11,1,33,201,R,R,35,35,20,20,30,35,30,25,60,25,30,25,30,20,20,20,45,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,35,35,25,30,40,25,45,55,55,50,45,91-93,62,55,45,45,45,35,0,0,0,0,25,0,0,0,0,L,N,L,N,N,Normal,H,5,5
8012,"Dakota Voorhees",SS,200,2,2,1,33,186,R,R,40,40,35,50,50,30,80,75,70,80,25,50,60,20,20,20,0,0,0,80,75,80,0,0,0,0,0,0,80,80,80,0,0,0,35,80,45,50,40,20,20,20,20,35,20,85-87,62,20,20,25,0,0,0,0,0,0,0,0,0,0,0,N,H,N,N,N,Normal,VH,5,5
8013,"Nick Irwin",C,200,2,2,1,32,188,R,R,40,50,45,45,40,45,20,30,55,25,20,25,55,70,65,65,0,70,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,20,30,35,20,20,20,25,45,45,35,30,88-90,59,45,60,30,30,0,0,0,25,0,0,0,0,0,0,N,L,H,L,N,Fragile,VH,5,5
8016,"Justin Hughes",SP,0,0,0,0,33,188,R,R,30,25,30,20,20,35,20,30,40,30,40,25,25,20,20,20,20,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,25,35,25,25,40,20,50,50,45,50,50,93-95,47,50,60,0,0,50,60,55,55,20,0,0,0,60,0,N,N,H,L,L,Fragile,VH,5,5
8017,"Corey Little",3B,200,15,15,1,33,189,R,R,50,65,50,55,50,55,55,55,80,65,45,50,75,20,25,20,50,0,0,20,30,55,0,0,0,80,0,0,60,65,55,0,0,0,35,35,55,40,30,20,45,55,55,50,55,91-93,61,55,65,45,50,45,0,45,45,0,0,0,0,0,0,H,H,L,N,L,Fragile,VH,5,5
8025,"Jason Campbell",SP,201,19,8,2,33,193,R,R,20,30,20,20,20,25,25,25,40,35,20,25,25,20,20,20,35,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,30,35,35,40,55,20,45,55,60,45,50,93-95,70,55,40,0,0,50,45,0,50,20,0,0,0,50,0,H,N,N,L,N,Normal,VH,5,5
8027,"Matt Kelley",2B,200,8,8,1,33,189,R,R,55,50,50,45,60,55,80,75,55,75,25,50,45,20,20,20,0,0,0,80,30,65,0,0,0,0,0,0,80,75,75,0,0,0,35,65,60,55,40,20,20,20,20,35,20,84-86,43,20,20,20,0,0,0,0,0,0,0,0,0,0,0,N,H,L,N,L,Iron Man,VH,8,8
8033,"Ricky Cruz",RP,201,105,103,2,33,209,R,R,25,30,20,20,25,30,30,35,60,25,40,25,40,20,20,20,55,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,25,30,20,20,75,25,55,40,35,50,35,94-96,43,55,60,65,0,0,0,65,50,0,0,0,0,0,0,N,H,L,N,N,Normal,VH,4,4
