STU P,MOV P,CON P,PBABIP P,HRR P,FBP,CHP,CBP,SLP,SIP,SPP,CTP,FOP,CCP,SCP,KCP,KNP,VT
35,55,80,50,55,35,40,40,35,40,35,-,-,-,-,-,-,89-91
35,40,30,45,35,40,40,-,-,-,-,40,-,-,-,-,-,89-91
35,45,40,40,45,40,35,-,-,-,-,35,-,-,-,-,-,91-93
35,40,30,45,35,35,30,35,-,35,-,-,35,-,-,-,-,89-91
35,40,25,35,40,45,35,-,40,-,-,-,-,-,-,-,-,93-95
35,50,30,45,50,45,40,-,40,-,-,-,-,-,-,-,-,92-94
35,40,35,35,40,40,35,35,35,-,-,-,35,-,-,-,-,90-92
35,45,45,35,45,35,35,-,35,35,-,-,-,-,-,-,-,90-92
35,50,45,45,50,40,-,35,-,-,-,-,-,-,-,-,-,90-92
35,45,45,40,50,40,40,-,-,40,-,-,-,-,-,-,-,89-91
35,45,40,45,45,40,35,-,-,-,30,-,-,-,-,35,-,91-93
35,50,30,45,50,35,45,40,-,45,-,-,-,-,-,-,-,89-91
35,45,55,50,45,40,40,30,35,35,-,-,-,-,-,-,-,88-90
35,45,50,50,45,40,40,-,-,-,-,40,-,-,-,-,-,90-92
35,50,55,40,55,40,45,35,-,-,-,35,-,-,-,-,-,89-91
35,50,55,40,50,35,50,-,-,-,45,-,-,-,-,-,-,87-89
35,50,70,40,60,35,40,45,40,-,-,-,-,-,-,-,-,89-91
35,40,45,40,40,45,30,-,40,-,-,-,-,-,-,-,-,93-95
35,45,25,40,45,40,45,-,-,-,40,-,-,-,-,-,-,90-92
35,55,65,55,60,35,45,-,40,40,-,-,-,-,-,-,-,87-89
35,50,60,45,50,35,-,-,40,45,-,-,-,-,-,-,-,88-90
35,50,25,45,50,40,45,-,40,40,40,-,-,-,-,-,-,88-90
35,45,45,40,50,40,-,-,40,40,-,-,-,-,-,-,-,89-91
35,45,30,40,45,40,40,30,-,-,40,-,-,-,-,-,-,90-92
35,45,45,40,50,-,35,35,35,-,-,35,-,-,-,-,-,91-93
35,40,25,45,40,40,35,-,-,-,-,-,-,-,-,30,-,91-93
35,30,30,45,25,40,35,-,40,-,-,-,-,-,-,-,-,91-93
35,45,30,45,45,40,45,-,-,-,-,40,-,-,-,-,-,89-91
35,50,50,45,50,40,40,-,40,-,-,-,-,-,-,-,-,91-93
35,50,55,45,50,-,-,-,40,-,-,40,-,-,-,-,-,88-90
35,45,50,35,45,35,-,-,35,-,-,-,-,-,-,-,-,90-92
35,45,35,40,45,35,40,-,40,35,-,-,-,-,-,-,-,88-90
35,45,30,45,45,35,40,30,35,-,35,-,-,-,-,35,-,89-91
35,45,35,45,45,40,40,-,-,40,-,-,-,-,-,-,-,90-92
35,40,40,40,40,40,35,-,40,-,30,35,-,-,-,-,-,92-94
35,40,55,45,40,40,35,-,40,-,-,45,-,-,-,-,-,89-91
35,50,50,45,50,35,-,35,-,-,-,40,-,-,-,-,-,88-90
35,20,25,40,20,35,35,-,-,-,35,-,-,-,-,-,-,89-91
35,45,40,40,45,40,35,-,-,-,30,-,-,-,-,-,-,90-92
35,45,40,45,50,35,35,35,-,35,-,35,-,-,-,-,-,89-91
35,50,45,45,55,40,50,-,-,-,-,45,-,-,-,-,-,88-90
35,40,35,45,35,35,40,35,35,35,35,-,-,-,-,-,-,88-90
35,50,45,45,50,40,50,-,-,35,-,-,-,-,-,-,-,87-89
35,45,45,40,45,35,40,-,40,-,-,-,-,-,-,40,-,87-89
35,35,20,35,35,40,35,-,35,-,-,-,-,-,-,-,-,91-93
35,30,25,35,30,45,35,-,-,-,-,-,-,-,-,-,-,94-96
35,45,50,40,50,45,40,-,40,-,-,-,-,-,-,-,-,90-92
35,50,65,50,50,45,-,-,-,-,-,-,-,45,-,-,-,91-93
35,55,50,50,55,35,45,45,-,45,-,-,-,-,-,-,-,88-90
35,35,20,35,35,40,40,45,-,-,-,-,-,-,-,-,-,89-91
35,45,50,40,50,35,40,-,-,-,-,40,-,-,-,-,-,88-90
35,35,25,35,40,40,35,45,40,-,-,-,-,-,-,-,-,88-90
35,40,25,45,40,40,45,-,25,-,-,-,-,-,-,-,-,88-90
35,40,40,40,40,45,35,-,-,40,-,-,-,-,-,-,-,93-95
35,50,45,45,50,40,40,35,40,-,-,-,-,-,-,-,-,90-92
35,40,40,40,40,35,35,-,40,-,-,40,-,-,-,-,-,88-90
35,40,40,40,40,45,35,-,-,-,-,35,-,-,-,-,-,93-95
35,40,25,45,40,-,35,-,40,-,35,35,-,-,-,35,-,91-93
35,45,45,40,45,40,35,-,40,35,-,-,-,-,-,-,-,92-94
35,45,50,40,45,40,40,-,-,35,-,-,-,-,-,-,-,90-92
35,70,80,45,80,40,50,-,-,-,-,45,-,-,-,-,-,88-90
35,40,40,40,40,-,35,-,-,-,35,40,-,-,-,-,-,93-95
35,50,30,45,50,40,35,-,30,40,-,-,-,-,-,-,-,91-93
35,45,30,35,50,35,-,40,-,-,-,-,-,-,-,-,-,88-90
35,55,80,45,60,40,40,-,-,30,-,40,-,-,-,-,-,88-90
35,45,25,45,45,40,-,-,40,45,-,-,-,-,-,-,-,87-89
35,50,45,40,55,35,45,-,-,45,-,-,-,-,-,-,-,88-90
40,45,55,40,50,45,-,-,-,-,-,-,-,45,-,-,-,90-92
40,50,50,50,50,35,50,45,-,45,-,-,-,-,-,-,-,88-90
40,40,30,45,40,45,40,-,45,-,-,-,-,-,-,-,-,92-94
40,45,35,45,45,45,40,-,-,40,-,-,-,-,-,-,-,91-93
40,45,20,45,45,45,40,-,45,40,-,-,-,-,-,-,-,92-94
40,50,35,45,50,40,40,-,-,-,45,-,-,-,-,-,-,90-92
40,35,30,45,35,45,35,35,-,-,40,-,-,-,-,-,-,93-95
40,45,55,45,45,-,45,40,45,-,-,45,-,-,-,-,-,89-91
40,45,45,45,45,45,45,-,-,45,-,-,-,-,-,-,-,91-93
40,35,25,45,35,40,45,-,35,-,45,-,-,-,-,-,-,89-91
40,45,45,40,50,40,45,35,-,45,-,-,-,-,-,-,-,91-93
40,45,45,45,50,40,35,45,45,-,-,-,-,-,-,-,-,89-91
40,45,35,45,45,-,35,45,-,45,-,35,-,-,-,-,-,93-95
40,45,45,40,45,45,40,-,40,-,-,-,-,-,-,-,-,91-93
40,50,50,45,50,45,45,-,-,35,-,-,-,-,-,-,-,92-94
40,45,35,40,45,40,50,-,-,-,35,-,-,-,-,-,-,88-90
40,40,70,45,40,40,35,-,45,40,45,-,-,-,-,-,-,89-91
40,35,30,35,35,40,35,35,40,35,-,-,-,-,-,-,-,91-93
40,50,45,45,50,40,50,45,-,45,-,-,-,-,-,-,-,87-89
40,40,25,45,35,40,35,45,-,-,-,-,-,-,-,45,-,90-92
40,45,50,40,50,45,45,-,35,-,-,-,-,-,-,-,-,89-91
40,45,55,50,45,40,45,-,-,40,40,-,-,-,-,-,-,90-92
40,45,55,40,50,45,-,35,-,-,-,-,-,-,-,-,-,92-94
40,50,20,45,50,40,45,-,40,-,30,-,-,-,-,-,-,89-91
40,40,30,45,40,45,40,-,40,-,-,-,-,-,-,-,-,91-93
40,45,35,45,45,45,45,-,35,-,-,45,-,-,-,-,-,89-91
40,40,40,45,35,45,40,-,-,-,-,45,-,-,-,-,-,91-93
40,45,45,40,50,45,45,-,-,-,-,35,-,-,-,-,-,91-93
40,40,50,40,40,45,40,-,35,-,40,-,-,-,-,-,-,93-95
40,50,55,45,50,40,50,45,-,45,-,-,-,-,-,-,-,88-90
40,45,40,40,50,45,45,-,-,45,-,-,-,-,-,-,-,90-92
40,45,20,40,45,40,45,-,-,-,45,-,-,-,-,-,-,90-92
40,55,50,45,60,45,50,-,50,-,-,-,-,-,-,-,-,92-94
40,45,45,40,50,30,50,45,-,-,50,-,-,-,-,-,-,87-89
40,40,25,45,40,40,35,-,-,40,-,-,-,-,-,-,-,91-93
40,55,30,55,60,50,40,-,-,-,25,-,-,-,-,-,-,93-95
40,40,30,45,40,40,40,-,40,-,-,-,-,-,-,-,-,90-92
40,45,25,45,45,45,45,35,45,-,40,-,-,-,-,-,-,91-93
40,40,25,45,40,40,45,-,45,35,-,-,-,-,-,-,-,89-91
40,50,50,50,50,45,-,45,-,-,-,-,-,-,-,-,-,91-93
40,40,40,45,40,40,40,-,-,-,-,35,-,-,-,-,-,89-91
40,50,25,40,50,40,50,45,45,-,45,-,-,-,-,-,-,90-92
40,45,30,45,45,40,-,50,-,40,-,-,-,-,-,-,-,89-91
40,55,55,50,55,40,40,-,40,45,40,40,-,-,-,-,-,91-93
40,60,80,50,65,45,50,50,-,40,-,-,-,-,-,-,-,89-91
40,35,25,40,35,40,40,-,-,40,-,-,-,-,-,-,-,89-91
40,45,25,45,45,40,45,45,-,-,-,40,-,-,-,-,-,89-91
40,70,55,50,75,35,60,-,-,-,-,45,-,-,-,-,-,89-91
40,35,20,40,35,50,45,-,-,40,-,-,-,-,-,-,-,94-96
40,65,80,50,70,40,-,-,40,-,-,-,-,-,-,-,-,90-92
40,40,25,45,35,40,45,45,45,-,-,-,-,-,-,-,-,90-92
40,45,45,45,45,45,40,-,-,-,50,-,-,-,-,-,-,94-96
40,50,80,50,50,45,40,-,-,-,-,-,-,-,-,45,-,91-93
40,50,40,45,50,45,-,-,45,-,-,-,-,-,-,-,-,94-96
40,55,45,45,55,40,40,-,-,-,-,40,-,-,-,-,-,89-91
40,45,40,40,45,40,35,-,35,40,-,40,-,-,-,-,-,91-93
40,50,55,40,55,40,40,30,-,45,-,-,-,-,-,-,-,90-92
40,35,40,40,35,40,40,-,-,-,40,-,-,40,-,-,-,90-92
40,50,40,45,55,45,50,-,-,-,45,-,-,-,-,-,-,90-92
40,30,30,35,30,45,35,-,35,-,40,-,-,-,-,-,-,91-93
40,50,60,45,50,40,-,-,40,45,-,-,-,-,-,-,-,87-89
40,50,50,40,55,65,40,-,45,-,-,-,-,-,-,-,-,98-100
40,35,35,35,30,45,40,-,45,-,-,-,-,-,-,-,-,89-91
40,45,40,40,45,40,45,40,-,40,40,-,-,-,-,-,-,90-92
40,35,30,45,30,45,45,-,-,-,45,-,-,-,-,-,-,89-91
40,45,25,40,45,40,45,-,-,45,-,-,-,-,-,-,-,91-93
40,50,55,50,50,45,40,-,-,45,-,-,-,-,-,-,-,92-94
40,50,30,45,50,40,60,-,30,-,-,-,-,-,-,-,-,87-89
40,40,30,40,40,45,45,-,-,45,-,-,-,-,-,-,-,91-93
40,45,40,45,45,45,30,45,40,-,-,-,-,-,-,25,-,91-93
40,45,40,40,45,55,-,20,-,-,-,-,-,-,-,-,-,94-96
40,55,55,50,55,40,50,-,-,40,-,40,-,-,-,-,-,91-93
40,50,45,45,50,-,45,45,35,-,-,45,-,-,-,-,-,90-92
40,50,30,45,50,50,-,45,-,-,-,-,-,-,-,-,-,95-97
40,45,45,45,45,50,40,-,-,-,35,-,-,-,-,-,-,95-97
40,45,25,45,45,40,45,-,45,-,-,-,-,-,-,-,-,90-92
40,40,30,45,40,45,40,45,-,-,45,-,-,-,-,-,-,90-92
40,35,35,45,30,45,30,45,40,40,-,-,-,-,-,-,-,93-95
40,55,60,45,60,40,45,-,-,-,45,-,-,-,-,-,-,89-91
40,35,30,45,30,40,50,-,-,35,-,-,-,-,-,-,-,89-91
40,35,40,35,35,40,30,-,-,35,-,-,-,-,-,-,-,91-93
40,35,40,40,35,45,35,-,-,-,35,-,-,-,-,-,-,91-93
40,45,45,45,50,40,45,-,-,45,-,-,-,-,40,-,-,91-93
40,30,25,45,25,45,45,-,-,-,35,-,-,-,-,-,-,90-92
40,40,25,45,40,40,-,-,40,-,-,-,-,-,-,-,-,89-91
40,50,60,45,50,45,45,-,35,45,-,-,-,-,-,-,-,91-93
40,50,45,45,50,45,-,45,-,50,-,-,-,-,-,-,-,88-90
40,45,50,45,45,40,50,-,-,-,50,-,-,-,-,-,-,88-90
40,45,30,35,50,-,40,45,40,45,-,-,-,-,-,-,-,89-91
40,35,35,35,35,40,-,45,-,45,-,45,-,-,-,-,-,89-91
40,45,45,45,45,-,-,45,-,-,-,45,-,-,-,-,-,92-94
40,30,25,45,25,40,40,45,30,-,-,-,-,-,-,-,-,90-92
40,50,45,45,50,50,50,-,-,-,40,-,-,-,-,-,-,92-94
40,45,45,40,45,45,40,-,-,-,35,-,-,-,-,-,-,94-96
40,35,25,40,35,50,-,-,50,-,-,-,-,-,-,-,-,97-99
40,45,25,40,45,40,40,40,40,-,40,-,-,-,-,-,-,90-92
40,45,40,40,45,40,-,-,-,45,-,45,-,-,-,-,-,89-91
40,45,25,40,45,40,35,-,-,40,-,-,-,-,-,-,-,91-93
40,45,25,45,40,45,-,-,40,45,-,-,-,-,-,-,-,91-93
40,40,35,35,40,60,35,-,-,-,-,-,-,-,-,-,-,96-98
40,50,30,45,50,40,45,-,-,40,-,-,-,-,-,-,-,90-92
40,55,50,40,60,45,50,-,-,-,45,-,-,-,-,-,-,91-93
40,40,45,40,40,45,45,-,-,35,-,-,-,-,-,-,-,89-91
40,55,70,50,55,-,40,55,-,-,-,45,-,-,-,-,-,91-93
40,45,20,45,45,40,45,35,-,-,40,45,-,-,-,-,-,90-92
40,45,45,45,40,40,35,35,-,-,35,-,-,-,-,35,-,90-92
40,45,50,45,45,45,50,-,-,45,-,-,-,-,-,-,-,88-90
40,45,30,40,45,40,35,-,40,-,30,-,-,-,-,-,-,92-94
40,50,45,45,50,40,55,-,45,-,-,-,-,-,-,-,-,87-89
40,45,55,50,45,45,45,-,-,-,45,-,-,-,-,-,-,91-93
40,50,25,40,50,40,45,-,45,-,-,40,-,-,-,-,-,92-94
40,70,50,50,75,45,55,-,35,-,-,-,-,-,-,-,-,88-90
40,50,60,50,55,40,-,45,-,45,-,-,-,-,-,-,-,90-92
40,50,35,45,50,45,-,-,45,45,-,-,-,-,-,-,-,91-93
40,50,60,45,50,45,45,-,45,-,-,-,-,-,-,-,-,92-94
40,45,55,45,45,45,50,-,-,-,-,-,-,-,-,25,-,90-92
40,50,35,45,50,45,45,-,35,-,40,-,-,-,-,-,-,91-93
40,50,55,50,50,40,50,-,-,-,-,40,-,-,-,-,-,87-89
40,40,40,45,40,45,45,-,-,45,-,-,-,-,-,-,-,89-91
40,35,30,45,30,40,45,-,-,-,-,45,-,-,-,-,-,88-90
40,50,80,50,50,40,45,40,40,35,-,-,-,-,-,-,-,89-91
40,40,25,40,40,45,45,40,45,-,-,-,-,-,-,45,-,91-93
40,45,35,40,50,45,40,-,-,45,-,-,-,-,-,-,-,92-94
40,45,30,45,40,40,45,-,45,-,-,-,-,-,-,-,-,88-90
40,50,55,40,55,50,40,-,-,40,-,-,-,-,-,-,-,94-96
40,45,30,35,45,40,45,45,40,-,-,-,-,-,-,-,-,89-91
40,35,30,45,35,40,40,45,-,-,40,-,-,-,-,-,-,90-92
40,45,50,45,50,40,40,35,40,40,40,-,-,-,-,-,-,90-92
40,40,30,45,40,40,45,-,40,-,-,-,-,-,-,-,-,89-91
40,40,40,40,40,40,40,-,40,-,-,-,-,-,-,-,-,90-92
40,40,30,40,40,45,-,-,40,-,-,-,-,-,-,-,-,92-94
40,45,25,45,45,40,45,-,35,-,-,-,-,-,-,-,-,90-92
40,50,50,40,55,45,45,-,-,-,-,-,-,-,-,-,-,91-93
40,45,35,40,45,45,40,-,-,-,35,-,-,-,-,-,-,92-94
40,45,50,40,50,45,-,40,-,40,-,-,-,-,-,-,-,90-92
40,50,40,45,55,45,40,-,-,-,-,40,-,-,-,-,-,91-93
40,45,45,45,45,40,30,55,-,40,-,35,-,-,-,-,-,91-93
40,45,25,40,50,40,45,-,-,45,-,-,-,-,-,-,-,90-92
40,45,25,35,45,40,-,-,45,-,-,-,-,-,-,-,-,88-90
40,35,20,45,35,40,40,-,-,40,-,-,-,-,-,-,-,91-93
40,35,25,40,35,50,35,-,-,-,30,-,-,-,-,-,-,95-97
40,50,30,45,50,40,50,-,-,-,-,-,-,-,45,-,-,88-90
40,40,45,45,40,45,50,-,-,-,35,-,-,-,-,-,-,90-92
40,45,25,45,45,40,45,45,45,40,-,-,-,-,-,-,-,88-90
40,50,45,45,50,40,45,-,-,-,-,-,-,-,-,45,-,88-90
40,50,45,40,50,40,-,-,40,-,-,-,-,-,-,-,-,90-92
40,40,35,40,40,45,40,-,-,-,40,-,-,-,-,-,-,91-93
40,45,35,40,50,45,45,-,-,-,35,-,-,-,-,-,-,92-94
40,60,35,45,70,40,45,-,-,50,-,-,-,-,-,-,-,89-91
40,40,30,45,40,40,45,-,45,-,-,-,-,-,-,-,-,90-92
40,50,40,45,55,40,45,45,-,45,-,-,-,-,-,-,-,90-92
40,50,40,45,50,50,40,-,40,-,45,-,-,-,-,-,-,94-96
40,45,30,40,45,45,45,-,-,-,35,-,-,-,-,-,-,91-93
40,40,40,35,40,-,45,45,45,-,45,40,-,-,-,-,-,88-90
40,30,25,45,30,50,40,45,-,-,35,-,-,-,-,-,-,93-95
40,45,25,45,45,40,40,45,-,-,35,-,-,-,-,-,-,90-92
40,30,30,45,25,40,40,45,-,-,-,-,-,-,-,50,-,88-90
40,45,30,45,45,45,45,-,-,45,-,-,-,-,-,-,-,91-93
40,45,30,45,45,45,50,-,-,-,40,-,-,-,-,-,-,90-92
40,45,50,45,45,50,45,-,-,-,-,-,-,-,50,-,-,93-95
40,30,25,45,30,45,35,40,45,-,35,-,-,-,-,-,-,92-94
40,45,50,40,45,45,40,45,-,-,-,-,-,-,-,40,-,91-93
40,45,35,45,45,45,-,-,45,-,-,-,-,-,-,-,-,93-95
40,50,50,40,50,45,40,-,-,-,-,45,-,-,-,-,-,94-96
40,30,25,45,30,35,45,-,45,-,-,-,-,-,-,-,-,88-90
40,35,30,45,35,45,50,-,-,-,40,-,-,-,-,-,-,88-90
40,60,55,50,65,-,50,45,45,-,-,45,-,-,-,-,-,89-91
40,45,50,40,45,40,45,-,40,-,-,-,-,-,-,-,-,89-91
40,45,30,40,45,50,45,-,50,-,-,-,-,-,-,-,-,92-94
40,60,65,50,65,-,40,-,45,45,40,-,-,-,-,-,-,93-95
40,50,45,40,50,45,50,-,-,-,-,30,-,-,-,-,-,89-91
40,40,30,40,40,40,45,-,-,45,-,-,-,-,-,-,-,92-94
40,45,50,40,45,-,50,20,-,-,-,45,45,-,-,-,-,88-90
40,40,25,45,40,40,45,-,45,-,-,-,-,-,-,-,-,89-91
40,45,50,40,45,40,40,35,-,35,-,-,-,-,-,-,-,90-92
40,35,45,45,35,40,-,-,45,-,50,-,-,-,-,-,-,87-89
40,30,60,50,20,45,-,40,-,-,45,-,-,-,-,-,-,91-93
40,40,35,35,40,45,40,-,45,-,-,-,-,-,-,-,-,91-93
40,50,50,45,55,45,50,-,45,-,-,-,-,-,-,-,-,89-91
40,40,40,40,40,45,35,-,-,40,-,40,40,-,-,-,-,92-94
40,45,30,45,45,40,60,-,-,-,35,-,-,-,-,-,-,87-89
40,55,60,55,50,40,35,35,40,35,-,40,-,-,-,-,-,91-93
40,45,30,45,50,40,40,-,35,40,-,-,-,-,-,-,-,90-92
40,60,40,50,65,45,40,-,40,40,-,-,-,-,-,50,-,94-96
40,50,30,45,50,40,50,-,45,-,-,-,-,-,-,-,-,87-89
40,55,45,50,60,45,45,-,40,45,-,-,-,-,-,-,-,90-92
40,65,65,50,70,40,-,-,-,-,60,55,-,-,-,-,-,87-89
40,35,20,45,35,45,45,-,-,-,45,-,-,-,-,-,-,91-93
40,50,40,50,55,-,50,45,35,45,45,-,-,-,-,-,-,89-91
40,45,45,40,50,45,45,-,-,40,-,-,-,-,-,-,-,91-93
40,45,25,45,45,40,-,-,45,40,-,-,-,-,-,-,-,89-91
40,40,40,45,40,40,45,-,-,45,-,-,-,-,-,-,-,89-91
40,40,35,45,40,40,-,-,-,35,-,35,-,-,-,-,-,90-92
40,50,45,45,55,40,40,-,-,40,-,40,-,-,-,-,-,90-92
40,50,70,50,50,45,50,-,-,-,40,-,-,-,-,-,-,90-92
40,45,45,45,45,40,50,-,-,-,50,-,-,-,-,-,-,88-90
40,70,55,50,80,40,50,-,45,-,-,-,-,-,-,-,-,90-92
40,40,25,40,40,35,40,-,45,45,-,-,-,-,-,-,-,89-91
40,45,35,40,45,40,45,-,40,-,40,-,-,-,-,-,-,90-92
40,45,45,40,45,40,35,-,-,40,-,-,-,-,-,-,-,91-93
40,55,55,50,55,40,45,-,-,45,-,-,-,-,-,-,-,90-92
40,50,35,40,50,40,40,-,-,-,-,-,-,-,-,40,-,89-91
40,60,55,50,65,45,50,-,-,-,-,50,-,-,-,-,-,92-94
40,50,50,45,55,55,40,-,-,-,-,35,-,-,-,-,-,94-96
40,50,50,40,50,40,45,-,-,35,-,40,-,-,-,-,-,88-90
40,45,50,40,50,45,40,-,-,-,30,-,-,-,-,-,-,92-94
40,45,45,40,50,40,35,35,-,40,-,-,-,-,-,-,-,91-93
40,35,25,35,35,40,-,-,40,-,-,-,-,-,-,-,-,90-92
40,45,45,40,45,40,35,-,30,40,-,-,-,-,-,-,-,91-93
40,50,40,45,50,40,40,50,-,45,-,-,-,-,-,-,-,88-90
40,40,40,45,40,40,40,45,-,40,45,-,-,-,-,-,-,88-90
40,50,40,45,50,40,40,-,40,40,-,35,-,-,-,-,-,91-93
40,45,25,45,45,40,45,-,45,-,-,-,-,-,-,-,-,89-91
40,40,25,40,35,45,45,-,-,35,-,-,-,-,-,-,-,90-92
40,55,55,45,60,40,-,-,-,40,-,45,-,-,-,-,-,88-90
40,40,25,45,35,45,45,-,-,35,-,-,-,-,-,-,-,90-92
40,45,25,45,45,45,50,-,-,40,-,-,-,-,-,-,-,89-91
40,35,25,45,30,45,30,40,-,40,-,-,-,-,-,-,-,96-98
40,40,30,45,40,40,50,-,-,35,-,-,-,-,-,-,-,88-90
40,45,50,45,45,45,40,40,-,45,-,-,-,-,-,-,-,93-95
40,50,35,45,50,45,45,-,-,-,-,40,-,-,-,-,-,92-94
40,30,35,45,20,40,40,-,40,40,-,-,-,-,-,-,-,88-90
40,40,25,40,40,45,40,-,50,-,-,-,-,-,-,-,-,93-95
40,55,50,50,60,45,45,-,-,45,-,-,-,-,-,-,-,90-92
40,45,30,45,45,40,50,-,-,-,45,-,-,-,-,-,-,89-91
40,50,50,45,50,45,45,-,-,35,-,-,-,-,-,-,-,90-92
40,60,40,50,65,45,-,-,40,45,-,-,-,-,-,-,-,92-94
40,50,75,45,55,40,-,-,-,45,-,40,-,-,-,-,-,89-91
40,45,45,40,45,35,45,-,45,-,-,40,-,-,-,-,-,88-90
40,45,40,40,50,45,35,35,40,-,35,-,-,-,-,-,-,92-94
40,45,50,50,40,40,35,45,-,40,40,-,-,-,-,35,-,91-93
40,45,30,45,45,-,40,40,40,-,-,45,-,-,-,35,-,91-93
